관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ세화3,2020-07-28,0.74,,,,,,,
JQ세화3,2020-07-29,0.72,,,,,,,
JQ세화3,2020-07-30,0.67,,,,,,,
JQ세화3,2020-07-31,0.64,,,,,,,
JQ세화3,2020-08-01,0.62,,,,,,,
JQ세화3,2020-08-02,0.61,,,,,,,
JQ세화3,2020-08-03,0.61,,,,,,,
JQ세화3,2020-08-04,0.59,,,,,,,
JQ세화3,2020-08-05,0.58,,,,,,,
JQ세화3,2020-08-06,0.56,,,,,,,
JQ세화3,2020-08-07,0.55,,,,,,,
JQ세화3,2020-08-08,0.56,,,,,,,
JQ세화3,2020-08-09,0.57,,,,,,,
JQ세화3,2020-08-10,0.58,,,,,,,
JQ세화3,2020-08-11,0.59,,,,,,,
JQ세화3,2020-08-12,0.67,,,,,,,
JQ세화3,2020-08-13,0.71,,,,,,,
JQ세화3,2020-08-18,0.64,,,,,,,
JQ세화3,2020-08-19,0.64,,,,,,,
JQ세화3,2020-08-20,0.63,,,,,,,
JQ세화3,2020-08-21,0.62,,,,,,,
JQ세화3,2020-08-22,0.61,,,,,,,
JQ세화3,2020-08-23,0.61,,,,,,,
JQ세화3,2020-08-24,0.63,,,,,,,
JQ세화3,2020-08-25,0.66,,,,,,,
JQ세화3,2020-08-26,0.74,,,,,,,
JQ세화3,2020-08-27,0.85,,,,,,,
JQ세화3,2020-08-28,0.83,,,,,,,
JQ세화3,2020-08-29,0.78,,,,,,,
JQ세화3,2020-08-30,0.74,,,,,,,
JQ세화3,2020-08-31,0.72,,,,,,,
JQ세화3,2020-09-01,0.71,,,,,,,
JQ세화3,2020-09-02,0.75,,,,,,,
JQ세화3,2020-09-03,1.38,,,,,,,
JQ세화3,2020-09-04,1.54,,,,,,,
JQ세화3,2020-09-05,1.43,,,,,,,
JQ세화3,2020-09-06,1.4,,,,,,,
JQ세화3,2020-09-07,1.76,,,,,,,
JQ세화3,2020-09-08,2.14,,,,,,,
JQ세화3,2020-09-09,2.1,,,,,,,
JQ세화3,2020-09-10,2.02,,,,,,,
JQ세화3,2020-09-11,1.95,,,,,,,
JQ세화3,2020-09-12,1.89,,,,,,,
JQ세화3,2020-09-13,1.82,,,,,,,
JQ세화3,2020-09-14,1.73,,,,,,,
JQ세화3,2020-09-15,1.65,,,,,,,
JQ세화3,2020-09-16,1.59,,,,,,,
JQ세화3,2020-09-17,1.52,,,,,,,
JQ세화3,2020-09-18,1.45,,,,,,,
JQ세화3,2020-09-19,1.39,,,,,,,
JQ세화3,2020-09-20,1.33,,,,,,,
JQ세화3,2020-09-21,1.27,,,,,,,
JQ세화3,2020-09-22,1.23,,,,,,,
JQ세화3,2020-09-23,1.21,,,,,,,
JQ세화3,2020-09-24,1.18,,,,,,,
JQ세화3,2020-09-25,1.17,,,,,,,
JQ세화3,2020-09-26,1.14,,,,,,,
JQ세화3,2020-09-27,1.11,,,,,,,
JQ세화3,2020-09-28,1.06,,,,,,,
JQ세화3,2020-09-29,1.02,,,,,,,
JQ세화3,2020-09-30,0.99,,,,,,,
JQ세화3,2020-10-01,0.96,,,,,,,
JQ세화3,2020-10-02,0.92,,,,,,,
JQ세화3,2020-10-03,0.88,,,,,,,
JQ세화3,2020-10-04,0.85,,,,,,,
JQ세화3,2020-10-05,0.81,,,,,,,
JQ세화3,2020-10-06,0.77,,,,,,,
JQ세화3,2020-10-07,0.73,,,,,,,
JQ세화3,2020-10-08,0.73,,,,,,,
JQ세화3,2020-10-09,0.74,,,,,,,
JQ세화3,2020-10-10,0.73,,,,,,,
JQ세화3,2020-10-11,0.73,,,,,,,
JQ세화3,2020-10-12,0.73,,,,,,,
JQ세화3,2020-10-13,0.71,,,,,,,
JQ세화3,2020-10-14,0.68,,,,,,,
JQ세화3,2020-10-15,0.65,,,,,,,
JQ세화3,2020-10-16,0.62,,,,,,,
JQ세화3,2020-10-17,0.6,,,,,,,
JQ세화3,2020-10-18,0.57,,,,,,,
JQ세화3,2020-10-19,0.55,,,,,,,
JQ세화3,2020-10-20,0.54,,,,,,,
JQ세화3,2020-10-21,0.55,,,,,,,
JQ세화3,2020-10-22,0.56,,,,,,,
JQ세화3,2020-10-23,0.55,,,,,,,
JQ세화3,2020-10-24,0.51,,,,,,,
JQ세화3,2020-10-25,0.48,,,,,,,
JQ세화3,2020-10-26,0.48,,,,,,,
JQ세화3,2020-10-27,0.48,,,,,,,
JQ세화3,2020-10-28,0.47,,,,,,,
JQ세화3,2020-10-29,0.44,,,,,,,
JQ세화3,2020-10-30,0.42,,,,,,,
JQ세화3,2020-10-31,0.42,,,,,,,
JQ세화3,2020-11-01,0.4,,,,,,,
JQ세화3,2020-11-02,0.39,,,,,,,
JQ세화3,2020-11-03,0.38,,,,,,,
JQ세화3,2020-11-04,0.35,,,,,,,
JQ세화3,2020-11-05,0.33,,,,,,,
JQ세화3,2020-11-06,0.33,,,,,,,
JQ세화3,2020-11-07,0.32,,,,,,,
JQ세화3,2020-11-08,0.31,,,,,,,
JQ세화3,2020-11-09,0.28,,,,,,,
JQ세화3,2020-11-10,0.26,,,,,,,
JQ세화3,2020-11-11,0.24,,,,,,,
JQ세화3,2020-11-12,0.22,,,,,,,
JQ세화3,2020-11-13,0.2,,,,,,,
JQ세화3,2020-11-14,0.19,,,,,,,
JQ세화3,2020-11-15,0.19,,,,,,,
JQ세화3,2020-11-16,0.18,,,,,,,
JQ세화3,2020-11-17,0.19,,,,,,,
JQ세화3,2020-11-18,0.21,,,,,,,
JQ세화3,2020-11-19,0.25,,,,,,,
JQ세화3,2020-11-20,0.25,,,,,,,
JQ세화3,2020-11-21,0.25,,,,,,,
JQ세화3,2020-11-22,0.24,,,,,,,
JQ세화3,2020-11-23,0.17,,,,,,,
JQ세화3,2020-11-24,0.13,,,,,,,
JQ세화3,2020-11-25,0.11,,,,,,,
JQ세화3,2020-11-26,0.1,,,,,,,
JQ세화3,2020-11-27,0.1,,,,,,,
JQ세화3,2020-11-28,0.08,,,,,,,
JQ세화3,2020-11-29,0.06,,,,,,,
JQ세화3,2020-11-30,0.05,,,,,,,
JQ세화3,2020-12-01,0.04,,,,,,,
JQ세화3,2020-12-02,0.05,,,,,,,
JQ세화3,2020-12-03,0.04,,,,,,,
JQ세화3,2020-12-04,0.04,,,,,,,
JQ세화3,2020-12-05,0.04,,,,,,,
JQ세화3,2020-12-06,0.05,,,,,,,
JQ세화3,2020-12-07,0.06,,,,,,,
JQ세화3,2020-12-08,0.07,,,,,,,
JQ세화3,2020-12-09,0.07,,,,,,,
JQ세화3,2020-12-10,0.09,,,,,,,
JQ세화3,2020-12-11,0.11,,,,,,,
JQ세화3,2020-12-12,0.12,,,,,,,
JQ세화3,2020-12-13,0.14,,,,,,,
JQ세화3,2020-12-14,0.11,,,,,,,
JQ세화3,2020-12-15,0.09,,,,,,,
JQ세화3,2020-12-16,0.06,,,,,,,
JQ세화3,2020-12-17,0.05,,,,,,,
JQ세화3,2020-12-18,0.06,,,,,,,
JQ세화3,2020-12-19,0.05,,,,,,,
JQ세화3,2020-12-20,0.05,,,,,,,
JQ세화3,2020-12-21,0.04,,,,,,,
JQ세화3,2020-12-22,0.04,,,,,,,
JQ세화3,2020-12-23,0.05,,,,,,,
JQ세화3,2020-12-24,0.07,,,,,,,
JQ세화3,2020-12-25,0.08,,,,,,,
JQ세화3,2020-12-26,0.07,,,,,,,
JQ세화3,2020-12-27,0.09,,,,,,,
JQ세화3,2020-12-28,0.11,,,,,,,
JQ세화3,2020-12-29,0.12,,,,,,,
JQ세화3,2020-12-30,0.07,,,,,,,
JQ세화3,2020-12-31,0.02,,,,,,,
JQ세화3,2021-01-01,0.02,,,,,,,
JQ세화3,2021-01-02,0.03,,,,,,,
JQ세화3,2021-01-03,0.02,,,,,,,
JQ세화3,2021-01-04,0.02,,,,,,,
JQ세화3,2021-01-05,0.02,,,,,,,
JQ세화3,2021-01-06,0.0,,,,,,,
JQ세화3,2021-01-07,-0.02,,,,,,,
JQ세화3,2021-01-08,-0.04,,,,,,,
JQ세화3,2021-01-09,-0.03,,,,,,,
JQ세화3,2021-01-10,-0.03,,,,,,,
JQ세화3,2021-01-11,-0.03,,,,,,,
JQ세화3,2021-01-12,-0.01,,,,,,,
JQ세화3,2021-01-13,0.01,,,,,,,
JQ세화3,2021-01-14,0.03,,,,,,,
JQ세화3,2021-01-15,0.06,,,,,,,
JQ세화3,2021-01-16,0.04,,,,,,,
JQ세화3,2021-01-17,0.01,,,,,,,
JQ세화3,2021-01-18,0.0,,,,,,,
JQ세화3,2021-01-19,-0.02,,,,,,,
JQ세화3,2021-01-20,-0.02,,,,,,,
JQ세화3,2021-01-21,-0.02,,,,,,,
JQ세화3,2021-01-22,0.0,,,,,,,
JQ세화3,2021-01-23,0.04,,,,,,,
JQ세화3,2021-01-24,0.08,,,,,,,
JQ세화3,2021-01-25,0.08,,,,,,,
JQ세화3,2021-01-26,0.08,,,,,,,
JQ세화3,2021-01-27,0.06,,,,,,,
JQ세화3,2021-01-28,0.06,,,,,,,
JQ세화3,2021-01-29,0.02,,,,,,,
JQ세화3,2021-01-30,0.02,,,,,,,
JQ세화3,2021-01-31,0.03,,,,,,,
JQ세화3,2021-02-01,0.05,,,,,,,
JQ세화3,2021-02-02,0.02,,,,,,,
JQ세화3,2021-02-03,0.0,,,,,,,
JQ세화3,2021-02-04,-0.01,,,,,,,
JQ세화3,2021-02-05,-0.01,,,,,,,
JQ세화3,2021-02-06,0.02,,,,,,,
JQ세화3,2021-02-07,0.04,,,,,,,
JQ세화3,2021-02-08,0.02,,,,,,,
JQ세화3,2021-02-09,-0.01,,,,,,,
JQ세화3,2021-02-10,-0.02,,,,,,,
JQ세화3,2021-02-11,0.0,,,,,,,
JQ세화3,2021-02-12,0.02,,,,,,,
JQ세화3,2021-02-13,0.03,,,,,,,
JQ세화3,2021-02-14,0.05,,,,,,,
JQ세화3,2021-02-15,0.06,,,,,,,
JQ세화3,2021-02-16,0.05,,,,,,,
JQ세화3,2021-02-17,0.02,,,,,,,
JQ세화3,2021-02-18,-0.03,,,,,,,
JQ세화3,2021-02-19,-0.04,,,,,,,
JQ세화3,2021-02-20,-0.03,,,,,,,
JQ세화3,2021-02-21,-0.01,,,,,,,
JQ세화3,2021-02-22,0.02,,,,,,,
JQ세화3,2021-02-23,0.01,,,,,,,
JQ세화3,2021-02-24,0.0,,,,,,,
JQ세화3,2021-02-25,0.01,,,,,,,
JQ세화3,2021-02-26,0.04,,,,,,,
JQ세화3,2021-02-27,0.11,,,,,,,
JQ세화3,2021-02-28,0.11,,,,,,,
JQ세화3,2021-03-01,0.07,,,,,,,
JQ세화3,2021-03-02,0.06,,,,,,,
JQ세화3,2021-03-03,0.05,,,,,,,
JQ세화3,2021-03-04,0.05,,,,,,,
JQ세화3,2021-03-05,0.07,,,,,,,
JQ세화3,2021-03-06,0.07,,,,,,,
JQ세화3,2021-03-07,0.07,,,,,,,
JQ세화3,2021-03-08,0.04,,,,,,,
JQ세화3,2021-03-09,0.02,,,,,,,
JQ세화3,2021-03-10,0.0,,,,,,,
JQ세화3,2021-03-11,0.01,,,,,,,
JQ세화3,2021-03-12,0.03,,,,,,,
JQ세화3,2021-03-13,0.04,,,,,,,
JQ세화3,2021-03-14,0.03,,,,,,,
JQ세화3,2021-03-15,0.04,,,,,,,
JQ세화3,2021-03-16,0.05,,,,,,,
JQ세화3,2021-03-17,0.05,,,,,,,
JQ세화3,2021-03-18,0.06,,,,,,,
JQ세화3,2021-03-19,0.08,,,,,,,
