관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ송당1,2020-07-29,2.63,,,,,,,
JQ송당1,2020-07-30,2.59,,,,,,,
JQ송당1,2020-07-31,2.53,,,,,,,
JQ송당1,2020-08-01,2.47,,,,,,,
JQ송당1,2020-08-02,2.42,,,,,,,
JQ송당1,2020-08-03,2.37,,,,,,,
JQ송당1,2020-08-04,2.32,,,,,,,
JQ송당1,2020-08-05,2.29,,,,,,,
JQ송당1,2020-08-06,2.26,,,,,,,
JQ송당1,2020-08-07,2.23,,,,,,,
JQ송당1,2020-08-08,2.2,,,,,,,
JQ송당1,2020-08-09,2.2,,,,,,,
JQ송당1,2020-08-10,2.21,,,,,,,
JQ송당1,2020-08-11,2.2,,,,,,,
JQ송당1,2020-08-12,2.2,,,,,,,
JQ송당1,2020-08-13,2.21,,,,,,,
JQ송당1,2020-08-14,2.22,,,,,,,
JQ송당1,2020-08-15,2.25,,,,,,,
JQ송당1,2020-08-16,2.27,,,,,,,
JQ송당1,2020-08-17,2.3,,,,,,,
JQ송당1,2020-08-18,2.26,,,,,,,
JQ송당1,2020-08-19,2.18,,,,,,,
JQ송당1,2020-08-20,2.19,,,,,,,
JQ송당1,2020-08-21,2.18,,,,,,,
JQ송당1,2020-08-22,2.19,,,,,,,
JQ송당1,2020-08-23,2.2,,,,,,,
JQ송당1,2020-08-24,2.2,,,,,,,
JQ송당1,2020-08-25,2.2,,,,,,,
JQ송당1,2020-08-26,2.21,,,,,,,
JQ송당1,2020-09-09,3.59,,,,,,,
JQ송당1,2020-09-10,3.79,,,,,,,
JQ송당1,2020-09-11,4.12,,,,,,,
JQ송당1,2020-09-12,4.44,,,,,,,
JQ송당1,2020-09-13,4.74,,,,,,,
JQ송당1,2020-09-14,4.98,,,,,,,
JQ송당1,2020-09-15,5.12,,,,,,,
JQ송당1,2020-09-16,5.17,,,,,,,
JQ송당1,2020-09-17,5.13,,,,,,,
JQ송당1,2020-09-18,5.04,,,,,,,
JQ송당1,2020-09-19,4.93,,,,,,,
JQ송당1,2020-09-20,4.81,,,,,,,
JQ송당1,2020-09-21,4.68,,,,,,,
JQ송당1,2020-09-22,4.55,,,,,,,
JQ송당1,2020-09-23,4.41,,,,,,,
JQ송당1,2020-09-24,4.29,,,,,,,
JQ송당1,2020-09-25,4.17,,,,,,,
JQ송당1,2020-09-26,4.05,,,,,,,
JQ송당1,2020-09-27,3.93,,,,,,,
JQ송당1,2020-09-28,3.83,,,,,,,
JQ송당1,2020-09-29,3.75,,,,,,,
JQ송당1,2020-09-30,3.66,,,,,,,
JQ송당1,2020-10-01,3.56,,,,,,,
JQ송당1,2020-10-02,3.47,,,,,,,
JQ송당1,2020-10-03,3.39,,,,,,,
JQ송당1,2020-10-04,3.32,,,,,,,
JQ송당1,2020-10-05,3.23,,,,,,,
JQ송당1,2020-10-06,3.15,,,,,,,
JQ송당1,2020-10-07,3.06,,,,,,,
JQ송당1,2020-10-08,2.99,,,,,,,
JQ송당1,2020-10-09,2.93,,,,,,,
JQ송당1,2020-10-10,2.88,,,,,,,
JQ송당1,2020-10-11,2.82,,,,,,,
JQ송당1,2020-10-12,2.76,,,,,,,
JQ송당1,2020-10-13,2.71,,,,,,,
JQ송당1,2020-10-14,2.65,,,,,,,
JQ송당1,2020-10-15,2.61,,,,,,,
JQ송당1,2020-10-16,2.56,,,,,,,
JQ송당1,2020-10-17,2.52,,,,,,,
JQ송당1,2020-10-18,2.47,,,,,,,
JQ송당1,2020-10-19,2.42,,,,,,,
JQ송당1,2020-10-20,2.37,,,,,,,
JQ송당1,2020-10-21,2.34,,,,,,,
JQ송당1,2020-10-22,2.31,,,,,,,
JQ송당1,2020-10-23,2.27,,,,,,,
JQ송당1,2020-10-24,2.23,,,,,,,
JQ송당1,2020-10-25,2.19,,,,,,,
JQ송당1,2020-10-26,2.16,,,,,,,
JQ송당1,2020-10-27,2.12,,,,,,,
JQ송당1,2020-10-28,2.09,,,,,,,
JQ송당1,2020-10-29,2.06,,,,,,,
JQ송당1,2020-10-30,2.02,,,,,,,
JQ송당1,2020-10-31,1.99,,,,,,,
JQ송당1,2020-11-01,1.96,,,,,,,
JQ송당1,2020-11-02,1.93,,,,,,,
JQ송당1,2020-11-03,1.89,,,,,,,
JQ송당1,2020-11-04,1.86,,,,,,,
JQ송당1,2020-11-05,1.83,,,,,,,
JQ송당1,2020-11-06,1.81,,,,,,,
JQ송당1,2020-11-07,1.78,,,,,,,
JQ송당1,2020-11-08,1.75,,,,,,,
JQ송당1,2020-11-09,1.72,,,,,,,
JQ송당1,2020-11-10,1.69,,,,,,,
JQ송당1,2020-11-11,1.65,,,,,,,
JQ송당1,2020-11-12,1.63,,,,,,,
JQ송당1,2020-11-13,1.6,,,,,,,
JQ송당1,2020-11-14,1.57,,,,,,,
JQ송당1,2020-11-15,1.54,,,,,,,
JQ송당1,2020-11-16,1.51,,,,,,,
JQ송당1,2020-11-17,1.49,,,,,,,
JQ송당1,2020-11-18,1.48,,,,,,,
JQ송당1,2020-11-19,1.47,,,,,,,
JQ송당1,2020-11-20,1.45,,,,,,,
JQ송당1,2020-11-21,1.44,,,,,,,
JQ송당1,2020-11-22,1.44,,,,,,,
JQ송당1,2020-11-23,1.42,,,,,,,
JQ송당1,2020-11-24,1.41,,,,,,,
JQ송당1,2020-11-25,1.38,,,,,,,
JQ송당1,2020-11-26,1.36,,,,,,,
JQ송당1,2020-11-27,1.33,,,,,,,
JQ송당1,2020-11-28,1.31,,,,,,,
JQ송당1,2020-11-29,1.28,,,,,,,
JQ송당1,2020-11-30,1.25,,,,,,,
JQ송당1,2020-12-01,1.24,,,,,,,
JQ송당1,2020-12-02,1.22,,,,,,,
JQ송당1,2020-12-03,1.2,,,,,,,
JQ송당1,2020-12-04,1.18,,,,,,,
JQ송당1,2020-12-05,1.17,,,,,,,
JQ송당1,2020-12-06,1.16,,,,,,,
JQ송당1,2020-12-07,1.14,,,,,,,
JQ송당1,2020-12-08,1.13,,,,,,,
JQ송당1,2020-12-09,1.13,,,,,,,
JQ송당1,2020-12-10,1.12,,,,,,,
JQ송당1,2020-12-11,1.12,,,,,,,
JQ송당1,2020-12-12,1.12,,,,,,,
JQ송당1,2020-12-13,1.12,,,,,,,
JQ송당1,2020-12-14,1.11,,,,,,,
JQ송당1,2020-12-15,1.12,,,,,,,
JQ송당1,2020-12-16,1.11,,,,,,,
JQ송당1,2020-12-17,1.1,,,,,,,
JQ송당1,2020-12-18,1.09,,,,,,,
JQ송당1,2020-12-19,1.07,,,,,,,
JQ송당1,2020-12-20,1.06,,,,,,,
JQ송당1,2020-12-21,1.05,,,,,,,
JQ송당1,2020-12-22,1.04,,,,,,,
JQ송당1,2020-12-23,1.04,,,,,,,
JQ송당1,2020-12-24,1.03,,,,,,,
JQ송당1,2020-12-25,1.01,,,,,,,
JQ송당1,2020-12-26,1.02,,,,,,,
JQ송당1,2020-12-27,1.02,,,,,,,
JQ송당1,2020-12-28,1.02,,,,,,,
JQ송당1,2020-12-29,1.03,,,,,,,
JQ송당1,2020-12-30,1.02,,,,,,,
JQ송당1,2020-12-31,1.01,,,,,,,
JQ송당1,2021-01-01,1.0,,,,,,,
JQ송당1,2021-01-02,0.99,,,,,,,
JQ송당1,2021-01-03,0.97,,,,,,,
JQ송당1,2021-01-04,0.97,,,,,,,
JQ송당1,2021-01-05,0.96,,,,,,,
JQ송당1,2021-01-06,0.95,,,,,,,
JQ송당1,2021-01-07,0.94,,,,,,,
JQ송당1,2021-01-08,0.93,,,,,,,
JQ송당1,2021-01-09,0.92,,,,,,,
JQ송당1,2021-01-10,0.91,,,,,,,
JQ송당1,2021-01-11,0.9,,,,,,,
JQ송당1,2021-01-12,0.9,,,,,,,
JQ송당1,2021-01-13,0.89,,,,,,,
JQ송당1,2021-01-14,0.88,,,,,,,
JQ송당1,2021-01-15,0.9,,,,,,,
JQ송당1,2021-01-16,0.89,,,,,,,
JQ송당1,2021-01-17,0.9,,,,,,,
JQ송당1,2021-01-18,0.89,,,,,,,
JQ송당1,2021-01-19,0.88,,,,,,,
JQ송당1,2021-01-20,0.87,,,,,,,
JQ송당1,2021-01-21,0.87,,,,,,,
JQ송당1,2021-01-22,0.86,,,,,,,
JQ송당1,2021-01-23,0.85,,,,,,,
JQ송당1,2021-01-24,0.85,,,,,,,
JQ송당1,2021-01-25,0.87,,,,,,,
JQ송당1,2021-01-26,0.88,,,,,,,
JQ송당1,2021-01-27,0.88,,,,,,,
JQ송당1,2021-01-28,0.89,,,,,,,
JQ송당1,2021-01-29,0.87,,,,,,,
JQ송당1,2021-01-30,0.87,,,,,,,
JQ송당1,2021-01-31,0.86,,,,,,,
JQ송당1,2021-02-01,0.86,,,,,,,
JQ송당1,2021-02-02,0.84,,,,,,,
JQ송당1,2021-02-03,0.85,,,,,,,
JQ송당1,2021-02-04,0.83,,,,,,,
JQ송당1,2021-02-05,0.83,,,,,,,
JQ송당1,2021-02-06,0.82,,,,,,,
JQ송당1,2021-02-07,0.81,,,,,,,
JQ송당1,2021-02-08,0.81,,,,,,,
JQ송당1,2021-02-09,0.81,,,,,,,
JQ송당1,2021-02-10,0.81,,,,,,,
JQ송당1,2021-02-11,0.8,,,,,,,
JQ송당1,2021-02-12,0.79,,,,,,,
JQ송당1,2021-02-13,0.8,,,,,,,
JQ송당1,2021-02-14,0.81,,,,,,,
JQ송당1,2021-02-15,0.8,,,,,,,
JQ송당1,2021-02-16,0.81,,,,,,,
JQ송당1,2021-02-17,0.81,,,,,,,
JQ송당1,2021-02-18,0.81,,,,,,,
JQ송당1,2021-02-19,0.8,,,,,,,
JQ송당1,2021-02-20,0.79,,,,,,,
JQ송당1,2021-02-21,0.78,,,,,,,
JQ송당1,2021-02-22,0.77,,,,,,,
JQ송당1,2021-02-23,0.77,,,,,,,
JQ송당1,2021-02-24,0.77,,,,,,,
JQ송당1,2021-02-25,0.78,,,,,,,
JQ송당1,2021-02-26,0.78,,,,,,,
JQ송당1,2021-02-27,0.77,,,,,,,
JQ송당1,2021-02-28,0.79,,,,,,,
JQ송당1,2021-03-01,0.82,,,,,,,
JQ송당1,2021-03-02,0.8,,,,,,,
JQ송당1,2021-03-03,0.8,,,,,,,
JQ송당1,2021-03-04,0.81,,,,,,,
JQ송당1,2021-03-05,0.8,,,,,,,
JQ송당1,2021-03-06,0.79,,,,,,,
JQ송당1,2021-03-07,0.79,,,,,,,
JQ송당1,2021-03-08,0.79,,,,,,,
JQ송당1,2021-03-09,0.79,,,,,,,
JQ송당1,2021-03-10,0.78,,,,,,,
JQ송당1,2021-03-11,0.77,,,,,,,
JQ송당1,2021-03-12,0.77,,,,,,,
JQ송당1,2021-03-13,0.76,,,,,,,
JQ송당1,2021-03-14,0.76,,,,,,,
JQ송당1,2021-03-15,0.77,,,,,,,
JQ송당1,2021-03-16,0.77,,,,,,,
JQ송당1,2021-03-17,0.77,,,,,,,
JQ송당1,2021-03-18,0.79,,,,,,,
JQ송당1,2021-03-19,0.8,,,,,,,
JQ송당1,2021-03-20,0.81,,,,,,,
JQ송당1,2021-03-21,0.81,,,,,,,
JQ송당1,2021-03-22,0.82,,,,,,,
JQ송당1,2021-03-23,0.83,,,,,,,
JQ송당1,2021-03-24,0.82,,,,,,,
JQ송당1,2021-03-25,0.81,,,,,,,
JQ송당1,2021-03-26,0.81,,,,,,,
JQ송당1,2021-03-27,0.82,,,,,,,
JQ송당1,2021-03-28,0.82,,,,,,,
JQ송당1,2021-03-29,0.83,,,,,,,
JQ송당1,2021-03-30,0.84,,,,,,,
JQ송당1,2021-03-31,0.86,,,,,,,
JQ송당1,2021-04-01,0.87,,,,,,,
JQ송당1,2021-04-02,0.87,,,,,,,
JQ송당1,2021-04-03,0.89,,,,,,,
JQ송당1,2021-04-04,0.88,,,,,,,
JQ송당1,2021-04-05,0.88,,,,,,,
JQ송당1,2021-04-06,0.89,,,,,,,
JQ송당1,2021-04-07,0.89,,,,,,,
JQ송당1,2021-04-08,0.88,,,,,,,
JQ송당1,2021-04-09,0.87,,,,,,,
JQ송당1,2021-04-10,0.86,,,,,,,
JQ송당1,2021-04-11,0.87,,,,,,,
JQ송당1,2021-04-12,0.87,,,,,,,
JQ송당1,2021-04-13,0.86,,,,,,,
JQ송당1,2021-04-14,0.85,,,,,,,
JQ송당1,2021-04-15,0.82,,,,,,,
JQ송당1,2021-04-16,0.78,,,,,,,
JQ송당1,2021-04-17,0.78,,,,,,,
JQ송당1,2021-04-18,0.79,,,,,,,
JQ송당1,2021-04-19,0.79,,,,,,,
JQ송당1,2021-04-20,0.79,,,,,,,
JQ송당1,2021-04-21,0.79,,,,,,,
JQ송당1,2021-04-22,0.79,,,,,,,
JQ송당1,2021-04-23,0.79,,,,,,,
JQ송당1,2021-04-24,0.79,,,,,,,
JQ송당1,2021-04-25,0.79,,,,,,,
JQ송당1,2021-04-26,0.8,,,,,,,
JQ송당1,2021-04-27,0.83,,,,,,,
JQ송당1,2021-04-28,0.85,,,,,,,
JQ송당1,2021-04-29,0.86,,,,,,,
JQ송당1,2021-04-30,0.86,,,,,,,
JQ송당1,2021-05-01,0.87,,,,,,,
JQ송당1,2021-05-02,0.88,,,,,,,
JQ송당1,2021-05-03,0.9,,,,,,,
JQ송당1,2021-05-04,0.91,,,,,,,
JQ송당1,2021-05-05,0.9,,,,,,,
JQ송당1,2021-05-06,0.91,,,,,,,
JQ송당1,2021-05-07,0.91,,,,,,,
JQ송당1,2021-05-08,0.91,,,,,,,
JQ송당1,2021-05-09,0.9,,,,,,,
JQ송당1,2021-05-10,0.9,,,,,,,
JQ송당1,2021-05-11,0.91,,,,,,,
JQ송당1,2021-05-12,0.91,,,,,,,
JQ송당1,2021-05-13,0.91,,,,,,,
JQ송당1,2021-05-14,0.92,,,,,,,
JQ송당1,2021-05-15,0.93,,,,,,,
JQ송당1,2021-05-16,0.93,,,,,,,
JQ송당1,2021-05-17,0.93,,,,,,,
JQ송당1,2021-05-18,0.94,,,,,,,
JQ송당1,2021-05-19,0.95,,,,,,,
JQ송당1,2021-05-20,0.96,,,,,,,
JQ송당1,2021-05-21,0.95,,,,,,,
JQ송당1,2021-05-22,0.95,,,,,,,
JQ송당1,2021-05-23,0.95,,,,,,,
JQ송당1,2021-05-24,0.95,,,,,,,
JQ송당1,2021-05-25,0.94,,,,,,,
JQ송당1,2021-05-26,0.93,,,,,,,
JQ송당1,2021-05-27,0.94,,,,,,,
