관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ신촌41,2021-12-21,1.44,,,,,,,
JQ신촌41,2021-12-22,1.46,,,,,,,
JQ신촌41,2021-12-23,1.45,,,,,,,
JQ신촌41,2021-12-24,1.44,,,,,,,
JQ신촌41,2021-12-25,1.41,,,,,,,
JQ신촌41,2021-12-26,1.38,,,,,,,
JQ신촌41,2021-12-27,1.34,,,,,,,
JQ신촌41,2021-12-28,1.3,,,,,,,
JQ신촌41,2021-12-29,1.29,,,,,,,
JQ신촌41,2021-12-30,1.26,,,,,,,
JQ신촌41,2021-12-31,1.24,,,,,,,
JQ신촌41,2022-01-01,1.22,,,,,,,
JQ신촌41,2022-01-02,1.21,,,,,,,
JQ신촌41,2022-01-03,1.21,,,,,,,
JQ신촌41,2022-01-04,1.2,,,,,,,
JQ신촌41,2022-01-05,1.2,,,,,,,
JQ신촌41,2022-01-06,1.21,,,,,,,
JQ신촌41,2022-01-07,1.2,,,,,,,
JQ신촌41,2022-01-08,1.18,,,,,,,
JQ신촌41,2022-01-09,1.16,,,,,,,
JQ신촌41,2022-01-10,1.14,,,,,,,
JQ신촌41,2022-01-11,1.13,,,,,,,
JQ신촌41,2022-01-12,1.1,,,,,,,
JQ신촌41,2022-01-13,1.08,,,,,,,
JQ신촌41,2022-01-14,1.05,,,,,,,
JQ신촌41,2022-01-15,1.04,,,,,,,
JQ신촌41,2022-01-16,1.02,,,,,,,
JQ신촌41,2022-01-17,1.01,,,,,,,
JQ신촌41,2022-01-18,0.99,,,,,,,
JQ신촌41,2022-01-19,0.99,,,,,,,
JQ신촌41,2022-01-20,0.97,,,,,,,
JQ신촌41,2022-01-21,0.97,,,,,,,
JQ신촌41,2022-01-22,0.97,,,,,,,
JQ신촌41,2022-01-23,0.97,,,,,,,
JQ신촌41,2022-01-24,0.97,,,,,,,
JQ신촌41,2022-01-25,0.97,,,,,,,
JQ신촌41,2022-01-26,0.96,,,,,,,
JQ신촌41,2022-01-27,0.94,,,,,,,
JQ신촌41,2022-01-28,0.92,,,,,,,
JQ신촌41,2022-01-29,0.91,,,,,,,
JQ신촌41,2022-01-30,0.9,,,,,,,
JQ신촌41,2022-01-31,0.89,,,,,,,
JQ신촌41,2022-02-01,0.89,,,,,,,
JQ신촌41,2022-02-02,0.89,,,,,,,
JQ신촌41,2022-02-03,0.88,,,,,,,
JQ신촌41,2022-02-04,0.87,,,,,,,
JQ신촌41,2022-02-05,0.86,,,,,,,
JQ신촌41,2022-02-06,0.84,,,,,,,
JQ신촌41,2022-02-07,0.81,,,,,,,
JQ신촌41,2022-02-08,0.78,,,,,,,
JQ신촌41,2022-02-09,0.76,,,,,,,
JQ신촌41,2022-02-10,0.74,,,,,,,
JQ신촌41,2022-02-11,0.73,,,,,,,
JQ신촌41,2022-02-12,0.73,,,,,,,
JQ신촌41,2022-02-13,0.72,,,,,,,
JQ신촌41,2022-02-14,0.73,,,,,,,
JQ신촌41,2022-02-15,0.72,,,,,,,
JQ신촌41,2022-02-16,0.72,,,,,,,
JQ신촌41,2022-02-17,0.71,,,,,,,
JQ신촌41,2022-02-18,0.71,,,,,,,
JQ신촌41,2022-02-19,0.72,,,,,,,
JQ신촌41,2022-02-20,0.72,,,,,,,
JQ신촌41,2022-02-21,0.71,,,,,,,
JQ신촌41,2022-02-22,0.69,,,,,,,
JQ신촌41,2022-02-23,0.67,,,,,,,
JQ신촌41,2022-02-24,0.64,,,,,,,
JQ신촌41,2022-02-25,0.61,,,,,,,
