관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ신평11,2021-12-22,19.82,,,,,,,
JQ신평11,2021-12-23,19.8,,,,,,,
JQ신평11,2021-12-24,19.78,,,,,,,
JQ신평11,2021-12-25,19.75,,,,,,,
JQ신평11,2021-12-26,19.71,,,,,,,
JQ신평11,2021-12-27,19.68,,,,,,,
JQ신평11,2021-12-28,19.66,,,,,,,
JQ신평11,2021-12-29,19.63,,,,,,,
JQ신평11,2021-12-30,19.6,,,,,,,
JQ신평11,2021-12-31,19.57,,,,,,,
JQ신평11,2022-01-01,19.54,,,,,,,
JQ신평11,2022-01-02,19.5,,,,,,,
JQ신평11,2022-01-03,19.48,,,,,,,
JQ신평11,2022-01-04,19.44,,,,,,,
JQ신평11,2022-01-05,19.44,,,,,,,
JQ신평11,2022-01-06,19.47,,,,,,,
JQ신평11,2022-01-07,19.44,,,,,,,
JQ신평11,2022-01-08,19.42,,,,,,,
JQ신평11,2022-01-09,19.4,,,,,,,
JQ신평11,2022-01-10,19.37,,,,,,,
JQ신평11,2022-01-11,19.36,,,,,,,
JQ신평11,2022-01-12,19.33,,,,,,,
JQ신평11,2022-01-13,19.31,,,,,,,
JQ신평11,2022-01-14,19.27,,,,,,,
JQ신평11,2022-01-15,19.24,,,,,,,
JQ신평11,2022-01-16,19.21,,,,,,,
JQ신평11,2022-01-17,19.18,,,,,,,
JQ신평11,2022-01-18,19.14,,,,,,,
JQ신평11,2022-01-19,19.11,,,,,,,
JQ신평11,2022-01-20,19.08,,,,,,,
JQ신평11,2022-01-21,19.05,,,,,,,
JQ신평11,2022-01-22,19.02,,,,,,,
JQ신평11,2022-01-23,19.03,,,,,,,
JQ신평11,2022-01-24,19.02,,,,,,,
JQ신평11,2022-01-25,18.99,,,,,,,
JQ신평11,2022-01-26,18.96,,,,,,,
JQ신평11,2022-01-27,18.93,,,,,,,
JQ신평11,2022-01-28,18.89,,,,,,,
JQ신평11,2022-01-29,18.87,,,,,,,
JQ신평11,2022-01-30,18.84,,,,,,,
JQ신평11,2022-01-31,18.81,,,,,,,
JQ신평11,2022-02-01,18.78,,,,,,,
JQ신평11,2022-02-02,18.74,,,,,,,
JQ신평11,2022-02-03,18.71,,,,,,,
JQ신평11,2022-02-04,18.68,,,,,,,
JQ신평11,2022-02-05,18.64,,,,,,,
JQ신평11,2022-02-06,18.61,,,,,,,
JQ신평11,2022-02-07,18.57,,,,,,,
JQ신평11,2022-02-08,18.54,,,,,,,
JQ신평11,2022-02-09,18.51,,,,,,,
JQ신평11,2022-02-10,18.5,,,,,,,
JQ신평11,2022-02-11,18.47,,,,,,,
JQ신평11,2022-02-12,18.44,,,,,,,
JQ신평11,2022-02-13,18.42,,,,,,,
JQ신평11,2022-02-14,18.38,,,,,,,
JQ신평11,2022-02-15,18.34,,,,,,,
JQ신평11,2022-02-16,18.32,,,,,,,
JQ신평11,2022-02-17,18.28,,,,,,,
JQ신평11,2022-02-18,18.25,,,,,,,
JQ신평11,2022-02-19,18.23,,,,,,,
JQ신평11,2022-02-20,18.21,,,,,,,
JQ신평11,2022-02-21,18.17,,,,,,,
JQ신평11,2022-02-22,18.13,,,,,,,
JQ신평11,2022-02-23,18.09,,,,,,,
JQ신평11,2022-02-24,18.05,,,,,,,
JQ신평11,2022-02-25,18.01,,,,,,,
JQ신평11,2022-02-26,17.96,,,,,,,
JQ신평11,2022-02-27,17.92,,,,,,,
JQ신평11,2022-02-28,17.89,,,,,,,
JQ신평11,2022-03-01,17.88,,,,,,,
JQ신평11,2022-03-02,17.83,,,,,,,
JQ신평11,2022-03-03,17.79,,,,,,,
JQ신평11,2022-03-04,17.76,,,,,,,
JQ신평11,2022-03-05,17.74,,,,,,,
JQ신평11,2022-03-06,17.71,,,,,,,
JQ신평11,2022-03-07,17.67,,,,,,,
JQ신평11,2022-03-08,17.63,,,,,,,
JQ신평11,2022-03-09,17.59,,,,,,,
JQ신평11,2022-03-10,17.55,,,,,,,
JQ신평11,2022-03-11,17.52,,,,,,,
JQ신평11,2022-03-12,17.51,,,,,,,
JQ신평11,2022-03-13,17.52,,,,,,,
JQ신평11,2022-03-14,17.51,,,,,,,
JQ신평11,2022-03-15,17.49,,,,,,,
JQ신평11,2022-03-16,17.47,,,,,,,
JQ신평11,2022-03-17,17.46,,,,,,,
JQ신평11,2022-03-18,17.66,,,,,,,
JQ신평11,2022-03-19,17.68,,,,,,,
JQ신평11,2022-03-20,17.64,,,,,,,
JQ신평11,2022-03-21,17.6,,,,,,,
JQ신평11,2022-03-22,17.65,,,,,,,
JQ신평11,2022-03-23,17.64,,,,,,,
JQ신평11,2022-03-24,17.59,,,,,,,
JQ신평11,2022-03-25,17.56,,,,,,,
JQ신평11,2022-03-26,17.9,,,,,,,
JQ신평11,2022-03-27,17.96,,,,,,,
JQ신평11,2022-03-28,17.9,,,,,,,
JQ신평11,2022-03-29,17.84,,,,,,,
JQ신평11,2022-03-30,17.79,,,,,,,
JQ신평11,2022-03-31,17.73,,,,,,,
JQ신평11,2022-04-01,17.66,,,,,,,
JQ신평11,2022-04-02,17.6,,,,,,,
JQ신평11,2022-04-03,17.53,,,,,,,
JQ신평11,2022-04-04,17.47,,,,,,,
JQ신평11,2022-04-05,17.39,,,,,,,
JQ신평11,2022-04-06,17.29,,,,,,,
JQ신평11,2022-04-07,17.22,,,,,,,
JQ신평11,2022-04-08,17.17,,,,,,,
JQ신평11,2022-04-09,17.11,,,,,,,
JQ신평11,2022-04-10,17.09,,,,,,,
JQ신평11,2022-04-11,17.07,,,,,,,
JQ신평11,2022-04-12,17.05,,,,,,,
JQ신평11,2022-04-13,17.05,,,,,,,
JQ신평11,2022-04-14,17.13,,,,,,,
JQ신평11,2022-04-15,17.09,,,,,,,
JQ신평11,2022-04-16,17.04,,,,,,,
JQ신평11,2022-04-17,17.0,,,,,,,
JQ신평11,2022-04-18,16.96,,,,,,,
JQ신평11,2022-04-19,16.91,,,,,,,
JQ신평11,2022-04-20,16.86,,,,,,,
JQ신평11,2022-04-21,16.83,,,,,,,
JQ신평11,2022-04-22,16.81,,,,,,,
JQ신평11,2022-04-23,16.78,,,,,,,
JQ신평11,2022-04-24,16.76,,,,,,,
JQ신평11,2022-04-25,16.74,,,,,,,
JQ신평11,2022-04-26,17.03,,,,,,,
JQ신평11,2022-04-27,17.61,,,,,,,
JQ신평11,2022-04-28,17.59,,,,,,,
JQ신평11,2022-04-29,17.63,,,,,,,
JQ신평11,2022-04-30,17.61,,,,,,,
JQ신평11,2022-05-01,17.56,,,,,,,
JQ신평11,2022-05-02,17.5,,,,,,,
JQ신평11,2022-05-03,17.42,,,,,,,
JQ신평11,2022-05-04,17.34,,,,,,,
JQ신평11,2022-05-05,17.26,,,,,,,
JQ신평11,2022-05-06,17.18,,,,,,,
JQ신평11,2022-05-07,17.09,,,,,,,
JQ신평11,2022-05-08,17.01,,,,,,,
JQ신평11,2022-05-09,16.94,,,,,,,
JQ신평11,2022-05-10,16.87,,,,,,,
JQ신평11,2022-05-11,16.83,,,,,,,
JQ신평11,2022-05-12,16.79,,,,,,,
JQ신평11,2022-05-13,16.78,,,,,,,
JQ신평11,2022-05-14,16.75,,,,,,,
JQ신평11,2022-05-15,16.69,,,,,,,
JQ신평11,2022-05-16,16.65,,,,,,,
JQ신평11,2022-05-17,16.59,,,,,,,
JQ신평11,2022-05-18,16.55,,,,,,,
JQ신평11,2022-05-19,16.51,,,,,,,
JQ신평11,2022-05-20,16.48,,,,,,,
JQ신평11,2022-05-21,16.44,,,,,,,
JQ신평11,2022-05-22,16.4,,,,,,,
JQ신평11,2022-05-23,16.37,,,,,,,
JQ신평11,2022-05-24,16.32,,,,,,,
JQ신평11,2022-05-25,16.28,,,,,,,
JQ신평11,2022-05-26,16.26,,,,,,,
JQ신평11,2022-05-27,16.23,,,,,,,
JQ신평11,2022-05-28,16.19,,,,,,,
JQ신평11,2022-05-29,16.17,,,,,,,
JQ신평11,2022-05-30,16.16,,,,,,,
JQ신평11,2022-05-31,16.1,,,,,,,
JQ신평11,2022-06-01,16.07,,,,,,,
JQ신평11,2022-06-02,16.03,,,,,,,
JQ신평11,2022-06-03,15.99,,,,,,,
JQ신평11,2022-06-04,15.96,,,,,,,
JQ신평11,2022-06-05,16.33,,,,,,,
JQ신평11,2022-06-06,16.57,,,,,,,
JQ신평11,2022-06-07,16.54,,,,,,,
JQ신평11,2022-06-08,16.48,,,,,,,
JQ신평11,2022-06-09,16.42,,,,,,,
JQ신평11,2022-06-10,16.36,,,,,,,
JQ신평11,2022-06-11,16.32,,,,,,,
JQ신평11,2022-06-12,16.27,,,,,,,
JQ신평11,2022-06-13,16.25,,,,,,,
JQ신평11,2022-06-14,16.23,,,,,,,
JQ신평11,2022-06-15,16.18,,,,,,,
JQ신평11,2022-06-16,16.14,,,,,,,
JQ신평11,2022-06-17,16.09,,,,,,,
JQ신평11,2022-06-18,16.04,,,,,,,
JQ신평11,2022-06-19,15.99,,,,,,,
JQ신평11,2022-06-20,15.96,,,,,,,
JQ신평11,2022-06-21,15.93,,,,,,,
JQ신평11,2022-06-22,15.88,,,,,,,
JQ신평11,2022-06-23,15.85,,,,,,,
JQ신평11,2022-06-24,16.43,,,,,,,
JQ신평11,2022-06-25,17.1,,,,,,,
JQ신평11,2022-06-26,17.13,,,,,,,
JQ신평11,2022-06-27,17.09,,,,,,,
JQ신평11,2022-06-28,17.05,,,,,,,
JQ신평11,2022-06-29,16.99,,,,,,,
JQ신평11,2022-06-30,16.92,,,,,,,
JQ신평11,2022-07-01,16.84,,,,,,,
JQ신평11,2022-07-02,16.76,,,,,,,
JQ신평11,2022-07-03,16.69,,,,,,,
JQ신평11,2022-07-04,16.63,,,,,,,
JQ신평11,2022-07-05,16.57,,,,,,,
JQ신평11,2022-07-06,16.49,,,,,,,
JQ신평11,2022-07-07,16.42,,,,,,,
JQ신평11,2022-07-08,16.36,,,,,,,
JQ신평11,2022-07-09,16.3,,,,,,,
JQ신평11,2022-07-10,16.23,,,,,,,
JQ신평11,2022-07-11,16.6,,,,,,,
JQ신평11,2022-07-12,17.07,,,,,,,
JQ신평11,2022-07-13,17.06,,,,,,,
JQ신평11,2022-07-14,17.02,,,,,,,
JQ신평11,2022-07-15,17.15,,,,,,,
JQ신평11,2022-07-16,17.49,,,,,,,
JQ신평11,2022-07-17,17.46,,,,,,,
JQ신평11,2022-07-18,17.4,,,,,,,
