관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ위미31,2023-02-24,14.76,,,,,,,
JQ위미31,2023-02-25,14.76,,,,,,,
JQ위미31,2023-02-26,14.74,,,,,,,
JQ위미31,2023-02-27,14.71,,,,,,,
JQ위미31,2023-02-28,14.69,,,,,,,
JQ위미31,2023-03-01,14.68,,,,,,,
JQ위미31,2023-03-02,14.66,,,,,,,
JQ위미31,2023-03-03,14.63,,,,,,,
JQ위미31,2023-03-04,14.61,,,,,,,
JQ위미31,2023-03-05,14.59,,,,,,,
JQ위미31,2023-03-06,14.56,,,,,,,
JQ위미31,2023-03-07,14.54,,,,,,,
JQ위미31,2023-03-08,14.52,,,,,,,
JQ위미31,2023-03-09,14.5,,,,,,,
JQ위미31,2023-03-10,14.48,,,,,,,
JQ위미31,2023-03-11,14.46,,,,,,,
JQ위미31,2023-03-12,14.45,,,,,,,
JQ위미31,2023-03-13,14.44,,,,,,,
JQ위미31,2023-03-14,14.43,,,,,,,
JQ위미31,2023-03-15,14.4,,,,,,,
JQ위미31,2023-03-16,14.4,,,,,,,
JQ위미31,2023-03-17,14.38,,,,,,,
JQ위미31,2023-03-18,14.37,,,,,,,
JQ위미31,2023-03-19,14.36,,,,,,,
JQ위미31,2023-03-20,14.35,,,,,,,
JQ위미31,2023-03-21,14.34,,,,,,,
JQ위미31,2023-03-22,14.34,,,,,,,
JQ위미31,2023-03-23,14.34,,,,,,,
JQ위미31,2023-03-24,14.33,,,,,,,
JQ위미31,2023-03-25,14.33,,,,,,,
JQ위미31,2023-03-26,14.33,,,,,,,
JQ위미31,2023-03-27,14.32,,,,,,,
JQ위미31,2023-03-28,14.31,,,,,,,
JQ위미31,2023-03-29,14.3,,,,,,,
JQ위미31,2023-03-30,14.29,,,,,,,
JQ위미31,2023-03-31,14.28,,,,,,,
JQ위미31,2023-04-01,14.26,,,,,,,
JQ위미31,2023-04-02,14.26,,,,,,,
JQ위미31,2023-04-03,14.24,,,,,,,
JQ위미31,2023-04-04,14.23,,,,,,,
JQ위미31,2023-04-05,14.24,,,,,,,
JQ위미31,2023-04-06,14.26,,,,,,,
JQ위미31,2023-04-07,14.28,,,,,,,
JQ위미31,2023-04-08,14.32,,,,,,,
JQ위미31,2023-04-09,14.35,,,,,,,
JQ위미31,2023-04-10,14.39,,,,,,,
JQ위미31,2023-04-11,14.42,,,,,,,
JQ위미31,2023-04-12,14.45,,,,,,,
JQ위미31,2023-04-13,14.46,,,,,,,
JQ위미31,2023-04-14,14.48,,,,,,,
JQ위미31,2023-04-15,14.5,,,,,,,
JQ위미31,2023-04-16,14.53,,,,,,,
JQ위미31,2023-04-17,14.56,,,,,,,
JQ위미31,2023-04-18,14.57,,,,,,,
JQ위미31,2023-04-19,14.59,,,,,,,
JQ위미31,2023-04-20,14.63,,,,,,,
JQ위미31,2023-04-21,14.66,,,,,,,
JQ위미31,2023-04-22,14.7,,,,,,,
JQ위미31,2023-04-23,14.73,,,,,,,
JQ위미31,2023-04-24,14.76,,,,,,,
JQ위미31,2023-04-25,14.81,,,,,,,
JQ위미31,2023-04-26,14.85,,,,,,,
JQ위미31,2023-04-27,14.85,,,,,,,
JQ위미31,2023-04-28,14.88,,,,,,,
JQ위미31,2023-04-29,14.93,,,,,,,
JQ위미31,2023-04-30,14.96,,,,,,,
JQ위미31,2023-05-01,14.99,,,,,,,
JQ위미31,2023-05-02,15.02,,,,,,,
JQ위미31,2023-05-03,15.04,,,,,,,
JQ위미31,2023-05-04,15.08,,,,,,,
JQ위미31,2023-05-05,15.3,,,,,,,
JQ위미31,2023-05-06,16.02,,,,,,,
JQ위미31,2023-05-07,16.73,,,,,,,
JQ위미31,2023-05-08,17.16,,,,,,,
JQ위미31,2023-05-09,17.39,,,,,,,
JQ위미31,2023-05-10,17.54,,,,,,,
JQ위미31,2023-05-11,17.67,,,,,,,
JQ위미31,2023-05-12,17.79,,,,,,,
JQ위미31,2023-05-13,17.95,,,,,,,
JQ위미31,2023-05-14,18.13,,,,,,,
JQ위미31,2023-05-15,18.3,,,,,,,
JQ위미31,2023-05-16,18.48,,,,,,,
JQ위미31,2023-05-17,18.65,,,,,,,
JQ위미31,2023-05-18,18.83,,,,,,,
JQ위미31,2023-05-19,19.02,,,,,,,
JQ위미31,2023-05-20,19.23,,,,,,,
JQ위미31,2023-05-21,19.46,,,,,,,
JQ위미31,2023-05-22,19.68,,,,,,,
JQ위미31,2023-05-23,19.87,,,,,,,
JQ위미31,2023-05-24,20.02,,,,,,,
JQ위미31,2023-05-25,20.16,,,,,,,
JQ위미31,2023-05-26,20.28,,,,,,,
JQ위미31,2023-05-27,20.4,,,,,,,
JQ위미31,2023-05-28,20.51,,,,,,,
JQ위미31,2023-05-29,20.61,,,,,,,
JQ위미31,2023-05-30,20.7,,,,,,,
JQ위미31,2023-05-31,20.78,,,,,,,
JQ위미31,2023-06-01,20.86,,,,,,,
JQ위미31,2023-06-02,20.95,,,,,,,
JQ위미31,2023-06-03,21.03,,,,,,,
JQ위미31,2023-06-04,21.13,,,,,,,
JQ위미31,2023-06-05,21.24,,,,,,,
JQ위미31,2023-06-06,21.34,,,,,,,
JQ위미31,2023-06-07,21.43,,,,,,,
JQ위미31,2023-06-08,21.51,,,,,,,
JQ위미31,2023-06-09,21.59,,,,,,,
JQ위미31,2023-06-10,21.64,,,,,,,
JQ위미31,2023-06-11,21.69,,,,,,,
JQ위미31,2023-06-12,21.73,,,,,,,
JQ위미31,2023-06-13,21.77,,,,,,,
JQ위미31,2023-06-14,21.78,,,,,,,
JQ위미31,2023-06-15,21.78,,,,,,,
JQ위미31,2023-06-16,21.77,,,,,,,
JQ위미31,2023-06-17,21.76,,,,,,,
JQ위미31,2023-06-18,21.76,,,,,,,
JQ위미31,2023-06-19,21.75,,,,,,,
JQ위미31,2023-06-20,21.74,,,,,,,
JQ위미31,2023-06-21,21.73,,,,,,,
JQ위미31,2023-06-22,21.71,,,,,,,
JQ위미31,2023-06-23,21.67,,,,,,,
