관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JR상가2,2005-01-01,11.7,,,,,,,
JR상가2,2005-01-02,11.67,,,,,,,
JR상가2,2005-01-03,11.66,,,,,,,
JR상가2,2005-01-04,11.58,,,,,,,
JR상가2,2005-01-05,11.54,,,,,,,
JR상가2,2005-01-06,11.52,,,,,,,
JR상가2,2005-01-07,11.47,,,,,,,
JR상가2,2005-01-08,11.43,,,,,,,
JR상가2,2005-01-09,11.39,,,,,,,
JR상가2,2005-01-10,11.36,,,,,,,
JR상가2,2005-01-11,11.33,,,,,,,
JR상가2,2005-01-12,11.29,,,,,,,
JR상가2,2005-01-13,11.26,,,,,,,
JR상가2,2005-01-14,11.23,,,,,,,
JR상가2,2005-01-15,11.2,,,,,,,
JR상가2,2005-01-16,11.16,,,,,,,
JR상가2,2005-01-17,11.1,,,,,,,
JR상가2,2005-01-18,11.08,,,,,,,
JR상가2,2005-01-19,11.02,,,,,,,
JR상가2,2005-01-20,10.96,,,,,,,
JR상가2,2005-01-21,10.92,,,,,,,
JR상가2,2005-01-22,10.92,,,,,,,
JR상가2,2005-01-23,10.89,,,,,,,
JR상가2,2005-01-24,10.86,,,,,,,
JR상가2,2005-01-25,10.84,,,,,,,
JR상가2,2005-01-26,10.78,,,,,,,
JR상가2,2005-01-27,10.77,,,,,,,
JR상가2,2005-01-28,10.74,,,,,,,
JR상가2,2005-01-29,10.7,,,,,,,
JR상가2,2005-01-30,10.64,,,,,,,
JR상가2,2005-01-31,10.64,,,,,,,
JR상가2,2005-02-01,10.59,,,,,,,
JR상가2,2005-02-02,10.53,,,,,,,
JR상가2,2005-02-03,10.49,,,,,,,
JR상가2,2005-02-04,10.47,,,,,,,
JR상가2,2005-02-05,10.42,,,,,,,
JR상가2,2005-02-06,10.38,,,,,,,
JR상가2,2005-02-07,10.37,,,,,,,
JR상가2,2005-02-08,10.31,,,,,,,
JR상가2,2005-02-09,10.29,,,,,,,
JR상가2,2005-02-10,10.23,,,,,,,
JR상가2,2005-02-11,10.2,,,,,,,
JR상가2,2005-02-12,10.18,,,,,,,
JR상가2,2005-02-13,10.14,,,,,,,
JR상가2,2005-02-14,10.14,,,,,,,
JR상가2,2005-02-15,10.16,,,,,,,
JR상가2,2005-02-16,10.11,,,,,,,
JR상가2,2005-02-17,10.06,,,,,,,
JR상가2,2005-02-18,10.05,,,,,,,
JR상가2,2005-02-19,10.0,,,,,,,
JR상가2,2005-02-20,9.96,,,,,,,
JR상가2,2005-02-21,9.94,,,,,,,
JR상가2,2005-02-22,9.95,,,,,,,
JR상가2,2005-02-23,9.92,,,,,,,
JR상가2,2005-02-24,9.91,,,,,,,
JR상가2,2005-02-25,9.83,,,,,,,
JR상가2,2005-02-26,9.79,,,,,,,
JR상가2,2005-02-27,9.77,,,,,,,
JR상가2,2005-02-28,9.75,,,,,,,
JR상가2,2005-03-01,9.71,,,,,,,
JR상가2,2005-03-02,9.68,,,,,,,
JR상가2,2005-03-03,9.66,,,,,,,
JR상가2,2005-03-04,9.63,,,,,,,
JR상가2,2005-03-05,9.59,,,,,,,
JR상가2,2005-03-06,9.55,,,,,,,
JR상가2,2005-03-07,9.54,,,,,,,
JR상가2,2005-03-08,9.51,,,,,,,
JR상가2,2005-03-09,9.5,,,,,,,
JR상가2,2005-03-10,9.49,,,,,,,
JR상가2,2005-03-11,9.43,,,,,,,
JR상가2,2005-03-12,9.37,,,,,,,
JR상가2,2005-03-13,9.36,,,,,,,
JR상가2,2005-03-14,9.33,,,,,,,
JR상가2,2005-03-15,9.31,,,,,,,
JR상가2,2005-03-16,9.29,,,,,,,
JR상가2,2005-03-17,9.28,,,,,,,
JR상가2,2005-03-18,9.21,,,,,,,
JR상가2,2005-03-19,9.2,,,,,,,
JR상가2,2005-03-20,9.2,,,,,,,
JR상가2,2005-03-21,9.2,,,,,,,
JR상가2,2005-03-22,9.22,,,,,,,
JR상가2,2005-03-23,9.17,,,,,,,
JR상가2,2005-03-24,9.14,,,,,,,
JR상가2,2005-03-25,9.12,,,,,,,
JR상가2,2005-03-26,9.12,,,,,,,
JR상가2,2005-03-27,9.15,,,,,,,
JR상가2,2005-03-28,9.13,,,,,,,
JR상가2,2005-03-29,9.09,,,,,,,
JR상가2,2005-03-30,9.08,,,,,,,
JR상가2,2005-03-31,9.06,,,,,,,
JR상가2,2005-04-01,9.05,,,,,,,
JR상가2,2005-04-02,9.04,,,,,,,
JR상가2,2005-04-03,9.01,,,,,,,
JR상가2,2005-04-04,8.98,,,,,,,
JR상가2,2005-04-05,8.97,,,,,,,
JR상가2,2005-04-06,8.99,,,,,,,
JR상가2,2005-04-07,8.96,,,,,,,
JR상가2,2005-04-08,8.93,,,,,,,
JR상가2,2005-04-09,8.93,,,,,,,
JR상가2,2005-04-10,8.91,,,,,,,
JR상가2,2005-04-11,8.89,,,,,,,
JR상가2,2005-04-12,8.88,,,,,,,
JR상가2,2005-04-13,8.85,,,,,,,
JR상가2,2005-04-14,8.83,,,,,,,
JR상가2,2005-04-15,8.81,,,,,,,
JR상가2,2005-04-16,8.8,,,,,,,
JR상가2,2005-04-17,8.79,,,,,,,
JR상가2,2005-04-18,8.76,,,,,,,
JR상가2,2005-04-19,8.78,,,,,,,
JR상가2,2005-04-20,8.77,,,,,,,
JR상가2,2005-04-21,8.76,,,,,,,
JR상가2,2005-04-22,8.71,,,,,,,
JR상가2,2005-04-23,8.7,,,,,,,
