관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JR어음3,2008-12-10,227.41,,,,,,,
JR어음3,2008-12-11,227.44,,,,,,,
JR어음3,2008-12-12,227.49,,,,,,,
JR어음3,2008-12-13,227.51,,,,,,,
JR어음3,2008-12-14,227.54,,,,,,,
JR어음3,2008-12-15,227.57,,,,,,,
JR어음3,2008-12-16,227.61,,,,,,,
JR어음3,2008-12-17,227.6,,,,,,,
JR어음3,2008-12-18,227.63,,,,,,,
JR어음3,2008-12-19,227.66,,,,,,,
JR어음3,2008-12-20,227.7,,,,,,,
JR어음3,2008-12-21,227.68,,,,,,,
JR어음3,2008-12-22,227.67,,,,,,,
JR어음3,2008-12-23,227.61,,,,,,,
JR어음3,2008-12-24,227.64,,,,,,,
JR어음3,2008-12-25,227.64,,,,,,,
JR어음3,2008-12-26,227.5,,,,,,,
JR어음3,2008-12-27,227.44,,,,,,,
JR어음3,2008-12-28,227.32,,,,,,,
JR어음3,2008-12-29,227.41,,,,,,,
JR어음3,2008-12-30,227.4,,,,,,,
JR어음3,2008-12-31,227.38,,,,,,,
JR어음3,2009-01-01,227.42,,,,,,,
JR어음3,2009-01-02,227.38,,,,,,,
JR어음3,2009-01-03,227.3,,,,,,,
JR어음3,2009-01-04,227.44,,,,,,,
JR어음3,2009-01-05,227.49,,,,,,,
JR어음3,2009-01-06,227.46,,,,,,,
JR어음3,2009-01-07,227.38,,,,,,,
JR어음3,2009-01-08,227.13,,,,,,,
JR어음3,2009-01-09,227.13,,,,,,,
JR어음3,2009-01-10,227.16,,,,,,,
JR어음3,2009-01-11,227.18,,,,,,,
JR어음3,2009-01-12,227.19,,,,,,,
JR어음3,2009-01-13,227.15,,,,,,,
JR어음3,2009-01-14,227.18,,,,,,,
JR어음3,2009-01-15,227.21,,,,,,,
JR어음3,2009-01-16,227.18,,,,,,,
JR어음3,2009-01-17,227.2,,,,,,,
JR어음3,2009-01-18,227.21,,,,,,,
JR어음3,2009-01-19,227.21,,,,,,,
JR어음3,2009-01-20,227.19,,,,,,,
JR어음3,2009-01-21,227.25,,,,,,,
JR어음3,2009-01-22,227.36,,,,,,,
JR어음3,2009-04-07,227.53,,,,,,,
JR어음3,2009-04-08,227.52,,,,,,,
JR어음3,2009-04-09,227.56,,,,,,,
JR어음3,2009-04-10,227.53,,,,,,,
JR어음3,2009-04-11,227.55,,,,,,,
JR어음3,2009-04-12,227.55,,,,,,,
JR어음3,2009-04-13,227.51,,,,,,,
JR어음3,2009-04-14,227.43,,,,,,,
JR어음3,2009-04-15,227.4,,,,,,,
JR어음3,2009-04-16,227.37,,,,,,,
JR어음3,2009-04-17,227.36,,,,,,,
JR어음3,2009-04-18,227.37,,,,,,,
JR어음3,2009-04-19,227.38,,,,,,,
JR어음3,2009-04-20,227.4,,,,,,,
JR어음3,2009-04-21,227.38,,,,,,,
JR어음3,2009-04-22,227.35,,,,,,,
JR어음3,2009-04-23,227.36,,,,,,,
JR어음3,2009-04-24,227.36,,,,,,,
JR어음3,2009-04-25,227.42,,,,,,,
JR어음3,2009-04-26,227.6,,,,,,,
JR어음3,2009-04-27,227.57,,,,,,,
JR어음3,2009-04-28,227.63,,,,,,,
JR어음3,2009-04-29,227.72,,,,,,,
JR어음3,2009-04-30,227.85,,,,,,,
JR어음3,2009-05-01,227.97,,,,,,,
JR어음3,2009-05-02,228.11,,,,,,,
JR어음3,2009-05-03,228.17,,,,,,,
JR어음3,2009-05-04,228.23,,,,,,,
JR어음3,2009-05-05,228.28,,,,,,,
JR어음3,2009-05-06,228.27,,,,,,,
JR어음3,2009-05-07,228.29,,,,,,,
JR어음3,2009-05-08,228.29,,,,,,,
JR어음3,2009-05-09,228.3,,,,,,,
JR어음3,2009-05-10,228.27,,,,,,,
JR어음3,2009-05-11,228.25,,,,,,,
JR어음3,2009-05-12,228.24,,,,,,,
JR어음3,2009-05-13,228.23,,,,,,,
JR어음3,2009-05-14,228.22,,,,,,,
JR어음3,2009-05-15,228.21,,,,,,,
JR어음3,2009-05-16,228.19,,,,,,,
JR어음3,2009-05-17,228.13,,,,,,,
JR어음3,2009-05-18,228.1,,,,,,,
JR어음3,2009-05-19,228.08,,,,,,,
JR어음3,2009-05-20,228.05,,,,,,,
JR어음3,2009-05-21,228.05,,,,,,,
JR어음3,2009-05-22,228.04,,,,,,,
JR어음3,2009-05-23,228.04,,,,,,,
JR어음3,2009-05-24,228.02,,,,,,,
JR어음3,2009-05-25,228.03,,,,,,,
JR어음3,2009-05-26,228.02,,,,,,,
JR어음3,2009-05-27,228.03,,,,,,,
JR어음3,2009-05-28,228.03,,,,,,,
JR어음3,2009-05-29,228.03,,,,,,,
JR어음3,2009-05-30,228.03,,,,,,,
JR어음3,2009-05-31,228.02,,,,,,,
JR어음3,2009-06-01,228.0,,,,,,,
JR어음3,2009-06-02,228.0,,,,,,,
JR어음3,2009-06-03,228.01,,,,,,,
JR어음3,2009-06-04,228.0,,,,,,,
JR어음3,2009-06-05,228.01,,,,,,,
JR어음3,2009-06-06,228.0,,,,,,,
JR어음3,2009-06-07,227.94,,,,,,,
JR어음3,2009-06-08,227.96,,,,,,,
JR어음3,2009-06-09,227.95,,,,,,,
JR어음3,2009-06-10,227.95,,,,,,,
JR어음3,2009-06-11,227.94,,,,,,,
JR어음3,2009-06-12,227.95,,,,,,,
JR어음3,2009-06-13,227.95,,,,,,,
JR어음3,2009-06-14,227.98,,,,,,,
JR어음3,2009-06-15,227.95,,,,,,,
JR어음3,2009-06-16,227.91,,,,,,,
JR어음3,2009-06-17,227.85,,,,,,,
JR어음3,2009-06-18,227.82,,,,,,,
JR어음3,2009-06-19,227.82,,,,,,,
JR어음3,2009-06-20,227.8,,,,,,,
JR어음3,2009-06-21,227.79,,,,,,,
JR어음3,2009-06-22,227.78,,,,,,,
JR어음3,2009-06-23,227.78,,,,,,,
JR어음3,2009-06-24,227.77,,,,,,,
JR어음3,2009-06-25,227.78,,,,,,,
JR어음3,2009-06-26,227.76,,,,,,,
JR어음3,2009-06-27,227.76,,,,,,,
JR어음3,2009-06-28,227.77,,,,,,,
JR어음3,2009-06-29,227.78,,,,,,,
JR어음3,2009-06-30,227.79,,,,,,,
JR어음3,2009-07-01,227.81,,,,,,,
JR어음3,2009-07-02,227.83,,,,,,,
JR어음3,2009-07-03,227.95,,,,,,,
JR어음3,2009-07-04,227.98,,,,,,,
JR어음3,2009-07-05,228.03,,,,,,,
JR어음3,2009-07-06,228.11,,,,,,,
JR어음3,2009-07-07,228.21,,,,,,,
JR어음3,2009-07-08,228.3,,,,,,,
JR어음3,2009-07-09,228.36,,,,,,,
JR어음3,2009-07-10,228.42,,,,,,,
JR어음3,2009-07-11,228.44,,,,,,,
JR어음3,2009-07-12,228.47,,,,,,,
JR어음3,2009-07-13,228.49,,,,,,,
JR어음3,2009-07-14,228.48,,,,,,,
JR어음3,2009-07-15,228.47,,,,,,,
JR어음3,2009-07-16,228.43,,,,,,,
JR어음3,2009-07-17,227.02,,,,,,,
JR어음3,2009-07-18,227.06,,,,,,,
JR어음3,2009-07-19,227.22,,,,,,,
JR어음3,2009-07-20,227.22,,,,,,,
JR어음3,2009-07-21,227.22,,,,,,,
JR어음3,2009-07-22,227.22,,,,,,,
JR어음3,2009-07-23,227.19,,,,,,,
JR어음3,2009-07-24,227.2,,,,,,,
JR어음3,2009-07-25,227.17,,,,,,,
