관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JW연동,2005-01-01,30.51,,,,,,,
JW연동,2005-01-02,30.15,,,,,,,
JW연동,2005-01-03,30.04,,,,,,,
JW연동,2005-01-04,29.55,,,,,,,
JW연동,2005-01-05,29.34,,,,,,,
JW연동,2005-01-06,28.93,,,,,,,
JW연동,2005-01-07,28.56,,,,,,,
JW연동,2005-01-08,28.1,,,,,,,
JW연동,2005-01-09,27.63,,,,,,,
JW연동,2005-01-10,27.2,,,,,,,
JW연동,2005-01-11,26.77,,,,,,,
JW연동,2005-01-12,26.4,,,,,,,
JW연동,2005-01-13,25.93,,,,,,,
JW연동,2005-01-14,25.5,,,,,,,
JW연동,2005-01-15,25.03,,,,,,,
JW연동,2005-01-16,24.43,,,,,,,
JW연동,2005-01-17,24.02,,,,,,,
JW연동,2005-01-18,23.63,,,,,,,
JW연동,2005-01-19,23.26,,,,,,,
JW연동,2005-01-20,22.91,,,,,,,
JW연동,2005-01-21,22.68,,,,,,,
JW연동,2005-01-22,22.49,,,,,,,
JW연동,2005-01-23,22.35,,,,,,,
JW연동,2005-01-24,22.25,,,,,,,
JW연동,2005-01-25,22.06,,,,,,,
JW연동,2005-01-26,21.98,,,,,,,
JW연동,2005-01-27,21.86,,,,,,,
JW연동,2005-01-28,21.77,,,,,,,
JW연동,2005-01-29,21.61,,,,,,,
JW연동,2005-01-30,21.43,,,,,,,
JW연동,2005-01-31,21.37,,,,,,,
JW연동,2005-02-01,21.21,,,,,,,
JW연동,2005-02-02,21.11,,,,,,,
JW연동,2005-02-03,20.87,,,,,,,
JW연동,2005-02-04,20.69,,,,,,,
JW연동,2005-02-05,20.47,,,,,,,
JW연동,2005-02-06,20.18,,,,,,,
JW연동,2005-02-07,20.15,,,,,,,
JW연동,2005-02-08,19.86,,,,,,,
JW연동,2005-02-09,20.05,,,,,,,
JW연동,2005-02-10,19.64,,,,,,,
JW연동,2005-02-11,19.41,,,,,,,
JW연동,2005-02-12,19.31,,,,,,,
JW연동,2005-02-13,19.13,,,,,,,
JW연동,2005-02-14,19.12,,,,,,,
JW연동,2005-02-15,19.26,,,,,,,
JW연동,2005-02-16,19.36,,,,,,,
JW연동,2005-02-17,19.19,,,,,,,
JW연동,2005-02-18,19.43,,,,,,,
JW연동,2005-02-19,19.25,,,,,,,
JW연동,2005-02-20,19.34,,,,,,,
JW연동,2005-02-21,19.51,,,,,,,
JW연동,2005-02-22,19.43,,,,,,,
JW연동,2005-02-23,19.46,,,,,,,
JW연동,2005-02-24,19.31,,,,,,,
JW연동,2005-02-25,19.15,,,,,,,
JW연동,2005-02-26,18.9,,,,,,,
JW연동,2005-02-27,18.67,,,,,,,
JW연동,2005-02-28,18.51,,,,,,,
JW연동,2005-03-01,18.41,,,,,,,
JW연동,2005-03-02,18.39,,,,,,,
JW연동,2005-03-03,18.21,,,,,,,
JW연동,2005-03-04,18.19,,,,,,,
JW연동,2005-03-05,17.99,,,,,,,
JW연동,2005-03-06,17.82,,,,,,,
JW연동,2005-03-07,17.86,,,,,,,
JW연동,2005-03-08,17.75,,,,,,,
JW연동,2005-03-09,17.62,,,,,,,
JW연동,2005-03-10,17.71,,,,,,,
JW연동,2005-03-11,17.59,,,,,,,
JW연동,2005-03-12,17.41,,,,,,,
JW연동,2005-03-13,17.24,,,,,,,
JW연동,2005-03-14,17.15,,,,,,,
JW연동,2005-03-15,17.13,,,,,,,
JW연동,2005-03-16,17.12,,,,,,,
JW연동,2005-03-17,17.27,,,,,,,
JW연동,2005-03-18,17.11,,,,,,,
JW연동,2005-03-19,17.15,,,,,,,
JW연동,2005-03-20,17.1,,,,,,,
JW연동,2005-03-21,17.29,,,,,,,
JW연동,2005-03-22,17.52,,,,,,,
JW연동,2005-03-23,17.4,,,,,,,
JW연동,2005-03-24,17.41,,,,,,,
JW연동,2005-03-25,17.37,,,,,,,
JW연동,2005-03-26,17.34,,,,,,,
JW연동,2005-03-27,17.36,,,,,,,
JW연동,2005-03-28,17.35,,,,,,,
JW연동,2005-03-29,17.32,,,,,,,
JW연동,2005-03-30,17.22,,,,,,,
JW연동,2005-03-31,17.12,,,,,,,
JW연동,2005-04-01,17.1,,,,,,,
JW연동,2005-04-02,17.08,,,,,,,
JW연동,2005-04-03,16.95,,,,,,,
JW연동,2005-04-04,17.06,,,,,,,
JW연동,2005-04-05,16.86,,,,,,,
JW연동,2005-04-06,17.02,,,,,,,
JW연동,2005-04-07,16.83,,,,,,,
JW연동,2005-04-08,16.69,,,,,,,
JW연동,2005-04-09,16.73,,,,,,,
JW연동,2005-04-10,16.7,,,,,,,
