관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JW일도,2018-06-15,1.99,,,,,,,
JW일도,2018-06-16,2.02,,,,,,,
JW일도,2018-06-17,2.01,,,,,,,
JW일도,2018-06-18,1.94,,,,,,,
JW일도,2018-06-19,2.01,,,,,,,
JW일도,2018-06-20,2.06,,,,,,,
JW일도,2018-06-21,2.02,,,,,,,
JW일도,2018-06-22,2.0,,,,,,,
JW일도,2018-06-23,2.03,,,,,,,
JW일도,2018-06-24,2.01,,,,,,,
JW일도,2018-06-25,2.0,,,,,,,
JW일도,2018-06-26,1.95,,,,,,,
JW일도,2018-06-27,2.02,,,,,,,
JW일도,2018-06-29,2.17,,,,,,,
JW일도,2018-06-30,1.93,,,,,,,
JW일도,2018-07-01,1.87,,,,,,,
JW일도,2018-07-02,1.84,,,,,,,
JW일도,2018-07-03,1.88,,,,,,,
JW일도,2018-07-04,2.16,,,,,,,
JW일도,2018-07-05,2.13,,,,,,,
JW일도,2018-07-06,2.2,,,,,,,
JW일도,2018-07-07,2.14,,,,,,,
JW일도,2018-07-08,2.15,,,,,,,
JW일도,2018-07-09,2.12,,,,,,,
JW일도,2018-07-10,2.11,,,,,,,
JW일도,2018-07-11,2.11,,,,,,,
JW일도,2018-07-12,2.11,,,,,,,
JW일도,2018-07-13,2.11,,,,,,,
JW일도,2018-07-14,2.11,,,,,,,
JW일도,2018-07-15,2.11,,,,,,,
JW일도,2018-07-16,2.1,,,,,,,
JW일도,2018-07-17,2.1,,,,,,,
JW일도,2018-07-18,2.1,,,,,,,
JW일도,2018-07-19,2.1,,,,,,,
JW일도,2018-07-20,2.1,,,,,,,
JW일도,2018-07-21,2.1,,,,,,,
JW일도,2018-07-22,2.11,,,,,,,
JW일도,2018-07-23,1.84,,,,,,,
JW일도,2018-07-24,1.78,,,,,,,
JW일도,2018-07-25,2.09,,,,,,,
JW일도,2018-07-26,2.11,,,,,,,
JW일도,2018-07-27,2.12,,,,,,,
JW일도,2018-07-28,2.12,,,,,,,
JW일도,2018-07-29,2.12,,,,,,,
JW일도,2018-07-30,2.12,,,,,,,
JW일도,2018-07-31,2.12,,,,,,,
JW일도,2018-08-01,2.12,,,,,,,
