관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
PW성읍1,2021-04-05,19.19,,,,,,,
PW성읍1,2021-04-06,19.21,,,,,,,
PW성읍1,2021-04-07,19.21,,,,,,,
PW성읍1,2021-04-08,19.2,,,,,,,
PW성읍1,2021-04-09,19.15,,,,,,,
PW성읍1,2021-04-10,19.11,,,,,,,
PW성읍1,2021-04-11,19.13,,,,,,,
PW성읍1,2021-04-12,19.21,,,,,,,
PW성읍1,2021-04-13,19.18,,,,,,,
PW성읍1,2021-04-14,19.12,,,,,,,
PW성읍1,2021-04-15,19.12,,,,,,,
PW성읍1,2021-04-16,19.12,,,,,,,
PW성읍1,2021-04-17,19.11,,,,,,,
PW성읍1,2021-04-18,19.09,,,,,,,
PW성읍1,2021-04-19,19.08,,,,,,,
PW성읍1,2021-04-20,19.06,,,,,,,
PW성읍1,2021-04-21,19.06,,,,,,,
PW성읍1,2021-04-22,19.08,,,,,,,
PW성읍1,2021-04-23,19.07,,,,,,,
PW성읍1,2021-04-24,19.04,,,,,,,
PW성읍1,2021-04-25,19.04,,,,,,,
PW성읍1,2021-04-26,19.03,,,,,,,
PW성읍1,2021-04-27,19.05,,,,,,,
PW성읍1,2021-04-28,19.06,,,,,,,
PW성읍1,2021-04-29,19.1,,,,,,,
PW성읍1,2021-04-30,19.07,,,,,,,
PW성읍1,2021-05-01,19.04,,,,,,,
PW성읍1,2021-05-02,18.97,,,,,,,
PW성읍1,2021-05-03,18.99,,,,,,,
PW성읍1,2021-05-04,19.06,,,,,,,
PW성읍1,2021-05-05,19.0,,,,,,,
PW성읍1,2021-05-06,18.99,,,,,,,
PW성읍1,2021-05-07,19.05,,,,,,,
PW성읍1,2021-05-08,19.04,,,,,,,
PW성읍1,2021-05-09,18.99,,,,,,,
PW성읍1,2021-05-10,18.99,,,,,,,
PW성읍1,2021-05-11,18.99,,,,,,,
PW성읍1,2021-05-12,19.0,,,,,,,
PW성읍1,2021-05-13,18.98,,,,,,,
PW성읍1,2021-05-14,18.98,,,,,,,
PW성읍1,2021-05-15,19.01,,,,,,,
PW성읍1,2021-05-16,19.01,,,,,,,
PW성읍1,2021-05-17,18.97,,,,,,,
PW성읍1,2021-05-18,18.96,,,,,,,
PW성읍1,2021-05-19,18.96,,,,,,,
PW성읍1,2021-05-20,19.02,,,,,,,
PW성읍1,2021-05-21,18.96,,,,,,,
PW성읍1,2021-05-22,18.96,,,,,,,
PW성읍1,2021-05-23,18.97,,,,,,,
PW성읍1,2021-05-24,18.98,,,,,,,
PW성읍1,2021-05-25,18.96,,,,,,,
PW성읍1,2021-05-26,18.96,,,,,,,
PW성읍1,2021-05-27,19.0,,,,,,,
PW성읍1,2021-05-28,18.97,,,,,,,
PW성읍1,2021-05-29,18.94,,,,,,,
PW성읍1,2021-05-30,18.94,,,,,,,
PW성읍1,2021-05-31,18.92,,,,,,,
PW성읍1,2021-06-01,18.92,,,,,,,
PW성읍1,2021-06-02,18.93,,,,,,,
PW성읍1,2021-06-03,19.0,,,,,,,
PW성읍1,2021-06-04,18.95,,,,,,,
PW성읍1,2021-06-05,18.94,,,,,,,
PW성읍1,2021-06-06,18.9,,,,,,,
PW성읍1,2021-06-07,18.87,,,,,,,
PW성읍1,2021-06-08,18.88,,,,,,,
PW성읍1,2021-06-09,18.89,,,,,,,
PW성읍1,2021-06-10,18.91,,,,,,,
PW성읍1,2021-06-11,18.91,,,,,,,
PW성읍1,2021-06-12,18.88,,,,,,,
PW성읍1,2021-06-13,18.9,,,,,,,
PW성읍1,2021-06-14,18.9,,,,,,,
PW성읍1,2021-06-15,18.92,,,,,,,
PW성읍1,2021-06-16,18.88,,,,,,,
PW성읍1,2021-06-17,18.85,,,,,,,
PW성읍1,2021-06-18,18.88,,,,,,,
PW성읍1,2021-06-19,18.86,,,,,,,
PW성읍1,2021-06-20,18.84,,,,,,,
PW성읍1,2021-06-21,18.83,,,,,,,
PW성읍1,2021-06-22,18.8,,,,,,,
PW성읍1,2021-06-23,18.8,,,,,,,
PW성읍1,2021-06-24,18.8,,,,,,,
PW성읍1,2021-06-25,18.81,,,,,,,
PW성읍1,2021-06-26,18.82,,,,,,,
PW성읍1,2021-06-27,18.83,,,,,,,
PW성읍1,2021-06-28,18.83,,,,,,,
PW성읍1,2021-06-29,18.81,,,,,,,
PW성읍1,2021-06-30,18.8,,,,,,,
PW성읍1,2021-07-01,18.8,,,,,,,
PW성읍1,2021-07-02,18.78,,,,,,,
PW성읍1,2021-07-03,18.8,,,,,,,
PW성읍1,2021-07-04,18.78,,,,,,,
PW성읍1,2021-07-05,18.77,,,,,,,
PW성읍1,2021-07-06,18.79,,,,,,,
PW성읍1,2021-07-07,18.79,,,,,,,
PW성읍1,2021-07-08,18.79,,,,,,,
PW성읍1,2021-07-09,18.79,,,,,,,
PW성읍1,2021-07-10,18.77,,,,,,,
PW성읍1,2021-07-11,18.76,,,,,,,
PW성읍1,2021-07-12,18.78,,,,,,,
PW성읍1,2021-07-13,18.78,,,,,,,
PW성읍1,2021-07-14,18.77,,,,,,,
PW성읍1,2021-07-15,18.76,,,,,,,
PW성읍1,2021-07-16,18.77,,,,,,,
PW성읍1,2021-07-17,18.79,,,,,,,
PW성읍1,2021-07-18,18.78,,,,,,,
PW성읍1,2021-07-22,18.34,,,,,,,
PW성읍1,2021-07-23,18.34,,,,,,,
PW성읍1,2021-07-24,18.34,,,,,,,
PW성읍1,2021-07-25,18.35,,,,,,,
PW성읍1,2021-07-26,18.35,,,,,,,
PW성읍1,2021-07-27,18.35,,,,,,,
PW성읍1,2021-07-28,18.34,,,,,,,
PW성읍1,2021-07-29,18.34,,,,,,,
PW성읍1,2021-07-30,18.35,,,,,,,
PW성읍1,2021-07-31,18.35,,,,,,,
PW성읍1,2021-08-01,18.35,,,,,,,
PW성읍1,2021-08-02,18.33,,,,,,,
PW성읍1,2021-08-03,18.31,,,,,,,
PW성읍1,2021-08-04,18.32,,,,,,,
PW성읍1,2021-08-05,18.35,,,,,,,
PW성읍1,2021-08-06,18.36,,,,,,,
PW성읍1,2021-08-07,18.36,,,,,,,
PW성읍1,2021-08-08,18.37,,,,,,,
PW성읍1,2021-08-09,18.34,,,,,,,
PW성읍1,2021-08-10,18.31,,,,,,,
PW성읍1,2021-08-11,18.32,,,,,,,
PW성읍1,2021-08-20,18.32,,,,,,,
PW성읍1,2021-08-21,18.35,,,,,,,
PW성읍1,2021-08-22,18.32,,,,,,,
PW성읍1,2021-08-23,18.38,,,,,,,
PW성읍1,2021-08-24,18.39,,,,,,,
PW성읍1,2021-08-25,18.39,,,,,,,
PW성읍1,2021-08-26,18.39,,,,,,,
PW성읍1,2021-08-27,18.43,,,,,,,
PW성읍1,2021-08-28,18.46,,,,,,,
PW성읍1,2021-08-29,18.49,,,,,,,
PW성읍1,2021-08-30,18.51,,,,,,,
PW성읍1,2021-08-31,18.54,,,,,,,
PW성읍1,2021-09-01,18.6,,,,,,,
PW성읍1,2021-09-02,18.63,,,,,,,
PW성읍1,2021-09-03,18.66,,,,,,,
PW성읍1,2021-09-04,18.64,,,,,,,
PW성읍1,2021-09-05,18.68,,,,,,,
PW성읍1,2021-09-06,18.74,,,,,,,
PW성읍1,2021-09-07,18.81,,,,,,,
PW성읍1,2021-09-08,18.82,,,,,,,
PW성읍1,2021-09-09,18.84,,,,,,,
PW성읍1,2021-09-10,18.9,,,,,,,
PW성읍1,2021-09-11,18.95,,,,,,,
PW성읍1,2021-09-12,18.98,,,,,,,
PW성읍1,2021-09-13,19.01,,,,,,,
PW성읍1,2021-09-14,19.1,,,,,,,
PW성읍1,2021-09-15,19.1,,,,,,,
PW성읍1,2021-09-16,19.18,,,,,,,
PW성읍1,2021-09-17,19.24,,,,,,,
PW성읍1,2021-09-18,19.19,,,,,,,
PW성읍1,2021-09-19,19.26,,,,,,,
PW성읍1,2021-09-20,19.36,,,,,,,
PW성읍1,2021-09-21,19.43,,,,,,,
PW성읍1,2021-09-22,19.46,,,,,,,
PW성읍1,2021-09-23,19.49,,,,,,,
PW성읍1,2021-09-24,19.57,,,,,,,
PW성읍1,2021-09-25,19.68,,,,,,,
PW성읍1,2021-09-26,19.78,,,,,,,
PW성읍1,2021-09-27,19.89,,,,,,,
PW성읍1,2021-09-28,19.98,,,,,,,
PW성읍1,2021-09-29,20.09,,,,,,,
PW성읍1,2021-09-30,20.18,,,,,,,
PW성읍1,2021-10-01,20.25,,,,,,,
PW성읍1,2021-10-02,20.31,,,,,,,
PW성읍1,2021-10-03,20.38,,,,,,,
PW성읍1,2021-10-04,20.48,,,,,,,
PW성읍1,2021-10-05,20.59,,,,,,,
PW성읍1,2021-10-06,20.7,,,,,,,
PW성읍1,2021-10-07,20.79,,,,,,,
PW성읍1,2021-10-08,20.85,,,,,,,
PW성읍1,2021-10-09,20.93,,,,,,,
PW성읍1,2021-10-10,21.03,,,,,,,
PW성읍1,2021-10-11,21.1,,,,,,,
PW성읍1,2021-10-12,21.15,,,,,,,
PW성읍1,2021-10-13,21.22,,,,,,,
PW성읍1,2021-10-14,21.31,,,,,,,
PW성읍1,2021-10-15,21.39,,,,,,,
PW성읍1,2021-10-16,21.41,,,,,,,
PW성읍1,2021-10-17,21.44,,,,,,,
PW성읍1,2021-10-18,21.51,,,,,,,
PW성읍1,2021-10-19,21.58,,,,,,,
PW성읍1,2021-10-20,21.61,,,,,,,
PW성읍1,2021-10-21,21.66,,,,,,,
PW성읍1,2021-10-22,21.68,,,,,,,
PW성읍1,2021-10-23,21.67,,,,,,,
PW성읍1,2021-10-24,21.74,,,,,,,
PW성읍1,2021-10-25,21.79,,,,,,,
PW성읍1,2021-10-26,21.82,,,,,,,
PW성읍1,2021-10-27,21.84,,,,,,,
PW성읍1,2021-10-28,21.85,,,,,,,
PW성읍1,2021-10-29,21.86,,,,,,,
PW성읍1,2021-10-30,21.89,,,,,,,
PW성읍1,2021-10-31,21.9,,,,,,,
PW성읍1,2021-11-01,21.92,,,,,,,
PW성읍1,2021-11-02,21.95,,,,,,,
PW성읍1,2021-11-03,21.97,,,,,,,
PW성읍1,2021-11-04,21.97,,,,,,,
PW성읍1,2021-11-05,21.98,,,,,,,
PW성읍1,2021-11-06,22.0,,,,,,,
PW성읍1,2021-11-07,21.99,,,,,,,
PW성읍1,2021-11-08,22.02,,,,,,,
PW성읍1,2021-11-09,22.01,,,,,,,
PW성읍1,2021-11-10,22.03,,,,,,,
PW성읍1,2021-11-11,22.01,,,,,,,
PW성읍1,2021-11-12,21.97,,,,,,,
PW성읍1,2021-11-13,21.97,,,,,,,
PW성읍1,2021-11-14,21.98,,,,,,,
PW성읍1,2021-11-15,21.96,,,,,,,
PW성읍1,2021-11-16,21.95,,,,,,,
PW성읍1,2021-11-17,21.95,,,,,,,
PW성읍1,2021-11-18,21.97,,,,,,,
PW성읍1,2021-11-19,21.96,,,,,,,
PW성읍1,2021-11-20,21.93,,,,,,,
