관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD고산1,2007-11-01,S11,0.684,,,,,,,2007-11
JD고산1,2007-12-01,S11,0.541,,,,,,,2007-12
JD고산1,2008-01-01,S11,0.43,,,,,,,2008-01
JD고산1,2008-02-01,S11,0.287,,,,,,,2008-02
JD고산1,2008-03-01,S11,0.311,,,,,,,2008-03
JD고산1,2008-04-01,S11,0.368,,,,,,,2008-04
JD고산1,2008-05-01,S11,0.347,,,,,,,2008-05
JD고산1,2008-06-01,S11,0.777,,,,,,,2008-06
JD고산1,2008-07-01,S11,0.765,,,,,,,2008-07
JD고산1,2008-08-01,S11,0.414,,,,,,,2008-08
JD고산1,2008-09-01,S11,0.108,,,,,,,2008-09
JD고산1,2008-10-01,S11,0.095,,,,,,,2008-10
JD고산1,2008-11-01,S11,0.0,,,,,,,2008-11
JD고산1,2008-12-01,S11,-0.462,,,,,,,2008-12
JD고산1,2009-01-01,S11,-0.625,,,,,,,2009-01
JD고산1,2009-02-01,S11,-0.506,,,,,,,2009-02
JD고산1,2009-03-01,S11,-0.418,,,,,,,2009-03
JD고산1,2009-04-01,S11,-0.36,,,,,,,2009-04
JD고산1,2009-05-01,S11,-0.157,,,,,,,2009-05
JD고산1,2009-06-01,S11,0.197,,,,,,,2009-06
JD고산1,2009-07-01,S11,0.324,,,,,,,2009-07
JD고산1,2009-08-01,S11,0.33,,,,,,,2009-08
JD고산1,2009-09-01,S11,-0.195,,,,,,,2009-09
JD고산1,2009-10-01,S11,0.231,,,,,,,2009-10
JD고산1,2009-11-01,S11,0.205,,,,,,,2009-11
JD고산1,2009-12-01,S11,0.13,,,,,,,2009-12
JD고산1,2010-01-01,S11,0.019,,,,,,,2010-01
JD고산1,2010-02-01,S11,-0.241,,,,,,,2010-02
JD고산1,2010-03-01,S11,-0.233,,,,,,,2010-03
JD고산1,2010-04-01,S11,0.078,,,,,,,2010-04
JD고산1,2010-05-01,S11,0.134,,,,,,,2010-05
JD고산1,2010-06-01,S11,-0.003,,,,,,,2010-06
JD고산1,2010-07-01,S11,0.314,,,,,,,2010-07
JD고산1,2010-08-01,S11,0.385,,,,,,,2010-08
JD고산1,2010-09-01,S11,0.678,,,,,,,2010-09
JD고산1,2010-10-01,S11,0.386,,,,,,,2010-10
JD고산1,2010-11-01,S11,0.087,,,,,,,2010-11
JD고산1,2010-12-01,S11,-0.159,,,,,,,2010-12
