관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD무릉3,2019-11-01,S11,-3.854,,,,,,,2019-11
JD무릉3,2019-12-01,S11,-3.714,,,,,,,2019-12
JD무릉3,2020-01-01,S11,-3.509,,,,,,,2020-01
JD무릉3,2020-02-01,S11,-3.602,,,,,,,2020-02
JD무릉3,2020-03-01,S11,-3.465,,,,,,,2020-03
JD무릉3,2020-04-01,S11,-3.626,,,,,,,2020-04
JD무릉3,2020-05-01,S11,-3.174,,,,,,,2020-05
JD무릉3,2020-06-01,S11,-2.856,,,,,,,2020-06
JD무릉3,2020-07-01,S11,-2.442,,,,,,,2020-07
JD무릉3,2020-08-01,S11,-3.018,,,,,,,2020-08
JD무릉3,2020-09-01,S11,-2.818,,,,,,,2020-09
JD무릉3,2020-10-01,S11,-3.242,,,,,,,2020-10
JD무릉3,2020-11-01,S11,-3.391,,,,,,,2020-11
JD무릉3,2020-12-01,S11,-3.883,,,,,,,2020-12
JD무릉3,2021-01-01,S11,-3.668,,,,,,,2021-01
JD무릉3,2021-02-01,S11,-3.421,,,,,,,2021-02
JD무릉3,2021-03-01,S11,-3.241,,,,,,,2021-03
JD무릉3,2021-04-01,S11,-2.959,,,,,,,2021-04
JD무릉3,2021-05-01,S11,-3.273,,,,,,,2021-05
JD무릉3,2021-06-01,S11,-2.987,,,,,,,2021-06
JD무릉3,2021-07-01,S11,-2.964,,,,,,,2021-07
JD무릉3,2021-08-01,S11,-3.437,,,,,,,2021-08
JD무릉3,2021-09-01,S11,-3.294,,,,,,,2021-09
JD무릉3,2021-10-01,S11,-3.508,,,,,,,2021-10
JD무릉3,2021-11-01,S11,-3.373,,,,,,,2021-11
JD무릉3,2021-12-01,S11,-3.49,,,,,,,2021-12
JD무릉3,2022-01-01,S11,-3.355,,,,,,,2022-01
JD무릉3,2022-02-01,S11,-3.625,,,,,,,2022-02
JD무릉3,2022-03-01,S11,-3.633,,,,,,,2022-03
JD무릉3,2022-04-01,S11,-3.647,,,,,,,2022-04
JD무릉3,2022-05-01,S11,-3.783,,,,,,,2022-05
JD무릉3,2022-06-01,S11,-3.781,,,,,,,2022-06
JD무릉3,2022-07-01,S11,-3.507,,,,,,,2022-07
JD무릉3,2022-08-01,S11,-3.375,,,,,,,2022-08
JD무릉3,2022-09-01,S11,-3.129,,,,,,,2022-09
JD무릉3,2022-10-01,S11,-3.715,,,,,,,2022-10
JD무릉3,2022-11-01,S11,-3.931,,,,,,,2022-11
JD무릉3,2022-12-01,S11,-3.787,,,,,,,2022-12
JD무릉3,2023-01-01,S11,-4.013,,,,,,,2023-01
JD무릉3,2023-02-01,S11,-3.715,,,,,,,2023-02
JD무릉3,2023-03-01,S11,-3.666,,,,,,,2023-03
JD무릉3,2023-04-01,S11,-3.553,,,,,,,2023-04
JD무릉3,2023-05-01,S11,-2.81,,,,,,,2023-05
JD무릉3,2023-06-01,S11,-2.44,,,,,,,2023-06
JD무릉3,2023-07-01,S11,-2.18,,,,,,,2023-07
JD무릉3,2023-08-01,S11,-2.996,,,,,,,2023-08
JD무릉3,2023-09-01,S11,-3.142,,,,,,,2023-09
JD무릉3,2023-10-01,S11,-3.498,,,,,,,2023-10
JD무릉3,2023-11-01,S11,-3.257,,,,,,,2023-11
JD무릉3,2023-12-01,S11,-2.928,,,,,,,2023-12
JD무릉3,2024-01-01,S11,-2.932,,,,,,,2024-01
JD무릉3,2024-02-01,S11,-3.009,,,,,,,2024-02
JD무릉3,2024-03-01,S11,-3.345,,,,,,,2024-03
JD무릉3,2024-04-01,S11,-3.275,,,,,,,2024-04
JD무릉3,2024-05-01,S11,-3.407,,,,,,,2024-05
JD무릉3,2024-06-01,S11,-3.278,,,,,,,2024-06
JD무릉3,2024-07-01,S11,-2.78,,,,,,,2024-07
JD무릉3,2024-08-01,S11,-3.423,,,,,,,2024-08
JD무릉3,2024-09-01,S11,-3.736,,,,,,,2024-09
JD무릉3,2024-10-01,S11,-3.597,,,,,,,2024-10
JD무릉3,2024-11-01,S11,-2.959,,,,,,,2024-11
JD무릉3,2024-12-01,S11,-3.495,,,,,,,2024-12
JD무릉3,2025-01-01,S11,-3.494,,,,,,,2025-01
JD무릉3,2025-02-01,S11,-3.426,,,,,,,2025-02
JD무릉3,2025-03-01,S11,-3.4,,,,,,,2025-03
JD무릉3,2025-04-01,S11,-3.511,,,,,,,2025-04
JD무릉3,2025-05-01,S11,-3.426,,,,,,,2025-05
JD무릉3,2025-06-01,S11,-3.386,,,,,,,2025-06
JD무릉3,2025-07-01,S11,-3.735,,,,,,,2025-07
JD무릉3,2025-08-01,S11,-4.187,,,,,,,2025-08
JD무릉3,2025-09-01,S11,-4.37,,,,,,,2025-09
JD무릉3,2025-10-01,S11,-4.237,,,,,,,2025-10
JD무릉3,2025-11-01,S11,-3.87,,,,,,,2025-11
JD무릉3,2025-12-01,S11,-3.766,,,,,,,2025-12
JD무릉3,2026-01-01,S11,-3.92,13.92,12.35,22.68,52367.0,1027.91,13.34,2026-01
JD무릉3,2026-02-01,S11,-3.6,13.6,12.67,21.56,52613.0,1025.63,13.37,2026-02
JD무릉3,2026-03-01,S11,-2.83,12.83,13.44,20.63,52683.0,1024.52,13.42,2026-03
JD무릉3,2026-04-01,S11,-2.44,12.44,13.81,19.95,52736.0,1017.35,13.46,2026-04
JD무릉3,2026-05-01,S11,-2.22,12.22,14.04,19.42,52744.0,1017.13,13.54,2026-05
JD무릉3,2026-06-01,S11,-2.14,12.14,14.11,19.16,52723.0,1011.82,13.52,2026-06
