관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD세화1,2010-01-01,S11,-0.093,,,,,,,2010-01
JD세화1,2010-02-01,S11,-0.179,,,,,,,2010-02
JD세화1,2010-03-01,S11,-0.117,,,,,,,2010-03
JD세화1,2010-04-01,S11,-0.041,,,,,,,2010-04
JD세화1,2010-05-01,S11,0.216,,,,,,,2010-05
JD세화1,2010-06-01,S11,0.332,,,,,,,2010-06
JD세화1,2010-07-01,S11,0.455,,,,,,,2010-07
JD세화1,2010-08-01,S11,0.36,,,,,,,2010-08
JD세화1,2010-09-01,S11,0.418,,,,,,,2010-09
JD세화1,2010-10-01,S11,0.345,,,,,,,2010-10
JD세화1,2010-11-01,S11,0.313,,,,,,,2010-11
JD세화1,2010-12-01,S11,0.204,,,,,,,2010-12
JD세화1,2011-01-01,S11,0.091,,,,,,,2011-01
JD세화1,2011-02-01,S11,0.127,,,,,,,2011-02
JD세화1,2011-03-01,S11,0.078,,,,,,,2011-03
JD세화1,2011-04-01,S11,0.156,,,,,,,2011-04
JD세화1,2011-05-01,S11,0.153,,,,,,,2011-05
JD세화1,2011-06-01,S11,0.295,,,,,,,2011-06
JD세화1,2011-07-01,S11,0.35,,,,,,,2011-07
JD세화1,2011-08-01,S11,0.371,,,,,,,2011-08
JD세화1,2011-09-01,S11,0.453,,,,,,,2011-09
JD세화1,2011-10-01,S11,0.315,,,,,,,2011-10
JD세화1,2011-11-01,S11,0.307,,,,,,,2011-11
JD세화1,2011-12-01,S11,0.42,,,,,,,2011-12
JD세화1,2012-01-01,S11,0.389,,,,,,,2012-01
JD세화1,2012-02-01,S11,0.127,,,,,,,2012-02
JD세화1,2012-03-01,S11,0.199,,,,,,,2012-03
JD세화1,2012-04-01,S11,0.192,,,,,,,2012-04
JD세화1,2012-05-01,S11,0.391,,,,,,,2012-05
JD세화1,2012-06-01,S11,0.407,,,,,,,2012-06
JD세화1,2012-07-01,S11,0.453,,,,,,,2012-07
JD세화1,2012-08-01,S11,0.522,,,,,,,2012-08
JD세화1,2012-09-01,S11,0.528,,,,,,,2012-09
JD세화1,2012-10-01,S11,0.45,,,,,,,2012-10
JD세화1,2012-11-01,S11,0.403,,,,,,,2012-11
JD세화1,2012-12-01,S11,0.276,,,,,,,2012-12
JD세화1,2013-01-01,S11,0.07,,,,,,,2013-01
JD세화1,2013-02-01,S11,-0.018,,,,,,,2013-02
JD세화1,2013-03-01,S11,0.132,,,,,,,2013-03
JD세화1,2013-04-01,S11,0.198,,,,,,,2013-04
JD세화1,2013-05-01,S11,0.253,,,,,,,2013-05
JD세화1,2013-06-01,S11,0.331,,,,,,,2013-06
JD세화1,2013-07-01,S11,0.321,,,,,,,2013-07
JD세화1,2013-08-01,S11,0.342,,,,,,,2013-08
JD세화1,2013-09-01,S11,0.248,,,,,,,2013-09
JD세화1,2013-10-01,S11,0.33,,,,,,,2013-10
JD세화1,2013-11-01,S11,0.103,,,,,,,2013-11
JD세화1,2013-12-01,S11,0.015,,,,,,,2013-12
JD세화1,2014-01-01,S11,-0.075,,,,,,,2014-01
JD세화1,2014-02-01,S11,0.041,,,,,,,2014-02
JD세화1,2014-03-01,S11,0.052,,,,,,,2014-03
JD세화1,2014-04-01,S11,0.131,,,,,,,2014-04
JD세화1,2014-05-01,S11,0.271,,,,,,,2014-05
JD세화1,2014-06-01,S11,0.379,,,,,,,2014-06
JD세화1,2014-07-01,S11,0.287,,,,,,,2014-07
JD세화1,2014-08-01,S11,0.432,,,,,,,2014-08
JD세화1,2014-09-01,S11,0.489,,,,,,,2014-09
JD세화1,2014-10-01,S11,0.413,,,,,,,2014-10
JD세화1,2014-11-01,S11,0.302,,,,,,,2014-11
JD세화1,2014-12-01,S11,0.132,,,,,,,2014-12
JD세화1,2015-01-01,S11,0.101,,,,,,,2015-01
JD세화1,2015-02-01,S11,0.021,,,,,,,2015-02
JD세화1,2015-03-01,S11,0.03,,,,,,,2015-03
JD세화1,2015-04-01,S11,0.199,,,,,,,2015-04
JD세화1,2015-05-01,S11,0.302,,,,,,,2015-05
JD세화1,2015-06-01,S11,0.326,,,,,,,2015-06
JD세화1,2015-07-01,S11,0.412,,,,,,,2015-07
JD세화1,2015-08-01,S11,0.405,,,,,,,2015-08
JD세화1,2015-09-01,S11,0.413,,,,,,,2015-09
JD세화1,2015-10-01,S11,0.34,,,,,,,2015-10
JD세화1,2015-11-01,S11,0.239,,,,,,,2015-11
JD세화1,2015-12-01,S11,0.2,,,,,,,2015-12
JD세화1,2016-01-01,S11,0.104,,,,,,,2016-01
JD세화1,2016-02-01,S11,0.023,,,,,,,2016-02
JD세화1,2016-03-01,S11,0.137,,,,,,,2016-03
JD세화1,2016-04-01,S11,0.308,,,,,,,2016-04
JD세화1,2016-05-01,S11,0.345,,,,,,,2016-05
JD세화1,2016-06-01,S11,0.354,,,,,,,2016-06
JD세화1,2016-07-01,S11,0.341,,,,,,,2016-07
JD세화1,2016-08-01,S11,0.262,,,,,,,2016-08
JD세화1,2016-09-01,S11,0.282,,,,,,,2016-09
JD세화1,2016-10-01,S11,0.34,,,,,,,2016-10
JD세화1,2016-11-01,S11,0.294,,,,,,,2016-11
JD세화1,2016-12-01,S11,0.189,,,,,,,2016-12
JD세화1,2017-01-01,S11,0.072,,,,,,,2017-01
JD세화1,2017-02-01,S11,0.03,,,,,,,2017-02
JD세화1,2017-03-01,S11,0.061,,,,,,,2017-03
JD세화1,2017-04-01,S11,0.05,,,,,,,2017-04
JD세화1,2017-05-01,S11,0.049,,,,,,,2017-05
JD세화1,2017-06-01,S11,0.212,,,,,,,2017-06
JD세화1,2017-07-01,S11,0.217,,,,,,,2017-07
JD세화1,2017-08-01,S11,0.264,,,,,,,2017-08
JD세화1,2017-09-01,S11,0.256,,,,,,,2017-09
JD세화1,2017-10-01,S11,0.228,,,,,,,2017-10
JD세화1,2017-11-01,S11,-0.108,,,,,,,2017-11
JD세화1,2017-12-01,S11,-0.211,,,,,,,2017-12
JD세화1,2018-01-01,S11,-0.161,,,,,,,2018-01
JD세화1,2018-02-01,S11,-0.211,,,,,,,2018-02
JD세화1,2018-03-01,S11,-0.078,,,,,,,2018-03
