관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD수산2,2005-01-01,S11,0.852,,,,,,,2005-01
JD수산2,2005-02-01,S11,0.831,,,,,,,2005-02
JD수산2,2005-03-01,S11,0.751,,,,,,,2005-03
JD수산2,2005-04-01,S11,0.861,,,,,,,2005-04
JD수산2,2005-05-01,S11,1.014,,,,,,,2005-05
JD수산2,2005-06-01,S11,1.049,,,,,,,2005-06
JD수산2,2005-07-01,S11,1.005,,,,,,,2005-07
JD수산2,2005-09-01,S11,0.985,,,,,,,2005-09
JD수산2,2005-10-01,S11,0.995,,,,,,,2005-10
JD수산2,2005-11-01,S11,0.962,,,,,,,2005-11
JD수산2,2005-12-01,S11,0.839,,,,,,,2005-12
JD수산2,2006-01-01,S11,0.893,,,,,,,2006-01
JD수산2,2006-02-01,S11,0.826,,,,,,,2006-02
JD수산2,2006-03-01,S11,0.815,,,,,,,2006-03
JD수산2,2006-04-01,S11,0.949,,,,,,,2006-04
JD수산2,2006-05-01,S11,1.03,,,,,,,2006-05
JD수산2,2006-06-01,S11,1.225,,,,,,,2006-06
JD수산2,2006-07-01,S11,1.891,,,,,,,2006-07
JD수산2,2006-08-01,S11,1.285,,,,,,,2006-08
JD수산2,2006-09-01,S11,1.32,,,,,,,2006-09
JD수산2,2006-10-01,S11,1.214,,,,,,,2006-10
JD수산2,2006-11-01,S11,0.969,,,,,,,2006-11
JD수산2,2006-12-01,S11,0.852,,,,,,,2006-12
JD수산2,2007-01-01,S11,0.768,,,,,,,2007-01
JD수산2,2007-02-01,S11,0.686,,,,,,,2007-02
JD수산2,2007-03-01,S11,0.8,,,,,,,2007-03
JD수산2,2007-04-01,S11,0.821,,,,,,,2007-04
JD수산2,2007-05-01,S11,0.842,,,,,,,2007-05
JD수산2,2007-06-01,S11,0.908,,,,,,,2007-06
JD수산2,2007-07-01,S11,1.325,,,,,,,2007-07
JD수산2,2007-08-01,S11,1.353,,,,,,,2007-08
JD수산2,2007-09-01,S11,2.826,,,,,,,2007-09
JD수산2,2007-10-01,S11,1.58,,,,,,,2007-10
JD수산2,2007-11-01,S11,1.224,,,,,,,2007-11
JD수산2,2007-12-01,S11,1.075,,,,,,,2007-12
JD수산2,2008-01-01,S11,0.98,,,,,,,2008-01
JD수산2,2008-02-01,S11,0.93,,,,,,,2008-02
JD수산2,2008-03-01,S11,0.899,,,,,,,2008-03
JD수산2,2008-04-01,S11,0.98,,,,,,,2008-04
JD수산2,2008-05-01,S11,0.952,,,,,,,2008-05
JD수산2,2008-06-01,S11,1.101,,,,,,,2008-06
JD수산2,2008-07-01,S11,1.246,,,,,,,2008-07
JD수산2,2008-08-01,S11,1.206,,,,,,,2008-08
JD수산2,2008-09-01,S11,1.05,,,,,,,2008-09
JD수산2,2008-10-01,S11,0.942,,,,,,,2008-10
JD수산2,2008-11-01,S11,0.86,,,,,,,2008-11
JD수산2,2008-12-01,S11,0.841,,,,,,,2008-12
JD수산2,2009-01-01,S11,0.754,,,,,,,2009-01
JD수산2,2009-02-01,S11,0.84,,,,,,,2009-02
JD수산2,2009-03-01,S11,0.914,,,,,,,2009-03
JD수산2,2009-04-01,S11,1.011,,,,,,,2009-04
JD수산2,2009-05-01,S11,1.078,,,,,,,2009-05
JD수산2,2009-06-01,S11,1.044,,,,,,,2009-06
JD수산2,2009-07-01,S11,1.249,,,,,,,2009-07
JD수산2,2009-08-01,S11,1.401,,,,,,,2009-08
JD수산2,2009-09-01,S11,1.272,,,,,,,2009-09
JD수산2,2009-10-01,S11,1.371,,,,,,,2009-10
JD수산2,2009-11-01,S11,1.044,,,,,,,2009-11
JD수산2,2009-12-01,S11,0.933,,,,,,,2009-12
JD수산2,2010-01-01,S11,0.778,,,,,,,2010-01
JD수산2,2010-02-01,S11,0.865,,,,,,,2010-02
JD수산2,2010-03-01,S11,0.973,,,,,,,2010-03
JD수산2,2010-04-01,S11,1.192,,,,,,,2010-04
JD수산2,2010-05-01,S11,1.204,,,,,,,2010-05
JD수산2,2010-06-01,S11,1.146,,,,,,,2010-06
JD수산2,2010-07-01,S11,1.462,,,,,,,2010-07
JD수산2,2010-08-01,S11,1.445,,,,,,,2010-08
JD수산2,2010-09-01,S11,1.831,,,,,,,2010-09
JD수산2,2010-10-01,S11,1.298,,,,,,,2010-10
JD수산2,2010-11-01,S11,1.107,,,,,,,2010-11
JD수산2,2010-12-01,S11,0.949,,,,,,,2010-12
JD수산2,2011-01-01,S11,0.793,,,,,,,2011-01
JD수산2,2011-02-01,S11,0.788,,,,,,,2011-02
JD수산2,2011-03-01,S11,0.754,,,,,,,2011-03
JD수산2,2011-04-01,S11,0.865,,,,,,,2011-04
JD수산2,2011-05-01,S11,0.996,,,,,,,2011-05
JD수산2,2011-06-01,S11,1.106,,,,,,,2011-06
JD수산2,2011-07-01,S11,1.282,,,,,,,2011-07
JD수산2,2011-08-01,S11,1.293,,,,,,,2011-08
JD수산2,2011-09-01,S11,1.351,,,,,,,2011-09
JD수산2,2011-10-01,S11,1.11,,,,,,,2011-10
JD수산2,2011-11-01,S11,1.306,,,,,,,2011-11
JD수산2,2011-12-01,S11,1.052,,,,,,,2011-12
JD수산2,2012-01-01,S11,0.905,,,,,,,2012-01
JD수산2,2012-02-01,S11,0.836,,,,,,,2012-02
JD수산2,2012-03-01,S11,0.986,,,,,,,2012-03
JD수산2,2012-04-01,S11,1.067,,,,,,,2012-04
JD수산2,2012-05-01,S11,1.585,,,,,,,2012-05
JD수산2,2012-06-01,S11,1.296,,,,,,,2012-06
JD수산2,2012-07-01,S11,1.348,,,,,,,2012-07
JD수산2,2012-09-01,S11,2.115,,,,,,,2012-09
JD수산2,2012-10-01,S11,1.495,,,,,,,2012-10
JD수산2,2012-11-01,S11,1.092,,,,,,,2012-11
JD수산2,2012-12-01,S11,0.959,,,,,,,2012-12
JD수산2,2013-01-01,S11,0.946,,,,,,,2013-01
JD수산2,2013-02-01,S11,0.881,,,,,,,2013-02
JD수산2,2013-03-01,S11,0.876,,,,,,,2013-03
JD수산2,2013-04-01,S11,0.895,,,,,,,2013-04
JD수산2,2013-05-01,S11,0.962,,,,,,,2013-05
JD수산2,2013-06-01,S11,1.098,,,,,,,2013-06
JD수산2,2013-07-01,S11,1.111,,,,,,,2013-07
JD수산2,2013-08-01,S11,1.038,,,,,,,2013-08
JD수산2,2013-09-01,S11,0.946,,,,,,,2013-09
JD수산2,2013-10-01,S11,0.997,,,,,,,2013-10
JD수산2,2013-11-01,S11,0.855,,,,,,,2013-11
JD수산2,2013-12-01,S11,0.747,,,,,,,2013-12
JD수산2,2014-01-01,S11,0.661,,,,,,,2014-01
JD수산2,2014-02-01,S11,0.74,,,,,,,2014-02
JD수산2,2014-03-01,S11,0.799,,,,,,,2014-03
JD수산2,2014-04-01,S11,0.838,,,,,,,2014-04
JD수산2,2014-05-01,S11,0.975,,,,,,,2014-05
JD수산2,2014-06-01,S11,1.115,,,,,,,2014-06
JD수산2,2014-07-01,S11,1.265,,,,,,,2014-07
JD수산2,2014-08-01,S11,1.468,,,,,,,2014-08
JD수산2,2014-09-01,S11,1.447,,,,,,,2014-09
JD수산2,2014-10-01,S11,1.253,,,,,,,2014-10
JD수산2,2014-11-01,S11,1.041,,,,,,,2014-11
JD수산2,2014-12-01,S11,0.797,,,,,,,2014-12
JD수산2,2015-01-01,S11,0.783,,,,,,,2015-01
JD수산2,2015-02-01,S11,0.71,,,,,,,2015-02
JD수산2,2015-03-01,S11,0.732,,,,,,,2015-03
JD수산2,2015-04-01,S11,0.96,,,,,,,2015-04
JD수산2,2015-05-01,S11,1.266,,,,,,,2015-05
JD수산2,2015-06-01,S11,1.154,,,,,,,2015-06
JD수산2,2015-07-01,S11,1.583,,,,,,,2015-07
JD수산2,2015-08-01,S11,1.355,,,,,,,2015-08
JD수산2,2015-09-01,S11,1.358,,,,,,,2015-09
JD수산2,2015-10-01,S11,1.328,,,,,,,2015-10
JD수산2,2015-11-01,S11,1.148,,,,,,,2015-11
JD수산2,2015-12-01,S11,1.105,,,,,,,2015-12
JD수산2,2016-01-01,S11,0.922,,,,,,,2016-01
JD수산2,2016-02-01,S11,0.899,,,,,,,2016-02
JD수산2,2016-03-01,S11,1.056,,,,,,,2016-03
JD수산2,2016-04-01,S11,1.233,,,,,,,2016-04
JD수산2,2016-05-01,S11,1.335,,,,,,,2016-05
JD수산2,2016-06-01,S11,1.277,,,,,,,2016-06
JD수산2,2016-07-01,S11,1.322,,,,,,,2016-07
JD수산2,2016-08-01,S11,1.199,,,,,,,2016-08
JD수산2,2016-09-01,S11,1.116,,,,,,,2016-09
JD수산2,2016-10-01,S11,1.339,,,,,,,2016-10
JD수산2,2016-11-01,S11,1.087,,,,,,,2016-11
JD수산2,2016-12-01,S11,0.937,,,,,,,2016-12
