관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD영락3,2019-11-01,S11,-1.6,,,,,,,2019-11
JD영락3,2019-12-01,S11,-1.734,,,,,,,2019-12
JD영락3,2020-01-01,S11,-1.626,,,,,,,2020-01
JD영락3,2020-02-01,S11,-1.684,,,,,,,2020-02
JD영락3,2020-03-01,S11,-1.654,,,,,,,2020-03
JD영락3,2020-04-01,S11,-1.77,,,,,,,2020-04
JD영락3,2020-05-01,S11,-1.535,,,,,,,2020-05
JD영락3,2020-06-01,S11,-1.237,,,,,,,2020-06
JD영락3,2020-07-01,S11,-0.726,,,,,,,2020-07
JD영락3,2020-08-01,S11,-1.106,,,,,,,2020-08
JD영락3,2020-09-01,S11,-0.915,,,,,,,2020-09
JD영락3,2020-10-01,S11,-1.271,,,,,,,2020-10
JD영락3,2020-11-01,S11,-1.831,,,,,,,2020-11
JD영락3,2020-12-01,S11,-1.795,,,,,,,2020-12
JD영락3,2021-01-01,S11,-1.444,,,,,,,2021-01
JD영락3,2021-02-01,S11,-1.326,,,,,,,2021-02
JD영락3,2021-03-01,S11,-1.724,,,,,,,2021-03
JD영락3,2021-04-01,S11,-1.542,,,,,,,2021-04
JD영락3,2021-05-01,S11,-1.488,,,,,,,2021-05
JD영락3,2021-06-01,S11,-1.23,,,,,,,2021-06
JD영락3,2021-07-01,S11,-1.209,,,,,,,2021-07
JD영락3,2021-08-01,S11,-1.305,,,,,,,2021-08
JD영락3,2021-09-01,S11,-1.023,,,,,,,2021-09
JD영락3,2021-10-01,S11,-1.625,,,,,,,2021-10
JD영락3,2021-11-01,S11,-1.726,,,,,,,2021-11
JD영락3,2021-12-01,S11,-1.795,,,,,,,2021-12
JD영락3,2022-01-01,S11,-1.858,,,,,,,2022-01
JD영락3,2022-02-01,S11,-2.014,,,,,,,2022-02
JD영락3,2022-03-01,S11,-1.956,,,,,,,2022-03
JD영락3,2022-04-01,S11,-1.931,,,,,,,2022-04
JD영락3,2022-05-01,S11,-1.949,,,,,,,2022-05
JD영락3,2022-06-01,S11,-1.681,,,,,,,2022-06
JD영락3,2022-07-01,S11,-1.236,,,,,,,2022-07
JD영락3,2022-08-01,S11,-1.046,,,,,,,2022-08
JD영락3,2022-09-01,S11,-1.08,,,,,,,2022-09
JD영락3,2022-10-01,S11,-1.824,,,,,,,2022-10
JD영락3,2022-11-01,S11,-1.587,,,,,,,2022-11
JD영락3,2022-12-01,S11,-1.907,,,,,,,2022-12
JD영락3,2023-01-01,S11,-1.996,,,,,,,2023-01
JD영락3,2023-02-01,S11,-1.34,,,,,,,2023-02
JD영락3,2023-03-01,S11,-1.795,,,,,,,2023-03
JD영락3,2023-04-01,S11,-1.496,,,,,,,2023-04
JD영락3,2023-05-01,S11,-0.953,,,,,,,2023-05
JD영락3,2023-06-01,S11,-0.949,,,,,,,2023-06
JD영락3,2023-07-01,S11,-0.819,,,,,,,2023-07
JD영락3,2023-08-01,S11,-1.178,,,,,,,2023-08
JD영락3,2023-09-01,S11,-0.926,,,,,,,2023-09
JD영락3,2023-10-01,S11,-1.237,,,,,,,2023-10
JD영락3,2023-11-01,S11,-1.571,,,,,,,2023-11
JD영락3,2023-12-01,S11,-1.68,,,,,,,2023-12
JD영락3,2024-01-01,S11,-1.771,,,,,,,2024-01
JD영락3,2024-02-01,S11,-1.712,,,,,,,2024-02
JD영락3,2024-03-01,S11,-1.77,,,,,,,2024-03
JD영락3,2024-04-01,S11,-1.632,,,,,,,2024-04
JD영락3,2024-05-01,S11,-1.492,,,,,,,2024-05
JD영락3,2024-06-01,S11,-1.312,,,,,,,2024-06
JD영락3,2024-07-01,S11,-0.902,,,,,,,2024-07
JD영락3,2024-08-01,S11,-1.078,,,,,,,2024-08
JD영락3,2024-09-01,S11,-1.447,,,,,,,2024-09
JD영락3,2024-10-01,S11,-1.304,,,,,,,2024-10
JD영락3,2024-11-01,S11,-0.788,,,,,,,2024-11
JD영락3,2024-12-01,S11,-1.07,,,,,,,2024-12
JD영락3,2025-01-01,S11,-0.888,,,,,,,2025-01
JD영락3,2025-02-01,S11,-0.993,,,,,,,2025-02
JD영락3,2025-03-01,S11,-1.152,,,,,,,2025-03
JD영락3,2025-04-01,S11,-1.302,,,,,,,2025-04
JD영락3,2025-05-01,S11,-1.317,,,,,,,2025-05
JD영락3,2025-06-01,S11,-1.329,,,,,,,2025-06
JD영락3,2025-07-01,S11,-1.845,,,,,,,2025-07
JD영락3,2025-08-01,S11,-2.221,,,,,,,2025-08
JD영락3,2025-09-01,S11,-2.316,,,,,,,2025-09
JD영락3,2025-10-01,S11,-2.262,,,,,,,2025-10
JD영락3,2025-11-01,S11,-2.388,,,,,,,2025-11
JD영락3,2025-12-01,S11,-2.409,,,,,,,2025-12
JD영락3,2026-01-01,S11,-2.19,12.19,8.25,16.67,163.0,1027.98,13.06,2026-01
JD영락3,2026-02-01,S11,-2.37,12.37,8.07,16.66,163.0,1026.46,13.09,2026-02
JD영락3,2026-03-01,S11,-2.43,12.43,8.02,16.65,163.0,1038.67,13.17,2026-03
JD영락3,2026-04-01,S11,-2.26,12.26,8.18,16.65,163.0,1017.08,13.19,2026-04
JD영락3,2026-05-01,S11,-2.2,12.2,8.24,16.65,163.0,1016.83,13.24,2026-05
JD영락3,2026-06-01,S11,-2.02,12.02,8.42,16.66,163.0,1011.55,13.2,2026-06
