관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD용수2,2005-01-01,S11,11.884,,,,,,,2005-01
JD용수2,2005-02-01,S11,11.493,,,,,,,2005-02
JD용수2,2005-03-01,S11,11.98,,,,,,,2005-03
JD용수2,2005-04-01,S11,12.428,,,,,,,2005-04
JD용수2,2005-05-01,S11,12.744,,,,,,,2005-05
JD용수2,2005-06-01,S11,11.136,,,,,,,2005-06
JD용수2,2005-07-01,S11,11.858,,,,,,,2005-07
JD용수2,2005-08-01,S11,11.899,,,,,,,2005-08
JD용수2,2005-09-01,S11,10.281,,,,,,,2005-09
JD용수2,2005-10-01,S11,9.193,,,,,,,2005-10
JD용수2,2005-11-01,S11,10.82,,,,,,,2005-11
JD용수2,2005-12-01,S11,9.99,,,,,,,2005-12
JD용수2,2006-01-01,S11,10.086,,,,,,,2006-01
JD용수2,2006-02-01,S11,9.554,,,,,,,2006-02
JD용수2,2006-03-01,S11,9.697,,,,,,,2006-03
JD용수2,2006-04-01,S11,12.488,,,,,,,2006-04
JD용수2,2006-05-01,S11,14.184,,,,,,,2006-05
JD용수2,2006-06-01,S11,14.879,,,,,,,2006-06
JD용수2,2006-07-01,S11,18.296,,,,,,,2006-07
JD용수2,2006-08-01,S11,17.457,,,,,,,2006-08
JD용수2,2006-09-01,S11,16.732,,,,,,,2006-09
JD용수2,2006-10-01,S11,14.745,,,,,,,2006-10
JD용수2,2006-11-01,S11,13.459,,,,,,,2006-11
JD용수2,2006-12-01,S11,12.387,,,,,,,2006-12
JD용수2,2007-01-01,S11,11.163,,,,,,,2007-01
JD용수2,2007-02-01,S11,10.48,,,,,,,2007-02
JD용수2,2007-03-01,S11,11.866,,,,,,,2007-03
JD용수2,2007-04-01,S11,10.953,,,,,,,2007-04
JD용수2,2007-05-01,S11,10.76,,,,,,,2007-05
JD용수2,2007-06-01,S11,10.31,,,,,,,2007-06
JD용수2,2007-07-01,S11,16.519,,,,,,,2007-07
JD용수2,2007-08-01,S11,16.982,,,,,,,2007-08
JD용수2,2007-09-01,S11,18.974,,,,,,,2007-09
JD용수2,2007-10-01,S11,17.892,,,,,,,2007-10
