관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD일과,2007-11-01,S11,4.686,,,,,,,2007-11
JD일과,2007-12-01,S11,4.573,,,,,,,2007-12
JD일과,2008-01-01,S11,4.54,,,,,,,2008-01
JD일과,2008-02-01,S11,4.224,,,,,,,2008-02
JD일과,2008-03-01,S11,4.126,,,,,,,2008-03
JD일과,2008-04-01,S11,4.107,,,,,,,2008-04
JD일과,2008-05-01,S11,3.775,,,,,,,2008-05
JD일과,2008-06-01,S11,4.562,,,,,,,2008-06
JD일과,2008-07-01,S11,4.784,,,,,,,2008-07
JD일과,2008-08-01,S11,4.248,,,,,,,2008-08
JD일과,2008-09-01,S11,3.847,,,,,,,2008-09
JD일과,2008-10-01,S11,3.571,,,,,,,2008-10
JD일과,2008-11-01,S11,3.679,,,,,,,2008-11
JD일과,2008-12-01,S11,3.459,,,,,,,2008-12
JD일과,2009-01-01,S11,3.227,,,,,,,2009-01
JD일과,2009-02-01,S11,3.31,,,,,,,2009-02
JD일과,2009-03-01,S11,3.582,,,,,,,2009-03
JD일과,2009-04-01,S11,3.364,,,,,,,2009-04
JD일과,2009-05-01,S11,3.277,,,,,,,2009-05
JD일과,2009-06-01,S11,3.334,,,,,,,2009-06
JD일과,2009-07-01,S11,4.243,,,,,,,2009-07
JD일과,2009-08-01,S11,3.877,,,,,,,2009-08
JD일과,2009-09-01,S11,3.213,,,,,,,2009-09
JD일과,2009-10-01,S11,3.372,,,,,,,2009-10
JD일과,2009-11-01,S11,3.625,,,,,,,2009-11
JD일과,2009-12-01,S11,3.403,,,,,,,2009-12
JD일과,2010-01-01,S11,3.08,,,,,,,2010-01
JD일과,2010-02-01,S11,3.166,,,,,,,2010-02
JD일과,2010-03-01,S11,3.314,,,,,,,2010-03
JD일과,2010-04-01,S11,3.867,,,,,,,2010-04
JD일과,2010-05-01,S11,3.582,,,,,,,2010-05
JD일과,2010-06-01,S11,3.612,,,,,,,2010-06
JD일과,2010-07-01,S11,4.745,,,,,,,2010-07
JD일과,2010-08-01,S11,4.674,,,,,,,2010-08
JD일과,2010-09-01,S11,5.69,,,,,,,2010-09
JD일과,2010-10-01,S11,4.811,,,,,,,2010-10
JD일과,2010-11-01,S11,4.642,,,,,,,2010-11
JD일과,2010-12-01,S11,4.455,,,,,,,2010-12
JD일과,2011-01-01,S11,4.174,,,,,,,2011-01
JD일과,2011-02-01,S11,3.83,,,,,,,2011-02
JD일과,2011-03-01,S11,3.529,,,,,,,2011-03
JD일과,2011-04-01,S11,3.443,,,,,,,2011-04
JD일과,2011-05-01,S11,3.356,,,,,,,2011-05
JD일과,2011-06-01,S11,4.039,,,,,,,2011-06
JD일과,2011-07-01,S11,4.344,,,,,,,2011-07
JD일과,2011-08-01,S11,3.955,,,,,,,2011-08
JD일과,2011-09-01,S11,3.108,,,,,,,2011-09
JD일과,2011-10-01,S11,2.722,,,,,,,2011-10
JD일과,2011-11-01,S11,4.131,,,,,,,2011-11
JD일과,2011-12-01,S11,3.792,,,,,,,2011-12
JD일과,2012-01-01,S11,3.53,,,,,,,2012-01
JD일과,2012-02-01,S11,3.364,,,,,,,2012-02
JD일과,2012-03-01,S11,3.462,,,,,,,2012-03
JD일과,2012-04-01,S11,4.056,,,,,,,2012-04
JD일과,2012-05-01,S11,3.929,,,,,,,2012-05
JD일과,2012-06-01,S11,3.776,,,,,,,2012-06
JD일과,2012-07-01,S11,4.15,,,,,,,2012-07
JD일과,2012-08-01,S11,4.045,,,,,,,2012-08
JD일과,2012-09-01,S11,5.421,,,,,,,2012-09
JD일과,2012-10-01,S11,4.465,,,,,,,2012-10
JD일과,2012-11-01,S11,4.579,,,,,,,2012-11
JD일과,2012-12-01,S11,4.487,,,,,,,2012-12
JD일과,2013-01-01,S11,4.379,,,,,,,2013-01
JD일과,2013-02-01,S11,3.795,,,,,,,2013-02
JD일과,2013-03-01,S11,3.602,,,,,,,2013-03
JD일과,2013-04-01,S11,3.338,,,,,,,2013-04
JD일과,2013-05-01,S11,3.737,,,,,,,2013-05
JD일과,2013-06-01,S11,4.038,,,,,,,2013-06
JD일과,2013-07-01,S11,3.673,,,,,,,2013-07
JD일과,2013-08-01,S11,3.143,,,,,,,2013-08
JD일과,2013-09-01,S11,2.495,,,,,,,2013-09
JD일과,2013-10-01,S11,2.625,,,,,,,2013-10
JD일과,2013-11-01,S11,2.954,,,,,,,2013-11
JD일과,2013-12-01,S11,3.014,,,,,,,2013-12
JD일과,2014-01-01,S11,2.744,,,,,,,2014-01
JD일과,2014-02-01,S11,2.719,,,,,,,2014-02
JD일과,2014-03-01,S11,2.86,,,,,,,2014-03
JD일과,2014-04-01,S11,2.928,,,,,,,2014-04
JD일과,2014-05-01,S11,3.404,,,,,,,2014-05
JD일과,2014-06-01,S11,3.495,,,,,,,2014-06
JD일과,2014-07-01,S11,3.897,,,,,,,2014-07
JD일과,2014-08-01,S11,4.011,,,,,,,2014-08
JD일과,2014-09-01,S11,3.684,,,,,,,2014-09
JD일과,2014-10-01,S11,3.458,,,,,,,2014-10
JD일과,2014-11-01,S11,3.372,,,,,,,2014-11
JD일과,2014-12-01,S11,3.292,,,,,,,2014-12
JD일과,2015-01-01,S11,3.349,,,,,,,2015-01
JD일과,2015-03-01,S11,3.155,,,,,,,2015-03
JD일과,2015-04-01,S11,3.644,,,,,,,2015-04
JD일과,2015-05-01,S11,4.538,,,,,,,2015-05
JD일과,2015-06-01,S11,4.081,,,,,,,2015-06
JD일과,2015-07-01,S11,4.944,,,,,,,2015-07
JD일과,2015-08-01,S11,4.516,,,,,,,2015-08
JD일과,2015-09-01,S11,3.674,,,,,,,2015-09
JD일과,2015-10-01,S11,3.511,,,,,,,2015-10
JD일과,2015-11-01,S11,4.366,,,,,,,2015-11
JD일과,2015-12-01,S11,4.407,,,,,,,2015-12
JD일과,2016-01-01,S11,4.121,,,,,,,2016-01
JD일과,2016-02-01,S11,3.708,,,,,,,2016-02
JD일과,2016-03-01,S11,3.876,,,,,,,2016-03
JD일과,2016-04-01,S11,3.9,,,,,,,2016-04
JD일과,2016-05-01,S11,4.305,,,,,,,2016-05
JD일과,2016-06-01,S11,4.255,,,,,,,2016-06
JD일과,2016-07-01,S11,4.917,,,,,,,2016-07
JD일과,2016-08-01,S11,4.332,,,,,,,2016-08
JD일과,2016-09-01,S11,4.033,,,,,,,2016-09
JD일과,2016-10-01,S11,4.88,,,,,,,2016-10
JD일과,2016-11-01,S11,4.288,,,,,,,2016-11
JD일과,2016-12-01,S11,3.926,,,,,,,2016-12
JD일과,2017-01-01,S11,3.738,,,,,,,2017-01
JD일과,2017-02-01,S11,3.455,,,,,,,2017-02
JD일과,2017-03-01,S11,3.03,,,,,,,2017-03
JD일과,2017-04-01,S11,3.192,,,,,,,2017-04
