관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD일과2,2019-11-01,S11,2.896,,,,,,,2019-11
JD일과2,2019-12-01,S11,2.742,,,,,,,2019-12
JD일과2,2020-01-01,S11,2.865,,,,,,,2020-01
JD일과2,2020-02-01,S11,2.816,,,,,,,2020-02
JD일과2,2020-03-01,S11,2.842,,,,,,,2020-03
JD일과2,2020-04-01,S11,2.74,,,,,,,2020-04
JD일과2,2020-05-01,S11,2.967,,,,,,,2020-05
JD일과2,2020-06-01,S11,3.224,,,,,,,2020-06
JD일과2,2020-07-01,S11,3.605,,,,,,,2020-07
JD일과2,2020-08-01,S11,3.355,,,,,,,2020-08
JD일과2,2020-09-01,S11,3.494,,,,,,,2020-09
JD일과2,2020-10-01,S11,3.207,,,,,,,2020-10
JD일과2,2020-11-01,S11,2.667,,,,,,,2020-11
JD일과2,2020-12-01,S11,2.704,,,,,,,2020-12
JD일과2,2021-01-01,S11,3.035,,,,,,,2021-01
JD일과2,2021-02-01,S11,3.177,,,,,,,2021-02
JD일과2,2021-03-01,S11,2.784,,,,,,,2021-03
JD일과2,2021-04-01,S11,2.947,,,,,,,2021-04
JD일과2,2021-05-01,S11,2.999,,,,,,,2021-05
JD일과2,2021-06-01,S11,3.228,,,,,,,2021-06
JD일과2,2021-07-01,S11,3.263,,,,,,,2021-07
JD일과2,2021-08-01,S11,3.184,,,,,,,2021-08
JD일과2,2021-09-01,S11,3.388,,,,,,,2021-09
JD일과2,2021-10-01,S11,2.915,,,,,,,2021-10
JD일과2,2021-11-01,S11,2.822,,,,,,,2021-11
JD일과2,2021-12-01,S11,2.759,,,,,,,2021-12
JD일과2,2022-01-01,S11,2.693,,,,,,,2022-01
JD일과2,2022-02-01,S11,2.544,,,,,,,2022-02
JD일과2,2022-03-01,S11,2.577,,,,,,,2022-03
JD일과2,2022-04-01,S11,2.563,,,,,,,2022-04
JD일과2,2022-05-01,S11,2.556,,,,,,,2022-05
JD일과2,2022-06-01,S11,2.82,,,,,,,2022-06
JD일과2,2022-07-01,S11,3.234,,,,,,,2022-07
JD일과2,2022-08-01,S11,3.374,,,,,,,2022-08
JD일과2,2022-09-01,S11,3.373,,,,,,,2022-09
JD일과2,2022-10-01,S11,2.705,,,,,,,2022-10
JD일과2,2022-11-01,S11,2.916,,,,,,,2022-11
JD일과2,2022-12-01,S11,2.584,,,,,,,2022-12
JD일과2,2023-01-01,S11,2.477,,,,,,,2023-01
JD일과2,2023-02-01,S11,3.112,,,,,,,2023-02
JD일과2,2023-03-01,S11,2.667,,,,,,,2023-03
JD일과2,2023-04-01,S11,2.946,,,,,,,2023-04
JD일과2,2023-05-01,S11,3.401,,,,,,,2023-05
JD일과2,2023-06-01,S11,3.472,,,,,,,2023-06
JD일과2,2023-07-01,S11,3.54,,,,,,,2023-07
JD일과2,2023-08-01,S11,3.298,,,,,,,2023-08
JD일과2,2023-09-01,S11,3.453,,,,,,,2023-09
JD일과2,2023-10-01,S11,3.233,,,,,,,2023-10
JD일과2,2023-11-01,S11,2.93,,,,,,,2023-11
JD일과2,2023-12-01,S11,2.805,,,,,,,2023-12
JD일과2,2024-01-01,S11,2.719,,,,,,,2024-01
JD일과2,2024-02-01,S11,2.784,,,,,,,2024-02
JD일과2,2024-03-01,S11,2.732,,,,,,,2024-03
JD일과2,2024-04-01,S11,2.871,,,,,,,2024-04
JD일과2,2024-05-01,S11,2.997,,,,,,,2024-05
JD일과2,2024-06-01,S11,3.139,,,,,,,2024-06
JD일과2,2024-07-01,S11,3.461,,,,,,,2024-07
JD일과2,2024-08-01,S11,3.335,,,,,,,2024-08
JD일과2,2024-09-01,S11,3.048,,,,,,,2024-09
JD일과2,2024-10-01,S11,3.184,,,,,,,2024-10
JD일과2,2024-11-01,S11,3.572,,,,,,,2024-11
JD일과2,2024-12-01,S11,3.302,,,,,,,2024-12
JD일과2,2025-01-01,S11,3.44,,,,,,,2025-01
JD일과2,2025-02-01,S11,3.341,,,,,,,2025-02
JD일과2,2025-03-01,S11,3.428,,,,,,,2025-03
JD일과2,2025-04-01,S11,3.387,,,,,,,2025-04
JD일과2,2025-05-01,S11,3.351,,,,,,,2025-05
JD일과2,2025-06-01,S11,3.387,,,,,,,2025-06
JD일과2,2025-07-01,S11,2.908,,,,,,,2025-07
JD일과2,2025-08-01,S11,2.514,,,,,,,2025-08
JD일과2,2025-09-01,S11,2.376,,,,,,,2025-09
JD일과2,2025-10-01,S11,2.272,,,,,,,2025-10
JD일과2,2025-11-01,S11,2.138,,,,,,,2025-11
JD일과2,2025-12-01,S11,2.096,,,,,,,2025-12
JD일과2,2026-01-01,S11,2.34,7.66,21.33,19.03,30982.0,1029.07,13.05,2026-01
JD일과2,2026-02-01,S11,2.17,7.83,21.16,18.53,31787.0,1026.76,13.07,2026-02
JD일과2,2026-03-01,S11,2.1,7.9,21.08,17.95,30662.0,1025.61,13.12,2026-03
JD일과2,2026-04-01,S11,2.28,7.72,21.26,17.63,30840.0,1018.45,13.11,2026-04
JD일과2,2026-05-01,S11,2.35,7.65,21.33,17.5,30991.0,1018.25,13.18,2026-05
JD일과2,2026-06-01,S11,2.52,7.49,21.5,17.49,30985.0,1012.93,13.12,2026-06
