관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD하모1,2007-11-01,S11,0.505,,,,,,,2007-11
JD하모1,2007-12-01,S11,0.514,,,,,,,2007-12
JD하모1,2008-01-01,S11,0.445,,,,,,,2008-01
JD하모1,2008-02-01,S11,0.399,,,,,,,2008-02
JD하모1,2008-03-01,S11,0.481,,,,,,,2008-03
JD하모1,2008-04-01,S11,0.543,,,,,,,2008-04
JD하모1,2008-05-01,S11,0.622,,,,,,,2008-05
JD하모1,2008-06-01,S11,0.75,,,,,,,2008-06
JD하모1,2008-07-01,S11,0.661,,,,,,,2008-07
JD하모1,2008-08-01,S11,0.712,,,,,,,2008-08
JD하모1,2008-09-01,S11,0.659,,,,,,,2008-09
JD하모1,2008-10-01,S11,0.619,,,,,,,2008-10
JD하모1,2008-11-01,S11,0.57,,,,,,,2008-11
JD하모1,2008-12-01,S11,0.466,,,,,,,2008-12
JD하모1,2009-01-01,S11,0.392,,,,,,,2009-01
JD하모1,2009-02-01,S11,0.402,,,,,,,2009-02
JD하모1,2009-03-01,S11,0.286,,,,,,,2009-03
JD하모1,2009-04-01,S11,0.314,,,,,,,2009-04
JD하모1,2009-05-01,S11,0.448,,,,,,,2009-05
JD하모1,2009-06-01,S11,0.622,,,,,,,2009-06
JD하모1,2009-07-01,S11,0.694,,,,,,,2009-07
JD하모1,2009-08-01,S11,0.606,,,,,,,2009-08
JD하모1,2009-09-01,S11,0.595,,,,,,,2009-09
JD하모1,2009-10-01,S11,0.5,,,,,,,2009-10
JD하모1,2009-11-01,S11,0.39,,,,,,,2009-11
JD하모1,2009-12-01,S11,0.302,,,,,,,2009-12
JD하모1,2010-01-01,S11,0.162,,,,,,,2010-01
JD하모1,2010-02-01,S11,0.301,,,,,,,2010-02
JD하모1,2010-03-01,S11,0.345,,,,,,,2010-03
JD하모1,2010-04-01,S11,0.493,,,,,,,2010-04
JD하모1,2010-05-01,S11,0.524,,,,,,,2010-05
JD하모1,2010-06-01,S11,0.568,,,,,,,2010-06
JD하모1,2010-07-01,S11,0.859,,,,,,,2010-07
JD하모1,2010-08-01,S11,0.705,,,,,,,2010-08
JD하모1,2010-09-01,S11,0.685,,,,,,,2010-09
JD하모1,2010-10-01,S11,0.559,,,,,,,2010-10
