관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD하천1,2005-01-01,S11,0.62,,,,,,,2005-01
JD하천1,2005-02-01,S11,0.562,,,,,,,2005-02
JD하천1,2005-03-01,S11,0.51,,,,,,,2005-03
JD하천1,2005-04-01,S11,0.605,,,,,,,2005-04
JD하천1,2005-05-01,S11,0.749,,,,,,,2005-05
JD하천1,2005-06-01,S11,0.868,,,,,,,2005-06
JD하천1,2005-07-01,S11,0.827,,,,,,,2005-07
JD하천1,2005-08-01,S11,0.86,,,,,,,2005-08
JD하천1,2005-09-01,S11,0.88,,,,,,,2005-09
JD하천1,2005-10-01,S11,0.666,,,,,,,2005-10
JD하천1,2005-11-01,S11,0.568,,,,,,,2005-11
JD하천1,2005-12-01,S11,0.443,,,,,,,2005-12
JD하천1,2006-01-01,S11,0.448,,,,,,,2006-01
JD하천1,2006-02-01,S11,0.247,,,,,,,2006-02
JD하천1,2006-03-01,S11,0.238,,,,,,,2006-03
JD하천1,2006-04-01,S11,0.471,,,,,,,2006-04
JD하천1,2006-05-01,S11,0.481,,,,,,,2006-05
JD하천1,2006-06-01,S11,0.642,,,,,,,2006-06
JD하천1,2006-07-01,S11,0.858,,,,,,,2006-07
JD하천1,2006-08-01,S11,0.629,,,,,,,2006-08
JD하천1,2006-09-01,S11,0.674,,,,,,,2006-09
JD하천1,2006-10-01,S11,0.604,,,,,,,2006-10
JD하천1,2006-11-01,S11,0.417,,,,,,,2006-11
JD하천1,2006-12-01,S11,0.318,,,,,,,2006-12
JD하천1,2007-01-01,S11,0.239,,,,,,,2007-01
JD하천1,2007-02-01,S11,0.18,,,,,,,2007-02
JD하천1,2007-04-01,S11,0.503,,,,,,,2007-04
JD하천1,2007-05-01,S11,0.657,,,,,,,2007-05
JD하천1,2007-06-01,S11,0.759,,,,,,,2007-06
JD하천1,2007-07-01,S11,1.008,,,,,,,2007-07
JD하천1,2007-08-01,S11,0.776,,,,,,,2007-08
JD하천1,2007-09-01,S11,1.351,,,,,,,2007-09
JD하천1,2007-10-01,S11,0.777,,,,,,,2007-10
JD하천1,2007-11-01,S11,0.723,,,,,,,2007-11
JD하천1,2007-12-01,S11,0.593,,,,,,,2007-12
JD하천1,2008-01-01,S11,0.47,,,,,,,2008-01
JD하천1,2008-02-01,S11,0.397,,,,,,,2008-02
JD하천1,2008-03-01,S11,0.416,,,,,,,2008-03
JD하천1,2008-04-01,S11,0.529,,,,,,,2008-04
JD하천1,2008-05-01,S11,0.614,,,,,,,2008-05
JD하천1,2008-06-01,S11,0.79,,,,,,,2008-06
JD하천1,2008-07-01,S11,0.774,,,,,,,2008-07
JD하천1,2008-08-01,S11,0.729,,,,,,,2008-08
JD하천1,2008-09-01,S11,0.593,,,,,,,2008-09
JD하천1,2008-10-01,S11,0.599,,,,,,,2008-10
JD하천1,2008-11-01,S11,0.559,,,,,,,2008-11
JD하천1,2008-12-01,S11,0.456,,,,,,,2008-12
JD하천1,2009-01-01,S11,0.324,,,,,,,2009-01
JD하천1,2009-02-01,S11,0.382,,,,,,,2009-02
JD하천1,2009-03-01,S11,0.429,,,,,,,2009-03
JD하천1,2009-04-01,S11,0.566,,,,,,,2009-04
JD하천1,2009-05-01,S11,0.602,,,,,,,2009-05
JD하천1,2009-06-01,S11,0.602,,,,,,,2009-06
JD하천1,2009-07-01,S11,0.796,,,,,,,2009-07
JD하천1,2009-08-01,S11,0.855,,,,,,,2009-08
JD하천1,2009-09-01,S11,0.776,,,,,,,2009-09
JD하천1,2009-10-01,S11,0.748,,,,,,,2009-10
JD하천1,2009-11-01,S11,0.608,,,,,,,2009-11
JD하천1,2009-12-01,S11,0.532,,,,,,,2009-12
JD하천1,2010-01-01,S11,0.356,,,,,,,2010-01
JD하천1,2010-02-01,S11,0.411,,,,,,,2010-02
JD하천1,2010-03-01,S11,0.483,,,,,,,2010-03
JD하천1,2010-04-01,S11,0.679,,,,,,,2010-04
JD하천1,2010-05-01,S11,0.722,,,,,,,2010-05
JD하천1,2010-06-01,S11,0.676,,,,,,,2010-06
