관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD한동1,2005-01-01,S11,0.827,,,,,,,2005-01
JD한동1,2005-02-01,S11,0.812,,,,,,,2005-02
JD한동1,2005-03-01,S11,0.72,,,,,,,2005-03
JD한동1,2005-04-01,S11,0.742,,,,,,,2005-04
JD한동1,2005-05-01,S11,0.854,,,,,,,2005-05
JD한동1,2005-06-01,S11,0.871,,,,,,,2005-06
JD한동1,2005-07-01,S11,0.888,,,,,,,2005-07
JD한동1,2005-08-01,S11,0.934,,,,,,,2005-08
JD한동1,2005-09-01,S11,0.937,,,,,,,2005-09
JD한동1,2005-10-01,S11,0.79,,,,,,,2005-10
JD한동1,2005-11-01,S11,0.794,,,,,,,2005-11
JD한동1,2005-12-01,S11,0.686,,,,,,,2005-12
JD한동1,2006-01-01,S11,0.746,,,,,,,2006-01
JD한동1,2006-02-01,S11,0.671,,,,,,,2006-02
JD한동1,2006-03-01,S11,0.676,,,,,,,2006-03
JD한동1,2006-04-01,S11,0.803,,,,,,,2006-04
JD한동1,2006-05-01,S11,0.892,,,,,,,2006-05
JD한동1,2006-06-01,S11,1.015,,,,,,,2006-06
JD한동1,2006-07-01,S11,1.31,,,,,,,2006-07
JD한동1,2006-08-01,S11,1.046,,,,,,,2006-08
JD한동1,2006-09-01,S11,1.02,,,,,,,2006-09
JD한동1,2006-10-01,S11,0.991,,,,,,,2006-10
JD한동1,2006-11-01,S11,0.828,,,,,,,2006-11
JD한동1,2006-12-01,S11,0.714,,,,,,,2006-12
JD한동1,2007-01-01,S11,0.646,,,,,,,2007-01
JD한동1,2007-02-01,S11,0.614,,,,,,,2007-02
JD한동1,2007-03-01,S11,0.73,,,,,,,2007-03
JD한동1,2007-04-01,S11,0.72,,,,,,,2007-04
JD한동1,2007-05-01,S11,0.815,,,,,,,2007-05
JD한동1,2007-06-01,S11,0.841,,,,,,,2007-06
JD한동1,2007-07-01,S11,1.022,,,,,,,2007-07
JD한동1,2007-08-01,S11,1.071,,,,,,,2007-08
JD한동1,2007-09-01,S11,1.694,,,,,,,2007-09
JD한동1,2007-10-01,S11,1.047,,,,,,,2007-10
JD한동1,2007-11-01,S11,0.944,,,,,,,2007-11
JD한동1,2007-12-01,S11,0.81,,,,,,,2007-12
JD한동1,2008-01-01,S11,0.765,,,,,,,2008-01
JD한동1,2008-02-01,S11,0.704,,,,,,,2008-02
JD한동1,2008-03-01,S11,0.731,,,,,,,2008-03
JD한동1,2008-04-01,S11,0.83,,,,,,,2008-04
JD한동1,2008-05-01,S11,0.892,,,,,,,2008-05
JD한동1,2008-06-01,S11,1.028,,,,,,,2008-06
JD한동1,2008-07-01,S11,1.068,,,,,,,2008-07
JD한동1,2008-08-01,S11,1.073,,,,,,,2008-08
JD한동1,2008-09-01,S11,1.002,,,,,,,2008-09
JD한동1,2008-10-01,S11,0.927,,,,,,,2008-10
JD한동1,2008-11-01,S11,0.852,,,,,,,2008-11
JD한동1,2008-12-01,S11,0.725,,,,,,,2008-12
JD한동1,2009-01-01,S11,0.616,,,,,,,2009-01
JD한동1,2009-02-01,S11,0.688,,,,,,,2009-02
JD한동1,2009-03-01,S11,0.665,,,,,,,2009-03
JD한동1,2009-04-01,S11,0.743,,,,,,,2009-04
JD한동1,2009-05-01,S11,0.844,,,,,,,2009-05
JD한동1,2009-06-01,S11,0.935,,,,,,,2009-06
JD한동1,2009-07-01,S11,1.086,,,,,,,2009-07
JD한동1,2009-08-01,S11,1.047,,,,,,,2009-08
JD한동1,2009-09-01,S11,0.971,,,,,,,2009-09
JD한동1,2009-10-01,S11,1.015,,,,,,,2009-10
JD한동1,2009-11-01,S11,0.845,,,,,,,2009-11
JD한동1,2009-12-01,S11,0.774,,,,,,,2009-12
JD한동1,2010-01-01,S11,0.61,,,,,,,2010-01
JD한동1,2010-02-01,S11,0.709,,,,,,,2010-02
JD한동1,2010-03-01,S11,0.717,,,,,,,2010-03
JD한동1,2010-04-01,S11,0.806,,,,,,,2010-04
JD한동1,2010-05-01,S11,0.87,,,,,,,2010-05
JD한동1,2010-06-01,S11,0.855,,,,,,,2010-06
JD한동1,2010-07-01,S11,1.018,,,,,,,2010-07
JD한동1,2010-08-01,S11,0.987,,,,,,,2010-08
JD한동1,2010-09-01,S11,1.088,,,,,,,2010-09
JD한동1,2010-10-01,S11,0.923,,,,,,,2010-10
JD한동1,2010-11-01,S11,0.837,,,,,,,2010-11
JD한동1,2010-12-01,S11,0.706,,,,,,,2010-12
JD한동1,2011-01-01,S11,0.578,,,,,,,2011-01
JD한동1,2011-02-01,S11,0.616,,,,,,,2011-02
JD한동1,2011-03-01,S11,0.57,,,,,,,2011-03
JD한동1,2011-04-01,S11,0.626,,,,,,,2011-04
JD한동1,2011-05-01,S11,0.751,,,,,,,2011-05
JD한동1,2011-06-01,S11,0.866,,,,,,,2011-06
JD한동1,2011-07-01,S11,0.927,,,,,,,2011-07
JD한동1,2011-08-01,S11,0.993,,,,,,,2011-08
JD한동1,2011-09-01,S11,1.067,,,,,,,2011-09
JD한동1,2011-10-01,S11,0.9,,,,,,,2011-10
JD한동1,2011-11-01,S11,0.934,,,,,,,2011-11
JD한동1,2011-12-01,S11,0.78,,,,,,,2011-12
JD한동1,2012-01-01,S11,0.727,,,,,,,2012-01
JD한동1,2012-02-01,S11,0.658,,,,,,,2012-02
JD한동1,2012-03-01,S11,0.749,,,,,,,2012-03
JD한동1,2012-04-01,S11,0.785,,,,,,,2012-04
JD한동1,2012-05-01,S11,1.005,,,,,,,2012-05
JD한동1,2012-06-01,S11,0.891,,,,,,,2012-06
JD한동1,2012-07-01,S11,0.933,,,,,,,2012-07
JD한동1,2012-08-01,S11,1.074,,,,,,,2012-08
JD한동1,2012-09-01,S11,1.354,,,,,,,2012-09
JD한동1,2012-10-01,S11,1.109,,,,,,,2012-10
JD한동1,2012-11-01,S11,0.882,,,,,,,2012-11
JD한동1,2012-12-01,S11,0.727,,,,,,,2012-12
JD한동1,2013-01-01,S11,0.879,,,,,,,2013-01
JD한동1,2013-02-01,S11,0.735,,,,,,,2013-02
JD한동1,2013-03-01,S11,0.688,,,,,,,2013-03
JD한동1,2013-04-01,S11,0.774,,,,,,,2013-04
JD한동1,2013-05-01,S11,0.821,,,,,,,2013-05
JD한동1,2013-06-01,S11,0.795,,,,,,,2013-06
JD한동1,2013-07-01,S11,0.817,,,,,,,2013-07
JD한동1,2013-08-01,S11,0.937,,,,,,,2013-08
JD한동1,2013-09-01,S11,0.877,,,,,,,2013-09
JD한동1,2013-10-01,S11,0.913,,,,,,,2013-10
JD한동1,2013-11-01,S11,0.765,,,,,,,2013-11
JD한동1,2013-12-01,S11,0.68,,,,,,,2013-12
JD한동1,2014-01-01,S11,0.676,,,,,,,2014-01
JD한동1,2014-02-01,S11,0.709,,,,,,,2014-02
JD한동1,2014-03-01,S11,0.697,,,,,,,2014-03
JD한동1,2014-04-01,S11,0.714,,,,,,,2014-04
JD한동1,2014-05-01,S11,0.676,,,,,,,2014-05
JD한동1,2014-06-01,S11,0.861,,,,,,,2014-06
JD한동1,2014-07-01,S11,0.79,,,,,,,2014-07
JD한동1,2014-08-01,S11,1.055,,,,,,,2014-08
JD한동1,2014-09-01,S11,1.02,,,,,,,2014-09
JD한동1,2014-10-01,S11,0.89,,,,,,,2014-10
JD한동1,2014-11-01,S11,0.789,,,,,,,2014-11
JD한동1,2014-12-01,S11,0.604,,,,,,,2014-12
JD한동1,2015-01-01,S11,0.591,,,,,,,2015-01
JD한동1,2015-02-01,S11,0.583,,,,,,,2015-02
JD한동1,2015-03-01,S11,0.585,,,,,,,2015-03
JD한동1,2015-04-01,S11,0.679,,,,,,,2015-04
JD한동1,2015-05-01,S11,0.85,,,,,,,2015-05
JD한동1,2015-06-01,S11,0.862,,,,,,,2015-06
JD한동1,2015-07-01,S11,1.092,,,,,,,2015-07
JD한동1,2015-08-01,S11,1.022,,,,,,,2015-08
JD한동1,2015-09-01,S11,0.996,,,,,,,2015-09
