관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD한림1,2005-11-01,S11,0.799,,,,,,,2005-11
JD한림1,2005-12-01,S11,0.78,,,,,,,2005-12
JD한림1,2006-01-01,S11,0.803,,,,,,,2006-01
JD한림1,2006-02-01,S11,0.73,,,,,,,2006-02
JD한림1,2006-03-01,S11,0.674,,,,,,,2006-03
JD한림1,2006-04-01,S11,0.841,,,,,,,2006-04
JD한림1,2006-05-01,S11,1.088,,,,,,,2006-05
JD한림1,2006-06-01,S11,1.229,,,,,,,2006-06
JD한림1,2006-07-01,S11,2.192,,,,,,,2006-07
JD한림1,2006-08-01,S11,1.475,,,,,,,2006-08
JD한림1,2006-09-01,S11,1.543,,,,,,,2006-09
JD한림1,2006-10-01,S11,1.263,,,,,,,2006-10
JD한림1,2006-11-01,S11,1.195,,,,,,,2006-11
JD한림1,2006-12-01,S11,1.131,,,,,,,2006-12
JD한림1,2007-01-01,S11,1.066,,,,,,,2007-01
JD한림1,2007-02-01,S11,0.808,,,,,,,2007-02
JD한림1,2007-03-01,S11,0.925,,,,,,,2007-03
JD한림1,2007-04-01,S11,0.816,,,,,,,2007-04
JD한림1,2007-05-01,S11,0.845,,,,,,,2007-05
JD한림1,2007-06-01,S11,0.859,,,,,,,2007-06
JD한림1,2007-07-01,S11,1.279,,,,,,,2007-07
JD한림1,2007-08-01,S11,1.182,,,,,,,2007-08
JD한림1,2007-09-01,S11,2.372,,,,,,,2007-09
JD한림1,2007-10-01,S11,1.163,,,,,,,2007-10
JD한림1,2007-11-01,S11,1.098,,,,,,,2007-11
JD한림1,2007-12-01,S11,1.041,,,,,,,2007-12
JD한림1,2008-01-01,S11,0.948,,,,,,,2008-01
JD한림1,2008-02-01,S11,0.85,,,,,,,2008-02
JD한림1,2008-03-01,S11,0.866,,,,,,,2008-03
JD한림1,2008-04-01,S11,0.883,,,,,,,2008-04
JD한림1,2008-05-01,S11,0.925,,,,,,,2008-05
JD한림1,2008-06-01,S11,1.203,,,,,,,2008-06
JD한림1,2008-07-01,S11,1.064,,,,,,,2008-07
JD한림1,2008-08-01,S11,0.95,,,,,,,2008-08
JD한림1,2008-09-01,S11,0.883,,,,,,,2008-09
JD한림1,2008-10-01,S11,0.842,,,,,,,2008-10
JD한림1,2008-11-01,S11,0.79,,,,,,,2008-11
JD한림1,2008-12-01,S11,0.681,,,,,,,2008-12
JD한림1,2009-01-01,S11,0.579,,,,,,,2009-01
JD한림1,2009-02-01,S11,0.653,,,,,,,2009-02
JD한림1,2009-03-01,S11,0.615,,,,,,,2009-03
JD한림1,2009-04-01,S11,0.673,,,,,,,2009-04
JD한림1,2009-05-01,S11,0.781,,,,,,,2009-05
JD한림1,2009-06-01,S11,0.971,,,,,,,2009-06
JD한림1,2009-07-01,S11,1.111,,,,,,,2009-07
JD한림1,2009-08-01,S11,1.016,,,,,,,2009-08
JD한림1,2009-09-01,S11,0.989,,,,,,,2009-09
JD한림1,2009-10-01,S11,1.017,,,,,,,2009-10
JD한림1,2009-11-01,S11,0.911,,,,,,,2009-11
JD한림1,2009-12-01,S11,0.761,,,,,,,2009-12
JD한림1,2010-01-01,S11,0.596,,,,,,,2010-01
JD한림1,2010-02-01,S11,0.7,,,,,,,2010-02
JD한림1,2010-03-01,S11,0.878,,,,,,,2010-03
JD한림1,2010-04-01,S11,1.029,,,,,,,2010-04
JD한림1,2010-05-01,S11,0.922,,,,,,,2010-05
JD한림1,2010-06-01,S11,1.008,,,,,,,2010-06
JD한림1,2010-07-01,S11,1.482,,,,,,,2010-07
JD한림1,2010-08-01,S11,1.282,,,,,,,2010-08
JD한림1,2010-09-01,S11,1.666,,,,,,,2010-09
JD한림1,2010-10-01,S11,1.233,,,,,,,2010-10
JD한림1,2010-11-01,S11,1.134,,,,,,,2010-11
JD한림1,2010-12-01,S11,1.014,,,,,,,2010-12
JD한림1,2011-01-01,S11,0.881,,,,,,,2011-01
JD한림1,2011-02-01,S11,0.859,,,,,,,2011-02
JD한림1,2011-03-01,S11,0.764,,,,,,,2011-03
JD한림1,2011-04-01,S11,0.785,,,,,,,2011-04
JD한림1,2011-05-01,S11,0.848,,,,,,,2011-05
JD한림1,2011-06-01,S11,1.133,,,,,,,2011-06
JD한림1,2011-07-01,S11,1.071,,,,,,,2011-07
JD한림1,2011-08-01,S11,1.213,,,,,,,2011-08
JD한림1,2011-09-01,S11,1.1,,,,,,,2011-09
JD한림1,2011-10-01,S11,1.029,,,,,,,2011-10
JD한림1,2011-11-01,S11,1.262,,,,,,,2011-11
JD한림1,2011-12-01,S11,0.95,,,,,,,2011-12
JD한림1,2012-01-01,S11,0.895,,,,,,,2012-01
JD한림1,2012-02-01,S11,0.849,,,,,,,2012-02
JD한림1,2012-03-01,S11,0.95,,,,,,,2012-03
JD한림1,2012-04-01,S11,1.106,,,,,,,2012-04
JD한림1,2012-05-01,S11,1.194,,,,,,,2012-05
JD한림1,2012-06-01,S11,1.082,,,,,,,2012-06
JD한림1,2012-07-01,S11,1.282,,,,,,,2012-07
JD한림1,2012-08-01,S11,1.645,,,,,,,2012-08
JD한림1,2012-09-01,S11,2.163,,,,,,,2012-09
JD한림1,2012-10-01,S11,1.352,,,,,,,2012-10
JD한림1,2012-11-01,S11,1.269,,,,,,,2012-11
JD한림1,2012-12-01,S11,1.173,,,,,,,2012-12
JD한림1,2013-01-01,S11,1.05,,,,,,,2013-01
JD한림1,2013-02-01,S11,0.982,,,,,,,2013-02
JD한림1,2013-03-01,S11,0.997,,,,,,,2013-03
JD한림1,2013-04-01,S11,0.924,,,,,,,2013-04
JD한림1,2013-05-01,S11,0.872,,,,,,,2013-05
JD한림1,2013-06-01,S11,0.866,,,,,,,2013-06
JD한림1,2013-07-01,S11,0.976,,,,,,,2013-07
JD한림1,2013-08-01,S11,0.961,,,,,,,2013-08
JD한림1,2013-09-01,S11,0.858,,,,,,,2013-09
JD한림1,2013-10-01,S11,0.871,,,,,,,2013-10
JD한림1,2013-11-01,S11,0.699,,,,,,,2013-11
JD한림1,2013-12-01,S11,0.623,,,,,,,2013-12
JD한림1,2014-01-01,S11,0.625,,,,,,,2014-01
JD한림1,2014-02-01,S11,0.724,,,,,,,2014-02
JD한림1,2014-03-01,S11,0.813,,,,,,,2014-03
JD한림1,2014-04-01,S11,0.688,,,,,,,2014-04
JD한림1,2014-05-01,S11,0.691,,,,,,,2014-05
JD한림1,2014-06-01,S11,0.71,,,,,,,2014-06
JD한림1,2014-07-01,S11,0.9,,,,,,,2014-07
