관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD함덕2,2005-01-01,S11,1.972,,,,,,,2005-01
JD함덕2,2005-02-01,S11,1.919,,,,,,,2005-02
JD함덕2,2005-03-01,S11,1.807,,,,,,,2005-03
JD함덕2,2005-04-01,S11,1.786,,,,,,,2005-04
JD함덕2,2005-05-01,S11,1.811,,,,,,,2005-05
JD함덕2,2005-06-01,S11,1.758,,,,,,,2005-06
JD함덕2,2005-07-01,S11,1.654,,,,,,,2005-07
JD함덕2,2005-08-01,S11,1.891,,,,,,,2005-08
JD함덕2,2005-09-01,S11,2.229,,,,,,,2005-09
JD함덕2,2005-10-01,S11,1.726,,,,,,,2005-10
JD함덕2,2005-11-01,S11,1.641,,,,,,,2005-11
JD함덕2,2005-12-01,S11,1.441,,,,,,,2005-12
JD함덕2,2006-01-01,S11,1.375,,,,,,,2006-01
JD함덕2,2006-02-01,S11,1.339,,,,,,,2006-02
JD함덕2,2006-03-01,S11,1.369,,,,,,,2006-03
JD함덕2,2006-04-01,S11,1.576,,,,,,,2006-04
JD함덕2,2006-05-01,S11,1.945,,,,,,,2006-05
JD함덕2,2006-06-01,S11,2.265,,,,,,,2006-06
JD함덕2,2006-07-01,S11,5.334,,,,,,,2006-07
JD함덕2,2006-08-01,S11,3.666,,,,,,,2006-08
JD함덕2,2006-09-01,S11,3.276,,,,,,,2006-09
JD함덕2,2006-10-01,S11,3.218,,,,,,,2006-10
JD함덕2,2006-11-01,S11,2.366,,,,,,,2006-11
JD함덕2,2006-12-01,S11,2.033,,,,,,,2006-12
JD함덕2,2007-01-01,S11,1.823,,,,,,,2007-01
JD함덕2,2007-02-01,S11,1.689,,,,,,,2007-02
JD함덕2,2007-03-01,S11,1.897,,,,,,,2007-03
JD함덕2,2007-04-01,S11,1.729,,,,,,,2007-04
JD함덕2,2007-05-01,S11,1.613,,,,,,,2007-05
JD함덕2,2007-06-01,S11,1.657,,,,,,,2007-06
JD함덕2,2007-07-01,S11,2.826,,,,,,,2007-07
JD함덕2,2007-08-01,S11,2.918,,,,,,,2007-08
JD함덕2,2007-09-01,S11,9.685,,,,,,,2007-09
JD함덕2,2007-10-01,S11,7.929,,,,,,,2007-10
JD함덕2,2007-11-01,S11,4.344,,,,,,,2007-11
JD함덕2,2007-12-01,S11,2.964,,,,,,,2007-12
JD함덕2,2008-01-01,S11,2.845,,,,,,,2008-01
JD함덕2,2008-02-01,S11,2.949,,,,,,,2008-02
JD함덕2,2008-03-01,S11,2.345,,,,,,,2008-03
JD함덕2,2008-04-01,S11,2.363,,,,,,,2008-04
JD함덕2,2008-05-01,S11,2.333,,,,,,,2008-05
JD함덕2,2008-06-01,S11,2.814,,,,,,,2008-06
JD함덕2,2008-07-01,S11,3.504,,,,,,,2008-07
JD함덕2,2008-08-01,S11,3.374,,,,,,,2008-08
JD함덕2,2008-09-01,S11,3.229,,,,,,,2008-09
