관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD협재,2009-02-01,S11,4.944,,,,,,,2009-02
JD협재,2009-03-01,S11,4.931,,,,,,,2009-03
JD협재,2009-04-01,S11,4.904,,,,,,,2009-04
JD협재,2009-05-01,S11,4.834,,,,,,,2009-05
JD협재,2009-06-01,S11,4.842,,,,,,,2009-06
JD협재,2009-07-01,S11,5.056,,,,,,,2009-07
JD협재,2009-08-01,S11,5.2,,,,,,,2009-08
JD협재,2009-09-01,S11,4.752,,,,,,,2009-09
JD협재,2009-10-01,S11,4.776,,,,,,,2009-10
JD협재,2009-11-01,S11,4.679,,,,,,,2009-11
JD협재,2009-12-01,S11,4.662,,,,,,,2009-12
JD협재,2010-01-01,S11,4.54,,,,,,,2010-01
JD협재,2010-02-01,S11,4.346,,,,,,,2010-02
JD협재,2010-03-01,S11,4.29,,,,,,,2010-03
JD협재,2010-04-01,S11,4.714,,,,,,,2010-04
JD협재,2010-05-01,S11,4.872,,,,,,,2010-05
JD협재,2010-06-01,S11,4.899,,,,,,,2010-06
JD협재,2010-07-01,S11,5.62,,,,,,,2010-07
JD협재,2010-08-01,S11,6.253,,,,,,,2010-08
JD협재,2010-09-01,S11,7.164,,,,,,,2010-09
JD협재,2010-10-01,S11,7.706,,,,,,,2010-10
JD협재,2010-11-01,S11,7.064,,,,,,,2010-11
JD협재,2010-12-01,S11,6.803,,,,,,,2010-12
JD협재,2011-01-01,S11,6.519,,,,,,,2011-01
JD협재,2011-02-01,S11,6.083,,,,,,,2011-02
JD협재,2011-03-01,S11,5.849,,,,,,,2011-03
JD협재,2011-04-01,S11,5.58,,,,,,,2011-04
JD협재,2011-05-01,S11,5.369,,,,,,,2011-05
JD협재,2011-06-01,S11,5.265,,,,,,,2011-06
JD협재,2011-07-01,S11,5.756,,,,,,,2011-07
JD협재,2011-08-01,S11,6.172,,,,,,,2011-08
JD협재,2011-09-01,S11,5.789,,,,,,,2011-09
JD협재,2011-10-01,S11,5.458,,,,,,,2011-10
JD협재,2011-11-01,S11,6.233,,,,,,,2011-11
JD협재,2011-12-01,S11,6.648,,,,,,,2011-12
JD협재,2012-01-01,S11,6.312,,,,,,,2012-01
JD협재,2012-02-01,S11,6.006,,,,,,,2012-02
JD협재,2012-03-01,S11,5.875,,,,,,,2012-03
JD협재,2012-04-01,S11,5.993,,,,,,,2012-04
JD협재,2012-05-01,S11,6.731,,,,,,,2012-05
JD협재,2012-06-01,S11,6.592,,,,,,,2012-06
JD협재,2012-07-01,S11,6.75,,,,,,,2012-07
JD협재,2012-08-01,S11,6.855,,,,,,,2012-08
