관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JH신례2,2009-02-01,S11,296.458,,,,,,,2009-02
JH신례2,2009-03-01,S11,297.188,,,,,,,2009-03
JH신례2,2009-04-01,S11,296.309,,,,,,,2009-04
JH신례2,2009-05-01,S11,295.332,,,,,,,2009-05
JH신례2,2009-06-01,S11,294.506,,,,,,,2009-06
JH신례2,2009-07-01,S11,293.036,,,,,,,2009-07
JH신례2,2009-08-01,S11,291.483,,,,,,,2009-08
JH신례2,2009-09-01,S11,291.806,,,,,,,2009-09
JH신례2,2009-10-01,S11,292.524,,,,,,,2009-10
JH신례2,2009-11-01,S11,292.246,,,,,,,2009-11
JH신례2,2009-12-01,S11,291.329,,,,,,,2009-12
JH신례2,2010-01-01,S11,291.394,,,,,,,2010-01
JH신례2,2010-02-01,S11,290.525,,,,,,,2010-02
JH신례2,2010-03-01,S11,290.155,,,,,,,2010-03
JH신례2,2010-04-01,S11,290.46,,,,,,,2010-04
JH신례2,2010-05-01,S11,291.226,,,,,,,2010-05
JH신례2,2010-06-01,S11,292.171,,,,,,,2010-06
JH신례2,2010-07-01,S11,293.35,,,,,,,2010-07
JH신례2,2010-08-01,S11,293.805,,,,,,,2010-08
JH신례2,2010-09-01,S11,295.402,,,,,,,2010-09
JH신례2,2010-10-01,S11,296.665,,,,,,,2010-10
JH신례2,2010-11-01,S11,296.301,,,,,,,2010-11
JH신례2,2010-12-01,S11,295.592,,,,,,,2010-12
JH신례2,2011-01-01,S11,294.578,,,,,,,2011-01
JH신례2,2011-02-01,S11,293.776,,,,,,,2011-02
JH신례2,2011-03-01,S11,292.959,,,,,,,2011-03
JH신례2,2011-04-01,S11,292.195,,,,,,,2011-04
JH신례2,2011-05-01,S11,292.106,,,,,,,2011-05
JH신례2,2011-06-01,S11,292.177,,,,,,,2011-06
JH신례2,2011-07-01,S11,292.894,,,,,,,2011-07
JH신례2,2011-08-01,S11,294.094,,,,,,,2011-08
JH신례2,2011-09-01,S11,295.002,,,,,,,2011-09
JH신례2,2011-10-01,S11,295.034,,,,,,,2011-10
JH신례2,2011-11-01,S11,294.776,,,,,,,2011-11
JH신례2,2011-12-01,S11,293.664,,,,,,,2011-12
JH신례2,2012-01-01,S11,292.585,,,,,,,2012-01
JH신례2,2012-02-01,S11,292.039,,,,,,,2012-02
JH신례2,2012-03-01,S11,292.397,,,,,,,2012-03
JH신례2,2012-04-01,S11,292.521,,,,,,,2012-04
JH신례2,2012-05-01,S11,293.178,,,,,,,2012-05
JH신례2,2012-06-01,S11,294.153,,,,,,,2012-06
JH신례2,2012-07-01,S11,294.585,,,,,,,2012-07
JH신례2,2012-08-01,S11,294.676,,,,,,,2012-08
JH신례2,2012-09-01,S11,295.339,,,,,,,2012-09
JH신례2,2012-10-01,S11,295.974,,,,,,,2012-10
JH신례2,2012-11-01,S11,296.058,,,,,,,2012-11
JH신례2,2012-12-01,S11,295.581,,,,,,,2012-12
JH신례2,2013-01-01,S11,294.941,,,,,,,2013-01
JH신례2,2013-02-01,S11,294.625,,,,,,,2013-02
JH신례2,2013-03-01,S11,294.32,,,,,,,2013-03
JH신례2,2013-04-01,S11,294.084,,,,,,,2013-04
JH신례2,2013-05-01,S11,293.826,,,,,,,2013-05
JH신례2,2013-06-01,S11,293.584,,,,,,,2013-06
JH신례2,2013-07-01,S11,293.391,,,,,,,2013-07
JH신례2,2013-08-01,S11,293.511,,,,,,,2013-08
JH신례2,2013-09-01,S11,293.126,,,,,,,2013-09
JH신례2,2013-10-01,S11,293.05,,,,,,,2013-10
JH신례2,2013-11-01,S11,292.726,,,,,,,2013-11
JH신례2,2013-12-01,S11,292.16,,,,,,,2013-12
JH신례2,2014-01-01,S11,291.609,,,,,,,2014-01
JH신례2,2014-02-01,S11,291.27,,,,,,,2014-02
JH신례2,2014-03-01,S11,291.051,,,,,,,2014-03
JH신례2,2014-04-01,S11,290.796,,,,,,,2014-04
JH신례2,2014-05-01,S11,290.715,,,,,,,2014-05
JH신례2,2014-06-01,S11,290.972,,,,,,,2014-06
JH신례2,2014-07-01,S11,291.593,,,,,,,2014-07
JH신례2,2014-08-01,S11,292.865,,,,,,,2014-08
JH신례2,2014-09-01,S11,294.083,,,,,,,2014-09
JH신례2,2014-10-01,S11,294.814,,,,,,,2014-10
JH신례2,2014-11-01,S11,294.95,,,,,,,2014-11
JH신례2,2014-12-01,S11,294.62,,,,,,,2014-12
JH신례2,2015-01-01,S11,294.02,,,,,,,2015-01
JH신례2,2015-02-01,S11,293.542,,,,,,,2015-02
JH신례2,2015-03-01,S11,292.944,,,,,,,2015-03
JH신례2,2015-04-01,S11,292.777,,,,,,,2015-04
JH신례2,2015-05-01,S11,292.806,,,,,,,2015-05
JH신례2,2015-06-01,S11,293.099,,,,,,,2015-06
JH신례2,2015-07-01,S11,293.723,,,,,,,2015-07
JH신례2,2015-08-01,S11,294.034,,,,,,,2015-08
JH신례2,2015-09-01,S11,294.521,,,,,,,2015-09
JH신례2,2015-10-01,S11,294.502,,,,,,,2015-10
JH신례2,2015-11-01,S11,294.41,,,,,,,2015-11
JH신례2,2015-12-01,S11,294.233,,,,,,,2015-12
JH신례2,2016-01-01,S11,293.764,,,,,,,2016-01
JH신례2,2016-02-01,S11,293.497,,,,,,,2016-02
JH신례2,2016-03-01,S11,293.297,,,,,,,2016-03
JH신례2,2016-04-01,S11,293.471,,,,,,,2016-04
JH신례2,2016-05-01,S11,293.658,,,,,,,2016-05
JH신례2,2016-06-01,S11,294.028,,,,,,,2016-06
JH신례2,2016-07-01,S11,293.969,,,,,,,2016-07
JH신례2,2016-08-01,S11,293.983,,,,,,,2016-08
JH신례2,2016-09-01,S11,293.978,,,,,,,2016-09
JH신례2,2016-10-01,S11,293.819,,,,,,,2016-10
JH신례2,2016-11-01,S11,293.558,,,,,,,2016-11
JH신례2,2016-12-01,S11,293.374,,,,,,,2016-12
JH신례2,2017-01-01,S11,293.211,,,,,,,2017-01
JH신례2,2017-02-01,S11,292.913,,,,,,,2017-02
JH신례2,2017-03-01,S11,292.61,,,,,,,2017-03
JH신례2,2017-04-01,S11,292.363,,,,,,,2017-04
JH신례2,2017-05-01,S11,291.992,,,,,,,2017-05
JH신례2,2017-06-01,S11,291.643,,,,,,,2017-06
JH신례2,2017-07-01,S11,291.23,,,,,,,2017-07
JH신례2,2017-08-01,S11,290.834,,,,,,,2017-08
JH신례2,2017-09-01,S11,290.506,,,,,,,2017-09
JH신례2,2017-10-01,S11,290.451,,,,,,,2017-10
JH신례2,2017-11-01,S11,290.492,,,,,,,2017-11
JH신례2,2017-12-01,S11,290.587,,,,,,,2017-12
JH신례2,2018-01-01,S11,290.357,,,,,,,2018-01
JH신례2,2018-02-01,S11,289.923,,,,,,,2018-02
JH신례2,2018-03-01,S11,289.741,,,,,,,2018-03
JH신례2,2018-04-01,S11,289.619,,,,,,,2018-04
JH신례2,2018-05-01,S11,289.287,,,,,,,2018-05
JH신례2,2018-06-01,S11,288.716,,,,,,,2018-06
JH신례2,2018-07-01,S11,288.924,,,,,,,2018-07
JH신례2,2018-08-01,S11,289.406,,,,,,,2018-08
JH신례2,2018-09-01,S11,289.519,,,,,,,2018-09
JH신례2,2018-10-01,S11,289.234,,,,,,,2018-10
JH신례2,2018-11-01,S11,289.238,,,,,,,2018-11
JH신례2,2018-12-01,S11,288.987,,,,,,,2018-12
JH신례2,2019-01-01,S11,288.52,,,,,,,2019-01
JH신례2,2019-02-01,S11,288.104,,,,,,,2019-02
JH신례2,2019-03-01,S11,287.79,,,,,,,2019-03
JH신례2,2019-04-01,S11,287.534,,,,,,,2019-04
JH신례2,2019-05-01,S11,287.334,,,,,,,2019-05
JH신례2,2019-06-01,S11,287.592,,,,,,,2019-06
JH신례2,2019-07-01,S11,287.974,,,,,,,2019-07
JH신례2,2019-08-01,S11,288.46,,,,,,,2019-08
JH신례2,2019-09-01,S11,289.336,,,,,,,2019-09
JH신례2,2019-10-01,S11,291.363,,,,,,,2019-10
JH신례2,2019-11-01,S11,293.14,,,,,,,2019-11
JH신례2,2019-12-01,S11,293.272,,,,,,,2019-12
JH신례2,2020-01-01,S11,292.371,,,,,,,2020-01
JH신례2,2020-02-01,S11,291.342,,,,,,,2020-02
JH신례2,2020-03-01,S11,290.552,,,,,,,2020-03
JH신례2,2020-04-01,S11,289.896,,,,,,,2020-04
JH신례2,2020-05-01,S11,289.646,,,,,,,2020-05
JH신례2,2020-06-01,S11,289.444,,,,,,,2020-06
JH신례2,2020-07-01,S11,289.403,,,,,,,2020-07
JH신례2,2020-08-01,S11,289.819,,,,,,,2020-08
JH신례2,2020-09-01,S11,291.137,,,,,,,2020-09
JH신례2,2020-10-01,S11,292.386,,,,,,,2020-10
JH신례2,2020-11-01,S11,292.75,,,,,,,2020-11
JH신례2,2020-12-01,S11,292.045,,,,,,,2020-12
JH신례2,2021-01-01,S11,291.219,,,,,,,2021-01
JH신례2,2021-02-01,S11,290.294,,,,,,,2021-02
JH신례2,2021-03-01,S11,289.716,,,,,,,2021-03
JH신례2,2021-04-01,S11,289.393,,,,,,,2021-04
JH신례2,2021-05-01,S11,289.439,,,,,,,2021-05
JH신례2,2021-06-01,S11,289.584,,,,,,,2021-06
JH신례2,2021-07-01,S11,289.622,,,,,,,2021-07
JH신례2,2021-08-01,S11,289.876,,,,,,,2021-08
JH신례2,2021-09-01,S11,291.253,,,,,,,2021-09
JH신례2,2021-10-01,S11,293.285,,,,,,,2021-10
JH신례2,2021-11-01,S11,293.996,,,,,,,2021-11
JH신례2,2021-12-01,S11,293.403,,,,,,,2021-12
JH신례2,2022-01-01,S11,292.258,,,,,,,2022-01
