관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JH중문3,2008-10-01,S11,350.651,,,,,,,2008-10
JH중문3,2008-11-01,S11,349.22,,,,,,,2008-11
JH중문3,2008-12-01,S11,347.215,,,,,,,2008-12
JH중문3,2009-01-01,S11,347.779,,,,,,,2009-01
JH중문3,2009-02-01,S11,347.428,,,,,,,2009-02
JH중문3,2009-03-01,S11,347.779,,,,,,,2009-03
JH중문3,2009-04-01,S11,352.411,,,,,,,2009-04
JH중문3,2009-05-01,S11,353.905,,,,,,,2009-05
JH중문3,2009-06-01,S11,353.797,,,,,,,2009-06
JH중문3,2009-07-01,S11,356.949,,,,,,,2009-07
JH중문3,2009-08-01,S11,361.337,,,,,,,2009-08
JH중문3,2009-09-01,S11,359.712,,,,,,,2009-09
JH중문3,2009-10-01,S11,356.737,,,,,,,2009-10
JH중문3,2009-11-01,S11,353.46,,,,,,,2009-11
JH중문3,2009-12-01,S11,351.01,,,,,,,2009-12
JH중문3,2010-01-01,S11,347.95,,,,,,,2010-01
JH중문3,2010-02-01,S11,345.222,,,,,,,2010-02
JH중문3,2010-03-01,S11,346.009,,,,,,,2010-03
JH중문3,2010-04-01,S11,353.819,,,,,,,2010-04
JH중문3,2010-05-01,S11,357.292,,,,,,,2010-05
JH중문3,2010-06-01,S11,359.232,,,,,,,2010-06
JH중문3,2010-07-01,S11,362.959,,,,,,,2010-07
JH중문3,2010-08-01,S11,364.806,,,,,,,2010-08
JH중문3,2010-09-01,S11,368.098,,,,,,,2010-09
JH중문3,2010-10-01,S11,365.807,,,,,,,2010-10
JH중문3,2010-11-01,S11,365.136,,,,,,,2010-11
JH중문3,2010-12-01,S11,363.792,,,,,,,2010-12
JH중문3,2011-01-01,S11,360.638,,,,,,,2011-01
JH중문3,2011-02-01,S11,357.377,,,,,,,2011-02
JH중문3,2011-03-01,S11,354.88,,,,,,,2011-03
JH중문3,2011-04-01,S11,353.441,,,,,,,2011-04
JH중문3,2011-05-01,S11,355.402,,,,,,,2011-05
JH중문3,2011-06-01,S11,357.27,,,,,,,2011-06
JH중문3,2011-07-01,S11,363.766,,,,,,,2011-07
JH중문3,2011-08-01,S11,365.298,,,,,,,2011-08
JH중문3,2011-09-01,S11,365.06,,,,,,,2011-09
JH중문3,2011-10-01,S11,364.225,,,,,,,2011-10
JH중문3,2011-11-01,S11,362.983,,,,,,,2011-11
JH중문3,2011-12-01,S11,361.971,,,,,,,2011-12
JH중문3,2012-01-01,S11,359.974,,,,,,,2012-01
JH중문3,2012-02-01,S11,357.403,,,,,,,2012-02
JH중문3,2012-03-01,S11,354.916,,,,,,,2012-03
JH중문3,2012-04-01,S11,355.324,,,,,,,2012-04
JH중문3,2012-05-01,S11,364.282,,,,,,,2012-05
JH중문3,2012-06-01,S11,364.333,,,,,,,2012-06
JH중문3,2012-07-01,S11,363.222,,,,,,,2012-07
JH중문3,2012-08-01,S11,364.684,,,,,,,2012-08
JH중문3,2012-09-01,S11,366.535,,,,,,,2012-09
JH중문3,2012-10-01,S11,366.515,,,,,,,2012-10
JH중문3,2012-11-01,S11,365.569,,,,,,,2012-11
JH중문3,2012-12-01,S11,365.168,,,,,,,2012-12
JH중문3,2013-01-01,S11,364.237,,,,,,,2013-01
JH중문3,2013-02-01,S11,363.529,,,,,,,2013-02
JH중문3,2013-03-01,S11,363.452,,,,,,,2013-03
JH중문3,2013-04-01,S11,363.243,,,,,,,2013-04
JH중문3,2013-05-01,S11,362.606,,,,,,,2013-05
JH중문3,2013-06-01,S11,364.643,,,,,,,2013-06
JH중문3,2013-07-01,S11,364.531,,,,,,,2013-07
JH중문3,2013-08-01,S11,363.404,,,,,,,2013-08
JH중문3,2013-09-01,S11,361.939,,,,,,,2013-09
JH중문3,2013-10-01,S11,360.446,,,,,,,2013-10
JH중문3,2013-11-01,S11,358.105,,,,,,,2013-11
JH중문3,2013-12-01,S11,354.842,,,,,,,2013-12
JH중문3,2014-01-01,S11,351.621,,,,,,,2014-01
JH중문3,2014-02-01,S11,351.737,,,,,,,2014-02
JH중문3,2014-03-01,S11,355.876,,,,,,,2014-03
JH중문3,2014-09-01,S11,365.746,,,,,,,2014-09
JH중문3,2014-10-01,S11,365.453,,,,,,,2014-10
JH중문3,2014-11-01,S11,365.31,,,,,,,2014-11
JH중문3,2014-12-01,S11,364.86,,,,,,,2014-12
JH중문3,2015-01-01,S11,364.253,,,,,,,2015-01
JH중문3,2015-02-01,S11,363.644,,,,,,,2015-02
JH중문3,2015-03-01,S11,363.057,,,,,,,2015-03
JH중문3,2015-04-01,S11,364.024,,,,,,,2015-04
JH중문3,2015-05-01,S11,365.382,,,,,,,2015-05
JH중문3,2015-06-01,S11,365.38,,,,,,,2015-06
JH중문3,2015-07-01,S11,365.314,,,,,,,2015-07
JH중문3,2015-08-01,S11,366.141,,,,,,,2015-08
JH중문3,2015-09-01,S11,365.109,,,,,,,2015-09
JH중문3,2015-10-01,S11,364.976,,,,,,,2015-10
JH중문3,2015-11-01,S11,364.965,,,,,,,2015-11
JH중문3,2015-12-01,S11,364.629,,,,,,,2015-12
JH중문3,2016-01-01,S11,364.868,,,,,,,2016-01
JH중문3,2016-02-01,S11,365.202,,,,,,,2016-02
JH중문3,2016-03-01,S11,365.612,,,,,,,2016-03
JH중문3,2016-04-01,S11,365.856,,,,,,,2016-04
JH중문3,2016-05-01,S11,366.533,,,,,,,2016-05
JH중문3,2016-06-01,S11,366.595,,,,,,,2016-06
JH중문3,2016-07-01,S11,366.976,,,,,,,2016-07
JH중문3,2016-08-01,S11,367.638,,,,,,,2016-08
JH중문3,2016-09-01,S11,366.771,,,,,,,2016-09
JH중문3,2016-10-01,S11,366.311,,,,,,,2016-10
JH중문3,2016-11-01,S11,366.138,,,,,,,2016-11
JH중문3,2016-12-01,S11,365.855,,,,,,,2016-12
JH중문3,2017-01-01,S11,365.55,,,,,,,2017-01
JH중문3,2017-02-01,S11,365.245,,,,,,,2017-02
JH중문3,2017-03-01,S11,364.804,,,,,,,2017-03
JH중문3,2017-04-01,S11,364.28,,,,,,,2017-04
JH중문3,2017-05-01,S11,364.389,,,,,,,2017-05
JH중문3,2017-06-01,S11,363.731,,,,,,,2017-06
JH중문3,2017-07-01,S11,362.107,,,,,,,2017-07
JH중문3,2017-08-01,S11,359.443,,,,,,,2017-08
JH중문3,2017-09-01,S11,355.878,,,,,,,2017-09
JH중문3,2017-10-01,S11,354.247,,,,,,,2017-10
JH중문3,2017-11-01,S11,354.555,,,,,,,2017-11
JH중문3,2017-12-01,S11,352.208,,,,,,,2017-12
JH중문3,2018-01-01,S11,349.491,,,,,,,2018-01
JH중문3,2018-02-01,S11,346.291,,,,,,,2018-02
JH중문3,2018-03-01,S11,345.523,,,,,,,2018-03
JH중문3,2018-04-01,S11,357.488,,,,,,,2018-04
JH중문3,2018-05-01,S11,364.038,,,,,,,2018-05
JH중문3,2018-06-01,S11,365.592,,,,,,,2018-06
JH중문3,2018-07-01,S11,365.475,,,,,,,2018-07
JH중문3,2018-08-01,S11,365.271,,,,,,,2018-08
JH중문3,2018-09-01,S11,365.552,,,,,,,2018-09
JH중문3,2018-10-01,S11,366.257,,,,,,,2018-10
JH중문3,2018-11-01,S11,366.05,,,,,,,2018-11
JH중문3,2018-12-01,S11,365.639,,,,,,,2018-12
JH중문3,2019-01-01,S11,365.449,,,,,,,2019-01
JH중문3,2019-02-01,S11,365.182,,,,,,,2019-02
JH중문3,2019-03-01,S11,364.739,,,,,,,2019-03
JH중문3,2019-04-01,S11,363.409,,,,,,,2019-04
JH중문3,2019-05-01,S11,360.254,,,,,,,2019-05
JH중문3,2019-06-01,S11,359.741,,,,,,,2019-06
JH중문3,2019-07-01,S11,362.347,,,,,,,2019-07
JH중문3,2019-08-01,S11,365.772,,,,,,,2019-08
JH중문3,2019-09-01,S11,367.35,,,,,,,2019-09
JH중문3,2019-10-01,S11,369.509,,,,,,,2019-10
JH중문3,2019-11-01,S11,368.731,,,,,,,2019-11
JH중문3,2019-12-01,S11,367.624,,,,,,,2019-12
JH중문3,2020-01-01,S11,366.915,,,,,,,2020-01
JH중문3,2020-02-01,S11,366.526,,,,,,,2020-02
JH중문3,2020-03-01,S11,366.323,,,,,,,2020-03
JH중문3,2020-04-01,S11,366.114,,,,,,,2020-04
JH중문3,2020-05-01,S11,366.105,,,,,,,2020-05
JH중문3,2020-06-01,S11,366.195,,,,,,,2020-06
JH중문3,2020-07-01,S11,366.781,,,,,,,2020-07
JH중문3,2020-08-01,S11,367.928,,,,,,,2020-08
JH중문3,2020-09-01,S11,369.531,,,,,,,2020-09
JH중문3,2020-10-01,S11,369.75,,,,,,,2020-10
JH중문3,2020-11-01,S11,368.477,,,,,,,2020-11
JH중문3,2020-12-01,S11,367.339,,,,,,,2020-12
JH중문3,2021-01-01,S11,366.695,,,,,,,2021-01
JH중문3,2021-02-01,S11,366.435,,,,,,,2021-02
JH중문3,2021-03-01,S11,366.062,,,,,,,2021-03
JH중문3,2021-04-01,S11,365.982,,,,,,,2021-04
JH중문3,2021-05-01,S11,366.1,,,,,,,2021-05
JH중문3,2021-06-01,S11,366.127,,,,,,,2021-06
JH중문3,2021-07-01,S11,366.215,,,,,,,2021-07
JH중문3,2021-08-01,S11,366.306,,,,,,,2021-08
JH중문3,2021-09-01,S11,366.421,,,,,,,2021-09
JH중문3,2021-10-01,S11,367.17,,,,,,,2021-10
JH중문3,2021-11-01,S11,366.425,,,,,,,2021-11
JH중문3,2021-12-01,S11,366.154,,,,,,,2021-12
JH중문3,2022-01-01,S11,366.699,,,,,,,2022-01
JH중문3,2022-02-01,S11,366.451,,,,,,,2022-02
JH중문3,2022-03-01,S11,366.208,,,,,,,2022-03
JH중문3,2022-04-01,S11,365.909,,,,,,,2022-04
JH중문3,2022-05-01,S11,365.528,,,,,,,2022-05
JH중문3,2022-06-01,S11,365.078,,,,,,,2022-06
JH중문3,2022-07-01,S11,364.18,,,,,,,2022-07
JH중문3,2022-08-01,S11,364.735,,,,,,,2022-08
JH중문3,2022-09-01,S11,365.876,,,,,,,2022-09
JH중문3,2022-10-01,S11,366.049,,,,,,,2022-10
JH중문3,2022-11-01,S11,365.945,,,,,,,2022-11
JH중문3,2022-12-01,S11,365.706,,,,,,,2022-12
JH중문3,2023-01-01,S11,365.327,,,,,,,2023-01
JH중문3,2023-02-01,S11,364.744,,,,,,,2023-02
JH중문3,2023-03-01,S11,364.059,,,,,,,2023-03
JH중문3,2023-04-01,S11,363.613,,,,,,,2023-04
JH중문3,2023-05-01,S11,365.016,,,,,,,2023-05
JH중문3,2023-06-01,S11,365.884,,,,,,,2023-06
JH중문3,2023-07-01,S11,366.953,,,,,,,2023-07
JH중문3,2023-08-01,S11,369.023,,,,,,,2023-08
JH중문3,2023-09-01,S11,369.655,,,,,,,2023-09
JH중문3,2023-10-01,S11,369.13,,,,,,,2023-10
JH중문3,2023-11-01,S11,368.329,,,,,,,2023-11
JH중문3,2023-12-01,S11,367.526,,,,,,,2023-12
JH중문3,2024-01-01,S11,367.011,,,,,,,2024-01
JH중문3,2024-02-01,S11,366.742,,,,,,,2024-02
JH중문3,2024-03-01,S11,366.652,,,,,,,2024-03
JH중문3,2024-04-01,S11,366.697,,,,,,,2024-04
JH중문3,2024-05-01,S11,367.066,,,,,,,2024-05
JH중문3,2024-06-01,S11,367.431,,,,,,,2024-06
JH중문3,2024-07-01,S11,368.064,,,,,,,2024-07
JH중문3,2024-08-01,S11,368.641,,,,,,,2024-08
JH중문3,2024-09-01,S11,368.154,,,,,,,2024-09
JH중문3,2024-10-01,S11,368.013,,,,,,,2024-10
JH중문3,2024-11-01,S11,367.527,,,,,,,2024-11
JH중문3,2024-12-01,S11,367.165,,,,,,,2024-12
JH중문3,2025-01-01,S11,366.82,,,,,,,2025-01
JH중문3,2025-02-01,S11,366.449,,,,,,,2025-02
JH중문3,2025-03-01,S11,366.168,,,,,,,2025-03
JH중문3,2025-04-01,S11,365.974,,,,,,,2025-04
JH중문3,2025-05-01,S11,365.964,,,,,,,2025-05
JH중문3,2025-06-01,S11,366.746,,,,,,,2025-06
JH중문3,2025-07-01,S11,366.969,,,,,,,2025-07
JH중문3,2025-08-01,S11,366.745,,,,,,,2025-08
JH중문3,2025-09-01,S11,366.645,,,,,,,2025-09
JH중문3,2025-10-01,S11,366.612,,,,,,,2025-10
JH중문3,2025-11-01,S11,366.533,,,,,,,2025-11
JH중문3,2025-12-01,S11,366.358,,,,,,,2025-12
JH중문3,2026-01-01,S11,366.09,179.91,16.27,13.45,64.0,981.04,13.19,2026-01
JH중문3,2026-02-01,S11,365.74,180.26,15.92,13.46,64.0,979.51,13.21,2026-02
JH중문3,2026-03-01,S11,364.96,181.04,15.14,13.46,64.0,979.11,13.27,2026-03
JH중문3,2026-04-01,S11,363.46,182.54,13.64,13.47,64.0,973.47,13.29,2026-04
JH중문3,2026-05-01,S11,363.34,182.66,13.52,13.48,64.0,974.18,13.33,2026-05
JH중문3,2026-06-01,S11,363.58,182.42,13.76,13.48,64.0,970.1,13.32,2026-06
