관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JH한남,2015-02-01,S11,70.998,,,,,,,2015-02
JH한남,2015-03-01,S11,70.86,,,,,,,2015-03
JH한남,2015-04-01,S11,70.885,,,,,,,2015-04
JH한남,2015-05-01,S11,73.093,,,,,,,2015-05
JH한남,2015-06-01,S11,75.39,,,,,,,2015-06
JH한남,2015-07-01,S11,75.582,,,,,,,2015-07
JH한남,2015-08-01,S11,77.496,,,,,,,2015-08
JH한남,2015-09-01,S11,76.417,,,,,,,2015-09
JH한남,2015-10-01,S11,75.503,,,,,,,2015-10
JH한남,2015-11-01,S11,75.102,,,,,,,2015-11
JH한남,2015-12-01,S11,74.402,,,,,,,2015-12
JH한남,2016-01-01,S11,73.807,,,,,,,2016-01
JH한남,2016-02-01,S11,73.282,,,,,,,2016-02
JH한남,2016-03-01,S11,74.18,,,,,,,2016-03
JH한남,2016-04-01,S11,74.346,,,,,,,2016-04
JH한남,2016-05-01,S11,75.551,,,,,,,2016-05
JH한남,2016-06-01,S11,76.081,,,,,,,2016-06
JH한남,2016-07-01,S11,75.6,,,,,,,2016-07
JH한남,2016-08-01,S11,76.18,,,,,,,2016-08
JH한남,2016-09-01,S11,75.08,,,,,,,2016-09
JH한남,2016-10-01,S11,74.144,,,,,,,2016-10
JH한남,2016-11-01,S11,74.573,,,,,,,2016-11
JH한남,2016-12-01,S11,73.758,,,,,,,2016-12
JH한남,2017-01-01,S11,72.846,,,,,,,2017-01
JH한남,2017-02-01,S11,72.387,,,,,,,2017-02
JH한남,2017-03-01,S11,71.685,,,,,,,2017-03
JH한남,2017-04-01,S11,71.044,,,,,,,2017-04
JH한남,2017-05-01,S11,70.647,,,,,,,2017-05
JH한남,2017-06-01,S11,70.255,,,,,,,2017-06
JH한남,2017-07-01,S11,69.73,,,,,,,2017-07
JH한남,2017-08-01,S11,69.261,,,,,,,2017-08
JH한남,2017-09-01,S11,68.974,,,,,,,2017-09
JH한남,2017-10-01,S11,69.703,,,,,,,2017-10
JH한남,2017-11-01,S11,70.563,,,,,,,2017-11
JH한남,2017-12-01,S11,70.273,,,,,,,2017-12
JH한남,2018-01-01,S11,69.584,,,,,,,2018-01
JH한남,2018-02-01,S11,68.925,,,,,,,2018-02
JH한남,2018-03-01,S11,68.487,,,,,,,2018-03
JH한남,2018-04-01,S11,69.233,,,,,,,2018-04
JH한남,2018-05-01,S11,71.751,,,,,,,2018-05
JH한남,2018-06-01,S11,73.143,,,,,,,2018-06
JH한남,2018-07-01,S11,72.909,,,,,,,2018-07
