관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JI오등1,2011-05-01,S11,101.255,,,,,,,2011-05
JI오등1,2011-06-01,S11,102.136,,,,,,,2011-06
JI오등1,2011-07-01,S11,103.344,,,,,,,2011-07
JI오등1,2011-08-01,S11,106.244,,,,,,,2011-08
JI오등1,2011-09-01,S11,106.322,,,,,,,2011-09
JI오등1,2011-10-01,S11,105.456,,,,,,,2011-10
JI오등1,2011-11-01,S11,104.752,,,,,,,2011-11
JI오등1,2011-12-01,S11,104.3,,,,,,,2011-12
JI오등1,2012-01-01,S11,103.32,,,,,,,2012-01
JI오등1,2012-02-01,S11,102.612,,,,,,,2012-02
JI오등1,2012-03-01,S11,102.271,,,,,,,2012-03
JI오등1,2012-04-01,S11,102.862,,,,,,,2012-04
JI오등1,2012-05-01,S11,103.828,,,,,,,2012-05
JI오등1,2012-06-01,S11,103.573,,,,,,,2012-06
JI오등1,2012-07-01,S11,103.221,,,,,,,2012-07
JI오등1,2012-08-01,S11,104.001,,,,,,,2012-08
JI오등1,2012-09-01,S11,108.369,,,,,,,2012-09
JI오등1,2012-10-01,S11,110.055,,,,,,,2012-10
JI오등1,2012-11-01,S11,108.143,,,,,,,2012-11
JI오등1,2012-12-01,S11,105.869,,,,,,,2012-12
JI오등1,2013-01-01,S11,104.106,,,,,,,2013-01
JI오등1,2013-02-01,S11,103.324,,,,,,,2013-02
JI오등1,2013-03-01,S11,102.806,,,,,,,2013-03
JI오등1,2013-04-01,S11,102.413,,,,,,,2013-04
JI오등1,2013-05-01,S11,101.596,,,,,,,2013-05
JI오등1,2013-06-01,S11,101.221,,,,,,,2013-06
JI오등1,2013-07-01,S11,100.091,,,,,,,2013-07
JI오등1,2013-08-01,S11,99.014,,,,,,,2013-08
JI오등1,2013-09-01,S11,98.416,,,,,,,2013-09
JI오등1,2013-10-01,S11,98.64,,,,,,,2013-10
JI오등1,2013-11-01,S11,98.075,,,,,,,2013-11
JI오등1,2013-12-01,S11,97.869,,,,,,,2013-12
JI오등1,2014-01-01,S11,97.392,,,,,,,2014-01
JI오등1,2014-02-01,S11,97.507,,,,,,,2014-02
JI오등1,2014-03-01,S11,98.345,,,,,,,2014-03
JI오등1,2014-04-01,S11,97.623,,,,,,,2014-04
JI오등1,2014-05-01,S11,97.263,,,,,,,2014-05
JI오등1,2014-06-01,S11,96.148,,,,,,,2014-06
JI오등1,2014-07-01,S11,97.018,,,,,,,2014-07
JI오등1,2014-08-01,S11,99.31,,,,,,,2014-08
JI오등1,2014-09-01,S11,103.02,,,,,,,2014-09
JI오등1,2014-10-01,S11,104.032,,,,,,,2014-10
JI오등1,2014-11-01,S11,103.266,,,,,,,2014-11
JI오등1,2014-12-01,S11,102.954,,,,,,,2014-12
JI오등1,2015-01-01,S11,101.845,,,,,,,2015-01
JI오등1,2015-02-01,S11,100.889,,,,,,,2015-02
JI오등1,2015-03-01,S11,99.728,,,,,,,2015-03
JI오등1,2015-04-01,S11,99.523,,,,,,,2015-04
JI오등1,2015-05-01,S11,99.363,,,,,,,2015-05
JI오등1,2015-06-01,S11,98.889,,,,,,,2015-06
JI오등1,2015-07-01,S11,101.097,,,,,,,2015-07
JI오등1,2015-08-01,S11,102.532,,,,,,,2015-08
JI오등1,2015-09-01,S11,102.818,,,,,,,2015-09
JI오등1,2015-10-01,S11,102.775,,,,,,,2015-10
JI오등1,2015-11-01,S11,101.88,,,,,,,2015-11
JI오등1,2015-12-01,S11,101.275,,,,,,,2015-12
JI오등1,2016-01-01,S11,100.017,,,,,,,2016-01
JI오등1,2016-02-01,S11,100.098,,,,,,,2016-02
