관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JI원종장2,2008-02-01,S11,115.887,,,,,,,2008-02
JI원종장2,2008-03-01,S11,115.863,,,,,,,2008-03
JI원종장2,2008-04-01,S11,116.055,,,,,,,2008-04
JI원종장2,2008-05-01,S11,116.119,,,,,,,2008-05
JI원종장2,2008-06-01,S11,117.764,,,,,,,2008-06
JI원종장2,2008-07-01,S11,131.03,,,,,,,2008-07
JI원종장2,2008-08-01,S11,124.148,,,,,,,2008-08
JI원종장2,2008-09-01,S11,117.808,,,,,,,2008-09
JI원종장2,2008-10-01,S11,116.954,,,,,,,2008-10
JI원종장2,2008-11-01,S11,116.386,,,,,,,2008-11
JI원종장2,2008-12-01,S11,115.81,,,,,,,2008-12
JI원종장2,2009-01-01,S11,115.368,,,,,,,2009-01
JI원종장2,2009-02-01,S11,115.211,,,,,,,2009-02
JI원종장2,2009-03-01,S11,115.989,,,,,,,2009-03
JI원종장2,2009-04-01,S11,116.845,,,,,,,2009-04
JI원종장2,2009-05-01,S11,117.335,,,,,,,2009-05
JI원종장2,2009-06-01,S11,116.357,,,,,,,2009-06
JI원종장2,2009-07-01,S11,116.666,,,,,,,2009-07
JI원종장2,2009-08-01,S11,117.907,,,,,,,2009-08
JI원종장2,2009-09-01,S11,117.222,,,,,,,2009-09
JI원종장2,2009-10-01,S11,116.36,,,,,,,2009-10
JI원종장2,2009-11-01,S11,116.004,,,,,,,2009-11
JI원종장2,2009-12-01,S11,115.587,,,,,,,2009-12
JI원종장2,2010-01-01,S11,115.131,,,,,,,2010-01
JI원종장2,2010-02-01,S11,114.862,,,,,,,2010-02
JI원종장2,2010-03-01,S11,115.663,,,,,,,2010-03
JI원종장2,2010-04-01,S11,118.72,,,,,,,2010-04
JI원종장2,2010-05-01,S11,120.557,,,,,,,2010-05
JI원종장2,2010-06-01,S11,119.084,,,,,,,2010-06
JI원종장2,2010-07-01,S11,134.564,,,,,,,2010-07
JI원종장2,2010-08-01,S11,140.726,,,,,,,2010-08
JI원종장2,2010-09-01,S11,141.758,,,,,,,2010-09
JI원종장2,2010-10-01,S11,140.132,,,,,,,2010-10
JI원종장2,2010-11-01,S11,126.683,,,,,,,2010-11
JI원종장2,2010-12-01,S11,116.941,,,,,,,2010-12
JI원종장2,2011-01-01,S11,115.459,,,,,,,2011-01
JI원종장2,2011-02-01,S11,114.52,,,,,,,2011-02
JI원종장2,2011-03-01,S11,113.808,,,,,,,2011-03
JI원종장2,2011-04-01,S11,114.031,,,,,,,2011-04
JI원종장2,2011-05-01,S11,114.774,,,,,,,2011-05
JI원종장2,2011-06-01,S11,115.342,,,,,,,2011-06
JI원종장2,2011-07-01,S11,130.443,,,,,,,2011-07
