관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM남원,2016-01-01,S11,0.959,,,,,,,2016-01
JM남원,2016-02-01,S11,0.885,,,,,,,2016-02
JM남원,2016-03-01,S11,0.952,,,,,,,2016-03
JM남원,2016-04-01,S11,1.136,,,,,,,2016-04
JM남원,2016-05-01,S11,1.366,,,,,,,2016-05
JM남원,2016-06-01,S11,1.504,,,,,,,2016-06
JM남원,2016-07-01,S11,1.513,,,,,,,2016-07
JM남원,2016-08-01,S11,1.4,,,,,,,2016-08
JM남원,2016-09-01,S11,1.375,,,,,,,2016-09
JM남원,2016-10-01,S11,1.456,,,,,,,2016-10
JM남원,2016-11-01,S11,1.261,,,,,,,2016-11
JM남원,2016-12-01,S11,1.082,,,,,,,2016-12
JM남원,2017-01-01,S11,0.985,,,,,,,2017-01
JM남원,2017-02-01,S11,0.923,,,,,,,2017-02
JM남원,2017-03-01,S11,1.001,,,,,,,2017-03
JM남원,2017-04-01,S11,0.979,,,,,,,2017-04
JM남원,2017-05-01,S11,0.9,,,,,,,2017-05
JM남원,2017-06-01,S11,1.034,,,,,,,2017-06
JM남원,2017-07-01,S11,1.091,,,,,,,2017-07
JM남원,2017-08-01,S11,1.132,,,,,,,2017-08
JM남원,2017-09-01,S11,1.092,,,,,,,2017-09
JM남원,2017-10-01,S11,1.271,,,,,,,2017-10
JM남원,2017-11-01,S11,0.984,,,,,,,2017-11
JM남원,2017-12-01,S11,0.797,,,,,,,2017-12
JM남원,2018-01-01,S11,0.76,,,,,,,2018-01
JM남원,2018-02-01,S11,0.688,,,,,,,2018-02
JM남원,2018-03-01,S11,0.778,,,,,,,2018-03
JM남원,2018-04-01,S11,0.842,,,,,,,2018-04
JM남원,2018-05-01,S11,1.309,,,,,,,2018-05
JM남원,2018-06-01,S11,1.397,,,,,,,2018-06
JM남원,2018-07-01,S11,1.43,,,,,,,2018-07
JM남원,2018-08-01,S11,1.306,,,,,,,2018-08
JM남원,2018-09-01,S11,1.711,,,,,,,2018-09
JM남원,2018-10-01,S11,1.605,,,,,,,2018-10
JM남원,2018-11-01,S11,1.288,,,,,,,2018-11
JM남원,2018-12-01,S11,1.141,,,,,,,2018-12
JM남원,2019-01-01,S11,0.875,,,,,,,2019-01
JM남원,2019-02-01,S11,0.867,,,,,,,2019-02
JM남원,2019-03-01,S11,0.876,,,,,,,2019-03
JM남원,2019-04-01,S11,0.862,,,,,,,2019-04
JM남원,2019-05-01,S11,0.952,,,,,,,2019-05
JM남원,2019-06-01,S11,1.172,,,,,,,2019-06
JM남원,2019-07-01,S11,1.504,,,,,,,2019-07
JM남원,2019-08-01,S11,1.564,,,,,,,2019-08
JM남원,2019-09-01,S11,2.149,,,,,,,2019-09
JM남원,2019-10-01,S11,2.31,,,,,,,2019-10
JM남원,2019-11-01,S11,1.604,,,,,,,2019-11
JM남원,2019-12-01,S11,1.218,,,,,,,2019-12
JM남원,2020-01-01,S11,1.111,,,,,,,2020-01
JM남원,2020-02-01,S11,1.004,,,,,,,2020-02
JM남원,2020-03-01,S11,0.931,,,,,,,2020-03
JM남원,2020-04-01,S11,0.897,,,,,,,2020-04
JM남원,2020-05-01,S11,1.165,,,,,,,2020-05
JM남원,2020-06-01,S11,1.291,,,,,,,2020-06
JM남원,2020-07-01,S11,1.698,,,,,,,2020-07
JM남원,2020-08-01,S11,1.523,,,,,,,2020-08
JM남원,2020-09-01,S11,1.884,,,,,,,2020-09
JM남원,2020-10-01,S11,1.588,,,,,,,2020-10
