관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM명월,2016-01-01,S11,11.738,,,,,,,2016-01
JM명월,2016-02-01,S11,11.704,,,,,,,2016-02
JM명월,2016-03-01,S11,11.835,,,,,,,2016-03
JM명월,2016-04-01,S11,12.083,,,,,,,2016-04
JM명월,2016-05-01,S11,12.835,,,,,,,2016-05
JM명월,2016-06-01,S11,12.681,,,,,,,2016-06
JM명월,2016-07-01,S11,13.645,,,,,,,2016-07
JM명월,2016-08-01,S11,13.488,,,,,,,2016-08
JM명월,2016-09-01,S11,12.657,,,,,,,2016-09
JM명월,2016-10-01,S11,13.246,,,,,,,2016-10
JM명월,2016-11-01,S11,13.13,,,,,,,2016-11
JM명월,2016-12-01,S11,12.272,,,,,,,2016-12
JM명월,2017-01-01,S11,11.746,,,,,,,2017-01
JM명월,2017-02-01,S11,11.082,,,,,,,2017-02
JM명월,2017-03-01,S11,10.518,,,,,,,2017-03
JM명월,2017-04-01,S11,10.261,,,,,,,2017-04
JM명월,2017-05-01,S11,9.953,,,,,,,2017-05
JM명월,2017-06-01,S11,9.481,,,,,,,2017-06
JM명월,2017-07-01,S11,9.034,,,,,,,2017-07
JM명월,2017-08-01,S11,8.669,,,,,,,2017-08
JM명월,2017-09-01,S11,8.769,,,,,,,2017-09
JM명월,2017-10-01,S11,9.104,,,,,,,2017-10
JM명월,2017-11-01,S11,8.681,,,,,,,2017-11
JM명월,2017-12-01,S11,8.108,,,,,,,2017-12
JM명월,2018-01-01,S11,7.665,,,,,,,2018-01
JM명월,2018-02-01,S11,7.319,,,,,,,2018-02
JM명월,2018-03-01,S11,7.586,,,,,,,2018-03
JM명월,2018-04-01,S11,8.011,,,,,,,2018-04
JM명월,2018-05-01,S11,9.376,,,,,,,2018-05
JM명월,2018-06-01,S11,9.954,,,,,,,2018-06
JM명월,2018-07-01,S11,10.443,,,,,,,2018-07
JM명월,2018-08-01,S11,10.104,,,,,,,2018-08
JM명월,2018-09-01,S11,11.071,,,,,,,2018-09
JM명월,2018-10-01,S11,11.567,,,,,,,2018-10
JM명월,2018-11-01,S11,11.117,,,,,,,2018-11
JM명월,2018-12-01,S11,10.467,,,,,,,2018-12
JM명월,2019-01-01,S11,9.935,,,,,,,2019-01
JM명월,2019-02-01,S11,9.496,,,,,,,2019-02
JM명월,2019-03-01,S11,9.105,,,,,,,2019-03
JM명월,2019-04-01,S11,8.635,,,,,,,2019-04
JM명월,2019-05-01,S11,8.154,,,,,,,2019-05
JM명월,2019-06-01,S11,8.273,,,,,,,2019-06
JM명월,2019-07-01,S11,9.733,,,,,,,2019-07
JM명월,2019-08-01,S11,11.609,,,,,,,2019-08
JM명월,2019-09-01,S11,14.729,,,,,,,2019-09
JM명월,2019-10-01,S11,16.886,,,,,,,2019-10
JM명월,2019-11-01,S11,15.504,,,,,,,2019-11
JM명월,2019-12-01,S11,13.992,,,,,,,2019-12
JM명월,2020-01-01,S11,12.955,,,,,,,2020-01
JM명월,2020-02-01,S11,12.341,,,,,,,2020-02
JM명월,2020-03-01,S11,11.839,,,,,,,2020-03
JM명월,2020-04-01,S11,11.293,,,,,,,2020-04
JM명월,2020-05-01,S11,10.982,,,,,,,2020-05
JM명월,2020-06-01,S11,11.026,,,,,,,2020-06
JM명월,2020-07-01,S11,13.212,,,,,,,2020-07
JM명월,2020-08-01,S11,13.368,,,,,,,2020-08
JM명월,2020-09-01,S11,16.036,,,,,,,2020-09
JM명월,2020-10-01,S11,16.336,,,,,,,2020-10
JM명월,2020-11-01,S11,14.76,,,,,,,2020-11
JM명월,2020-12-01,S11,13.507,,,,,,,2020-12
JM명월,2021-01-01,S11,12.576,,,,,,,2021-01
JM명월,2021-02-01,S11,12.099,,,,,,,2021-02
JM명월,2021-03-01,S11,11.684,,,,,,,2021-03
JM명월,2021-04-01,S11,11.538,,,,,,,2021-04
JM명월,2021-05-01,S11,11.608,,,,,,,2021-05
JM명월,2021-06-01,S11,11.952,,,,,,,2021-06
JM명월,2021-07-01,S11,12.369,,,,,,,2021-07
JM명월,2021-08-01,S11,12.106,,,,,,,2021-08
JM명월,2021-09-01,S11,12.74,,,,,,,2021-09
JM명월,2021-10-01,S11,13.021,,,,,,,2021-10
JM명월,2021-11-01,S11,12.092,,,,,,,2021-11
JM명월,2021-12-01,S11,11.285,,,,,,,2021-12
JM명월,2022-01-01,S11,10.598,,,,,,,2022-01
JM명월,2022-02-01,S11,10.007,,,,,,,2022-02
JM명월,2022-03-01,S11,9.607,,,,,,,2022-03
JM명월,2022-04-01,S11,9.535,,,,,,,2022-04
JM명월,2022-05-01,S11,9.329,,,,,,,2022-05
JM명월,2022-06-01,S11,9.062,,,,,,,2022-06
JM명월,2022-07-01,S11,9.275,,,,,,,2022-07
JM명월,2022-08-01,S11,9.765,,,,,,,2022-08
JM명월,2022-09-01,S11,10.492,,,,,,,2022-09
JM명월,2022-10-01,S11,10.186,,,,,,,2022-10
JM명월,2022-11-01,S11,9.408,,,,,,,2022-11
JM명월,2022-12-01,S11,9.037,,,,,,,2022-12
JM명월,2023-01-01,S11,8.694,,,,,,,2023-01
JM명월,2023-02-01,S11,8.524,,,,,,,2023-02
JM명월,2023-03-01,S11,8.29,,,,,,,2023-03
JM명월,2023-04-01,S11,8.622,,,,,,,2023-04
JM명월,2023-05-01,S11,10.319,,,,,,,2023-05
JM명월,2023-06-01,S11,12.145,,,,,,,2023-06
JM명월,2023-07-01,S11,13.491,,,,,,,2023-07
JM명월,2023-08-01,S11,13.925,,,,,,,2023-08
JM명월,2023-09-01,S11,14.531,,,,,,,2023-09
JM명월,2023-10-01,S11,13.775,,,,,,,2023-10
JM명월,2023-11-01,S11,12.725,,,,,,,2023-11
JM명월,2023-12-01,S11,11.924,,,,,,,2023-12
JM명월,2024-01-01,S11,11.267,,,,,,,2024-01
JM명월,2024-02-01,S11,10.865,,,,,,,2024-02
JM명월,2024-03-01,S11,10.737,,,,,,,2024-03
JM명월,2024-04-01,S11,10.786,,,,,,,2024-04
JM명월,2024-05-01,S11,11.645,,,,,,,2024-05
JM명월,2024-06-01,S11,12.102,,,,,,,2024-06
JM명월,2024-07-01,S11,14.051,,,,,,,2024-07
JM명월,2024-08-01,S11,13.338,,,,,,,2024-08
JM명월,2024-09-01,S11,12.876,,,,,,,2024-09
JM명월,2024-10-01,S11,12.679,,,,,,,2024-10
JM명월,2024-11-01,S11,13.328,,,,,,,2024-11
JM명월,2024-12-01,S11,12.907,,,,,,,2024-12
JM명월,2025-01-01,S11,11.985,,,,,,,2025-01
JM명월,2025-02-01,S11,11.303,,,,,,,2025-02
JM명월,2025-03-01,S11,10.808,,,,,,,2025-03
JM명월,2025-04-01,S11,10.284,,,,,,,2025-04
JM명월,2025-05-01,S11,10.328,,,,,,,2025-05
JM명월,2025-06-01,S11,10.675,,,,,,,2025-06
JM명월,2025-07-01,S11,10.793,,,,,,,2025-07
JM명월,2025-08-01,S11,10.359,,,,,,,2025-08
JM명월,2025-09-01,S11,9.997,,,,,,,2025-09
JM명월,2025-10-01,S11,10.205,,,,,,,2025-10
JM명월,2025-11-01,S11,9.692,,,,,,,2025-11
JM명월,2025-12-01,S11,9.166,,,,,,,2025-12
JM명월,2026-01-01,S11,8.68,89.05,8.97,15.93,330.0,1026.55,12.55,2026-01
JM명월,2026-02-01,S11,8.26,89.46,8.55,15.94,323.0,1024.12,12.8,2026-02
JM명월,2026-03-01,S11,7.97,89.75,8.26,15.95,314.0,1022.92,12.96,2026-03
JM명월,2026-04-01,S11,8.0,89.72,8.29,15.94,306.0,1015.7,13.0,2026-04
JM명월,2026-05-01,S11,8.03,89.69,8.32,15.94,299.0,1015.43,13.08,2026-05
JM명월,2026-06-01,S11,7.94,89.78,8.23,15.94,296.0,1010.43,13.04,2026-06
