관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM신례1,2016-01-01,S11,44.11,,,,,,,2016-01
JM신례1,2016-02-01,S11,43.385,,,,,,,2016-02
JM신례1,2016-03-01,S11,44.205,,,,,,,2016-03
JM신례1,2016-04-01,S11,44.408,,,,,,,2016-04
JM신례1,2016-05-01,S11,46.061,,,,,,,2016-05
JM신례1,2016-06-01,S11,46.578,,,,,,,2016-06
JM신례1,2016-07-01,S11,46.675,,,,,,,2016-07
JM신례1,2016-08-01,S11,46.952,,,,,,,2016-08
JM신례1,2016-09-01,S11,45.416,,,,,,,2016-09
JM신례1,2016-10-01,S11,45.02,,,,,,,2016-10
JM신례1,2016-11-01,S11,44.793,,,,,,,2016-11
JM신례1,2016-12-01,S11,43.787,,,,,,,2016-12
JM신례1,2017-01-01,S11,42.727,,,,,,,2017-01
JM신례1,2017-02-01,S11,42.076,,,,,,,2017-02
JM신례1,2017-03-01,S11,41.428,,,,,,,2017-03
JM신례1,2017-04-01,S11,41.191,,,,,,,2017-04
JM신례1,2017-05-01,S11,41.183,,,,,,,2017-05
JM신례1,2017-06-01,S11,40.828,,,,,,,2017-06
JM신례1,2017-07-01,S11,40.59,,,,,,,2017-07
JM신례1,2017-08-01,S11,41.048,,,,,,,2017-08
JM신례1,2017-09-01,S11,42.144,,,,,,,2017-09
JM신례1,2017-10-01,S11,44.17,,,,,,,2017-10
JM신례1,2017-11-01,S11,44.577,,,,,,,2017-11
JM신례1,2017-12-01,S11,42.97,,,,,,,2017-12
JM신례1,2018-01-01,S11,41.376,,,,,,,2018-01
JM신례1,2018-02-01,S11,40.198,,,,,,,2018-02
JM신례1,2018-03-01,S11,39.574,,,,,,,2018-03
JM신례1,2018-04-01,S11,40.451,,,,,,,2018-04
JM신례1,2018-05-01,S11,44.396,,,,,,,2018-05
JM신례1,2018-06-01,S11,46.186,,,,,,,2018-06
JM신례1,2018-07-01,S11,46.047,,,,,,,2018-07
JM신례1,2018-08-01,S11,45.024,,,,,,,2018-08
JM신례1,2018-09-01,S11,45.309,,,,,,,2018-09
JM신례1,2018-10-01,S11,47.11,,,,,,,2018-10
JM신례1,2018-11-01,S11,46.775,,,,,,,2018-11
JM신례1,2018-12-01,S11,44.804,,,,,,,2018-12
JM신례1,2019-01-01,S11,42.646,,,,,,,2019-01
JM신례1,2019-02-01,S11,40.97,,,,,,,2019-02
JM신례1,2019-03-01,S11,39.901,,,,,,,2019-03
JM신례1,2019-04-01,S11,39.036,,,,,,,2019-04
JM신례1,2019-05-01,S11,39.265,,,,,,,2019-05
JM신례1,2019-06-01,S11,42.65,,,,,,,2019-06
JM신례1,2019-07-01,S11,44.448,,,,,,,2019-07
JM신례1,2019-08-01,S11,47.793,,,,,,,2019-08
JM신례1,2019-09-01,S11,50.092,,,,,,,2019-09
JM신례1,2019-10-01,S11,51.505,,,,,,,2019-10
JM신례1,2019-11-01,S11,49.169,,,,,,,2019-11
JM신례1,2019-12-01,S11,46.282,,,,,,,2019-12
JM신례1,2020-01-01,S11,43.838,,,,,,,2020-01
JM신례1,2020-02-01,S11,42.161,,,,,,,2020-02
JM신례1,2020-03-01,S11,41.092,,,,,,,2020-03
JM신례1,2020-04-01,S11,40.766,,,,,,,2020-04
JM신례1,2020-05-01,S11,42.358,,,,,,,2020-05
JM신례1,2020-06-01,S11,43.87,,,,,,,2020-06
JM신례1,2020-07-01,S11,46.992,,,,,,,2020-07
JM신례1,2020-08-01,S11,48.759,,,,,,,2020-08
JM신례1,2020-09-01,S11,49.706,,,,,,,2020-09
JM신례1,2020-10-01,S11,49.187,,,,,,,2020-10
JM신례1,2020-11-01,S11,46.948,,,,,,,2020-11
JM신례1,2020-12-01,S11,44.568,,,,,,,2020-12
JM신례1,2021-01-01,S11,42.381,,,,,,,2021-01
JM신례1,2021-02-01,S11,40.935,,,,,,,2021-02
JM신례1,2021-03-01,S11,40.091,,,,,,,2021-03
JM신례1,2021-04-01,S11,40.903,,,,,,,2021-04
JM신례1,2021-05-01,S11,42.835,,,,,,,2021-05
JM신례1,2021-06-01,S11,43.755,,,,,,,2021-06
JM신례1,2021-07-01,S11,44.867,,,,,,,2021-07
JM신례1,2021-08-01,S11,45.679,,,,,,,2021-08
JM신례1,2021-09-01,S11,50.145,,,,,,,2021-09
JM신례1,2021-10-01,S11,51.738,,,,,,,2021-10
