관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ가시11,2023-02-01,S11,29.594,,,,,,,2023-02
JQ가시11,2023-03-01,S11,29.567,,,,,,,2023-03
JQ가시11,2023-04-01,S11,29.671,,,,,,,2023-04
JQ가시11,2023-05-01,S11,29.806,,,,,,,2023-05
JQ가시11,2023-06-01,S11,29.841,,,,,,,2023-06
JQ가시11,2023-07-01,S11,29.746,,,,,,,2023-07
JQ가시11,2023-08-01,S11,29.721,,,,,,,2023-08
JQ가시11,2023-09-01,S11,29.655,,,,,,,2023-09
JQ가시11,2023-10-01,S11,29.622,,,,,,,2023-10
JQ가시11,2023-11-01,S11,29.578,,,,,,,2023-11
JQ가시11,2023-12-01,S11,29.558,,,,,,,2023-12
JQ가시11,2024-01-01,S11,29.599,,,,,,,2024-01
JQ가시11,2024-02-01,S11,29.633,,,,,,,2024-02
JQ가시11,2024-03-01,S11,29.798,,,,,,,2024-03
JQ가시11,2024-04-01,S11,29.889,,,,,,,2024-04
JQ가시11,2024-05-01,S11,29.852,,,,,,,2024-05
JQ가시11,2024-06-01,S11,29.851,,,,,,,2024-06
JQ가시11,2024-07-01,S11,29.972,,,,,,,2024-07
JQ가시11,2024-08-01,S11,29.855,,,,,,,2024-08
JQ가시11,2024-09-01,S11,29.822,,,,,,,2024-09
JQ가시11,2024-10-01,S11,29.771,,,,,,,2024-10
JQ가시11,2024-11-01,S11,29.895,,,,,,,2024-11
JQ가시11,2024-12-01,S11,29.832,,,,,,,2024-12
JQ가시11,2025-01-01,S11,29.746,,,,,,,2025-01
JQ가시11,2025-02-01,S11,29.697,,,,,,,2025-02
JQ가시11,2025-03-01,S11,29.749,,,,,,,2025-03
JQ가시11,2025-04-01,S11,29.789,,,,,,,2025-04
JQ가시11,2025-05-01,S11,29.765,,,,,,,2025-05
JQ가시11,2025-06-01,S11,29.85,,,,,,,2025-06
JQ가시11,2025-07-01,S11,29.739,,,,,,,2025-07
JQ가시11,2025-08-01,S11,29.619,,,,,,,2025-08
JQ가시11,2025-09-01,S11,29.695,,,,,,,2025-09
JQ가시11,2025-10-01,S11,29.894,,,,,,,2025-10
JQ가시11,2025-11-01,S11,29.799,,,,,,,2025-11
JQ가시11,2025-12-01,S11,29.687,,,,,,,2025-12
JQ가시11,2026-01-01,S11,29.63,59.37,0.61,16.73,245.0,1021.96,13.19,2026-01
JQ가시11,2026-02-01,S11,29.54,59.46,0.52,16.75,238.0,1019.76,13.21,2026-02
JQ가시11,2026-03-01,S11,29.49,59.51,0.47,16.74,254.0,1018.73,13.28,2026-03
JQ가시11,2026-04-01,S11,29.23,59.77,0.21,16.74,238.0,1011.86,13.29,2026-04
JQ가시11,2026-05-01,S11,29.15,59.85,0.19,16.74,242.0,1011.7,13.34,2026-05
JQ가시11,2026-06-01,S11,29.25,59.75,0.32,16.74,248.0,1007.39,13.31,2026-06
