관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ감산1,2021-01-01,S11,70.944,,,,,,,2021-01
JQ감산1,2021-02-01,S11,70.853,,,,,,,2021-02
JQ감산1,2021-03-01,S11,70.358,,,,,,,2021-03
JQ감산1,2021-04-01,S11,70.448,,,,,,,2021-04
JQ감산1,2021-05-01,S11,70.415,,,,,,,2021-05
JQ감산1,2021-06-01,S11,70.208,,,,,,,2021-06
JQ감산1,2021-07-01,S11,70.115,,,,,,,2021-07
JQ감산1,2021-08-01,S11,70.0,,,,,,,2021-08
JQ감산1,2021-09-01,S11,70.767,,,,,,,2021-09
JQ감산1,2021-10-01,S11,70.307,,,,,,,2021-10
JQ감산1,2021-11-01,S11,69.694,,,,,,,2021-11
JQ감산1,2021-12-01,S11,69.412,,,,,,,2021-12
JQ감산1,2022-01-01,S11,69.074,,,,,,,2022-01
JQ감산1,2022-02-01,S11,68.693,,,,,,,2022-02
JQ감산1,2022-03-01,S11,68.415,,,,,,,2022-03
JQ감산1,2022-04-01,S11,68.444,,,,,,,2022-04
JQ감산1,2022-05-01,S11,68.844,,,,,,,2022-05
JQ감산1,2022-06-01,S11,68.862,,,,,,,2022-06
JQ감산1,2022-07-01,S11,69.493,,,,,,,2022-07
JQ감산1,2022-08-01,S11,69.978,,,,,,,2022-08
JQ감산1,2022-09-01,S11,70.321,,,,,,,2022-09
JQ감산1,2022-10-01,S11,69.727,,,,,,,2022-10
JQ감산1,2022-11-01,S11,69.283,,,,,,,2022-11
JQ감산1,2022-12-01,S11,68.926,,,,,,,2022-12
JQ감산1,2023-01-01,S11,68.718,,,,,,,2023-01
JQ감산1,2023-02-01,S11,68.512,,,,,,,2023-02
JQ감산1,2023-03-01,S11,68.294,,,,,,,2023-03
JQ감산1,2023-04-01,S11,68.914,,,,,,,2023-04
JQ감산1,2023-05-01,S11,70.208,,,,,,,2023-05
JQ감산1,2023-06-01,S11,70.235,,,,,,,2023-06
JQ감산1,2023-07-01,S11,71.168,,,,,,,2023-07
JQ감산1,2023-08-01,S11,70.774,,,,,,,2023-08
JQ감산1,2023-09-01,S11,71.535,,,,,,,2023-09
JQ감산1,2023-10-01,S11,69.919,,,,,,,2023-10
JQ감산1,2023-11-01,S11,69.44,,,,,,,2023-11
JQ감산1,2023-12-01,S11,69.145,,,,,,,2023-12
JQ감산1,2024-01-01,S11,68.913,,,,,,,2024-01
JQ감산1,2024-02-01,S11,68.804,,,,,,,2024-02
JQ감산1,2024-03-01,S11,68.849,,,,,,,2024-03
JQ감산1,2024-04-01,S11,69.243,,,,,,,2024-04
JQ감산1,2024-05-01,S11,70.094,,,,,,,2024-05
JQ감산1,2024-06-01,S11,70.018,,,,,,,2024-06
JQ감산1,2024-07-01,S11,71.351,,,,,,,2024-07
JQ감산1,2024-08-01,S11,69.893,,,,,,,2024-08
JQ감산1,2024-09-01,S11,69.607,,,,,,,2024-09
JQ감산1,2024-10-01,S11,69.425,,,,,,,2024-10
JQ감산1,2024-11-01,S11,69.69,,,,,,,2024-11
JQ감산1,2024-12-01,S11,69.465,,,,,,,2024-12
JQ감산1,2025-01-01,S11,69.092,,,,,,,2025-01
JQ감산1,2025-02-01,S11,68.904,,,,,,,2025-02
JQ감산1,2025-03-01,S11,68.778,,,,,,,2025-03
JQ감산1,2025-04-01,S11,68.744,,,,,,,2025-04
JQ감산1,2025-05-01,S11,69.74,,,,,,,2025-05
JQ감산1,2025-06-01,S11,69.9,,,,,,,2025-06
JQ감산1,2025-07-01,S11,69.637,,,,,,,2025-07
JQ감산1,2025-08-01,S11,69.403,,,,,,,2025-08
JQ감산1,2025-09-01,S11,69.315,,,,,,,2025-09
JQ감산1,2025-10-01,S11,69.235,,,,,,,2025-10
JQ감산1,2025-11-01,S11,68.876,,,,,,,2025-11
JQ감산1,2025-12-01,S11,68.506,,,,,,,2025-12
JQ감산1,2026-01-01,S11,68.28,51.72,10.96,16.45,308.0,1019.19,13.08,2026-01
JQ감산1,2026-02-01,S11,68.08,51.92,10.76,16.45,328.0,1016.91,13.1,2026-02
JQ감산1,2026-03-01,S11,68.07,51.93,10.75,16.46,332.0,1015.78,13.15,2026-03
JQ감산1,2026-04-01,S11,68.81,51.19,11.51,16.46,305.0,1008.95,13.17,2026-04
JQ감산1,2026-05-01,S11,69.26,50.74,11.96,16.46,274.0,1009.04,13.21,2026-05
JQ감산1,2026-06-01,S11,69.34,50.66,12.04,16.47,276.0,1003.96,13.2,2026-06
