관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ금능1,2019-09-01,S11,19.03,,,,,,,2019-09
JQ금능1,2019-10-01,S11,20.324,,,,,,,2019-10
JQ금능1,2019-11-01,S11,19.426,,,,,,,2019-11
JQ금능1,2019-12-01,S11,17.44,,,,,,,2019-12
JQ금능1,2020-10-01,S11,25.094,,,,,,,2020-10
JQ금능1,2021-03-01,S11,60.0,,,,,,,2021-03
JQ금능1,2021-05-01,S11,15.707,,,,,,,2021-05
JQ금능1,2021-06-01,S11,16.105,,,,,,,2021-06
JQ금능1,2021-07-01,S11,16.829,,,,,,,2021-07
JQ금능1,2021-08-01,S11,16.784,,,,,,,2021-08
JQ금능1,2021-09-01,S11,17.194,,,,,,,2021-09
JQ금능1,2021-10-01,S11,17.344,,,,,,,2021-10
JQ금능1,2021-11-01,S11,16.368,,,,,,,2021-11
JQ금능1,2021-12-01,S11,15.26,,,,,,,2021-12
JQ금능1,2022-01-01,S11,14.298,,,,,,,2022-01
JQ금능1,2022-02-01,S11,13.457,,,,,,,2022-02
JQ금능1,2022-03-01,S11,12.722,,,,,,,2022-03
JQ금능1,2022-04-01,S11,12.489,,,,,,,2022-04
JQ금능1,2022-05-01,S11,12.105,,,,,,,2022-05
JQ금능1,2022-06-01,S11,11.65,,,,,,,2022-06
JQ금능1,2022-07-01,S11,11.863,,,,,,,2022-07
JQ금능1,2022-08-01,S11,12.734,,,,,,,2022-08
JQ금능1,2022-09-01,S11,14.275,,,,,,,2022-09
JQ금능1,2022-10-01,S11,13.94,,,,,,,2022-10
JQ금능1,2022-11-01,S11,12.54,,,,,,,2022-11
JQ금능1,2022-12-01,S11,11.875,,,,,,,2022-12
JQ금능1,2023-01-01,S11,11.243,,,,,,,2023-01
JQ금능1,2023-02-01,S11,10.906,,,,,,,2023-02
JQ금능1,2023-03-01,S11,10.461,,,,,,,2023-03
JQ금능1,2023-04-01,S11,10.958,,,,,,,2023-04
JQ금능1,2023-05-01,S11,13.227,,,,,,,2023-05
JQ금능1,2023-06-01,S11,15.714,,,,,,,2023-06
JQ금능1,2023-07-01,S11,17.445,,,,,,,2023-07
JQ금능1,2023-08-01,S11,18.081,,,,,,,2023-08
JQ금능1,2023-09-01,S11,18.752,,,,,,,2023-09
JQ금능1,2023-10-01,S11,18.082,,,,,,,2023-10
JQ금능1,2023-11-01,S11,16.933,,,,,,,2023-11
JQ금능1,2023-12-01,S11,15.873,,,,,,,2023-12
JQ금능1,2024-01-01,S11,14.956,,,,,,,2024-01
JQ금능1,2024-02-01,S11,14.403,,,,,,,2024-02
JQ금능1,2024-03-01,S11,14.166,,,,,,,2024-03
JQ금능1,2024-04-01,S11,14.195,,,,,,,2024-04
JQ금능1,2024-05-01,S11,15.303,,,,,,,2024-05
JQ금능1,2024-06-01,S11,16.119,,,,,,,2024-06
JQ금능1,2024-07-01,S11,18.097,,,,,,,2024-07
JQ금능1,2024-08-01,S11,17.682,,,,,,,2024-08
JQ금능1,2024-09-01,S11,17.087,,,,,,,2024-09
JQ금능1,2024-10-01,S11,16.765,,,,,,,2024-10
JQ금능1,2024-11-01,S11,17.505,,,,,,,2024-11
JQ금능1,2024-12-01,S11,17.24,,,,,,,2024-12
JQ금능1,2025-01-01,S11,16.091,,,,,,,2025-01
JQ금능1,2025-02-01,S11,15.166,,,,,,,2025-02
JQ금능1,2025-03-01,S11,14.469,,,,,,,2025-03
JQ금능1,2025-04-01,S11,13.73,,,,,,,2025-04
JQ금능1,2025-05-01,S11,13.927,,,,,,,2025-05
JQ금능1,2025-06-01,S11,14.429,,,,,,,2025-06
JQ금능1,2025-07-01,S11,14.548,,,,,,,2025-07
JQ금능1,2025-08-01,S11,13.958,,,,,,,2025-08
JQ금능1,2025-09-01,S11,13.426,,,,,,,2025-09
JQ금능1,2025-10-01,S11,13.797,,,,,,,2025-10
JQ금능1,2025-11-01,S11,12.987,,,,,,,2025-11
JQ금능1,2025-12-01,S11,12.062,,,,,,,2025-12
JQ금능1,2026-01-01,S11,11.24,48.76,11.31,15.32,721.0,1026.87,12.93,2026-01
JQ금능1,2026-02-01,S11,10.48,49.52,10.56,15.36,729.0,1024.39,13.09,2026-02
JQ금능1,2026-03-01,S11,10.01,49.99,10.09,15.79,811.0,1023.15,13.14,2026-03
JQ금능1,2026-04-01,S11,10.16,49.84,10.24,15.42,899.0,1015.9,13.15,2026-04
JQ금능1,2026-05-01,S11,10.3,49.7,9.93,15.58,993.0,1013.5,13.21,2026-05
JQ금능1,2026-06-01,S11,10.11,49.89,9.69,15.58,1057.0,1008.17,13.14,2026-06
