관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ대흘1,2005-01-01,S11,14.622,,,,,,,2005-01
JQ대흘1,2005-02-01,S11,13.037,,,,,,,2005-02
JQ대흘1,2005-03-01,S11,12.375,,,,,,,2005-03
JQ대흘1,2005-04-01,S11,11.955,,,,,,,2005-04
JQ대흘1,2005-05-01,S11,11.609,,,,,,,2005-05
JQ대흘1,2005-06-01,S11,11.106,,,,,,,2005-06
JQ대흘1,2005-07-01,S11,10.304,,,,,,,2005-07
JQ대흘1,2005-08-01,S11,9.933,,,,,,,2005-08
JQ대흘1,2005-09-01,S11,10.122,,,,,,,2005-09
JQ대흘1,2005-10-01,S11,10.036,,,,,,,2005-10
JQ대흘1,2005-11-01,S11,9.663,,,,,,,2005-11
JQ대흘1,2005-12-01,S11,9.243,,,,,,,2005-12
JQ대흘1,2006-01-01,S11,8.844,,,,,,,2006-01
JQ대흘1,2006-02-01,S11,8.741,,,,,,,2006-02
JQ대흘1,2006-03-01,S11,8.782,,,,,,,2006-03
JQ대흘1,2006-04-01,S11,8.961,,,,,,,2006-04
JQ대흘1,2006-05-01,S11,9.395,,,,,,,2006-05
JQ대흘1,2006-06-01,S11,11.18,,,,,,,2006-06
JQ대흘1,2006-07-01,S11,16.995,,,,,,,2006-07
JQ대흘1,2006-08-01,S11,20.647,,,,,,,2006-08
JQ대흘1,2006-09-01,S11,19.37,,,,,,,2006-09
JQ대흘1,2006-10-01,S11,20.248,,,,,,,2006-10
JQ대흘1,2006-11-01,S11,17.522,,,,,,,2006-11
JQ대흘1,2006-12-01,S11,15.376,,,,,,,2006-12
JQ대흘1,2007-01-01,S11,13.952,,,,,,,2007-01
JQ대흘1,2007-02-01,S11,12.477,,,,,,,2007-02
JQ대흘1,2007-03-01,S11,11.846,,,,,,,2007-03
JQ대흘1,2007-04-01,S11,11.942,,,,,,,2007-04
JQ대흘1,2007-05-01,S11,11.247,,,,,,,2007-05
JQ대흘1,2007-06-01,S11,10.359,,,,,,,2007-06
JQ대흘1,2007-07-01,S11,11.891,,,,,,,2007-07
JQ대흘1,2007-08-01,S11,14.504,,,,,,,2007-08
JQ대흘1,2007-09-01,S11,22.517,,,,,,,2007-09
JQ대흘1,2007-10-01,S11,32.324,,,,,,,2007-10
JQ대흘1,2007-11-01,S11,29.648,,,,,,,2007-11
JQ대흘1,2007-12-01,S11,24.251,,,,,,,2007-12
JQ대흘1,2008-01-01,S11,19.299,,,,,,,2008-01
JQ대흘1,2008-02-01,S11,17.574,,,,,,,2008-02
JQ대흘1,2008-03-01,S11,15.335,,,,,,,2008-03
JQ대흘1,2008-04-01,S11,13.739,,,,,,,2008-04
JQ대흘1,2008-05-01,S11,12.755,,,,,,,2008-05
JQ대흘1,2008-06-01,S11,12.602,,,,,,,2008-06
JQ대흘1,2008-07-01,S11,15.24,,,,,,,2008-07
