관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ덕천11,2005-01-01,S11,41.759,,,,,,,2005-01
JQ덕천11,2005-02-01,S11,40.451,,,,,,,2005-02
JQ덕천11,2005-03-01,S11,39.596,,,,,,,2005-03
JQ덕천11,2005-04-01,S11,40.44,,,,,,,2005-04
JQ덕천11,2005-05-01,S11,41.741,,,,,,,2005-05
JQ덕천11,2005-06-01,S11,43.122,,,,,,,2005-06
JQ덕천11,2005-07-01,S11,42.715,,,,,,,2005-07
JQ덕천11,2005-08-01,S11,42.028,,,,,,,2005-08
JQ덕천11,2005-09-01,S11,42.703,,,,,,,2005-09
JQ덕천11,2005-10-01,S11,42.469,,,,,,,2005-10
JQ덕천11,2005-11-01,S11,41.563,,,,,,,2005-11
JQ덕천11,2005-12-01,S11,40.779,,,,,,,2005-12
JQ덕천11,2006-01-01,S11,40.021,,,,,,,2006-01
JQ덕천11,2006-02-01,S11,39.562,,,,,,,2006-02
JQ덕천11,2006-03-01,S11,39.317,,,,,,,2006-03
JQ덕천11,2006-04-01,S11,39.761,,,,,,,2006-04
JQ덕천11,2006-05-01,S11,41.42,,,,,,,2006-05
JQ덕천11,2006-06-01,S11,42.79,,,,,,,2006-06
JQ덕천11,2006-07-01,S11,46.131,,,,,,,2006-07
JQ덕천11,2006-08-01,S11,47.903,,,,,,,2006-08
JQ덕천11,2006-09-01,S11,46.792,,,,,,,2006-09
JQ덕천11,2006-10-01,S11,46.331,,,,,,,2006-10
JQ덕천11,2006-11-01,S11,44.684,,,,,,,2006-11
JQ덕천11,2006-12-01,S11,42.761,,,,,,,2006-12
JQ덕천11,2007-01-01,S11,41.145,,,,,,,2007-01
JQ덕천11,2007-02-01,S11,39.989,,,,,,,2007-02
JQ덕천11,2007-03-01,S11,39.222,,,,,,,2007-03
JQ덕천11,2007-04-01,S11,39.179,,,,,,,2007-04
JQ덕천11,2007-05-01,S11,39.374,,,,,,,2007-05
JQ덕천11,2007-06-01,S11,39.623,,,,,,,2007-06
JQ덕천11,2007-07-01,S11,42.945,,,,,,,2007-07
JQ덕천11,2007-08-01,S11,45.611,,,,,,,2007-08
JQ덕천11,2007-09-01,S11,48.808,,,,,,,2007-09
JQ덕천11,2007-10-01,S11,50.698,,,,,,,2007-10
JQ덕천11,2007-11-01,S11,47.965,,,,,,,2007-11
