관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ명월2,2005-01-01,S11,16.801,,,,,,,2005-01
JQ명월2,2005-02-01,S11,16.346,,,,,,,2005-02
JQ명월2,2005-03-01,S11,15.85,,,,,,,2005-03
JQ명월2,2005-04-01,S11,15.547,,,,,,,2005-04
JQ명월2,2005-05-01,S11,15.402,,,,,,,2005-05
JQ명월2,2005-06-01,S11,15.286,,,,,,,2005-06
JQ명월2,2005-07-01,S11,15.037,,,,,,,2005-07
JQ명월2,2005-08-01,S11,15.14,,,,,,,2005-08
JQ명월2,2005-09-01,S11,11.952,,,,,,,2005-09
JQ명월2,2005-10-01,S11,10.849,,,,,,,2005-10
JQ명월2,2005-11-01,S11,13.472,,,,,,,2005-11
JQ명월2,2005-12-01,S11,13.452,,,,,,,2005-12
JQ명월2,2006-01-01,S11,13.429,,,,,,,2006-01
JQ명월2,2006-02-01,S11,13.173,,,,,,,2006-02
JQ명월2,2006-03-01,S11,12.917,,,,,,,2006-03
JQ명월2,2006-04-01,S11,13.649,,,,,,,2006-04
JQ명월2,2006-05-01,S11,14.214,,,,,,,2006-05
JQ명월2,2006-06-01,S11,14.65,,,,,,,2006-06
JQ명월2,2006-07-01,S11,17.72,,,,,,,2006-07
JQ명월2,2006-08-01,S11,17.302,,,,,,,2006-08
JQ명월2,2006-09-01,S11,15.387,,,,,,,2006-09
JQ명월2,2006-10-01,S11,14.54,,,,,,,2006-10
JQ명월2,2006-11-01,S11,16.628,,,,,,,2006-11
JQ명월2,2006-12-01,S11,16.354,,,,,,,2006-12
JQ명월2,2007-01-01,S11,15.698,,,,,,,2007-01
JQ명월2,2007-02-01,S11,15.07,,,,,,,2007-02
JQ명월2,2007-03-01,S11,14.721,,,,,,,2007-03
JQ명월2,2007-04-01,S11,13.983,,,,,,,2007-04
JQ명월2,2007-05-01,S11,14.021,,,,,,,2007-05
JQ명월2,2007-06-01,S11,13.756,,,,,,,2007-06
JQ명월2,2007-07-01,S11,16.008,,,,,,,2007-07
JQ명월2,2007-08-01,S11,15.986,,,,,,,2007-08
JQ명월2,2007-09-01,S11,16.196,,,,,,,2007-09
JQ명월2,2007-10-01,S11,14.638,,,,,,,2007-10
JQ명월2,2007-11-01,S11,16.886,,,,,,,2007-11
JQ명월2,2007-12-01,S11,17.201,,,,,,,2007-12
JQ명월2,2008-01-01,S11,17.454,,,,,,,2008-01
JQ명월2,2008-02-01,S11,16.764,,,,,,,2008-02
JQ명월2,2008-03-01,S11,16.179,,,,,,,2008-03
JQ명월2,2008-04-01,S11,15.861,,,,,,,2008-04
JQ명월2,2008-05-01,S11,14.425,,,,,,,2008-05
JQ명월2,2008-06-01,S11,15.807,,,,,,,2008-06
JQ명월2,2008-07-01,S11,16.972,,,,,,,2008-07
JQ명월2,2008-08-01,S11,16.135,,,,,,,2008-08
JQ명월2,2008-09-01,S11,15.039,,,,,,,2008-09
JQ명월2,2008-10-01,S11,13.095,,,,,,,2008-10
JQ명월2,2008-11-01,S11,14.712,,,,,,,2008-11
JQ명월2,2008-12-01,S11,14.155,,,,,,,2008-12
JQ명월2,2009-01-01,S11,13.585,,,,,,,2009-01
JQ명월2,2009-02-01,S11,13.304,,,,,,,2009-02
JQ명월2,2009-03-01,S11,13.798,,,,,,,2009-03
JQ명월2,2009-04-01,S11,12.758,,,,,,,2009-04
JQ명월2,2009-05-01,S11,12.555,,,,,,,2009-05
JQ명월2,2009-06-01,S11,13.365,,,,,,,2009-06
JQ명월2,2009-07-01,S11,14.598,,,,,,,2009-07
JQ명월2,2009-08-01,S11,14.575,,,,,,,2009-08
JQ명월2,2009-09-01,S11,11.592,,,,,,,2009-09
JQ명월2,2009-10-01,S11,11.495,,,,,,,2009-10
JQ명월2,2009-11-01,S11,12.92,,,,,,,2009-11
JQ명월2,2009-12-01,S11,13.061,,,,,,,2009-12
JQ명월2,2010-01-01,S11,12.109,,,,,,,2010-01
JQ명월2,2010-02-01,S11,13.108,,,,,,,2010-02
JQ명월2,2010-03-01,S11,13.15,,,,,,,2010-03
JQ명월2,2010-04-01,S11,13.867,,,,,,,2010-04
JQ명월2,2010-05-01,S11,13.634,,,,,,,2010-05
JQ명월2,2010-06-01,S11,13.774,,,,,,,2010-06
JQ명월2,2010-07-01,S11,16.254,,,,,,,2010-07
JQ명월2,2010-08-01,S11,17.193,,,,,,,2010-08
JQ명월2,2010-09-01,S11,19.297,,,,,,,2010-09
JQ명월2,2010-10-01,S11,17.185,,,,,,,2010-10
JQ명월2,2010-11-01,S11,17.456,,,,,,,2010-11
JQ명월2,2010-12-01,S11,18.441,,,,,,,2010-12
JQ명월2,2011-01-01,S11,17.95,,,,,,,2011-01
JQ명월2,2011-02-01,S11,16.882,,,,,,,2011-02
JQ명월2,2011-03-01,S11,15.476,,,,,,,2011-03
JQ명월2,2011-04-01,S11,15.153,,,,,,,2011-04
JQ명월2,2011-05-01,S11,14.796,,,,,,,2011-05
JQ명월2,2011-06-01,S11,15.184,,,,,,,2011-06
JQ명월2,2011-07-01,S11,16.742,,,,,,,2011-07
JQ명월2,2011-08-01,S11,16.55,,,,,,,2011-08
JQ명월2,2011-09-01,S11,13.765,,,,,,,2011-09
JQ명월2,2011-10-01,S11,12.18,,,,,,,2011-10
JQ명월2,2011-11-01,S11,16.055,,,,,,,2011-11
JQ명월2,2011-12-01,S11,16.26,,,,,,,2011-12
JQ명월2,2012-01-01,S11,15.398,,,,,,,2012-01
JQ명월2,2012-02-01,S11,14.853,,,,,,,2012-02
JQ명월2,2012-03-01,S11,14.718,,,,,,,2012-03
JQ명월2,2012-04-01,S11,15.387,,,,,,,2012-04
JQ명월2,2012-05-01,S11,15.827,,,,,,,2012-05
JQ명월2,2012-06-01,S11,15.413,,,,,,,2012-06
JQ명월2,2012-07-01,S11,16.575,,,,,,,2012-07
JQ명월2,2012-08-01,S11,16.441,,,,,,,2012-08
JQ명월2,2012-09-01,S11,19.315,,,,,,,2012-09
JQ명월2,2012-10-01,S11,16.188,,,,,,,2012-10
JQ명월2,2012-11-01,S11,19.247,,,,,,,2012-11
JQ명월2,2012-12-01,S11,19.153,,,,,,,2012-12
JQ명월2,2013-01-01,S11,18.548,,,,,,,2013-01
JQ명월2,2013-02-01,S11,17.834,,,,,,,2013-02
