관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ상대1,2005-01-01,S11,34.847,,,,,,,2005-01
JQ상대1,2005-02-01,S11,33.1,,,,,,,2005-02
JQ상대1,2005-03-01,S11,32.044,,,,,,,2005-03
JQ상대1,2005-04-01,S11,31.915,,,,,,,2005-04
JQ상대1,2005-05-01,S11,32.861,,,,,,,2005-05
JQ상대1,2005-06-01,S11,34.761,,,,,,,2005-06
JQ상대1,2005-07-01,S11,34.716,,,,,,,2005-07
JQ상대1,2005-08-01,S11,34.164,,,,,,,2005-08
JQ상대1,2005-09-01,S11,35.665,,,,,,,2005-09
JQ상대1,2005-10-01,S11,35.441,,,,,,,2005-10
JQ상대1,2005-11-01,S11,34.09,,,,,,,2005-11
JQ상대1,2005-12-01,S11,32.735,,,,,,,2005-12
JQ상대1,2006-01-01,S11,31.887,,,,,,,2006-01
JQ상대1,2006-02-01,S11,31.114,,,,,,,2006-02
JQ상대1,2006-03-01,S11,30.546,,,,,,,2006-03
JQ상대1,2006-04-01,S11,30.957,,,,,,,2006-04
JQ상대1,2006-05-01,S11,32.974,,,,,,,2006-05
JQ상대1,2006-06-01,S11,34.694,,,,,,,2006-06
JQ상대1,2006-07-01,S11,39.281,,,,,,,2006-07
JQ상대1,2006-08-01,S11,43.199,,,,,,,2006-08
JQ상대1,2006-09-01,S11,39.675,,,,,,,2006-09
JQ상대1,2006-10-01,S11,37.487,,,,,,,2006-10
JQ상대1,2006-11-01,S11,35.69,,,,,,,2006-11
JQ상대1,2006-12-01,S11,33.888,,,,,,,2006-12
JQ상대1,2007-01-01,S11,32.098,,,,,,,2007-01
JQ상대1,2007-02-01,S11,29.85,,,,,,,2007-02
JQ상대1,2007-03-01,S11,28.503,,,,,,,2007-03
JQ상대1,2007-04-01,S11,27.815,,,,,,,2007-04
JQ상대1,2007-05-01,S11,27.323,,,,,,,2007-05
JQ상대1,2007-06-01,S11,27.402,,,,,,,2007-06
JQ상대1,2007-07-01,S11,33.086,,,,,,,2007-07
JQ상대1,2007-08-01,S11,37.833,,,,,,,2007-08
JQ상대1,2007-09-01,S11,43.524,,,,,,,2007-09
JQ상대1,2007-10-01,S11,47.505,,,,,,,2007-10
JQ상대1,2007-11-01,S11,42.665,,,,,,,2007-11
