관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ상명1,2005-01-01,S11,12.523,,,,,,,2005-01
JQ상명1,2005-02-01,S11,11.213,,,,,,,2005-02
JQ상명1,2005-03-01,S11,10.625,,,,,,,2005-03
JQ상명1,2005-04-01,S11,10.256,,,,,,,2005-04
JQ상명1,2005-05-01,S11,10.005,,,,,,,2005-05
JQ상명1,2005-06-01,S11,9.588,,,,,,,2005-06
JQ상명1,2005-07-01,S11,9.214,,,,,,,2005-07
JQ상명1,2005-08-01,S11,9.068,,,,,,,2005-08
JQ상명1,2005-09-01,S11,9.053,,,,,,,2005-09
JQ상명1,2005-10-01,S11,8.962,,,,,,,2005-10
JQ상명1,2005-11-01,S11,8.665,,,,,,,2005-11
JQ상명1,2005-12-01,S11,8.202,,,,,,,2005-12
JQ상명1,2006-01-01,S11,7.825,,,,,,,2006-01
JQ상명1,2006-02-01,S11,7.744,,,,,,,2006-02
JQ상명1,2006-03-01,S11,7.864,,,,,,,2006-03
JQ상명1,2006-04-01,S11,8.105,,,,,,,2006-04
JQ상명1,2006-05-01,S11,8.545,,,,,,,2006-05
JQ상명1,2006-06-01,S11,10.064,,,,,,,2006-06
JQ상명1,2006-07-01,S11,15.286,,,,,,,2006-07
JQ상명1,2006-08-01,S11,17.862,,,,,,,2006-08
JQ상명1,2006-09-01,S11,16.926,,,,,,,2006-09
JQ상명1,2006-10-01,S11,17.291,,,,,,,2006-10
JQ상명1,2006-11-01,S11,15.051,,,,,,,2006-11
JQ상명1,2006-12-01,S11,13.225,,,,,,,2006-12
JQ상명1,2007-01-01,S11,11.981,,,,,,,2007-01
JQ상명1,2007-02-01,S11,10.708,,,,,,,2007-02
JQ상명1,2007-03-01,S11,10.261,,,,,,,2007-03
JQ상명1,2007-04-01,S11,10.249,,,,,,,2007-04
JQ상명1,2007-05-01,S11,9.799,,,,,,,2007-05
JQ상명1,2007-06-01,S11,9.147,,,,,,,2007-06
JQ상명1,2007-07-01,S11,10.794,,,,,,,2007-07
JQ상명1,2007-08-01,S11,12.873,,,,,,,2007-08
JQ상명1,2007-09-01,S11,19.929,,,,,,,2007-09
JQ상명1,2007-10-01,S11,27.44,,,,,,,2007-10
JQ상명1,2007-11-01,S11,24.988,,,,,,,2007-11
JQ상명1,2007-12-01,S11,20.434,,,,,,,2007-12
JQ상명1,2008-01-01,S11,16.502,,,,,,,2008-01
JQ상명1,2008-02-01,S11,14.922,,,,,,,2008-02
JQ상명1,2008-03-01,S11,13.212,,,,,,,2008-03
JQ상명1,2008-04-01,S11,12.022,,,,,,,2008-04
JQ상명1,2008-05-01,S11,11.32,,,,,,,2008-05
JQ상명1,2008-06-01,S11,11.49,,,,,,,2008-06
JQ상명1,2008-07-01,S11,13.709,,,,,,,2008-07
JQ상명1,2008-08-01,S11,13.616,,,,,,,2008-08
JQ상명1,2008-09-01,S11,12.318,,,,,,,2008-09
JQ상명1,2008-10-01,S11,11.104,,,,,,,2008-10
JQ상명1,2008-11-01,S11,10.315,,,,,,,2008-11
JQ상명1,2008-12-01,S11,9.628,,,,,,,2008-12
JQ상명1,2009-01-01,S11,9.019,,,,,,,2009-01
