관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ세화4,2020-07-01,S11,0.042,,,,,,,2020-07
JQ세화4,2020-08-01,S11,0.072,,,,,,,2020-08
JQ세화4,2020-09-01,S11,0.619,,,,,,,2020-09
JQ세화4,2020-10-01,S11,0.096,,,,,,,2020-10
JQ세화4,2020-11-01,S11,-0.233,,,,,,,2020-11
JQ세화4,2020-12-01,S11,-0.349,,,,,,,2020-12
JQ세화4,2021-01-01,S11,-0.399,,,,,,,2021-01
JQ세화4,2021-02-01,S11,-0.393,,,,,,,2021-02
JQ세화4,2021-03-01,S11,-0.359,,,,,,,2021-03
JQ세화4,2021-04-01,S11,-0.35,,,,,,,2021-04
JQ세화4,2021-05-01,S11,-0.298,,,,,,,2021-05
JQ세화4,2021-06-01,S11,-0.155,,,,,,,2021-06
JQ세화4,2021-07-01,S11,-0.1,,,,,,,2021-07
JQ세화4,2021-08-01,S11,0.083,,,,,,,2021-08
JQ세화4,2021-09-01,S11,0.362,,,,,,,2021-09
JQ세화4,2021-10-01,S11,0.041,,,,,,,2021-10
JQ세화4,2021-11-01,S11,-0.248,,,,,,,2021-11
JQ세화4,2021-12-01,S11,-0.386,,,,,,,2021-12
JQ세화4,2022-01-01,S11,-0.41,,,,,,,2022-01
JQ세화4,2022-02-01,S11,-0.434,,,,,,,2022-02
JQ세화4,2022-03-01,S11,-0.375,,,,,,,2022-03
JQ세화4,2022-04-01,S11,-0.408,,,,,,,2022-04
JQ세화4,2022-05-01,S11,-0.336,,,,,,,2022-05
JQ세화4,2022-06-01,S11,-0.225,,,,,,,2022-06
JQ세화4,2022-07-01,S11,-0.201,,,,,,,2022-07
JQ세화4,2022-08-01,S11,-0.078,,,,,,,2022-08
JQ세화4,2022-09-01,S11,0.139,,,,,,,2022-09
JQ세화4,2022-10-01,S11,-0.24,,,,,,,2022-10
JQ세화4,2022-11-01,S11,-0.301,,,,,,,2022-11
JQ세화4,2022-12-01,S11,-0.505,,,,,,,2022-12
JQ세화4,2023-01-01,S11,-0.471,,,,,,,2023-01
JQ세화4,2023-02-01,S11,-0.457,,,,,,,2023-02
JQ세화4,2023-03-01,S11,-0.504,,,,,,,2023-03
JQ세화4,2023-04-01,S11,-0.423,,,,,,,2023-04
JQ세화4,2023-05-01,S11,-0.102,,,,,,,2023-05
JQ세화4,2023-06-01,S11,0.002,,,,,,,2023-06
JQ세화4,2023-07-01,S11,0.235,,,,,,,2023-07
JQ세화4,2023-08-01,S11,0.128,,,,,,,2023-08
JQ세화4,2023-09-01,S11,0.064,,,,,,,2023-09
JQ세화4,2023-10-01,S11,-0.16,,,,,,,2023-10
JQ세화4,2023-11-01,S11,-0.353,,,,,,,2023-11
JQ세화4,2023-12-01,S11,-0.469,,,,,,,2023-12
JQ세화4,2024-01-01,S11,-0.458,,,,,,,2024-01
JQ세화4,2024-02-01,S11,-0.209,,,,,,,2024-02
JQ세화4,2024-03-01,S11,-0.096,,,,,,,2024-03
JQ세화4,2024-04-01,S11,-0.199,,,,,,,2024-04
JQ세화4,2024-05-01,S11,-0.162,,,,,,,2024-05
JQ세화4,2024-06-01,S11,-0.089,,,,,,,2024-06
JQ세화4,2024-07-01,S11,0.155,,,,,,,2024-07
JQ세화4,2024-08-01,S11,0.059,,,,,,,2024-08
JQ세화4,2024-09-01,S11,0.013,,,,,,,2024-09
JQ세화4,2024-10-01,S11,0.006,,,,,,,2024-10
JQ세화4,2024-11-01,S11,0.338,,,,,,,2024-11
JQ세화4,2024-12-01,S11,-0.147,,,,,,,2024-12
JQ세화4,2025-01-01,S11,-0.232,,,,,,,2025-01
JQ세화4,2025-02-01,S11,-0.361,,,,,,,2025-02
JQ세화4,2025-03-01,S11,-0.265,,,,,,,2025-03
JQ세화4,2025-04-01,S11,-0.255,,,,,,,2025-04
JQ세화4,2025-05-01,S11,-0.299,,,,,,,2025-05
JQ세화4,2025-06-01,S11,-0.167,,,,,,,2025-06
JQ세화4,2025-07-01,S11,-0.113,,,,,,,2025-07
JQ세화4,2025-08-01,S11,-0.204,,,,,,,2025-08
JQ세화4,2025-09-01,S11,-0.078,,,,,,,2025-09
JQ세화4,2025-10-01,S11,0.005,,,,,,,2025-10
JQ세화4,2025-11-01,S11,-0.172,,,,,,,2025-11
JQ세화4,2025-12-01,S11,-0.316,,,,,,,2025-12
JQ세화4,2026-01-01,S11,-0.43,42.29,19.58,15.89,604.0,1028.79,13.16,2026-01
JQ세화4,2026-02-01,S11,-0.46,42.32,19.55,15.91,616.0,1026.57,13.17,2026-02
JQ세화4,2026-03-01,S11,-0.44,42.3,19.57,15.92,623.0,1025.45,13.23,2026-03
JQ세화4,2026-04-01,S11,-0.3,42.16,19.71,15.92,616.0,1018.31,13.25,2026-04
JQ세화4,2026-05-01,S11,-0.28,42.14,19.73,15.93,580.0,1017.87,13.3,2026-05
JQ세화4,2026-06-01,S11,0.34,41.52,20.35,15.96,481.0,1013.42,13.24,2026-06
