관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ수산6,2024-02-01,S11,-0.037,,,,,,,2024-02
JQ수산6,2024-03-01,S11,-0.162,,,,,,,2024-03
JQ수산6,2024-04-01,S11,-0.193,,,,,,,2024-04
JQ수산6,2024-05-01,S11,-0.184,,,,,,,2024-05
JQ수산6,2024-06-01,S11,-0.1,,,,,,,2024-06
JQ수산6,2024-07-01,S11,0.169,,,,,,,2024-07
JQ수산6,2024-08-01,S11,-0.0,,,,,,,2024-08
JQ수산6,2024-09-01,S11,-0.053,,,,,,,2024-09
JQ수산6,2024-10-01,S11,-0.086,,,,,,,2024-10
JQ수산6,2024-11-01,S11,0.228,,,,,,,2024-11
JQ수산6,2024-12-01,S11,-0.199,,,,,,,2024-12
JQ수산6,2025-01-01,S11,-0.27,,,,,,,2025-01
JQ수산6,2025-02-01,S11,-0.421,,,,,,,2025-02
JQ수산6,2025-03-01,S11,-0.334,,,,,,,2025-03
JQ수산6,2025-04-01,S11,-0.352,,,,,,,2025-04
JQ수산6,2025-05-01,S11,-0.297,,,,,,,2025-05
JQ수산6,2025-06-01,S11,-0.203,,,,,,,2025-06
JQ수산6,2025-07-01,S11,-0.179,,,,,,,2025-07
JQ수산6,2025-08-01,S11,-0.303,,,,,,,2025-08
JQ수산6,2025-09-01,S11,-0.089,,,,,,,2025-09
JQ수산6,2025-10-01,S11,-0.029,,,,,,,2025-10
JQ수산6,2025-11-01,S11,-0.246,,,,,,,2025-11
JQ수산6,2025-12-01,S11,-0.38,,,,,,,2025-12
JQ수산6,2026-01-01,S11,-0.48,35.48,3.73,16.3,539.0,1026.81,13.26,2026-01
JQ수산6,2026-02-01,S11,-0.49,35.49,3.72,16.3,545.0,1024.58,13.27,2026-02
JQ수산6,2026-03-01,S11,-0.47,35.47,3.78,16.3,562.0,1023.47,13.31,2026-03
JQ수산6,2026-04-01,S11,-0.43,35.43,3.94,16.29,586.0,1016.4,13.33,2026-04
JQ수산6,2026-05-01,S11,-0.3,35.3,3.98,16.29,614.0,1016.02,13.37,2026-05
JQ수산6,2026-06-01,S11,0.35,34.65,4.57,16.49,449.0,1011.61,13.36,2026-06
