관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ신평11,2021-12-01,S11,19.7,,,,,,,2021-12
JQ신평11,2022-01-01,S11,19.198,,,,,,,2022-01
JQ신평11,2022-02-01,S11,18.351,,,,,,,2022-02
JQ신평11,2022-03-01,S11,17.67,,,,,,,2022-03
JQ신평11,2022-04-01,S11,17.169,,,,,,,2022-04
JQ신평11,2022-05-01,S11,16.7,,,,,,,2022-05
JQ신평11,2022-06-01,S11,16.353,,,,,,,2022-06
JQ신평11,2022-07-01,S11,16.867,,,,,,,2022-07
JQ신평11,2022-08-01,S11,17.741,,,,,,,2022-08
JQ신평11,2022-09-01,S11,19.458,,,,,,,2022-09
JQ신평11,2022-10-01,S11,17.821,,,,,,,2022-10
JQ신평11,2022-11-01,S11,16.891,,,,,,,2022-11
JQ신평11,2022-12-01,S11,16.307,,,,,,,2022-12
JQ신평11,2023-01-01,S11,15.753,,,,,,,2023-01
JQ신평11,2023-02-01,S11,15.281,,,,,,,2023-02
JQ신평11,2023-03-01,S11,14.62,,,,,,,2023-03
JQ신평11,2023-04-01,S11,15.317,,,,,,,2023-04
JQ신평11,2023-05-01,S11,18.122,,,,,,,2023-05
JQ신평11,2023-06-01,S11,19.189,,,,,,,2023-06
JQ신평11,2023-07-01,S11,21.638,,,,,,,2023-07
JQ신평11,2023-08-01,S11,22.285,,,,,,,2023-08
JQ신평11,2023-09-01,S11,25.822,,,,,,,2023-09
JQ신평11,2023-10-01,S11,24.761,,,,,,,2023-10
JQ신평11,2023-11-01,S11,23.792,,,,,,,2023-11
JQ신평11,2023-12-01,S11,22.734,,,,,,,2023-12
JQ신평11,2024-01-01,S11,21.209,,,,,,,2024-01
JQ신평11,2024-02-01,S11,20.158,,,,,,,2024-02
JQ신평11,2024-03-01,S11,19.391,,,,,,,2024-03
JQ신평11,2024-04-01,S11,19.22,,,,,,,2024-04
JQ신평11,2024-05-01,S11,20.118,,,,,,,2024-05
JQ신평11,2024-06-01,S11,20.614,,,,,,,2024-06
JQ신평11,2024-07-01,S11,23.701,,,,,,,2024-07
JQ신평11,2024-08-01,S11,22.917,,,,,,,2024-08
JQ신평11,2024-09-01,S11,22.728,,,,,,,2024-09
JQ신평11,2024-10-01,S11,22.098,,,,,,,2024-10
JQ신평11,2024-11-01,S11,23.091,,,,,,,2024-11
JQ신평11,2024-12-01,S11,21.471,,,,,,,2024-12
JQ신평11,2025-01-01,S11,20.121,,,,,,,2025-01
JQ신평11,2025-02-01,S11,19.477,,,,,,,2025-02
JQ신평11,2025-03-01,S11,18.766,,,,,,,2025-03
JQ신평11,2025-04-01,S11,18.133,,,,,,,2025-04
JQ신평11,2025-05-01,S11,18.876,,,,,,,2025-05
JQ신평11,2025-06-01,S11,18.809,,,,,,,2025-06
JQ신평11,2025-07-01,S11,18.175,,,,,,,2025-07
JQ신평11,2025-08-01,S11,17.808,,,,,,,2025-08
JQ신평11,2025-09-01,S11,17.341,,,,,,,2025-09
JQ신평11,2025-10-01,S11,16.934,,,,,,,2025-10
JQ신평11,2025-11-01,S11,15.89,,,,,,,2025-11
JQ신평11,2025-12-01,S11,15.093,,,,,,,2025-12
JQ신평11,2026-01-01,S11,14.46,30.54,6.93,14.36,127.0,1026.15,13.0,2026-01
JQ신평11,2026-02-01,S11,13.93,31.07,6.4,14.35,125.0,1024.12,13.03,2026-02
JQ신평11,2026-03-01,S11,13.73,31.27,6.2,14.34,124.0,1023.78,13.08,2026-03
JQ신평11,2026-04-01,S11,14.65,30.35,7.1,14.33,131.0,1017.74,13.1,2026-04
JQ신평11,2026-05-01,S11,14.29,30.71,6.45,14.35,126.0,1020.35,13.15,2026-05
