관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ월림1,2021-04-01,S11,20.974,,,,,,,2021-04
JQ월림1,2021-05-01,S11,22.876,,,,,,,2021-05
JQ월림1,2021-06-01,S11,21.545,,,,,,,2021-06
JQ월림1,2021-07-01,S11,21.268,,,,,,,2021-07
JQ월림1,2021-08-01,S11,20.931,,,,,,,2021-08
JQ월림1,2021-09-01,S11,21.075,,,,,,,2021-09
JQ월림1,2021-10-01,S11,21.519,,,,,,,2021-10
JQ월림1,2021-11-01,S11,19.867,,,,,,,2021-11
JQ월림1,2021-12-01,S11,18.88,,,,,,,2021-12
JQ월림1,2022-01-01,S11,18.115,,,,,,,2022-01
JQ월림1,2022-02-01,S11,17.712,,,,,,,2022-02
JQ월림1,2022-03-01,S11,17.704,,,,,,,2022-03
JQ월림1,2022-04-01,S11,17.819,,,,,,,2022-04
JQ월림1,2022-05-01,S11,17.843,,,,,,,2022-05
JQ월림1,2022-06-01,S11,17.982,,,,,,,2022-06
JQ월림1,2022-07-01,S11,18.192,,,,,,,2022-07
JQ월림1,2022-08-01,S11,18.174,,,,,,,2022-08
JQ월림1,2022-09-01,S11,18.59,,,,,,,2022-09
JQ월림1,2022-10-01,S11,18.326,,,,,,,2022-10
JQ월림1,2022-11-01,S11,17.474,,,,,,,2022-11
JQ월림1,2022-12-01,S11,16.996,,,,,,,2022-12
JQ월림1,2023-01-01,S11,16.603,,,,,,,2023-01
JQ월림1,2023-02-01,S11,16.54,,,,,,,2023-02
JQ월림1,2023-03-01,S11,16.477,,,,,,,2023-03
JQ월림1,2023-04-01,S11,16.704,,,,,,,2023-04
JQ월림1,2023-05-01,S11,17.854,,,,,,,2023-05
JQ월림1,2023-06-01,S11,19.663,,,,,,,2023-06
JQ월림1,2023-07-01,S11,21.111,,,,,,,2023-07
JQ월림1,2023-08-01,S11,20.093,,,,,,,2023-08
JQ월림1,2023-09-01,S11,20.563,,,,,,,2023-09
JQ월림1,2023-10-01,S11,18.897,,,,,,,2023-10
JQ월림1,2023-11-01,S11,17.207,,,,,,,2023-11
JQ월림1,2023-12-01,S11,16.345,,,,,,,2023-12
JQ월림1,2024-01-01,S11,15.836,,,,,,,2024-01
JQ월림1,2024-02-01,S11,15.583,,,,,,,2024-02
JQ월림1,2024-03-01,S11,15.645,,,,,,,2024-03
JQ월림1,2024-04-01,S11,15.847,,,,,,,2024-04
JQ월림1,2024-05-01,S11,16.918,,,,,,,2024-05
JQ월림1,2024-06-01,S11,17.615,,,,,,,2024-06
JQ월림1,2024-07-01,S11,20.831,,,,,,,2024-07
JQ월림1,2024-08-01,S11,18.262,,,,,,,2024-08
JQ월림1,2024-09-01,S11,17.164,,,,,,,2024-09
JQ월림1,2024-10-01,S11,16.519,,,,,,,2024-10
JQ월림1,2024-11-01,S11,16.628,,,,,,,2024-11
JQ월림1,2024-12-01,S11,16.472,,,,,,,2024-12
JQ월림1,2025-01-01,S11,15.755,,,,,,,2025-01
JQ월림1,2025-02-01,S11,15.346,,,,,,,2025-02
JQ월림1,2025-03-01,S11,15.195,,,,,,,2025-03
JQ월림1,2025-04-01,S11,15.257,,,,,,,2025-04
JQ월림1,2025-05-01,S11,15.282,,,,,,,2025-05
JQ월림1,2025-06-01,S11,15.488,,,,,,,2025-06
JQ월림1,2025-07-01,S11,15.654,,,,,,,2025-07
JQ월림1,2025-08-01,S11,15.569,,,,,,,2025-08
JQ월림1,2025-09-01,S11,15.241,,,,,,,2025-09
JQ월림1,2025-10-01,S11,15.309,,,,,,,2025-10
JQ월림1,2025-11-01,S11,14.855,,,,,,,2025-11
JQ월림1,2025-12-01,S11,14.476,,,,,,,2025-12
JQ월림1,2026-01-01,S11,14.31,77.69,8.65,15.07,11289.0,1024.19,13.14,2026-01
JQ월림1,2026-02-01,S11,14.2,77.8,8.54,15.07,11299.0,1021.99,13.18,2026-02
JQ월림1,2026-03-01,S11,14.22,77.78,8.56,15.07,11299.0,1021.0,13.23,2026-03
JQ월림1,2026-04-01,S11,14.48,77.52,8.82,15.07,11262.0,1014.09,13.25,2026-04
JQ월림1,2026-05-01,S11,14.59,77.41,8.89,15.07,11297.0,1014.1,13.3,2026-05
JQ월림1,2026-06-01,S11,14.65,77.35,8.95,15.07,11320.0,1009.13,13.27,2026-06
