관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ일과31,2021-12-01,S11,6.638,,,,,,,2021-12
JQ일과31,2022-01-01,S11,6.425,,,,,,,2022-01
JQ일과31,2022-02-01,S11,5.982,,,,,,,2022-02
JQ일과31,2022-03-01,S11,5.736,,,,,,,2022-03
JQ일과31,2022-04-01,S11,5.543,,,,,,,2022-04
JQ일과31,2022-05-01,S11,5.326,,,,,,,2022-05
JQ일과31,2022-06-01,S11,5.388,,,,,,,2022-06
JQ일과31,2022-07-01,S11,5.8,,,,,,,2022-07
JQ일과31,2022-08-01,S11,6.375,,,,,,,2022-08
JQ일과31,2022-09-01,S11,7.444,,,,,,,2022-09
JQ일과31,2022-10-01,S11,5.568,,,,,,,2022-10
JQ일과31,2022-11-01,S11,5.193,,,,,,,2022-11
JQ일과31,2022-12-01,S11,5.06,,,,,,,2022-12
JQ일과31,2023-01-01,S11,4.859,,,,,,,2023-01
JQ일과31,2023-02-01,S11,4.715,,,,,,,2023-02
JQ일과31,2023-03-01,S11,4.436,,,,,,,2023-03
JQ일과31,2023-04-01,S11,4.98,,,,,,,2023-04
JQ일과31,2023-05-01,S11,6.807,,,,,,,2023-05
JQ일과31,2023-06-01,S11,7.204,,,,,,,2023-06
JQ일과31,2023-07-01,S11,8.605,,,,,,,2023-07
JQ일과31,2023-08-01,S11,8.506,,,,,,,2023-08
JQ일과31,2023-09-01,S11,10.848,,,,,,,2023-09
JQ일과31,2023-10-01,S11,9.452,,,,,,,2023-10
JQ일과31,2023-11-01,S11,8.944,,,,,,,2023-11
JQ일과31,2023-12-01,S11,8.428,,,,,,,2023-12
JQ일과31,2024-01-01,S11,7.679,,,,,,,2024-01
JQ일과31,2024-02-01,S11,7.251,,,,,,,2024-02
JQ일과31,2024-03-01,S11,6.74,,,,,,,2024-03
JQ일과31,2024-04-01,S11,6.745,,,,,,,2024-04
JQ일과31,2024-05-01,S11,7.414,,,,,,,2024-05
JQ일과31,2024-06-01,S11,7.866,,,,,,,2024-06
JQ일과31,2024-07-01,S11,10.126,,,,,,,2024-07
JQ일과31,2024-08-01,S11,8.683,,,,,,,2024-08
JQ일과31,2024-09-01,S11,8.261,,,,,,,2024-09
JQ일과31,2024-10-01,S11,7.79,,,,,,,2024-10
JQ일과31,2024-11-01,S11,8.917,,,,,,,2024-11
JQ일과31,2024-12-01,S11,7.516,,,,,,,2024-12
JQ일과31,2025-01-01,S11,6.801,,,,,,,2025-01
JQ일과31,2025-02-01,S11,6.576,,,,,,,2025-02
JQ일과31,2025-03-01,S11,6.318,,,,,,,2025-03
JQ일과31,2025-04-01,S11,6.067,,,,,,,2025-04
JQ일과31,2025-05-01,S11,6.749,,,,,,,2025-05
JQ일과31,2025-06-01,S11,6.653,,,,,,,2025-06
JQ일과31,2025-07-01,S11,6.169,,,,,,,2025-07
JQ일과31,2025-08-01,S11,5.992,,,,,,,2025-08
JQ일과31,2025-09-01,S11,5.707,,,,,,,2025-09
JQ일과31,2025-10-01,S11,5.434,,,,,,,2025-10
JQ일과31,2025-11-01,S11,4.927,,,,,,,2025-11
JQ일과31,2025-12-01,S11,4.746,,,,,,,2025-12
JQ일과31,2026-01-01,S11,4.44,29.56,7.8,14.77,131.0,1027.59,13.15,2026-01
JQ일과31,2026-02-01,S11,4.24,29.76,7.6,14.77,131.0,1025.11,13.17,2026-02
JQ일과31,2026-03-01,S11,4.27,29.73,7.63,14.8,139.0,1023.83,13.21,2026-03
JQ일과31,2026-04-01,S11,4.92,29.08,8.28,14.84,164.0,1016.65,13.24,2026-04
JQ일과31,2026-05-01,S11,4.5,29.5,7.85,14.86,157.0,1016.41,13.3,2026-05
