관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ행원7,2024-02-01,S11,0.694,,,,,,,2024-02
JQ행원7,2024-03-01,S11,0.437,,,,,,,2024-03
JQ행원7,2024-04-01,S11,0.307,,,,,,,2024-04
JQ행원7,2024-05-01,S11,0.345,,,,,,,2024-05
JQ행원7,2024-06-01,S11,0.318,,,,,,,2024-06
JQ행원7,2024-07-01,S11,0.521,,,,,,,2024-07
JQ행원7,2024-08-01,S11,0.281,,,,,,,2024-08
JQ행원7,2024-09-01,S11,0.069,,,,,,,2024-09
JQ행원7,2024-10-01,S11,0.068,,,,,,,2024-10
JQ행원7,2024-11-01,S11,0.457,,,,,,,2024-11
JQ행원7,2024-12-01,S11,-0.05,,,,,,,2024-12
JQ행원7,2025-01-01,S11,-0.146,,,,,,,2025-01
JQ행원7,2025-02-01,S11,-0.289,,,,,,,2025-02
JQ행원7,2025-03-01,S11,-0.186,,,,,,,2025-03
JQ행원7,2025-04-01,S11,-0.163,,,,,,,2025-04
JQ행원7,2025-05-01,S11,0.1,,,,,,,2025-05
JQ행원7,2025-06-01,S11,0.238,,,,,,,2025-06
JQ행원7,2025-07-01,S11,0.294,,,,,,,2025-07
JQ행원7,2025-08-01,S11,0.194,,,,,,,2025-08
JQ행원7,2025-09-01,S11,0.339,,,,,,,2025-09
JQ행원7,2025-10-01,S11,0.459,,,,,,,2025-10
JQ행원7,2025-11-01,S11,0.232,,,,,,,2025-11
JQ행원7,2025-12-01,S11,0.085,,,,,,,2025-12
JQ행원7,2026-01-01,S11,-0.02,67.02,8.27,15.33,279.0,1027.19,13.16,2026-01
JQ행원7,2026-02-01,S11,0.0,67.0,8.29,15.31,281.0,1024.98,13.17,2026-02
JQ행원7,2026-03-01,S11,0.07,66.94,8.36,15.31,283.0,1023.92,13.22,2026-03
JQ행원7,2026-04-01,S11,0.2,66.8,8.49,15.45,250.0,1016.77,13.24,2026-04
JQ행원7,2026-05-01,S11,0.21,66.79,8.5,15.47,261.0,1016.35,13.29,2026-05
