관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR구좌4,2005-01-01,S11,2.188,,,,,,,2005-01
JR구좌4,2005-02-01,S11,2.13,,,,,,,2005-02
JR구좌4,2005-03-01,S11,2.054,,,,,,,2005-03
JR구좌4,2005-04-01,S11,2.077,,,,,,,2005-04
JR구좌4,2005-05-01,S11,2.16,,,,,,,2005-05
JR구좌4,2005-06-01,S11,2.152,,,,,,,2005-06
JR구좌4,2005-07-01,S11,2.102,,,,,,,2005-07
JR구좌4,2005-08-01,S11,2.227,,,,,,,2005-08
JR구좌4,2005-09-01,S11,2.451,,,,,,,2005-09
JR구좌4,2005-10-01,S11,2.145,,,,,,,2005-10
JR구좌4,2005-11-01,S11,2.051,,,,,,,2005-11
JR구좌4,2005-12-01,S11,1.891,,,,,,,2005-12
JR구좌4,2006-01-01,S11,1.9,,,,,,,2006-01
JR구좌4,2006-02-01,S11,1.861,,,,,,,2006-02
JR구좌4,2006-03-01,S11,1.859,,,,,,,2006-03
JR구좌4,2006-04-01,S11,1.986,,,,,,,2006-04
JR구좌4,2006-05-01,S11,2.216,,,,,,,2006-05
JR구좌4,2006-06-01,S11,2.567,,,,,,,2006-06
JR구좌4,2006-07-01,S11,4.28,,,,,,,2006-07
JR구좌4,2006-08-01,S11,3.133,,,,,,,2006-08
JR구좌4,2006-09-01,S11,2.926,,,,,,,2006-09
JR구좌4,2006-10-01,S11,2.88,,,,,,,2006-10
JR구좌4,2006-11-01,S11,2.357,,,,,,,2006-11
JR구좌4,2006-12-01,S11,2.175,,,,,,,2006-12
JR구좌4,2007-01-01,S11,2.024,,,,,,,2007-01
JR구좌4,2007-02-01,S11,1.925,,,,,,,2007-02
JR구좌4,2007-03-01,S11,2.062,,,,,,,2007-03
JR구좌4,2007-04-01,S11,2.039,,,,,,,2007-04
JR구좌4,2007-05-01,S11,2.015,,,,,,,2007-05
JR구좌4,2007-06-01,S11,2.001,,,,,,,2007-06
JR구좌4,2007-07-01,S11,2.638,,,,,,,2007-07
JR구좌4,2007-08-01,S11,3.023,,,,,,,2007-08
JR구좌4,2007-09-01,S11,3.016,,,,,,,2007-09
