관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR금악1,2007-02-01,S11,17.72,,,,,,,2007-02
JR금악1,2007-03-01,S11,17.66,,,,,,,2007-03
JR금악1,2007-04-01,S11,17.441,,,,,,,2007-04
JR금악1,2007-05-01,S11,17.241,,,,,,,2007-05
JR금악1,2007-06-01,S11,16.999,,,,,,,2007-06
JR금악1,2007-07-01,S11,16.923,,,,,,,2007-07
JR금악1,2007-08-01,S11,17.337,,,,,,,2007-08
JR금악1,2007-09-01,S11,17.906,,,,,,,2007-09
JR금악1,2007-10-01,S11,18.842,,,,,,,2007-10
JR금악1,2007-11-01,S11,19.557,,,,,,,2007-11
JR금악1,2007-12-01,S11,19.839,,,,,,,2007-12
JR금악1,2008-01-01,S11,19.828,,,,,,,2008-01
JR금악1,2008-02-01,S11,19.704,,,,,,,2008-02
JR금악1,2008-03-01,S11,19.49,,,,,,,2008-03
JR금악1,2008-04-01,S11,19.24,,,,,,,2008-04
JR금악1,2008-05-01,S11,18.942,,,,,,,2008-05
JR금악1,2008-06-01,S11,18.597,,,,,,,2008-06
JR금악1,2008-07-01,S11,18.738,,,,,,,2008-07
JR금악1,2008-08-01,S11,19.0,,,,,,,2008-08
JR금악1,2008-09-01,S11,18.95,,,,,,,2008-09
JR금악1,2008-10-01,S11,18.741,,,,,,,2008-10
JR금악1,2008-11-01,S11,18.462,,,,,,,2008-11
JR금악1,2008-12-01,S11,18.153,,,,,,,2008-12
JR금악1,2009-01-01,S11,17.785,,,,,,,2009-01
JR금악1,2009-02-01,S11,17.38,,,,,,,2009-02
JR금악1,2009-03-01,S11,17.027,,,,,,,2009-03
JR금악1,2009-04-01,S11,16.786,,,,,,,2009-04
JR금악1,2009-05-01,S11,16.608,,,,,,,2009-05
JR금악1,2009-06-01,S11,16.471,,,,,,,2009-06
JR금악1,2009-07-01,S11,16.391,,,,,,,2009-07
JR금악1,2009-08-01,S11,16.524,,,,,,,2009-08
JR금악1,2009-09-01,S11,16.623,,,,,,,2009-09
JR금악1,2009-10-01,S11,16.573,,,,,,,2009-10
JR금악1,2009-11-01,S11,16.433,,,,,,,2009-11
JR금악1,2009-12-01,S11,16.289,,,,,,,2009-12
JR금악1,2010-01-01,S11,16.085,,,,,,,2010-01
JR금악1,2010-02-01,S11,15.849,,,,,,,2010-02
JR금악1,2010-03-01,S11,15.602,,,,,,,2010-03
JR금악1,2010-04-01,S11,15.548,,,,,,,2010-04
JR금악1,2010-05-01,S11,15.736,,,,,,,2010-05
JR금악1,2010-06-01,S11,15.898,,,,,,,2010-06
JR금악1,2010-07-01,S11,16.188,,,,,,,2010-07
JR금악1,2010-08-01,S11,16.883,,,,,,,2010-08
JR금악1,2010-09-01,S11,17.681,,,,,,,2010-09
JR금악1,2010-10-01,S11,18.525,,,,,,,2010-10
JR금악1,2010-11-01,S11,18.989,,,,,,,2010-11
JR금악1,2010-12-01,S11,19.094,,,,,,,2010-12
JR금악1,2011-01-01,S11,18.963,,,,,,,2011-01
JR금악1,2011-02-01,S11,18.769,,,,,,,2011-02
JR금악1,2011-03-01,S11,18.458,,,,,,,2011-03
JR금악1,2011-04-01,S11,18.118,,,,,,,2011-04
JR금악1,2011-05-01,S11,17.78,,,,,,,2011-05
JR금악1,2011-06-01,S11,17.477,,,,,,,2011-06
JR금악1,2011-07-01,S11,17.498,,,,,,,2011-07
JR금악1,2011-08-01,S11,17.805,,,,,,,2011-08
JR금악1,2011-09-01,S11,18.104,,,,,,,2011-09
JR금악1,2011-10-01,S11,18.146,,,,,,,2011-10
JR금악1,2011-11-01,S11,18.092,,,,,,,2011-11
JR금악1,2011-12-01,S11,18.201,,,,,,,2011-12
JR금악1,2012-01-01,S11,18.242,,,,,,,2012-01
JR금악1,2012-02-01,S11,18.089,,,,,,,2012-02
JR금악1,2012-03-01,S11,17.848,,,,,,,2012-03
JR금악1,2012-04-01,S11,17.685,,,,,,,2012-04
JR금악1,2012-05-01,S11,17.961,,,,,,,2012-05
JR금악1,2012-06-01,S11,18.314,,,,,,,2012-06
JR금악1,2012-07-01,S11,18.414,,,,,,,2012-07
JR금악1,2012-08-01,S11,18.484,,,,,,,2012-08
JR금악1,2012-09-01,S11,18.92,,,,,,,2012-09
JR금악1,2012-10-01,S11,19.756,,,,,,,2012-10
JR금악1,2012-11-01,S11,20.318,,,,,,,2012-11
JR금악1,2012-12-01,S11,20.488,,,,,,,2012-12
JR금악1,2013-01-01,S11,20.485,,,,,,,2013-01
JR금악1,2013-02-01,S11,20.435,,,,,,,2013-02
JR금악1,2013-03-01,S11,20.325,,,,,,,2013-03
JR금악1,2013-04-01,S11,20.191,,,,,,,2013-04
JR금악1,2013-05-01,S11,20.005,,,,,,,2013-05
JR금악1,2013-06-01,S11,19.851,,,,,,,2013-06
JR금악1,2013-07-01,S11,19.763,,,,,,,2013-07
JR금악1,2013-08-01,S11,19.537,,,,,,,2013-08
JR금악1,2013-09-01,S11,19.213,,,,,,,2013-09
JR금악1,2013-10-01,S11,18.819,,,,,,,2013-10
JR금악1,2013-11-01,S11,18.384,,,,,,,2013-11
JR금악1,2013-12-01,S11,17.951,,,,,,,2013-12
JR금악1,2014-01-01,S11,17.52,,,,,,,2014-01
JR금악1,2014-02-01,S11,17.111,,,,,,,2014-02
JR금악1,2014-03-01,S11,16.724,,,,,,,2014-03
JR금악1,2014-04-01,S11,16.408,,,,,,,2014-04
JR금악1,2014-05-01,S11,15.975,,,,,,,2014-05
JR금악1,2014-06-01,S11,15.797,,,,,,,2014-06
JR금악1,2014-07-01,S11,15.891,,,,,,,2014-07
JR금악1,2014-08-01,S11,16.304,,,,,,,2014-08
JR금악1,2014-09-01,S11,16.976,,,,,,,2014-09
JR금악1,2014-10-01,S11,17.482,,,,,,,2014-10
JR금악1,2014-11-01,S11,17.648,,,,,,,2014-11
JR금악1,2014-12-01,S11,17.655,,,,,,,2014-12
JR금악1,2015-01-01,S11,17.568,,,,,,,2015-01
JR금악1,2015-02-01,S11,17.29,,,,,,,2015-02
JR금악1,2015-03-01,S11,17.115,,,,,,,2015-03
JR금악1,2015-04-01,S11,17.02,,,,,,,2015-04
JR금악1,2015-05-01,S11,17.196,,,,,,,2015-05
JR금악1,2015-07-01,S11,18.316,,,,,,,2015-07
JR금악1,2015-08-01,S11,18.829,,,,,,,2015-08
JR금악1,2015-09-01,S11,19.217,,,,,,,2015-09
JR금악1,2015-10-01,S11,19.382,,,,,,,2015-10
JR금악1,2015-11-01,S11,19.437,,,,,,,2015-11
JR금악1,2015-12-01,S11,19.392,,,,,,,2015-12
JR금악1,2016-01-01,S11,19.35,,,,,,,2016-01
JR금악1,2016-02-01,S11,19.239,,,,,,,2016-02
