관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR상가2,2005-01-01,S11,11.15,,,,,,,2005-01
JR상가2,2005-02-01,S11,10.141,,,,,,,2005-02
JR상가2,2005-03-01,S11,9.333,,,,,,,2005-03
JR상가2,2005-04-01,S11,8.828,,,,,,,2005-04
JR상가2,2005-05-01,S11,8.493,,,,,,,2005-05
JR상가2,2005-06-01,S11,8.19,,,,,,,2005-06
JR상가2,2005-07-01,S11,7.798,,,,,,,2005-07
JR상가2,2005-08-01,S11,7.313,,,,,,,2005-08
JR상가2,2005-09-01,S11,6.87,,,,,,,2005-09
JR상가2,2005-10-01,S11,6.354,,,,,,,2005-10
JR상가2,2005-11-01,S11,6.052,,,,,,,2005-11
JR상가2,2005-12-01,S11,5.826,,,,,,,2005-12
JR상가2,2006-01-01,S11,5.625,,,,,,,2006-01
JR상가2,2006-02-01,S11,5.456,,,,,,,2006-02
JR상가2,2006-03-01,S11,5.354,,,,,,,2006-03
JR상가2,2006-04-01,S11,5.376,,,,,,,2006-04
JR상가2,2006-05-01,S11,5.768,,,,,,,2006-05
JR상가2,2006-06-01,S11,6.656,,,,,,,2006-06
JR상가2,2006-07-01,S11,9.137,,,,,,,2006-07
JR상가2,2006-08-01,S11,11.83,,,,,,,2006-08
JR상가2,2006-09-01,S11,12.592,,,,,,,2006-09
JR상가2,2006-10-01,S11,12.657,,,,,,,2006-10
JR상가2,2006-11-01,S11,12.244,,,,,,,2006-11
JR상가2,2006-12-01,S11,11.318,,,,,,,2006-12
JR상가2,2007-01-01,S11,10.205,,,,,,,2007-01
JR상가2,2007-02-01,S11,9.185,,,,,,,2007-02
JR상가2,2007-03-01,S11,8.49,,,,,,,2007-03
JR상가2,2007-04-01,S11,8.174,,,,,,,2007-04
JR상가2,2007-05-01,S11,7.821,,,,,,,2007-05
JR상가2,2007-06-01,S11,7.34,,,,,,,2007-06
JR상가2,2007-07-01,S11,7.677,,,,,,,2007-07
JR상가2,2007-08-01,S11,8.799,,,,,,,2007-08
JR상가2,2007-09-01,S11,11.128,,,,,,,2007-09
JR상가2,2007-10-01,S11,15.503,,,,,,,2007-10
JR상가2,2007-11-01,S11,15.55,,,,,,,2007-11
JR상가2,2007-12-01,S11,14.632,,,,,,,2007-12
JR상가2,2008-01-01,S11,13.415,,,,,,,2008-01
JR상가2,2008-02-01,S11,12.215,,,,,,,2008-02
JR상가2,2008-03-01,S11,10.967,,,,,,,2008-03
JR상가2,2008-04-01,S11,9.929,,,,,,,2008-04
JR상가2,2008-05-01,S11,9.053,,,,,,,2008-05
JR상가2,2008-06-01,S11,8.725,,,,,,,2008-06
JR상가2,2008-07-01,S11,9.56,,,,,,,2008-07
JR상가2,2008-08-01,S11,9.841,,,,,,,2008-08
JR상가2,2008-09-01,S11,9.35,,,,,,,2008-09
JR상가2,2008-10-01,S11,8.573,,,,,,,2008-10
JR상가2,2008-11-01,S11,7.789,,,,,,,2008-11
JR상가2,2008-12-01,S11,7.092,,,,,,,2008-12
JR상가2,2009-01-01,S11,6.633,,,,,,,2009-01
