관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR상예1,2007-12-01,S11,58.375,,,,,,,2007-12
JR상예1,2008-01-01,S11,58.396,,,,,,,2008-01
JR상예1,2008-02-01,S11,58.316,,,,,,,2008-02
JR상예1,2008-03-01,S11,58.019,,,,,,,2008-03
JR상예1,2008-04-01,S11,57.714,,,,,,,2008-04
JR상예1,2008-05-01,S11,57.497,,,,,,,2008-05
JR상예1,2008-06-01,S11,57.387,,,,,,,2008-06
JR상예1,2008-07-01,S11,57.547,,,,,,,2008-07
JR상예1,2008-08-01,S11,57.583,,,,,,,2008-08
JR상예1,2008-09-01,S11,57.479,,,,,,,2008-09
JR상예1,2008-10-01,S11,57.363,,,,,,,2008-10
JR상예1,2008-11-01,S11,57.23,,,,,,,2008-11
JR상예1,2008-12-01,S11,57.074,,,,,,,2008-12
JR상예1,2009-01-01,S11,56.814,,,,,,,2009-01
JR상예1,2009-02-01,S11,56.532,,,,,,,2009-02
JR상예1,2009-03-01,S11,56.327,,,,,,,2009-03
JR상예1,2009-04-01,S11,56.238,,,,,,,2009-04
JR상예1,2009-05-01,S11,56.145,,,,,,,2009-05
JR상예1,2009-06-01,S11,56.03,,,,,,,2009-06
JR상예1,2009-07-01,S11,56.09,,,,,,,2009-07
JR상예1,2009-08-01,S11,56.233,,,,,,,2009-08
JR상예1,2009-09-01,S11,56.118,,,,,,,2009-09
JR상예1,2009-10-01,S11,55.935,,,,,,,2009-10
JR상예1,2009-11-01,S11,55.776,,,,,,,2009-11
JR상예1,2009-12-01,S11,55.688,,,,,,,2009-12
JR상예1,2010-01-01,S11,55.526,,,,,,,2010-01
JR상예1,2010-02-01,S11,55.29,,,,,,,2010-02
JR상예1,2010-03-01,S11,55.045,,,,,,,2010-03
JR상예1,2010-04-01,S11,54.995,,,,,,,2010-04
JR상예1,2010-05-01,S11,54.989,,,,,,,2010-05
JR상예1,2010-06-01,S11,54.933,,,,,,,2010-06
JR상예1,2010-07-01,S11,55.22,,,,,,,2010-07
JR상예1,2010-08-01,S11,55.626,,,,,,,2010-08
JR상예1,2010-09-01,S11,56.27,,,,,,,2010-09
JR상예1,2010-10-01,S11,56.586,,,,,,,2010-10
JR상예1,2010-11-01,S11,56.688,,,,,,,2010-11
JR상예1,2010-12-01,S11,56.721,,,,,,,2010-12
JR상예1,2011-01-01,S11,56.607,,,,,,,2011-01
JR상예1,2011-02-01,S11,56.507,,,,,,,2011-02
JR상예1,2011-03-01,S11,56.271,,,,,,,2011-03
JR상예1,2011-04-01,S11,56.031,,,,,,,2011-04
