관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR서광3,2008-12-01,S11,99.043,,,,,,,2008-12
JR서광3,2009-01-01,S11,99.088,,,,,,,2009-01
JR서광3,2009-04-01,S11,98.348,,,,,,,2009-04
JR서광3,2009-05-01,S11,98.656,,,,,,,2009-05
JR서광3,2009-06-01,S11,98.795,,,,,,,2009-06
JR서광3,2009-07-01,S11,99.495,,,,,,,2009-07
JR서광3,2009-08-01,S11,100.958,,,,,,,2009-08
JR서광3,2009-09-01,S11,101.178,,,,,,,2009-09
JR서광3,2009-10-01,S11,100.597,,,,,,,2009-10
JR서광3,2009-11-01,S11,99.939,,,,,,,2009-11
JR서광3,2009-12-01,S11,99.286,,,,,,,2009-12
JR서광3,2010-01-01,S11,98.613,,,,,,,2010-01
JR서광3,2010-02-01,S11,98.072,,,,,,,2010-02
JR서광3,2010-03-01,S11,97.822,,,,,,,2010-03
JR서광3,2010-04-01,S11,98.707,,,,,,,2010-04
JR서광3,2010-05-01,S11,99.88,,,,,,,2010-05
JR서광3,2010-06-01,S11,100.516,,,,,,,2010-06
JR서광3,2010-07-01,S11,102.242,,,,,,,2010-07
JR서광3,2010-08-01,S11,103.71,,,,,,,2010-08
JR서광3,2010-09-01,S11,106.125,,,,,,,2010-09
JR서광3,2010-10-01,S11,106.091,,,,,,,2010-10
JR서광3,2010-11-01,S11,104.926,,,,,,,2010-11
JR서광3,2010-12-01,S11,103.699,,,,,,,2010-12
JR서광3,2011-01-01,S11,102.372,,,,,,,2011-01
JR서광3,2011-02-01,S11,101.129,,,,,,,2011-02
JR서광3,2011-03-01,S11,99.962,,,,,,,2011-03
JR서광3,2011-04-01,S11,98.992,,,,,,,2011-04
JR서광3,2011-05-01,S11,98.428,,,,,,,2011-05
JR서광3,2011-06-01,S11,98.278,,,,,,,2011-06
JR서광3,2011-07-01,S11,100.392,,,,,,,2011-07
JR서광3,2011-08-01,S11,102.146,,,,,,,2011-08
JR서광3,2011-09-01,S11,102.798,,,,,,,2011-09
JR서광3,2011-10-01,S11,102.215,,,,,,,2011-10
JR서광3,2011-11-01,S11,101.244,,,,,,,2011-11
JR서광3,2011-12-01,S11,100.521,,,,,,,2011-12
JR서광3,2012-01-01,S11,99.687,,,,,,,2012-01
JR서광3,2012-02-01,S11,98.928,,,,,,,2012-02
JR서광3,2012-03-01,S11,98.258,,,,,,,2012-03
JR서광3,2012-04-01,S11,98.066,,,,,,,2012-04
JR서광3,2012-05-01,S11,100.25,,,,,,,2012-05
JR서광3,2012-06-01,S11,100.545,,,,,,,2012-06
JR서광3,2012-07-01,S11,99.955,,,,,,,2012-07
JR서광3,2012-08-01,S11,100.283,,,,,,,2012-08
JR서광3,2012-09-01,S11,103.768,,,,,,,2012-09
JR서광3,2012-10-01,S11,104.969,,,,,,,2012-10
JR서광3,2012-11-01,S11,104.063,,,,,,,2012-11
JR서광3,2012-12-01,S11,102.837,,,,,,,2012-12
JR서광3,2013-01-01,S11,101.648,,,,,,,2013-01
JR서광3,2013-02-01,S11,100.693,,,,,,,2013-02
JR서광3,2013-03-01,S11,100.081,,,,,,,2013-03
JR서광3,2013-04-01,S11,99.789,,,,,,,2013-04
JR서광3,2013-05-01,S11,99.476,,,,,,,2013-05
JR서광3,2013-06-01,S11,100.32,,,,,,,2013-06
JR서광3,2013-07-01,S11,100.645,,,,,,,2013-07
JR서광3,2013-08-01,S11,99.934,,,,,,,2013-08
JR서광3,2013-09-01,S11,99.15,,,,,,,2013-09
JR서광3,2013-10-01,S11,98.593,,,,,,,2013-10
JR서광3,2013-11-01,S11,97.97,,,,,,,2013-11
JR서광3,2013-12-01,S11,97.48,,,,,,,2013-12
JR서광3,2014-01-01,S11,97.121,,,,,,,2014-01
JR서광3,2014-02-01,S11,96.722,,,,,,,2014-02
