관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR신흥3,2006-01-01,S11,1.458,,,,,,,2006-01
JR신흥3,2006-02-01,S11,1.355,,,,,,,2006-02
JR신흥3,2006-03-01,S11,1.327,,,,,,,2006-03
JR신흥3,2006-04-01,S11,1.722,,,,,,,2006-04
JR신흥3,2006-05-01,S11,1.835,,,,,,,2006-05
JR신흥3,2006-06-01,S11,2.081,,,,,,,2006-06
JR신흥3,2006-07-01,S11,3.41,,,,,,,2006-07
JR신흥3,2006-08-01,S11,2.755,,,,,,,2006-08
JR신흥3,2006-09-01,S11,2.999,,,,,,,2006-09
JR신흥3,2006-10-01,S11,2.685,,,,,,,2006-10
JR신흥3,2006-11-01,S11,2.218,,,,,,,2006-11
JR신흥3,2006-12-01,S11,1.885,,,,,,,2006-12
JR신흥3,2007-01-01,S11,1.635,,,,,,,2007-01
JR신흥3,2007-02-01,S11,1.475,,,,,,,2007-02
JR신흥3,2007-03-01,S11,1.501,,,,,,,2007-03
JR신흥3,2007-04-01,S11,1.447,,,,,,,2007-04
JR신흥3,2007-05-01,S11,1.487,,,,,,,2007-05
JR신흥3,2007-06-01,S11,1.551,,,,,,,2007-06
JR신흥3,2007-07-01,S11,2.386,,,,,,,2007-07
JR신흥3,2007-08-01,S11,2.376,,,,,,,2007-08
JR신흥3,2007-09-01,S11,3.823,,,,,,,2007-09
JR신흥3,2007-10-01,S11,3.373,,,,,,,2007-10
JR신흥3,2007-11-01,S11,2.711,,,,,,,2007-11
JR신흥3,2007-12-01,S11,2.282,,,,,,,2007-12
JR신흥3,2008-01-01,S11,1.952,,,,,,,2008-01
JR신흥3,2008-02-01,S11,1.743,,,,,,,2008-02
JR신흥3,2008-03-01,S11,1.643,,,,,,,2008-03
JR신흥3,2008-04-01,S11,1.696,,,,,,,2008-04
JR신흥3,2008-05-01,S11,1.712,,,,,,,2008-05
JR신흥3,2008-06-01,S11,2.148,,,,,,,2008-06
JR신흥3,2008-07-01,S11,2.48,,,,,,,2008-07
JR신흥3,2008-08-01,S11,2.22,,,,,,,2008-08
JR신흥3,2008-09-01,S11,2.087,,,,,,,2008-09
JR신흥3,2008-10-01,S11,1.931,,,,,,,2008-10
JR신흥3,2008-11-01,S11,1.757,,,,,,,2008-11
JR신흥3,2008-12-01,S11,1.58,,,,,,,2008-12
JR신흥3,2009-01-01,S11,1.419,,,,,,,2009-01
JR신흥3,2009-02-01,S11,1.444,,,,,,,2009-02
JR신흥3,2009-03-01,S11,1.62,,,,,,,2009-03
JR신흥3,2009-04-01,S11,1.708,,,,,,,2009-04
JR신흥3,2009-05-01,S11,1.759,,,,,,,2009-05
JR신흥3,2009-06-01,S11,1.836,,,,,,,2009-06
JR신흥3,2009-07-01,S11,2.063,,,,,,,2009-07
JR신흥3,2009-08-01,S11,2.436,,,,,,,2009-08
JR신흥3,2009-09-01,S11,2.611,,,,,,,2009-09
JR신흥3,2009-10-01,S11,2.375,,,,,,,2009-10
JR신흥3,2009-11-01,S11,2.072,,,,,,,2009-11
JR신흥3,2009-12-01,S11,1.85,,,,,,,2009-12
JR신흥3,2010-01-01,S11,1.555,,,,,,,2010-01
JR신흥3,2010-02-01,S11,1.548,,,,,,,2010-02
JR신흥3,2010-03-01,S11,1.675,,,,,,,2010-03
JR신흥3,2010-04-01,S11,2.269,,,,,,,2010-04
JR신흥3,2010-05-01,S11,2.467,,,,,,,2010-05
JR신흥3,2010-06-01,S11,2.333,,,,,,,2010-06
JR신흥3,2010-07-01,S11,3.08,,,,,,,2010-07
JR신흥3,2010-08-01,S11,2.896,,,,,,,2010-08
JR신흥3,2010-09-01,S11,3.722,,,,,,,2010-09
JR신흥3,2010-10-01,S11,2.934,,,,,,,2010-10
JR신흥3,2010-11-01,S11,2.45,,,,,,,2010-11
JR신흥3,2010-12-01,S11,2.05,,,,,,,2010-12
JR신흥3,2011-01-01,S11,1.678,,,,,,,2011-01
JR신흥3,2011-02-01,S11,1.52,,,,,,,2011-02
JR신흥3,2011-03-01,S11,1.344,,,,,,,2011-03
JR신흥3,2011-04-01,S11,1.298,,,,,,,2011-04
JR신흥3,2011-05-01,S11,1.372,,,,,,,2011-05
JR신흥3,2011-06-01,S11,1.74,,,,,,,2011-06
JR신흥3,2011-07-01,S11,2.122,,,,,,,2011-07
JR신흥3,2011-08-01,S11,2.117,,,,,,,2011-08
JR신흥3,2011-09-01,S11,2.279,,,,,,,2011-09
JR신흥3,2011-10-01,S11,2.067,,,,,,,2011-10
JR신흥3,2011-11-01,S11,2.173,,,,,,,2011-11
JR신흥3,2011-12-01,S11,2.12,,,,,,,2011-12
JR신흥3,2012-01-01,S11,1.812,,,,,,,2012-01
JR신흥3,2012-02-01,S11,1.577,,,,,,,2012-02
JR신흥3,2012-03-01,S11,1.644,,,,,,,2012-03
JR신흥3,2012-04-01,S11,1.937,,,,,,,2012-04
JR신흥3,2012-05-01,S11,2.927,,,,,,,2012-05
JR신흥3,2012-06-01,S11,2.395,,,,,,,2012-06
JR신흥3,2012-07-01,S11,2.327,,,,,,,2012-07
JR신흥3,2012-08-01,S11,2.753,,,,,,,2012-08
JR신흥3,2012-09-01,S11,4.378,,,,,,,2012-09
JR신흥3,2012-10-01,S11,3.565,,,,,,,2012-10
JR신흥3,2012-11-01,S11,2.722,,,,,,,2012-11
JR신흥3,2012-12-01,S11,2.203,,,,,,,2012-12
JR신흥3,2013-01-01,S11,1.969,,,,,,,2013-01
JR신흥3,2013-02-01,S11,1.87,,,,,,,2013-02
JR신흥3,2013-03-01,S11,1.816,,,,,,,2013-03
JR신흥3,2013-04-01,S11,1.771,,,,,,,2013-04
JR신흥3,2013-05-01,S11,1.788,,,,,,,2013-05
JR신흥3,2013-06-01,S11,1.949,,,,,,,2013-06
JR신흥3,2013-07-01,S11,1.923,,,,,,,2013-07
JR신흥3,2013-08-01,S11,1.766,,,,,,,2013-08
JR신흥3,2013-09-01,S11,1.642,,,,,,,2013-09
JR신흥3,2013-10-01,S11,1.75,,,,,,,2013-10
JR신흥3,2013-11-01,S11,1.456,,,,,,,2013-11
JR신흥3,2013-12-01,S11,1.332,,,,,,,2013-12
JR신흥3,2014-01-01,S11,1.208,,,,,,,2014-01
JR신흥3,2014-02-01,S11,1.252,,,,,,,2014-02
JR신흥3,2014-03-01,S11,1.305,,,,,,,2014-03
JR신흥3,2014-04-01,S11,1.475,,,,,,,2014-04
JR신흥3,2014-05-01,S11,1.825,,,,,,,2014-05
JR신흥3,2014-06-01,S11,2.416,,,,,,,2014-06
JR신흥3,2014-07-01,S11,2.477,,,,,,,2014-07
JR신흥3,2014-08-01,S11,2.995,,,,,,,2014-08
JR신흥3,2014-09-01,S11,3.402,,,,,,,2014-09
JR신흥3,2014-10-01,S11,2.696,,,,,,,2014-10
JR신흥3,2014-11-01,S11,2.27,,,,,,,2014-11
JR신흥3,2014-12-01,S11,1.918,,,,,,,2014-12
JR신흥3,2015-01-01,S11,1.727,,,,,,,2015-01
JR신흥3,2015-02-01,S11,1.601,,,,,,,2015-02
JR신흥3,2015-03-01,S11,1.527,,,,,,,2015-03
JR신흥3,2015-04-01,S11,1.9,,,,,,,2015-04
JR신흥3,2015-05-01,S11,2.576,,,,,,,2015-05
JR신흥3,2015-06-01,S11,2.288,,,,,,,2015-06
JR신흥3,2015-07-01,S11,3.06,,,,,,,2015-07
JR신흥3,2015-08-01,S11,2.676,,,,,,,2015-08
JR신흥3,2015-10-01,S11,2.477,,,,,,,2015-10
JR신흥3,2015-11-01,S11,2.294,,,,,,,2015-11
JR신흥3,2015-12-01,S11,2.171,,,,,,,2015-12
JR신흥3,2016-01-01,S11,1.968,,,,,,,2016-01
JR신흥3,2016-02-01,S11,1.988,,,,,,,2016-02
JR신흥3,2016-03-01,S11,2.07,,,,,,,2016-03
JR신흥3,2016-04-01,S11,2.319,,,,,,,2016-04
JR신흥3,2016-05-01,S11,2.629,,,,,,,2016-05
JR신흥3,2016-06-01,S11,2.515,,,,,,,2016-06
JR신흥3,2016-07-01,S11,2.774,,,,,,,2016-07
JR신흥3,2016-08-01,S11,2.442,,,,,,,2016-08
JR신흥3,2016-09-01,S11,2.226,,,,,,,2016-09
JR신흥3,2016-10-01,S11,2.645,,,,,,,2016-10
JR신흥3,2016-11-01,S11,2.285,,,,,,,2016-11
JR신흥3,2016-12-01,S11,2.0,,,,,,,2016-12
JR신흥3,2017-01-01,S11,1.879,,,,,,,2017-01
JR신흥3,2017-02-01,S11,1.741,,,,,,,2017-02
JR신흥3,2017-03-01,S11,1.664,,,,,,,2017-03
JR신흥3,2017-04-01,S11,1.673,,,,,,,2017-04
JR신흥3,2017-05-01,S11,1.529,,,,,,,2017-05
JR신흥3,2017-06-01,S11,1.594,,,,,,,2017-06
JR신흥3,2017-07-01,S11,1.59,,,,,,,2017-07
JR신흥3,2017-08-01,S11,2.018,,,,,,,2017-08
JR신흥3,2017-09-01,S11,1.736,,,,,,,2017-09
JR신흥3,2017-10-01,S11,2.118,,,,,,,2017-10
JR신흥3,2017-11-01,S11,1.584,,,,,,,2017-11
JR신흥3,2017-12-01,S11,1.28,,,,,,,2017-12
JR신흥3,2018-01-01,S11,1.183,,,,,,,2018-01
JR신흥3,2018-02-01,S11,1.045,,,,,,,2018-02
JR신흥3,2018-03-01,S11,1.177,,,,,,,2018-03
JR신흥3,2018-04-01,S11,1.313,,,,,,,2018-04
JR신흥3,2018-05-01,S11,1.926,,,,,,,2018-05
JR신흥3,2018-06-01,S11,1.868,,,,,,,2018-06
JR신흥3,2018-07-01,S11,2.051,,,,,,,2018-07
JR신흥3,2018-08-01,S11,1.817,,,,,,,2018-08
JR신흥3,2018-09-01,S11,2.722,,,,,,,2018-09
JR신흥3,2018-10-01,S11,2.623,,,,,,,2018-10
JR신흥3,2018-11-01,S11,2.112,,,,,,,2018-11
JR신흥3,2018-12-01,S11,1.832,,,,,,,2018-12
JR신흥3,2019-01-01,S11,1.533,,,,,,,2019-01
JR신흥3,2019-02-01,S11,1.335,,,,,,,2019-02
JR신흥3,2019-03-01,S11,1.259,,,,,,,2019-03
JR신흥3,2019-04-01,S11,1.19,,,,,,,2019-04
JR신흥3,2019-05-01,S11,1.432,,,,,,,2019-05
JR신흥3,2019-06-01,S11,1.824,,,,,,,2019-06
JR신흥3,2019-07-01,S11,2.622,,,,,,,2019-07
JR신흥3,2019-08-01,S11,2.818,,,,,,,2019-08
JR신흥3,2019-09-01,S11,4.061,,,,,,,2019-09
JR신흥3,2019-10-01,S11,5.08,,,,,,,2019-10
JR신흥3,2019-11-01,S11,3.323,,,,,,,2019-11
JR신흥3,2019-12-01,S11,2.478,,,,,,,2019-12
JR신흥3,2020-01-01,S11,2.105,,,,,,,2020-01
JR신흥3,2020-02-01,S11,1.819,,,,,,,2020-02
JR신흥3,2020-03-01,S11,1.63,,,,,,,2020-03
JR신흥3,2020-04-01,S11,1.531,,,,,,,2020-04
JR신흥3,2020-05-01,S11,1.889,,,,,,,2020-05
JR신흥3,2020-06-01,S11,1.96,,,,,,,2020-06
JR신흥3,2020-07-01,S11,2.991,,,,,,,2020-07
JR신흥3,2020-08-01,S11,2.529,,,,,,,2020-08
JR신흥3,2020-09-01,S11,3.543,,,,,,,2020-09
JR신흥3,2020-10-01,S11,2.757,,,,,,,2020-10
JR신흥3,2020-11-01,S11,2.056,,,,,,,2020-11
JR신흥3,2020-12-01,S11,1.715,,,,,,,2020-12
JR신흥3,2021-01-01,S11,1.493,,,,,,,2021-01
JR신흥3,2021-02-01,S11,1.368,,,,,,,2021-02
JR신흥3,2021-03-01,S11,1.326,,,,,,,2021-03
