관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR조천1,2005-01-01,S11,0.836,,,,,,,2005-01
JR조천1,2005-02-01,S11,0.816,,,,,,,2005-02
JR조천1,2005-03-01,S11,0.744,,,,,,,2005-03
JR조천1,2005-04-01,S11,0.842,,,,,,,2005-04
JR조천1,2005-05-01,S11,0.927,,,,,,,2005-05
JR조천1,2005-06-01,S11,0.967,,,,,,,2005-06
JR조천1,2005-07-01,S11,0.951,,,,,,,2005-07
JR조천1,2005-08-01,S11,0.976,,,,,,,2005-08
JR조천1,2005-09-01,S11,1.043,,,,,,,2005-09
JR조천1,2005-10-01,S11,0.923,,,,,,,2005-10
JR조천1,2005-11-01,S11,0.889,,,,,,,2005-11
JR조천1,2005-12-01,S11,0.752,,,,,,,2005-12
JR조천1,2006-01-01,S11,0.793,,,,,,,2006-01
JR조천1,2006-02-01,S11,0.756,,,,,,,2006-02
JR조천1,2006-03-01,S11,0.798,,,,,,,2006-03
JR조천1,2006-04-01,S11,0.93,,,,,,,2006-04
JR조천1,2006-05-01,S11,1.043,,,,,,,2006-05
JR조천1,2006-06-01,S11,1.175,,,,,,,2006-06
JR조천1,2006-07-01,S11,1.635,,,,,,,2006-07
JR조천1,2006-08-01,S11,1.358,,,,,,,2006-08
JR조천1,2006-09-01,S11,1.346,,,,,,,2006-09
JR조천1,2006-10-01,S11,1.295,,,,,,,2006-10
JR조천1,2006-11-01,S11,1.1,,,,,,,2006-11
JR조천1,2006-12-01,S11,1.005,,,,,,,2006-12
JR조천1,2007-01-01,S11,0.922,,,,,,,2007-01
JR조천1,2007-02-01,S11,0.952,,,,,,,2007-02
JR조천1,2007-03-01,S11,1.145,,,,,,,2007-03
JR조천1,2007-04-01,S11,1.138,,,,,,,2007-04
JR조천1,2007-05-01,S11,1.287,,,,,,,2007-05
JR조천1,2007-06-01,S11,1.51,,,,,,,2007-06
JR조천1,2007-07-01,S11,2.004,,,,,,,2007-07
JR조천1,2007-08-01,S11,2.399,,,,,,,2007-08
JR조천1,2007-09-01,S11,2.365,,,,,,,2007-09
JR조천1,2007-10-01,S11,1.459,,,,,,,2007-10
JR조천1,2007-11-01,S11,1.151,,,,,,,2007-11
JR조천1,2007-12-01,S11,0.973,,,,,,,2007-12
JR조천1,2008-01-01,S11,0.889,,,,,,,2008-01
JR조천1,2008-02-01,S11,0.856,,,,,,,2008-02
JR조천1,2008-03-01,S11,0.852,,,,,,,2008-03
JR조천1,2008-04-01,S11,0.927,,,,,,,2008-04
JR조천1,2008-05-01,S11,0.992,,,,,,,2008-05
JR조천1,2008-06-01,S11,1.137,,,,,,,2008-06
JR조천1,2008-07-01,S11,1.201,,,,,,,2008-07
JR조천1,2008-08-01,S11,1.23,,,,,,,2008-08
JR조천1,2008-09-01,S11,1.14,,,,,,,2008-09
JR조천1,2008-10-01,S11,1.044,,,,,,,2008-10
JR조천1,2008-11-01,S11,0.922,,,,,,,2008-11
JR조천1,2008-12-01,S11,0.801,,,,,,,2008-12
JR조천1,2009-01-01,S11,0.702,,,,,,,2009-01
JR조천1,2009-02-01,S11,0.744,,,,,,,2009-02
JR조천1,2009-03-01,S11,0.742,,,,,,,2009-03
JR조천1,2009-04-01,S11,0.78,,,,,,,2009-04
