관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR태흥2,2005-01-01,S11,11.065,,,,,,,2005-01
JR태흥2,2005-02-01,S11,10.368,,,,,,,2005-02
JR태흥2,2005-03-01,S11,9.852,,,,,,,2005-03
JR태흥2,2005-04-01,S11,10.181,,,,,,,2005-04
JR태흥2,2005-05-01,S11,10.772,,,,,,,2005-05
JR태흥2,2005-06-01,S11,11.433,,,,,,,2005-06
JR태흥2,2005-07-01,S11,11.095,,,,,,,2005-07
JR태흥2,2005-08-01,S11,10.72,,,,,,,2005-08
JR태흥2,2005-09-01,S11,10.927,,,,,,,2005-09
JR태흥2,2005-10-01,S11,10.583,,,,,,,2005-10
JR태흥2,2005-11-01,S11,10.12,,,,,,,2005-11
JR태흥2,2005-12-01,S11,9.571,,,,,,,2005-12
JR태흥2,2006-01-01,S11,9.193,,,,,,,2006-01
JR태흥2,2006-02-01,S11,8.979,,,,,,,2006-02
JR태흥2,2006-03-01,S11,8.842,,,,,,,2006-03
JR태흥2,2006-04-01,S11,9.508,,,,,,,2006-04
JR태흥2,2006-05-01,S11,10.411,,,,,,,2006-05
JR태흥2,2006-06-01,S11,11.261,,,,,,,2006-06
JR태흥2,2006-07-01,S11,14.18,,,,,,,2006-07
JR태흥2,2006-08-01,S11,13.907,,,,,,,2006-08
JR태흥2,2006-09-01,S11,14.029,,,,,,,2006-09
JR태흥2,2006-10-01,S11,13.603,,,,,,,2006-10
JR태흥2,2006-11-01,S11,12.47,,,,,,,2006-11
JR태흥2,2006-12-01,S11,11.544,,,,,,,2006-12
JR태흥2,2007-01-01,S11,10.62,,,,,,,2007-01
JR태흥2,2007-02-01,S11,9.946,,,,,,,2007-02
JR태흥2,2007-03-01,S11,9.485,,,,,,,2007-03
JR태흥2,2007-04-01,S11,9.27,,,,,,,2007-04
JR태흥2,2007-05-01,S11,9.342,,,,,,,2007-05
JR태흥2,2007-06-01,S11,9.468,,,,,,,2007-06
JR태흥2,2007-07-01,S11,11.547,,,,,,,2007-07
JR태흥2,2007-08-01,S11,12.283,,,,,,,2007-08
JR태흥2,2007-09-01,S11,14.597,,,,,,,2007-09
JR태흥2,2007-10-01,S11,16.173,,,,,,,2007-10
JR태흥2,2007-11-01,S11,14.212,,,,,,,2007-11
JR태흥2,2007-12-01,S11,12.819,,,,,,,2007-12
JR태흥2,2008-01-01,S11,11.9,,,,,,,2008-01
JR태흥2,2008-02-01,S11,11.074,,,,,,,2008-02
JR태흥2,2008-03-01,S11,10.396,,,,,,,2008-03
JR태흥2,2008-04-01,S11,10.131,,,,,,,2008-04
JR태흥2,2008-05-01,S11,9.987,,,,,,,2008-05
JR태흥2,2008-06-01,S11,10.813,,,,,,,2008-06
JR태흥2,2008-07-01,S11,12.512,,,,,,,2008-07
