관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW고성,2005-01-01,S11,0.799,,,,,,,2005-01
JW고성,2005-02-01,S11,0.788,,,,,,,2005-02
JW고성,2005-03-01,S11,0.686,,,,,,,2005-03
JW고성,2005-04-01,S11,0.733,,,,,,,2005-04
JW고성,2005-05-01,S11,0.796,,,,,,,2005-05
JW고성,2005-06-01,S11,0.779,,,,,,,2005-06
JW고성,2005-07-01,S11,0.856,,,,,,,2005-07
JW고성,2005-09-01,S11,1.023,,,,,,,2005-09
JW고성,2005-10-01,S11,0.959,,,,,,,2005-10
JW고성,2005-11-01,S11,0.953,,,,,,,2005-11
JW고성,2005-12-01,S11,0.845,,,,,,,2005-12
JW고성,2006-01-01,S11,0.884,,,,,,,2006-01
JW고성,2006-02-01,S11,0.818,,,,,,,2006-02
JW고성,2006-03-01,S11,0.732,,,,,,,2006-03
JW고성,2006-04-01,S11,0.717,,,,,,,2006-04
JW고성,2006-05-01,S11,0.847,,,,,,,2006-05
JW고성,2006-06-01,S11,0.954,,,,,,,2006-06
JW고성,2006-07-01,S11,1.28,,,,,,,2006-07
JW고성,2006-08-01,S11,1.044,,,,,,,2006-08
JW고성,2006-09-01,S11,1.085,,,,,,,2006-09
JW고성,2006-10-01,S11,0.992,,,,,,,2006-10
JW고성,2006-11-01,S11,0.822,,,,,,,2006-11
JW고성,2006-12-01,S11,0.777,,,,,,,2006-12
JW고성,2007-01-01,S11,0.701,,,,,,,2007-01
JW고성,2007-02-01,S11,0.61,,,,,,,2007-02
JW고성,2007-03-01,S11,0.71,,,,,,,2007-03
JW고성,2007-04-01,S11,0.661,,,,,,,2007-04
JW고성,2007-05-01,S11,0.638,,,,,,,2007-05
JW고성,2007-06-01,S11,0.661,,,,,,,2007-06
JW고성,2007-07-01,S11,0.86,,,,,,,2007-07
JW고성,2007-08-01,S11,0.935,,,,,,,2007-08
JW고성,2007-09-01,S11,1.628,,,,,,,2007-09
JW고성,2007-10-01,S11,1.07,,,,,,,2007-10
JW고성,2007-11-01,S11,0.943,,,,,,,2007-11
JW고성,2007-12-01,S11,0.796,,,,,,,2007-12
JW고성,2008-01-01,S11,0.744,,,,,,,2008-01
JW고성,2008-02-01,S11,0.704,,,,,,,2008-02
JW고성,2008-03-01,S11,0.657,,,,,,,2008-03
JW고성,2008-04-01,S11,0.71,,,,,,,2008-04
JW고성,2008-05-01,S11,0.683,,,,,,,2008-05
JW고성,2008-06-01,S11,0.961,,,,,,,2008-06
JW고성,2008-07-01,S11,1.023,,,,,,,2008-07
JW고성,2008-08-01,S11,1.026,,,,,,,2008-08
JW고성,2008-09-01,S11,0.964,,,,,,,2008-09
JW고성,2008-10-01,S11,0.963,,,,,,,2008-10
JW고성,2008-11-01,S11,0.921,,,,,,,2008-11
JW고성,2008-12-01,S11,0.828,,,,,,,2008-12
JW고성,2009-01-01,S11,0.745,,,,,,,2009-01
JW고성,2009-02-01,S11,0.759,,,,,,,2009-02
JW고성,2009-03-01,S11,0.772,,,,,,,2009-03
JW고성,2009-04-01,S11,0.797,,,,,,,2009-04
JW고성,2009-05-01,S11,0.813,,,,,,,2009-05
JW고성,2009-06-01,S11,0.803,,,,,,,2009-06
JW고성,2009-07-01,S11,0.947,,,,,,,2009-07
JW고성,2009-08-01,S11,1.017,,,,,,,2009-08
JW고성,2009-09-01,S11,0.953,,,,,,,2009-09
JW고성,2009-10-01,S11,1.015,,,,,,,2009-10
JW고성,2009-11-01,S11,0.824,,,,,,,2009-11
JW고성,2009-12-01,S11,0.733,,,,,,,2009-12
JW고성,2010-01-01,S11,0.582,,,,,,,2010-01
JW고성,2010-02-01,S11,0.669,,,,,,,2010-02
JW고성,2010-03-01,S11,0.731,,,,,,,2010-03
JW고성,2010-04-01,S11,0.87,,,,,,,2010-04
JW고성,2010-05-01,S11,0.897,,,,,,,2010-05
JW고성,2010-06-01,S11,0.875,,,,,,,2010-06
JW고성,2010-07-01,S11,1.063,,,,,,,2010-07
JW고성,2010-08-01,S11,1.04,,,,,,,2010-08
JW고성,2010-09-01,S11,1.184,,,,,,,2010-09
JW고성,2010-10-01,S11,0.973,,,,,,,2010-10
JW고성,2010-11-01,S11,0.89,,,,,,,2010-11
JW고성,2010-12-01,S11,0.763,,,,,,,2010-12
JW고성,2011-01-01,S11,0.625,,,,,,,2011-01
JW고성,2011-02-01,S11,0.633,,,,,,,2011-02
JW고성,2011-03-01,S11,0.586,,,,,,,2011-03
JW고성,2011-04-01,S11,0.619,,,,,,,2011-04
JW고성,2011-05-01,S11,0.711,,,,,,,2011-05
JW고성,2011-06-01,S11,0.858,,,,,,,2011-06
JW고성,2011-07-01,S11,0.932,,,,,,,2011-07
JW고성,2011-08-01,S11,0.97,,,,,,,2011-08
JW고성,2011-09-01,S11,1.034,,,,,,,2011-09
JW고성,2011-10-01,S11,0.904,,,,,,,2011-10
JW고성,2011-11-01,S11,1.002,,,,,,,2011-11
JW고성,2011-12-01,S11,0.829,,,,,,,2011-12
JW고성,2012-01-01,S11,0.73,,,,,,,2012-01
JW고성,2012-02-01,S11,0.676,,,,,,,2012-02
JW고성,2012-03-01,S11,0.773,,,,,,,2012-03
JW고성,2012-04-01,S11,0.823,,,,,,,2012-04
JW고성,2012-05-01,S11,1.149,,,,,,,2012-05
JW고성,2012-06-01,S11,1.031,,,,,,,2012-06
JW고성,2012-07-01,S11,1.067,,,,,,,2012-07
JW고성,2012-08-01,S11,1.49,,,,,,,2012-08
JW고성,2012-09-01,S11,1.421,,,,,,,2012-09
JW고성,2012-10-01,S11,1.166,,,,,,,2012-10
JW고성,2012-11-01,S11,0.962,,,,,,,2012-11
JW고성,2012-12-01,S11,0.844,,,,,,,2012-12
JW고성,2013-01-01,S11,0.775,,,,,,,2013-01
JW고성,2013-02-01,S11,0.791,,,,,,,2013-02
JW고성,2013-03-01,S11,0.813,,,,,,,2013-03
JW고성,2013-04-01,S11,0.918,,,,,,,2013-04
JW고성,2013-05-01,S11,1.017,,,,,,,2013-05
JW고성,2013-06-01,S11,1.07,,,,,,,2013-06
JW고성,2013-07-01,S11,1.113,,,,,,,2013-07
JW고성,2013-08-01,S11,1.221,,,,,,,2013-08
JW고성,2013-09-01,S11,1.108,,,,,,,2013-09
JW고성,2013-10-01,S11,1.089,,,,,,,2013-10
JW고성,2013-11-01,S11,0.889,,,,,,,2013-11
JW고성,2013-12-01,S11,0.781,,,,,,,2013-12
JW고성,2014-01-01,S11,0.695,,,,,,,2014-01
JW고성,2014-02-01,S11,0.798,,,,,,,2014-02
JW고성,2014-03-01,S11,0.874,,,,,,,2014-03
JW고성,2014-04-01,S11,0.981,,,,,,,2014-04
JW고성,2014-05-01,S11,1.139,,,,,,,2014-05
JW고성,2014-06-01,S11,1.333,,,,,,,2014-06
JW고성,2014-07-01,S11,1.395,,,,,,,2014-07
JW고성,2014-08-01,S11,1.609,,,,,,,2014-08
JW고성,2014-09-01,S11,1.508,,,,,,,2014-09
JW고성,2014-10-01,S11,1.364,,,,,,,2014-10
JW고성,2014-11-01,S11,1.188,,,,,,,2014-11
JW고성,2014-12-01,S11,1.009,,,,,,,2014-12
JW고성,2015-01-01,S11,0.996,,,,,,,2015-01
JW고성,2015-02-01,S11,0.988,,,,,,,2015-02
JW고성,2015-03-01,S11,0.984,,,,,,,2015-03
JW고성,2015-04-01,S11,1.148,,,,,,,2015-04
JW고성,2015-05-01,S11,1.2,,,,,,,2015-05
JW고성,2015-06-01,S11,0.922,,,,,,,2015-06
JW고성,2015-07-01,S11,1.15,,,,,,,2015-07
JW고성,2015-08-01,S11,1.092,,,,,,,2015-08
JW고성,2015-09-01,S11,1.086,,,,,,,2015-09
JW고성,2015-10-01,S11,1.053,,,,,,,2015-10
JW고성,2015-11-01,S11,0.969,,,,,,,2015-11
JW고성,2015-12-01,S11,0.915,,,,,,,2015-12
JW고성,2016-01-01,S11,0.816,,,,,,,2016-01
JW고성,2016-02-01,S11,0.772,,,,,,,2016-02
JW고성,2016-03-01,S11,0.861,,,,,,,2016-03
JW고성,2016-04-01,S11,0.969,,,,,,,2016-04
JW고성,2016-05-01,S11,0.993,,,,,,,2016-05
JW고성,2016-06-01,S11,1.023,,,,,,,2016-06
JW고성,2016-07-01,S11,1.119,,,,,,,2016-07
JW고성,2016-08-01,S11,1.041,,,,,,,2016-08
JW고성,2016-09-01,S11,1.019,,,,,,,2016-09
JW고성,2016-10-01,S11,1.061,,,,,,,2016-10
JW고성,2016-11-01,S11,0.979,,,,,,,2016-11
JW고성,2016-12-01,S11,0.978,,,,,,,2016-12
JW고성,2017-01-01,S11,0.955,,,,,,,2017-01
JW고성,2017-02-01,S11,0.955,,,,,,,2017-02
JW고성,2017-03-01,S11,0.899,,,,,,,2017-03
JW고성,2017-04-01,S11,0.829,,,,,,,2017-04
JW고성,2017-05-01,S11,0.811,,,,,,,2017-05
JW고성,2017-06-01,S11,0.947,,,,,,,2017-06
JW고성,2017-07-01,S11,1.02,,,,,,,2017-07
JW고성,2017-08-01,S11,0.989,,,,,,,2017-08
JW고성,2017-09-01,S11,0.906,,,,,,,2017-09
JW고성,2017-10-01,S11,0.918,,,,,,,2017-10
JW고성,2017-11-01,S11,0.69,,,,,,,2017-11
JW고성,2017-12-01,S11,0.538,,,,,,,2017-12
JW고성,2018-01-01,S11,0.537,,,,,,,2018-01
JW고성,2018-02-01,S11,0.503,,,,,,,2018-02
JW고성,2018-03-01,S11,0.638,,,,,,,2018-03
JW고성,2018-04-01,S11,0.706,,,,,,,2018-04
JW고성,2018-05-01,S11,0.848,,,,,,,2018-05
JW고성,2018-06-01,S11,0.874,,,,,,,2018-06
JW고성,2018-07-01,S11,1.044,,,,,,,2018-07
JW고성,2018-08-01,S11,0.941,,,,,,,2018-08
JW고성,2018-09-01,S11,1.047,,,,,,,2018-09
JW고성,2018-10-01,S11,1.016,,,,,,,2018-10
JW고성,2018-11-01,S11,0.828,,,,,,,2018-11
JW고성,2018-12-01,S11,0.716,,,,,,,2018-12
JW고성,2019-01-01,S11,0.611,,,,,,,2019-01
JW고성,2019-02-01,S11,0.6,,,,,,,2019-02
JW고성,2019-03-01,S11,0.655,,,,,,,2019-03
JW고성,2019-04-01,S11,0.654,,,,,,,2019-04
JW고성,2019-05-01,S11,0.736,,,,,,,2019-05
JW고성,2019-06-01,S11,0.85,,,,,,,2019-06
JW고성,2019-07-01,S11,1.126,,,,,,,2019-07
JW고성,2019-08-01,S11,1.13,,,,,,,2019-08
JW고성,2019-09-01,S11,1.489,,,,,,,2019-09
JW고성,2019-10-01,S11,1.462,,,,,,,2019-10
JW고성,2019-11-01,S11,1.063,,,,,,,2019-11
JW고성,2019-12-01,S11,0.979,,,,,,,2019-12
JW고성,2020-01-01,S11,0.978,,,,,,,2020-01
JW고성,2020-02-01,S11,0.93,,,,,,,2020-02
JW고성,2020-03-01,S11,0.885,,,,,,,2020-03
JW고성,2020-04-01,S11,0.848,,,,,,,2020-04
JW고성,2020-05-01,S11,0.955,,,,,,,2020-05
JW고성,2020-06-01,S11,1.036,,,,,,,2020-06
JW고성,2020-07-01,S11,1.181,,,,,,,2020-07
JW고성,2020-08-01,S11,1.093,,,,,,,2020-08
JW고성,2020-09-01,S11,1.403,,,,,,,2020-09
JW고성,2020-10-01,S11,1.123,,,,,,,2020-10
JW고성,2020-11-01,S11,0.847,,,,,,,2020-11
JW고성,2020-12-01,S11,0.753,,,,,,,2020-12
JW고성,2021-01-01,S11,0.718,,,,,,,2021-01
JW고성,2021-02-01,S11,0.722,,,,,,,2021-02
JW고성,2021-03-01,S11,0.727,,,,,,,2021-03
JW고성,2021-04-01,S11,0.766,,,,,,,2021-04
JW고성,2021-05-01,S11,0.791,,,,,,,2021-05
JW고성,2021-06-01,S11,0.923,,,,,,,2021-06
