관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW이호,2005-01-01,S11,13.264,,,,,,,2005-01
JW이호,2005-02-01,S11,13.126,,,,,,,2005-02
JW이호,2005-03-01,S11,13.076,,,,,,,2005-03
JW이호,2005-04-01,S11,12.693,,,,,,,2005-04
JW이호,2005-05-01,S11,12.057,,,,,,,2005-05
JW이호,2005-06-01,S11,8.991,,,,,,,2005-06
JW이호,2005-07-01,S11,7.702,,,,,,,2005-07
JW이호,2005-08-01,S11,11.301,,,,,,,2005-08
JW이호,2005-09-01,S11,7.699,,,,,,,2005-09
JW이호,2005-10-01,S11,5.34,,,,,,,2005-10
JW이호,2005-11-01,S11,6.418,,,,,,,2005-11
JW이호,2005-12-01,S11,5.775,,,,,,,2005-12
JW이호,2006-01-01,S11,6.414,,,,,,,2006-01
JW이호,2006-02-01,S11,6.37,,,,,,,2006-02
JW이호,2006-03-01,S11,8.111,,,,,,,2006-03
JW이호,2006-04-01,S11,7.79,,,,,,,2006-04
JW이호,2006-05-01,S11,12.664,,,,,,,2006-05
JW이호,2006-06-01,S11,17.114,,,,,,,2006-06
JW이호,2006-07-01,S11,22.153,,,,,,,2006-07
JW이호,2006-08-01,S11,20.735,,,,,,,2006-08
JW이호,2006-09-01,S11,21.916,,,,,,,2006-09
JW이호,2006-10-01,S11,22.257,,,,,,,2006-10
JW이호,2006-11-01,S11,21.613,,,,,,,2006-11
JW이호,2006-12-01,S11,14.04,,,,,,,2006-12
JW이호,2007-01-01,S11,13.007,,,,,,,2007-01
JW이호,2007-02-01,S11,12.268,,,,,,,2007-02
JW이호,2007-03-01,S11,12.924,,,,,,,2007-03
JW이호,2007-04-01,S11,12.37,,,,,,,2007-04
JW이호,2007-05-01,S11,10.294,,,,,,,2007-05
JW이호,2007-06-01,S11,6.953,,,,,,,2007-06
JW이호,2007-07-01,S11,15.026,,,,,,,2007-07
JW이호,2007-08-01,S11,15.077,,,,,,,2007-08
