관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW한장동,2012-12-01,S11,0.734,,,,,,,2012-12
JW한장동,2013-01-01,S11,0.627,,,,,,,2013-01
JW한장동,2013-02-01,S11,0.436,,,,,,,2013-02
JW한장동,2013-03-01,S11,0.594,,,,,,,2013-03
JW한장동,2013-04-01,S11,0.733,,,,,,,2013-04
JW한장동,2013-05-01,S11,0.57,,,,,,,2013-05
JW한장동,2013-06-01,S11,0.644,,,,,,,2013-06
JW한장동,2013-07-01,S11,0.52,,,,,,,2013-07
JW한장동,2013-08-01,S11,0.369,,,,,,,2013-08
JW한장동,2013-09-01,S11,0.028,,,,,,,2013-09
JW한장동,2013-10-01,S11,0.02,,,,,,,2013-10
JW한장동,2013-11-01,S11,-0.099,,,,,,,2013-11
JW한장동,2013-12-01,S11,-0.1,,,,,,,2013-12
JW한장동,2014-01-01,S11,-0.125,,,,,,,2014-01
JW한장동,2014-02-01,S11,-0.132,,,,,,,2014-02
JW한장동,2014-03-01,S11,-0.062,,,,,,,2014-03
JW한장동,2014-04-01,S11,0.078,,,,,,,2014-04
JW한장동,2014-05-01,S11,0.41,,,,,,,2014-05
JW한장동,2014-06-01,S11,0.552,,,,,,,2014-06
JW한장동,2014-07-01,S11,0.689,,,,,,,2014-07
JW한장동,2014-08-01,S11,0.941,,,,,,,2014-08
JW한장동,2014-09-01,S11,0.851,,,,,,,2014-09
JW한장동,2014-10-01,S11,0.75,,,,,,,2014-10
JW한장동,2014-11-01,S11,0.426,,,,,,,2014-11
JW한장동,2014-12-01,S11,0.251,,,,,,,2014-12
JW한장동,2015-01-01,S11,0.105,,,,,,,2015-01
JW한장동,2015-02-01,S11,0.046,,,,,,,2015-02
JW한장동,2015-03-01,S11,0.023,,,,,,,2015-03
JW한장동,2015-04-01,S11,0.084,,,,,,,2015-04
JW한장동,2015-05-01,S11,0.429,,,,,,,2015-05
JW한장동,2015-06-01,S11,0.802,,,,,,,2015-06
JW한장동,2015-07-01,S11,1.1,,,,,,,2015-07
JW한장동,2015-08-01,S11,0.893,,,,,,,2015-08
JW한장동,2015-09-01,S11,0.799,,,,,,,2015-09
JW한장동,2015-10-01,S11,0.763,,,,,,,2015-10
JW한장동,2015-11-01,S11,0.67,,,,,,,2015-11
JW한장동,2015-12-01,S11,0.339,,,,,,,2015-12
JW한장동,2016-01-01,S11,0.176,,,,,,,2016-01
JW한장동,2016-02-01,S11,0.308,,,,,,,2016-02
JW한장동,2016-03-01,S11,0.081,,,,,,,2016-03
JW한장동,2016-04-01,S11,-0.052,,,,,,,2016-04
JW한장동,2016-05-01,S11,0.236,,,,,,,2016-05
JW한장동,2016-06-01,S11,0.695,,,,,,,2016-06
JW한장동,2016-07-01,S11,1.015,,,,,,,2016-07
JW한장동,2016-08-01,S11,0.325,,,,,,,2016-08
JW한장동,2016-09-01,S11,0.224,,,,,,,2016-09
JW한장동,2016-10-01,S11,0.467,,,,,,,2016-10
JW한장동,2016-11-01,S11,0.088,,,,,,,2016-11
JW한장동,2016-12-01,S11,0.065,,,,,,,2016-12
JW한장동,2017-01-01,S11,0.119,,,,,,,2017-01
JW한장동,2017-02-01,S11,-0.423,,,,,,,2017-02
JW한장동,2017-03-01,S11,-0.235,,,,,,,2017-03
JW한장동,2017-04-01,S11,-0.436,,,,,,,2017-04
JW한장동,2017-05-01,S11,-0.87,,,,,,,2017-05
JW한장동,2017-06-01,S11,-0.648,,,,,,,2017-06
JW한장동,2017-07-01,S11,-0.982,,,,,,,2017-07
JW한장동,2017-08-01,S11,-1.283,,,,,,,2017-08
JW한장동,2017-09-01,S11,-1.099,,,,,,,2017-09
JW한장동,2017-10-01,S11,-0.577,,,,,,,2017-10
JW한장동,2017-11-01,S11,-1.286,,,,,,,2017-11
JW한장동,2017-12-01,S11,-1.547,,,,,,,2017-12
JW한장동,2018-01-01,S11,-1.865,,,,,,,2018-01
JW한장동,2018-02-01,S11,-2.325,,,,,,,2018-02
JW한장동,2018-03-01,S11,-1.973,,,,,,,2018-03
JW한장동,2018-04-01,S11,-1.878,,,,,,,2018-04
JW한장동,2018-05-01,S11,-1.017,,,,,,,2018-05
JW한장동,2018-06-01,S11,-0.365,,,,,,,2018-06
JW한장동,2018-07-01,S11,-0.538,,,,,,,2018-07
JW한장동,2018-08-01,S11,-1.304,,,,,,,2018-08
JW한장동,2018-09-01,S11,-1.18,,,,,,,2018-09
JW한장동,2018-10-01,S11,-1.056,,,,,,,2018-10
JW한장동,2018-11-01,S11,-1.377,,,,,,,2018-11
JW한장동,2018-12-01,S11,-1.331,,,,,,,2018-12
JW한장동,2019-01-01,S11,-1.39,,,,,,,2019-01
JW한장동,2019-02-01,S11,-1.582,,,,,,,2019-02
JW한장동,2019-03-01,S11,-1.647,,,,,,,2019-03
JW한장동,2019-04-01,S11,-1.77,,,,,,,2019-04
JW한장동,2019-05-01,S11,-1.969,,,,,,,2019-05
JW한장동,2019-06-01,S11,-1.668,,,,,,,2019-06
JW한장동,2019-07-01,S11,-1.275,,,,,,,2019-07
JW한장동,2019-08-01,S11,-1.494,,,,,,,2019-08
JW한장동,2019-09-01,S11,-0.314,,,,,,,2019-09
JW한장동,2019-10-01,S11,0.101,,,,,,,2019-10
JW한장동,2019-11-01,S11,-0.517,,,,,,,2019-11
JW한장동,2019-12-01,S11,-0.753,,,,,,,2019-12
JW한장동,2020-01-01,S11,-0.682,,,,,,,2020-01
JW한장동,2020-02-01,S11,-0.856,,,,,,,2020-02
JW한장동,2020-03-01,S11,-0.685,,,,,,,2020-03
JW한장동,2020-04-01,S11,-0.854,,,,,,,2020-04
JW한장동,2020-05-01,S11,-0.675,,,,,,,2020-05
JW한장동,2020-06-01,S11,-0.358,,,,,,,2020-06
JW한장동,2020-07-01,S11,0.018,,,,,,,2020-07
JW한장동,2020-08-01,S11,-0.584,,,,,,,2020-08
JW한장동,2020-09-01,S11,-0.001,,,,,,,2020-09
JW한장동,2020-10-01,S11,0.138,,,,,,,2020-10
JW한장동,2020-11-01,S11,0.419,,,,,,,2020-11
JW한장동,2020-12-01,S11,-0.56,,,,,,,2020-12
JW한장동,2021-01-01,S11,-0.996,,,,,,,2021-01
JW한장동,2021-02-01,S11,-1.244,,,,,,,2021-02
JW한장동,2021-03-01,S11,-0.435,,,,,,,2021-03
JW한장동,2021-04-01,S11,0.378,,,,,,,2021-04
JW한장동,2021-05-01,S11,-0.098,,,,,,,2021-05
JW한장동,2021-06-01,S11,-0.189,,,,,,,2021-06
JW한장동,2021-07-01,S11,0.113,,,,,,,2021-07
JW한장동,2021-08-01,S11,-0.636,,,,,,,2021-08
JW한장동,2021-09-01,S11,-0.464,,,,,,,2021-09
JW한장동,2021-10-01,S11,-0.455,,,,,,,2021-10
JW한장동,2021-11-01,S11,-0.768,,,,,,,2021-11
JW한장동,2021-12-01,S11,-1.034,,,,,,,2021-12
JW한장동,2022-01-01,S11,-1.158,,,,,,,2022-01
JW한장동,2022-02-01,S11,-1.316,,,,,,,2022-02
JW한장동,2022-03-01,S11,-1.447,,,,,,,2022-03
JW한장동,2022-04-01,S11,-1.461,,,,,,,2022-04
JW한장동,2022-05-01,S11,-1.345,,,,,,,2022-05
JW한장동,2022-06-01,S11,-1.891,,,,,,,2022-06
JW한장동,2022-07-01,S11,-1.702,,,,,,,2022-07
JW한장동,2022-08-01,S11,-1.406,,,,,,,2022-08
JW한장동,2022-09-01,S11,-0.861,,,,,,,2022-09
JW한장동,2022-10-01,S11,-1.592,,,,,,,2022-10
JW한장동,2022-11-01,S11,-2.071,,,,,,,2022-11
JW한장동,2022-12-01,S11,-1.965,,,,,,,2022-12
JW한장동,2023-01-01,S11,-1.402,,,,,,,2023-01
JW한장동,2023-02-01,S11,-1.415,,,,,,,2023-02
JW한장동,2023-03-01,S11,-1.485,,,,,,,2023-03
JW한장동,2023-04-01,S11,-1.27,,,,,,,2023-04
JW한장동,2023-05-01,S11,-0.16,,,,,,,2023-05
JW한장동,2023-06-01,S11,0.001,,,,,,,2023-06
JW한장동,2023-07-01,S11,0.249,,,,,,,2023-07
JW한장동,2023-08-01,S11,0.011,,,,,,,2023-08
JW한장동,2023-09-01,S11,-0.149,,,,,,,2023-09
JW한장동,2023-10-01,S11,-0.999,,,,,,,2023-10
JW한장동,2023-11-01,S11,-1.069,,,,,,,2023-11
JW한장동,2023-12-01,S11,-0.211,,,,,,,2023-12
JW한장동,2024-01-01,S11,-0.683,,,,,,,2024-01
JW한장동,2024-02-01,S11,-0.836,,,,,,,2024-02
JW한장동,2024-03-01,S11,-0.982,,,,,,,2024-03
JW한장동,2024-04-01,S11,-0.92,,,,,,,2024-04
JW한장동,2024-05-01,S11,-0.993,,,,,,,2024-05
JW한장동,2024-06-01,S11,-0.833,,,,,,,2024-06
JW한장동,2024-07-01,S11,-0.02,,,,,,,2024-07
JW한장동,2024-08-01,S11,-0.319,,,,,,,2024-08
JW한장동,2024-09-01,S11,-0.606,,,,,,,2024-09
JW한장동,2024-10-01,S11,-0.754,,,,,,,2024-10
JW한장동,2024-11-01,S11,-0.275,,,,,,,2024-11
JW한장동,2024-12-01,S11,-0.64,,,,,,,2024-12
JW한장동,2025-01-01,S11,-0.144,,,,,,,2025-01
JW한장동,2025-02-01,S11,-0.384,,,,,,,2025-02
JW한장동,2025-03-01,S11,-0.771,,,,,,,2025-03
JW한장동,2025-04-01,S11,-0.828,,,,,,,2025-04
JW한장동,2025-05-01,S11,-0.865,,,,,,,2025-05
JW한장동,2025-06-01,S11,-0.914,,,,,,,2025-06
JW한장동,2025-07-01,S11,-1.055,,,,,,,2025-07
JW한장동,2025-08-01,S11,-1.363,,,,,,,2025-08
JW한장동,2025-09-01,S11,-1.632,,,,,,,2025-09
JW한장동,2025-10-01,S11,-1.649,,,,,,,2025-10
JW한장동,2025-11-01,S11,-1.646,,,,,,,2025-11
JW한장동,2025-12-01,S11,-1.725,,,,,,,2025-12
JW한장동,2026-01-01,S11,-1.7,16.51,9.96,17.64,18508.0,1026.93,12.39,2026-01
JW한장동,2026-02-01,S11,-1.44,16.25,10.22,17.64,25037.0,1024.53,12.48,2026-02
JW한장동,2026-03-01,S11,-0.51,15.32,11.13,17.64,20441.0,1023.38,12.25,2026-03
JW한장동,2026-04-01,S11,-0.07,14.88,11.58,17.66,12646.0,1016.09,12.47,2026-04
JW한장동,2026-05-01,S11,-0.14,14.95,11.52,17.7,5629.0,1015.73,12.29,2026-05
