관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
PW성읍1,2021-04-01,S11,19.111,,,,,,,2021-04
PW성읍1,2021-05-01,S11,18.986,,,,,,,2021-05
PW성읍1,2021-06-01,S11,18.871,,,,,,,2021-06
PW성읍1,2021-07-01,S11,18.625,,,,,,,2021-07
PW성읍1,2021-08-01,S11,18.378,,,,,,,2021-08
PW성읍1,2021-09-01,S11,19.208,,,,,,,2021-09
PW성읍1,2021-10-01,S11,21.282,,,,,,,2021-10
PW성읍1,2021-11-01,S11,21.936,,,,,,,2021-11
PW성읍1,2021-12-01,S11,21.464,,,,,,,2021-12
PW성읍1,2022-01-01,S11,20.739,,,,,,,2022-01
PW성읍1,2022-02-01,S11,19.997,,,,,,,2022-02
PW성읍1,2022-03-01,S11,19.273,,,,,,,2022-03
PW성읍1,2022-04-01,S11,18.616,,,,,,,2022-04
PW성읍1,2022-05-01,S11,18.208,,,,,,,2022-05
PW성읍1,2022-06-01,S11,17.889,,,,,,,2022-06
PW성읍1,2022-07-01,S11,17.575,,,,,,,2022-07
PW성읍1,2022-08-01,S11,17.379,,,,,,,2022-08
PW성읍1,2022-09-01,S11,17.995,,,,,,,2022-09
PW성읍1,2022-10-01,S11,18.954,,,,,,,2022-10
PW성읍1,2022-11-01,S11,18.954,,,,,,,2022-11
PW성읍1,2022-12-01,S11,18.44,,,,,,,2022-12
PW성읍1,2023-01-01,S11,17.84,,,,,,,2023-01
PW성읍1,2023-02-01,S11,17.334,,,,,,,2023-02
PW성읍1,2023-03-01,S11,16.982,,,,,,,2023-03
PW성읍1,2023-04-01,S11,16.686,,,,,,,2023-04
PW성읍1,2023-05-01,S11,16.712,,,,,,,2023-05
PW성읍1,2023-06-01,S11,17.79,,,,,,,2023-06
PW성읍1,2023-07-01,S11,18.849,,,,,,,2023-07
PW성읍1,2023-08-01,S11,20.012,,,,,,,2023-08
PW성읍1,2023-09-01,S11,20.553,,,,,,,2023-09
PW성읍1,2023-10-01,S11,20.672,,,,,,,2023-10
PW성읍1,2023-11-01,S11,20.499,,,,,,,2023-11
PW성읍1,2023-12-01,S11,20.024,,,,,,,2023-12
PW성읍1,2024-01-01,S11,19.379,,,,,,,2024-01
PW성읍1,2024-02-01,S11,18.897,,,,,,,2024-02
PW성읍1,2024-03-01,S11,19.316,,,,,,,2024-03
PW성읍1,2024-04-01,S11,19.75,,,,,,,2024-04
PW성읍1,2024-05-01,S11,19.802,,,,,,,2024-05
PW성읍1,2024-06-01,S11,20.085,,,,,,,2024-06
PW성읍1,2024-07-01,S11,20.184,,,,,,,2024-07
PW성읍1,2024-08-01,S11,20.643,,,,,,,2024-08
PW성읍1,2024-09-01,S11,20.585,,,,,,,2024-09
PW성읍1,2024-10-01,S11,20.232,,,,,,,2024-10
PW성읍1,2024-11-01,S11,20.407,,,,,,,2024-11
PW성읍1,2024-12-01,S11,20.955,,,,,,,2024-12
PW성읍1,2025-01-01,S11,20.728,,,,,,,2025-01
PW성읍1,2025-02-01,S11,20.159,,,,,,,2025-02
PW성읍1,2025-03-01,S11,19.541,,,,,,,2025-03
PW성읍1,2025-04-01,S11,19.081,,,,,,,2025-04
PW성읍1,2025-05-01,S11,18.783,,,,,,,2025-05
PW성읍1,2025-06-01,S11,18.515,,,,,,,2025-06
PW성읍1,2025-07-01,S11,49.676,,,,,,,2025-07
PW성읍1,2025-08-01,S11,19.278,,,,,,,2025-08
PW성읍1,2025-09-01,S11,17.147,,,,,,,2025-09
PW성읍1,2025-10-01,S11,16.796,,,,,,,2025-10
PW성읍1,2025-11-01,S11,17.375,,,,,,,2025-11
PW성읍1,2025-12-01,S11,17.342,,,,,,,2025-12
PW성읍1,2026-01-01,S11,16.86,219.14,16.41,15.66,144.0,1271.43,13.03,2026-01
PW성읍1,2026-02-01,S11,16.31,219.69,15.86,15.67,143.0,1245.84,13.03,2026-02
PW성읍1,2026-03-01,S11,15.76,220.25,15.31,15.68,140.0,1390.28,13.11,2026-03
PW성읍1,2026-04-01,S11,15.27,220.73,14.82,15.73,139.0,1302.57,13.15,2026-04
PW성읍1,2026-05-01,S11,15.35,220.65,14.9,15.75,139.0,1146.45,13.17,2026-05
PW성읍1,2026-06-01,S11,15.57,220.43,15.12,,,1011.75,13.15,2026-06
