연월,EL_평균,관측소_수
2007-01,1.406,8
2007-02,1.315,8
2007-03,1.412,8
2007-04,1.432,8
2007-05,1.405,8
2007-06,1.456,8
2007-07,2.148,8
2007-08,2.336,8
2007-09,4.973,7
2007-10,2.607,7
2007-11,1.841,8
2007-12,1.595,8
2008-01,1.482,8
2008-02,1.475,8
2008-03,1.391,8
2008-04,1.496,8
2008-05,1.504,8
2008-06,1.81,8
2008-07,2.156,8
2008-08,2.136,8
2008-09,1.87,8
2008-10,1.656,8
2008-11,1.53,8
2008-12,1.406,8
2009-01,1.272,8
2009-02,1.34,8
2009-03,1.519,8
2009-04,1.57,8
2009-05,1.61,8
2009-06,1.59,8
2009-07,1.776,8
2009-08,2.18,8
2009-09,1.94,8
2009-10,1.974,8
2009-11,1.581,8
2009-12,1.422,8
2010-01,1.222,8
2010-02,1.278,8
2010-03,1.541,8
2010-04,1.956,8
2010-05,1.979,8
2010-06,1.762,8
2010-07,2.299,8
2010-08,2.181,8
2010-09,3.14,8
2010-10,2.082,8
2010-11,1.744,8
2010-12,1.534,8
2011-01,1.308,8
2011-02,1.266,8
2011-03,1.206,8
2011-04,1.213,8
2011-05,1.195,8
2011-06,1.621,8
2011-07,2.088,8
2011-08,2.029,8
2011-09,2.081,8
2011-10,1.641,8
2011-11,1.96,8
2011-12,1.627,7
2012-01,1.505,8
2012-02,1.349,8
2012-03,1.464,8
2012-04,1.79,8
2012-05,2.706,8
2012-06,1.973,8
2012-07,2.051,8
2012-08,2.519,7
2012-09,3.974,8
2012-10,2.982,8
2012-11,2.259,8
2012-12,1.65,8
2013-01,1.544,8
2013-02,1.471,8
2013-03,1.41,8
2013-04,1.434,8
2013-05,1.488,8
2013-06,1.628,8
2013-07,1.645,8
2013-08,1.47,8
2013-09,1.435,8
2013-10,1.534,8
2013-11,1.379,8
2013-12,1.167,7
2014-01,1.149,8
2014-02,1.226,8
2014-03,1.338,8
2014-04,1.431,8
2014-05,1.63,8
2014-06,1.892,8
2014-07,1.938,8
2014-08,2.332,8
2014-09,2.43,8
2014-10,1.94,8
2014-11,1.641,8
2014-12,1.409,8
2015-01,1.326,8
2015-02,1.261,8
2015-03,1.282,8
2015-04,1.551,8
2015-05,1.944,8
2015-06,1.699,8
2015-07,2.446,8
2015-08,2.084,8
2015-09,2.088,8
2015-10,2.195,8
2015-11,1.815,8
2015-12,1.884,8
2016-01,1.64,8
2016-02,1.676,8
2016-03,1.923,7
2016-04,1.931,8
2016-05,2.121,8
2016-06,1.889,8
2016-07,2.276,8
2016-08,1.922,8
2016-09,1.72,8
2016-10,2.229,8
2016-11,1.809,8
2016-12,1.565,8
2017-01,1.519,8
2017-02,1.381,8
2017-03,1.351,8
2017-04,1.352,8
2017-05,1.288,8
2017-06,1.381,8
2017-07,1.53,8
2017-08,1.858,8
2017-09,1.794,8
2017-10,1.792,8
2017-11,1.38,8
2017-12,1.118,8
2018-01,1.069,8
2018-02,0.991,8
2018-03,1.2,8
2018-04,1.381,8
2018-05,1.71,7
2018-06,1.551,8
2018-07,1.949,8
2018-08,1.605,8
2018-09,2.12,8
2018-10,2.264,8
2018-11,1.648,8
2018-12,1.425,8
2019-01,1.248,8
2019-02,1.155,8
2019-03,1.174,8
2019-04,1.185,8
2019-05,1.405,8
2019-06,1.765,8
2019-07,2.468,8
2019-08,2.432,8
2019-09,3.716,8
2019-10,4.169,8
2019-11,2.31,8
2019-12,1.781,8
2020-01,1.605,8
2020-02,1.475,8
2020-03,1.432,8
2020-04,1.39,8
2020-05,1.556,8
2020-06,1.662,8
2020-07,2.582,8
2020-08,2.078,8
2020-09,3.219,8
2020-10,2.188,8
2020-11,1.606,8
2020-12,1.381,8
2021-01,1.277,8
2021-02,1.234,8
2021-03,1.248,8
2021-04,1.322,8
2021-05,1.405,8
2021-06,1.594,8
2021-07,1.735,8
2021-08,1.846,7
2021-09,2.869,8
2021-10,2.336,8
2021-11,1.644,8
2021-12,1.331,8
2022-01,1.195,8
2022-02,1.12,8
2022-03,1.096,8
2022-04,1.169,8
2022-05,1.137,7
2022-06,1.267,7
2022-07,1.594,8
2022-08,2.212,8
2022-09,3.098,8
2022-10,1.83,8
2022-11,1.481,8
2022-12,1.196,8
2023-01,1.199,8
2023-02,1.242,8
2023-03,1.184,8
2023-04,1.424,8
2023-05,3.079,8
2023-06,2.619,8
2023-07,3.17,8
2023-08,2.7,8
2023-09,2.146,8
2023-10,1.595,8
2023-11,1.33,8
2023-12,1.14,8
2024-01,1.099,8
2024-02,7.189,11
2024-03,7.445,11
2024-04,7.2,11
2024-05,7.183,11
2024-06,6.993,11
2024-07,7.87,11
2024-08,7.265,11
2024-09,6.613,11
2024-10,6.573,11
2024-11,7.575,11
2024-12,6.604,11
2025-01,5.955,11
2025-02,6.015,11
2025-03,6.534,11
2025-04,6.344,11
2025-05,6.919,11
2025-06,6.931,11
2025-07,6.824,11
2025-08,6.369,11
2025-09,7.017,11
2025-10,7.364,11
2025-11,6.614,11
2025-12,5.94,11
2026-01,5.72,11
2026-02,5.683,11
2026-03,6.019,11
2026-04,6.759,11
2026-05,6.707,11
2026-06,7.304,11
