연월,EL_평균,관측소_수
2007-01,9.082,6
2007-02,8.247,6
2007-03,7.7,6
2007-04,7.465,6
2007-05,7.127,6
2007-06,6.663,6
2007-07,7.277,6
2007-08,8.23,6
2007-09,10.513,6
2007-10,14.168,6
2007-11,14.363,6
2007-12,13.318,8
2008-01,12.294,8
2008-02,11.376,8
2008-03,10.469,8
2008-04,9.809,8
2008-05,9.225,8
2008-06,9.13,8
2008-07,9.791,8
2008-08,9.882,8
2008-09,9.49,8
2008-10,8.91,8
2008-11,8.351,8
2008-12,7.514,9
2009-01,7.306,8
2009-02,7.367,7
2009-03,7.356,7
2009-04,6.946,8
2009-05,6.69,9
2009-06,6.837,9
2009-07,7.273,9
2009-08,7.744,9
2009-09,8.177,9
2009-10,8.503,9
2009-11,8.358,9
2009-12,7.897,9
2010-01,7.37,9
2010-02,7.0,9
2010-03,7.07,9
2010-04,7.789,9
2010-05,8.402,9
2010-06,8.447,9
2010-07,9.128,9
2010-08,10.144,9
2010-09,11.082,8
2010-10,12.682,8
2010-11,12.355,8
2010-12,11.251,8
2011-01,9.86,8
2011-02,8.605,8
2011-03,7.522,8
2011-04,6.694,8
2011-05,6.124,8
2011-06,6.065,8
2011-07,7.142,8
2011-08,8.532,8
2011-09,9.768,8
2011-10,9.706,8
2011-11,9.279,8
2011-12,9.074,8
2012-01,8.243,7
2012-02,7.731,8
2012-03,7.438,8
2012-04,7.369,8
2012-05,8.199,8
2012-06,8.538,8
2012-07,8.544,8
2012-08,8.761,8
2012-09,11.812,8
2012-10,15.285,8
2012-11,15.139,8
2012-12,13.642,8
2013-01,12.28,8
2013-02,11.034,8
2013-03,10.041,8
2013-04,9.358,8
2013-05,8.705,8
2013-06,8.158,8
2013-07,7.84,8
2013-08,7.331,8
2013-09,6.744,8
2013-10,6.359,8
2013-11,5.781,8
2013-12,6.131,7
2014-01,5.159,8
2014-02,5.075,8
2014-03,5.224,8
2014-04,5.201,8
2014-05,4.884,8
2014-06,4.905,8
2014-07,5.605,8
2014-08,9.08,9
2014-09,11.404,9
2014-10,12.051,9
2014-11,11.686,9
2014-12,11.088,9
2015-01,10.323,9
2015-02,10.94,8
2015-03,9.627,6
2015-04,8.901,9
2015-05,9.1,9
2015-06,9.682,9
2015-07,10.839,9
2015-08,12.084,9
2015-09,12.337,9
2015-10,12.006,9
2015-11,11.418,9
2015-12,10.839,9
2016-01,10.253,9
2016-02,9.806,9
2016-03,9.68,9
2016-04,9.903,9
2016-05,10.167,9
2016-06,10.299,9
2016-07,10.547,9
2016-08,10.623,9
2016-09,10.454,9
2016-10,10.803,9
2016-11,11.044,9
2016-12,10.596,9
2017-01,9.958,9
2017-02,9.263,9
2017-03,8.624,9
2017-04,8.18,9
2017-05,7.837,9
2017-06,7.464,9
2017-07,7.104,9
2017-08,6.722,9
2017-09,6.4,9
2017-10,6.303,9
2017-11,5.84,9
2017-12,5.497,9
2018-01,5.188,9
2018-02,4.928,9
2018-03,5.092,9
2018-04,5.66,9
2018-05,6.342,9
2018-06,6.821,9
2018-07,7.401,9
2018-08,7.682,9
2018-09,9.042,9
2018-10,11.001,9
2018-11,11.989,9
2018-12,11.616,9
2019-01,10.666,9
2019-02,9.689,9
2019-03,8.824,9
2019-04,7.942,9
2019-05,7.157,9
2019-06,6.692,9
2019-07,6.997,9
2019-08,8.428,9
2019-09,10.947,9
2019-10,15.807,9
2019-11,17.201,9
2019-12,16.036,9
2020-01,14.472,9
2020-02,13.176,9
2020-03,11.983,9
2020-04,10.924,9
2020-05,10.058,9
2020-06,9.461,9
2020-07,9.945,11
2020-08,10.573,11
2020-09,13.252,11
2020-10,16.589,11
2020-11,16.295,11
2020-12,14.902,11
2021-01,13.297,11
2021-02,12.012,11
2021-03,11.015,11
2021-04,10.125,11
2021-05,9.486,11
2021-06,9.251,11
2021-07,9.261,11
2021-08,9.371,11
2021-09,10.415,11
2021-10,11.943,11
2021-11,11.998,11
2021-12,11.189,11
2022-01,10.206,11
2022-02,9.262,11
2022-03,8.451,11
2022-04,8.057,11
2022-05,7.721,11
2022-06,7.334,11
2022-07,7.085,11
2022-08,6.916,11
2022-09,7.491,11
2022-10,8.045,11
2022-11,8.056,11
2022-12,7.721,11
2023-01,7.241,11
2023-02,6.974,11
2023-03,6.752,11
2023-04,6.615,11
2023-05,7.52,11
2023-06,8.804,11
2023-07,10.13,11
2023-08,11.695,11
2023-09,12.61,11
2023-10,12.975,11
2023-11,12.546,11
2023-12,11.764,11
2024-01,10.736,11
2024-02,10.084,11
2024-03,9.842,11
2024-04,9.635,11
2024-05,9.421,11
2024-06,9.486,11
2024-07,10.473,11
2024-08,10.725,11
2024-09,10.489,11
2024-10,10.788,11
2024-11,11.777,11
2024-12,11.961,11
2025-01,11.322,11
2025-02,10.454,11
2025-03,9.665,11
2025-04,8.917,11
2025-05,8.379,11
2025-06,8.073,11
2025-07,7.895,11
2025-08,7.69,11
2025-09,7.773,11
2025-10,8.488,11
2025-11,8.426,11
2025-12,7.924,11
2026-01,7.255,11
2026-02,6.708,11
2026-03,6.357,11
2026-04,6.192,11
2026-05,6.094,11
2026-06,6.052,11
