연월,EL_평균,관측소_수
2007-01,1.85,5
2007-02,1.672,5
2007-03,2.03,4
2007-04,53.064,7
2007-05,50.977,7
2007-06,49.54,7
2007-07,51.683,7
2007-08,54.607,7
2007-09,33.922,6
2007-10,58.807,7
2007-11,57.647,7
2007-12,56.016,7
2008-01,53.58,7
2008-02,53.279,7
2008-03,51.819,7
2008-04,51.059,7
2008-05,52.074,7
2008-06,51.079,7
2008-07,55.854,7
2008-08,55.379,7
2008-09,63.197,6
2008-10,54.296,7
2008-11,52.619,7
2008-12,50.091,7
2009-01,49.326,7
2009-02,48.836,7
2009-03,49.634,7
2009-04,53.33,7
2009-05,53.749,7
2009-06,53.203,7
2009-07,51.63,7
2009-08,55.273,7
2009-09,56.027,7
2009-10,55.8,7
2009-11,55.063,7
2009-12,53.061,7
2010-01,39.054,9
2010-02,38.424,9
2010-03,40.569,9
2010-04,43.229,9
2010-05,43.847,9
2010-06,43.977,9
2010-07,44.462,9
2010-08,44.999,9
2010-09,46.506,9
2010-10,45.462,9
2010-11,44.086,9
2010-12,41.912,9
2011-01,39.681,9
2011-02,38.724,9
2011-03,38.058,9
2011-04,37.682,9
2011-05,37.841,9
2011-06,38.673,9
2011-07,42.511,9
2011-08,43.836,9
2011-09,44.491,9
2011-10,43.804,9
2011-11,43.041,9
2011-12,43.08,9
2012-01,47.439,8
2012-02,41.974,9
2012-03,39.042,9
2012-04,41.287,9
2012-05,44.539,9
2012-06,43.689,9
2012-07,42.301,9
2012-08,55.367,7
2012-09,46.282,9
2012-10,51.23,8
2012-11,49.558,8
2012-12,47.121,8
2013-01,28.154,7
2013-02,46.338,8
2013-03,46.196,8
2013-04,44.398,8
2013-05,43.765,8
2013-06,45.992,8
2013-07,46.72,8
2013-08,45.07,8
2013-09,42.955,8
2013-10,42.482,8
2013-11,42.245,8
2013-12,42.016,8
2014-01,41.859,8
2014-02,41.775,8
2014-03,42.819,8
2014-04,44.008,8
2014-05,43.31,8
2014-06,46.341,8
2014-07,47.062,8
2014-08,49.651,8
2014-09,51.11,8
2014-10,50.226,8
2014-11,48.998,8
2014-12,46.988,8
2015-01,45.53,8
2015-02,44.311,8
2015-03,43.542,8
2015-04,43.826,8
2015-05,48.285,8
2015-06,48.921,8
2015-07,49.457,8
2015-08,50.088,8
2015-09,55.914,7
2015-10,49.602,8
2015-11,48.836,8
2015-12,48.7,8
2016-01,48.408,8
2016-02,47.696,8
2016-03,48.841,8
2016-04,48.82,8
2016-05,49.862,8
2016-06,49.295,8
2016-07,49.27,8
2016-08,49.207,8
2016-09,47.332,8
2016-10,48.416,8
2016-11,49.046,8
2016-12,47.215,8
2017-01,40.54,9
2017-02,39.794,9
2017-03,38.856,9
2017-04,38.318,9
2017-05,37.968,9
2017-06,37.651,9
2017-07,37.173,9
2017-08,37.033,9
2017-09,37.236,9
2017-10,38.393,9
2017-11,39.06,9
2017-12,37.538,9
2018-01,36.818,9
2018-02,36.257,9
2018-03,37.012,9
2018-04,40.914,9
2018-05,42.002,9
2018-06,40.997,9
2018-07,41.106,9
2018-08,41.544,9
2018-09,42.919,9
2018-10,44.338,9
2018-11,43.563,9
2018-12,41.251,9
2019-01,38.81,9
2019-02,37.652,9
2019-03,36.971,9
2019-04,36.601,9
2019-05,37.036,9
2019-06,41.321,9
2019-07,42.336,9
2019-08,44.214,9
2019-09,46.226,9
2019-10,48.184,9
2019-11,45.662,9
2019-12,43.356,9
2020-01,40.417,9
2020-02,39.239,9
2020-03,38.603,9
2020-04,38.177,9
2020-05,38.072,9
2020-06,38.582,9
2020-07,41.208,9
2020-08,42.672,9
2020-09,44.798,9
2020-10,44.406,9
2020-11,42.253,9
2020-12,39.137,9
2021-01,37.97,9
2021-02,37.457,9
2021-03,37.639,9
2021-04,37.926,10
2021-05,38.823,10
2021-06,37.749,10
2021-07,39.705,11
2021-08,40.485,11
2021-09,43.348,11
2021-10,43.902,11
2021-11,42.521,11
2021-12,40.096,11
2022-01,38.358,11
2022-02,37.431,11
2022-03,36.687,11
2022-04,36.932,11
2022-05,37.015,11
2022-06,36.621,11
2022-07,36.203,11
2022-08,38.315,11
2022-09,40.854,11
2022-10,40.949,11
2022-11,38.827,11
2022-12,37.157,11
2023-01,36.495,11
2023-02,33.152,13
2023-03,33.15,13
2023-04,33.009,13
2023-05,35.824,13
2023-06,37.042,13
2023-07,37.448,13
2023-08,38.298,13
2023-09,38.177,13
2023-10,37.943,13
2023-11,36.715,13
2023-12,36.071,12
2024-01,35.279,12
2024-02,36.936,12
2024-03,39.011,12
2024-04,39.027,12
2024-05,39.347,12
2024-06,37.859,13
2024-07,38.067,13
2024-08,39.142,12
2024-09,37.738,12
2024-10,39.137,12
2024-11,39.818,12
2024-12,39.359,12
2025-01,38.103,12
2025-02,34.788,13
2025-03,34.259,13
2025-04,35.619,12
2025-05,35.543,12
2025-06,36.285,12
2025-07,35.973,12
2025-08,33.902,13
2025-09,34.037,13
2025-10,36.382,13
2025-11,35.918,13
2025-12,35.239,12
2026-01,32.59,11
2026-02,31.997,11
2026-03,31.726,11
2026-04,32.593,11
2026-05,34.025,12
2026-06,33.637,12
