연월,EL_평균,관측소_수
2007-01,18.486,5
2007-02,15.428,5
2007-03,15.716,5
2007-04,17.854,5
2007-05,17.322,5
2007-06,16.15,5
2007-07,18.972,5
2007-08,21.26,5
2007-09,22.912,5
2007-10,24.576,5
2007-11,24.486,5
2007-12,20.762,6
2008-01,19.485,6
2008-02,35.777,8
2008-03,33.441,8
2008-04,33.081,8
2008-05,32.918,8
2008-06,35.266,8
2008-07,39.236,8
2008-08,38.385,8
2008-09,36.922,8
2008-10,35.446,8
2008-11,32.668,8
2008-12,47.155,10
2009-01,46.097,10
2009-02,25.206,9
2009-03,26.074,9
2009-04,44.866,11
2009-05,46.369,11
2009-06,46.531,11
2009-07,47.186,11
2009-08,47.765,11
2009-09,47.615,11
2009-10,47.292,11
2009-11,46.414,11
2009-12,44.155,11
2010-01,42.226,11
2010-02,41.621,11
2010-03,43.511,11
2010-04,47.26,11
2010-05,47.97,11
2010-06,47.745,11
2010-07,50.285,11
2010-08,51.688,11
2010-09,53.318,11
2010-10,53.331,11
2010-11,51.432,11
2010-12,49.307,11
2011-01,45.885,11
2011-02,43.173,11
2011-03,42.12,11
2011-04,41.715,11
2011-05,42.129,11
2011-06,43.127,11
2011-07,49.323,11
2011-08,50.634,11
2011-09,50.022,11
2011-10,46.095,10
2011-11,45.878,10
2011-12,46.949,11
2012-01,40.289,9
2012-02,38.182,9
2012-03,45.227,10
2012-04,28.451,9
2012-05,34.604,9
2012-06,33.718,9
2012-07,32.774,9
2012-08,33.102,9
2012-09,37.7,9
2012-10,39.036,9
2012-11,37.652,9
2012-12,35.326,9
2013-01,33.588,9
2013-02,32.453,9
2013-03,32.152,9
2013-04,32.492,9
2013-05,31.721,9
2013-06,32.636,9
2013-07,32.994,9
2013-08,31.192,9
2013-09,27.087,9
2013-10,25.842,9
2013-11,25.026,9
2013-12,24.713,9
2014-01,24.38,9
2014-02,39.353,11
2014-03,39.581,11
2014-04,40.496,11
2014-05,41.339,11
2014-06,43.776,11
2014-07,45.425,11
2014-08,49.545,11
2014-09,50.831,11
2014-10,49.622,11
2014-11,47.525,11
2014-12,44.964,11
2015-01,43.474,11
2015-02,42.524,11
2015-03,42.333,11
2015-04,44.342,11
2015-05,47.706,11
2015-06,48.837,11
2015-07,49.915,11
2015-08,50.965,11
2015-09,49.355,11
2015-10,48.478,11
2015-11,47.547,11
2015-12,46.484,11
2016-01,27.936,10
2016-02,28.477,10
2016-03,47.018,11
2016-04,47.287,11
2016-05,48.479,11
2016-06,48.346,11
2016-07,49.617,11
2016-08,49.58,11
2016-09,48.04,11
2016-10,48.32,11
2016-11,48.245,11
2016-12,46.422,11
2017-01,43.851,11
2017-02,42.238,11
2017-03,41.458,11
2017-04,41.433,11
2017-05,41.547,11
2017-06,40.728,11
2017-07,40.083,11
2017-08,39.625,11
2017-09,28.277,11
2017-10,24.648,11
2017-11,24.6,11
2017-12,23.391,11
2018-01,22.371,11
2018-02,22.727,11
2018-03,24.683,11
2018-04,39.65,11
2018-05,43.516,11
2018-06,43.461,11
2018-07,42.402,11
2018-08,34.369,11
2018-09,44.502,13
2018-10,45.602,13
2018-11,44.55,13
2018-12,38.743,14
2019-01,35.157,14
2019-02,34.393,14
2019-03,33.854,14
2019-04,33.124,14
2019-05,32.626,14
2019-06,33.167,14
2019-07,36.283,14
2019-08,43.126,14
2019-09,53.001,17
2019-10,56.206,17
2019-11,55.561,17
2019-12,52.024,17
2020-01,50.622,16
2020-02,48.946,16
2020-03,48.413,16
2020-04,47.302,16
2020-05,46.62,16
2020-06,47.32,16
2020-07,53.102,16
2020-08,54.84,16
2020-09,57.366,16
2020-10,56.409,17
2020-11,56.156,16
2020-12,52.844,16
2021-01,50.513,16
2021-02,49.83,16
2021-03,47.668,17
2021-04,46.858,16
2021-05,45.748,17
2021-06,48.948,16
2021-07,49.658,16
2021-08,49.336,16
2021-09,39.11,15
2021-10,49.783,17
2021-11,47.499,17
2021-12,52.825,19
2022-01,51.767,19
2022-02,51.138,19
2022-03,50.775,19
2022-04,50.856,19
2022-05,50.582,19
2022-06,50.279,19
2022-07,50.179,19
2022-08,50.729,19
2022-09,53.147,19
2022-10,53.132,19
2022-11,50.148,19
2022-12,50.094,19
2023-01,49.763,19
2023-02,49.623,19
2023-03,49.376,19
2023-04,49.821,19
2023-05,53.653,19
2023-06,56.534,19
2023-07,58.066,19
2023-08,59.492,19
2023-09,60.334,19
2023-10,60.016,19
2023-11,58.167,19
2023-12,55.118,19
2024-01,53.127,19
2024-02,50.476,20
2024-03,50.534,20
2024-04,51.311,20
2024-05,56.05,20
2024-06,57.752,20
2024-07,59.53,20
2024-08,60.201,20
2024-09,60.212,20
2024-10,60.27,20
2024-11,60.413,20
2024-12,58.996,20
2025-01,56.174,20
2025-02,54.772,20
2025-03,54.206,20
2025-04,53.707,20
2025-05,53.905,20
2025-06,54.844,20
2025-07,55.114,20
2025-08,53.934,20
2025-09,53.55,20
2025-10,54.771,20
2025-11,53.896,20
2025-12,52.54,20
2026-01,51.931,20
2026-02,51.582,20
2026-03,51.405,20
2026-04,51.536,20
2026-05,53.841,19
2026-06,53.894,19
