허가번호,관정명,읍면동,리,연도,분기,원본값,보정값,보정방법,분류
D199630023,F-160,구좌읍,행원리,2022,4,606771,6067.71,자동보정 (÷100),오타 자동보정
D199630025,F-162,구좌읍,세화리,2022,4,567100,5671.0,자동보정 (÷100),오타 자동보정
W200230015,F-488,구좌읍,김녕리,2019,4,8244316,82443.16,자동보정 (÷100),오타 자동보정
W200710019,F-563,구좌읍,동복리,2018,3,388274,38827.0,옵션A 자동보정 (÷10),오타 자동보정
Y199330135,D-019,구좌읍,월정리,2025,1,40990,409900,×10 (누락된 자릿수 복원),사용자 수동
Y199330149,A-004,구좌읍,상도리,2025,1,5118,511.885,÷10 추가 (총 ÷1000),사용자 수동
W200810026,F-586,도련이동,,2019,1,181861,1818.61,÷100,사용자 수동
W200810026,F-586,도련이동,,2020,1,995439,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2020,2,989402,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2020,3,981500,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2020,4,977716,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2021,1,975949,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2021,2,977414,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2021,3,985190,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2021,4,987212,None,무효 처리 (None),비정상 시기 무효
W200810026,F-586,도련이동,,2022,1,999116,None,무효 처리 (None),비정상 시기 무효
D199810008,F-300,봉개동,,2023,3,212518,21251.0,옵션A 자동보정 (÷10),오타 자동보정
D199530060,D-299,애월읍,봉성리,2023,3,392828,39282.0,옵션A 자동보정 (÷10),오타 자동보정
D199630064,F-148,애월읍,상가리,2021,2,893843,8938.43,÷100,사용자 수동
D199630134,F-140,애월읍,신엄리,2025,3,369030,36903.0,옵션A 자동보정 (÷10),오타 자동보정
D199730082,F-258,애월읍,소길리,2023,3,237681,23768.0,옵션A 자동보정 (÷10),오타 자동보정
D199730085,F-256,애월읍,납읍리,2023,2,999528,99952.0,옵션A 자동보정 (÷10),오타 자동보정
W200610017,F-544,애월읍,납읍리,2023,3,547498,54749.0,옵션A 자동보정 (÷10),오타 자동보정
W201010002,F-608,애월읍,고성리,2023,3,730257,73025.0,옵션A 자동보정 (÷10),오타 자동보정
Y199330049,F-009,애월읍,구엄리,2023,3,381305,38130.0,옵션A 자동보정 (÷10),오타 자동보정
Y199330119,D-014,애월읍,곽지리,2023,3,414878,41487.0,옵션A 자동보정 (÷10),오타 자동보정
Y199330123,D-046,애월읍,납읍리,2025,3,355075,35507.5,÷10,사용자 수동
W200410005,F-433,연동,,2019,4,999995,99999.5,÷10,사용자 수동
D199510022,D-288,영평동,,2019,4,756945,249527.5,앞뒤 평균,사용자 수동
D199810022,F-302,오등동,,2023,3,357101,35710.0,옵션A 자동보정 (÷10),오타 자동보정
D199910004,F-361,오등동,,2020,1,997623,9976.23,÷100,사용자 수동
D199530051,F-095,조천읍,북촌리,2025,4,747927,147927,사용자 지정 (오타 7→1),사용자 수동
D199730038,F-212,조천읍,와산리,2025,1,181272,18127.0,옵션A 자동보정 (÷10),오타 자동보정
