permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199510018,F-084,2017,7472,7400,7181,8279,8966,12797,16537,20640,19586,17947,13206,12159,1000,30000,,사후관리DB(원본월별·5년이용량분석)
D199510019,F-085,2017,4115,4659,5731,6659,5724,8108,6103,9337,6335,5675,5232,4705,750,15120,,사후관리DB(원본월별·5년이용량분석)
D199510020,F-087,2017,1623,1983,1949,2880,2241,3623,3329,3977,2347,1569,1755,1528,750,6390,,사후관리DB(원본월별·5년이용량분석)
D199510021,F-086,2017,7135,9017,10261,14412,14488,14628,15518,17697,11776,17833,18416,17108,700,16920,,사후관리DB(원본월별·5년이용량분석)
D199510022,D-288,2017,4,250,742,2318,3847,85903,11594,16374,11816,5847,3334,7643,800,18210,,사후관리DB(원본월별·5년이용량분석)
D199510023,D-287,2017,6079,5337,31466,30967,96864,70389,63621,61492,68750,63700,55556,66457,800,23670,,사후관리DB(원본월별·5년이용량분석)
D199520015,F-088,2017,21051.91,17614.41,11712.77,12807.38,12583.67,15713.8,13985.66,9310.11,9781.42,7631.49,8978.83,7670.77,500,15000,,
D199520016,D-291,2017,5969.74,6907.63,7428.83,9037.81,8264.95,12609.21,13712.12,14273.2,13805.63,11429.29,10726.56,9652.53,500,15000,,
D199520017,D-293,2017,5380.85,6341.93,8021.73,7613.42,6750.24,8404.97,6530.56,8909.98,8744.03,7409.26,7189.59,6276.27,700,21000,,
D199520018,D-292,2017,3245.75,4613.6,10435.34,8500.77,7465.22,10669.76,7369.91,12648.12,8641.16,6848.27,8417.05,6318.91,600,18000,,
D199520019,D-289,2017,3917.64,6802.9,12028.66,7942.88,10646.55,18428.02,12021.93,14039.6,12085.82,6688.57,9896.66,7640.23,500,15000,,
D199520020,D-290,2017,1010.99,2093.41,2305.86,2507.33,2457.88,3126.37,2315.02,2915.75,2278.39,1957.88,2133.7,1208.79,500,15000,,
D199530039,96조천1,2017,2608,2593,2774,2660,2686,3477,3459,4981,4979,4283,4223,3598,800,18240,,사후관리DB(원본월별·5년이용량분석)
D199530042,D-294,2017,1,35,32,38,35,40,47,57,48,15,0,0,800,16800,,사후관리DB(원본월별·5년이용량분석)
D199530043,F-080,2017,7593,7938,8191,8567,8554,10520,13939,5754,8154,12584,11933,10210,700,19950,,사후관리DB(원본월별·5년이용량분석)
D199530045,F-089,2017,2492,3617,4873,6155,5171,5166,5347,5546,7923,7539,7339,8118,650,22800,,사후관리DB(원본월별·5년이용량분석)
D199530046,F-090,2017,1899,2118,2436,1750,1009,1375,2256,3302,2914,3887,4393,3878,800,22800,,사후관리DB(원본월별·5년이용량분석)
D199530047,F-091,2017,769,842,1448,2279,2365,2690,2283,6406,15560,18743,1842,1212,700,13680,,사후관리DB(원본월별·5년이용량분석)
D199530048,F-092,2017,6184,5312,5827,6718,10599,13970,11125,13450,12809,12778,20927,16659,1000,20460,,사후관리DB(원본월별·5년이용량분석)
D199530049,F-093,2017,4007,3972,3926,4767,5382,8467,8731,9231,9380,7339,6267,6520,1000,19410,,사후관리DB(원본월별·5년이용량분석)
D199530050,F-094,2017,3539,3882,4862,7196,4131,8018,4796,11913,5353,7533,7363,11691,700,16260,,사후관리DB(원본월별·5년이용량분석)
D199530051,F-095,2017,2278,2434,2509,4510,3792,5967,6354,6112,4190,3941,3273,2896,800,15840,,사후관리DB(원본월별·5년이용량분석)
D199530052,F-096,2017,2714,2637,4101,5632,5856,8591,13411,13042,9075,11947,9498,15379,650,19000,,사후관리DB(원본월별·5년이용량분석)
D199530053,D-300,2017,1513,2172,2858,2000,1496,3001,3203,3092,4521,4830,4036,4559,800,16000,,사후관리DB(원본월별·5년이용량분석)
D199530054,D-301,2017,0,0,0,0,66,42,9526,8343,10179,7143,6571,4765,600,17040,,사후관리DB(원본월별·5년이용량분석)
D199530055,D-303,2017,3575,3665,3342,4107,3904,5161,5395,5383,8568,15696,16232,15695,600,17100,,사후관리DB(원본월별·5년이용량분석)
D199530056,D-304,2017,0,0,0,0,0,0,0,0,0,0,0,0,900,13500,,사후관리DB(원본월별·5년이용량분석)
D199530057,D-305,2017,1731,1521,4499,7155,7688,12219,9235,14215,9200,8373,8303,7293,900,21000,,사후관리DB(원본월별·5년이용량분석)
D199530058,D-302,2017,11553,12272,13304,16972,16912,16056,15288,18313,12030,9299,10059,8837,700,14880,,사후관리DB(원본월별·5년이용량분석)
D199530059,D-298,2017,758,9037,10609,10155,7520,7263,7250,10088,5327,3177,2415,2844,700,10380,,사후관리DB(원본월별·5년이용량분석)
D199530060,D-299,2017,4700,1248,1477,452,404,5356,5311,14452,14424,9401,5473,6638,900,16680,,사후관리DB(원본월별·5년이용량분석)
D199530061,96조천2,2017,410,566,672,23018,16798,11518,14444,24936,19825,16283,15767,15990,800,17280,,사후관리DB(원본월별·5년이용량분석)
D199540104,D-306,2017,7250.98,10809.8,12549.02,17552.94,16786.27,24509.8,21445.1,20401.96,17445.1,14970.59,13064.71,12766.67,800,24000,,
D199540105,D-307,2017,7089.74,7027.47,9016.48,8300.37,8386.45,11408.42,6126.37,5108.06,5426.74,3771.06,3626.37,2776.56,800,24000,,
D199540106,D-308,2017,758.68,1156.17,5193.7,3621.87,6547.62,10207.83,5718.32,7165.05,5415.66,3301.05,3799.44,1735.27,700,21000,,
D199540107,D-309,2017,2813.44,2932.16,2952.32,5483.52,5877.76,7719.04,7004.48,5432.0,4159.68,4609.92,3924.48,4316.48,900,27000,,
D199540109,F-102,2017,24417.06,24611.82,22397.99,24981.45,24166.67,26364.6,23116.06,23669.85,29337.57,28349.23,30398.78,29280.6,800,24000,,
D199540110,F-103,2017,4230.31,4654.01,5677.58,8906.62,5180.29,6335.43,2383.87,838.48,582.03,13.38,13.38,15.61,700,21000,,
D199540111,D-316,2017,7883.39,7075.65,7295.23,8895.04,7095.25,7573.63,5171.95,14693.38,4775.91,4662.2,4486.73,4982.75,700,21000,,
D199540112,F-104,2017,1032.98,21.92,326.06,3630.5,3449.66,6318.44,4063.42,3759.28,3745.58,2479.7,2238.58,3359.24,800,24000,,
D199540113,D-313,2017,4277.52,3573.18,3535.74,4031.82,3814.2,4095.0,3524.04,3718.26,3233.88,2646.54,3472.56,3067.74,700,21000,,
D199540114,F-098,2017,1157.55,805.47,919.45,1187.94,762.41,2130.19,1709.73,1512.16,1707.19,2117.53,1610.94,3882.98,800,24000,,
D199540115,F-097,2017,282.26,141.13,110.89,2674.73,171.37,836.69,0.0,3.36,2308.47,12610.89,12580.65,16985.89,800,24000,,
D199540116,D-315,2017,2891.67,2149.26,2159.43,5386.71,2074.68,4234.11,1878.06,2030.61,3576.45,12495.54,7325.79,7624.11,700,21000,,
D199540117,F-100,2017,5651.1,9879.03,13419.0,23432.22,21018.69,28074.06,26543.16,24611.58,18227.16,12734.82,10912.86,8142.12,1000,30000,,
D199540118,F-101,2017,5737.89,5909.55,7735.83,8444.72,8377.96,12221.24,8708.57,10447.42,8897.71,6073.27,7284.42,5939.75,800,24000,,
D199540119,F-099,2017,3883.75,0.0,1191.91,4290.16,11146.41,13705.2,4053.24,13768.99,7242.61,991.44,5130.34,5815.6,800,24000,,
D199540120,D-312,2017,0.0,795.76,3021.83,147.49,2877.77,613.97,0.0,140.63,5896.17,10560.97,11315.57,4170.88,700,21000,,
D199540121,D-314,2017,1881.94,2476.16,3902.58,9982.02,6793.38,9828.72,9567.38,10995.26,5504.2,4559.58,3537.58,4914.36,700,21000,,
D199540122,D-310,2017,10426.59,12053.61,14235.39,19807.83,17485.29,24258.33,21368.61,23891.94,18899.1,14461.02,14610.06,10799.19,950,28500,,
D199610004,F-105,2017,21510,23487,21747,24384,22041,26020,22278,29263,29746,23300,25254,23936,800,18000,,사후관리DB(원본월별·5년이용량분석)
D199610005,F-108,2017,16393,16777,15533,14986,17273,21875,18515,23891,15380,11903,13677,11288,1200,36000,,사후관리DB(원본월별·5년이용량분석)
D199610009,F-109,2017,3125,3654,4937,8215,7045,10822,8728,10607,7247,3754,1829,1775,300,9000,,사후관리DB(원본월별·5년이용량분석)
D199610010,F-107,2017,17392,17535,14566,5767,1588,4974,5063,7560,3103,6834,4653,3341,600,18000,,사후관리DB(원본월별·5년이용량분석)
D199610011,F-111,2017,17295,18992,18203,21305,20030,22978,22824,25500,23251,20516,20829,22373,600,15000,,사후관리DB(원본월별·5년이용량분석)
D199610020,F-110,2017,22094,15803,13080,18330,19314,24460,26323,19468,22867,21957,16056,20969,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199610021,F-106,2017,3148,3553,5623,7571,7001,11850,9732,10586,8345,6159,6712,5986,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199610022,F-112,2017,11567,12116,10830,12439,13556,16404,14331,1738,28687,14707,14818,13865,600,18000,,사후관리DB(원본월별·5년이용량분석)
D199620028,F-115,2017,4102.72,3713.01,5309.15,5575.32,6914.42,10212.02,6499.01,8002.29,6094.38,5044.65,6232.02,6249.43,800,24000,,
D199620033,F-113,2017,5041.75,5805.78,5956.91,6569.81,6967.27,7400.63,6428.69,7153.47,5841.68,4782.06,6456.25,5893.45,500,15000,,
D199620034,F-114,2017,7715.19,8369.11,9969.17,11679.7,12267.69,16091.44,15104.32,18951.22,16305.25,12885.98,12593.76,11321.56,600,18000,,
D199620035,D-319,2017,2270.15,1973.25,2943.43,3337.17,3645.94,4850.91,4001.31,3818.6,3539.97,2584.41,2383.43,3111.52,600,18000,,
D199620043,F-116,2017,3063.6,2714.32,2936.32,4182.48,4410.4,5564.8,5310.24,7246.08,5523.36,4792.24,5289.52,5547.04,700,21000,,
D199620044,F-118,2017,6855.81,5569.15,8161.49,18439.49,13738.26,22078.67,17967.47,22166.22,25538.93,19729.95,15264.73,10529.24,900,27000,,
D199620045,D-263-1,2017,4101.53,5663.22,9315.29,12167.47,11967.88,15394.45,13232.47,13185.23,14085.68,5876.53,5715.02,3161.47,700,21000,,
D199630016,F-136,2017,5471,5778,5297,6525,6038,7182,9399,11804,14192,12072,11242,10805,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630017,F-131,2017,6130,6307,5974,8974,9522,11978,12395,17452,14943,11943,10157,12097,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630018,F-132,2017,4424,4094,4201,2806,102,962,1133,2949,2877,4082,8814,6816,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630019,F-137,2017,10576,8667,8088,10893,12482,17830,15353,19447,15622,17933,17785,17014,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199630020,F-133,2017,4014,4708,4943,6376,6782,10502,10009,18987,10885,9246,8793,10146,900,21000,,사후관리DB(원본월별·5년이용량분석)
D199630021,F-153,2017,12683,14179,16554,16024,16236,20504,22022,24363,22620,19654,18477,16756,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630022,F-159,2017,910,671,743,207,713,2007,1593,6879,3607,267,1029,4326,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199630023,F-160,2017,12325,4711,6269,9590,10212,15874,11967,15509,13319,14763,13593,17801,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630024,F-161,2017,5147,3214,3411,4729,5018,2775,3032,2000,4040,3986,3064,3059,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199630025,F-162,2017,9572,8927,10992,14423,14335,16898,9974,10756,11354,11425,12696,13617,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630026,F-167,2017,9924,10848,10570,13538,14026,17894,15564,15307,14374,12603,12661,11726,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199630027,F-168,2017,8478,8845,10126,3515,946,1796,1476,2825,15326,5661,766,1370,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199630028,F-126,2017,892,1010,1119,1851,1887,3460,2602,3794,3644,4890,4823,3949,900,26000,,사후관리DB(원본월별·5년이용량분석)
D199630058,F-128,2017,29242,25607,21477,9837,8377,11647,15901,16696,22991,33172,33998,33189,900,18000,,사후관리DB(원본월별·5년이용량분석)
D199630059,F-134,2017,19725,21704,23039,23212,24168,22251,19652,27199,18980,17797,20666,19614,850,25500,,사후관리DB(원본월별·5년이용량분석)
D199630060,F-149,2017,5100,5134,7543,7838,8684,14353,13174,18699,33242,16496,31712,39154,800,18000,,사후관리DB(원본월별·5년이용량분석)
D199630061,F-144,2017,1695,1979,2307,2548,2825,3977,4283,4448,6038,5058,3778,3991,600,12000,,사후관리DB(원본월별·5년이용량분석)
D199630062,F-155,2017,8017,7481,9889,11564,11707,14188,12826,15891,7865,6405,,3691,600,18000,,사후관리DB(원본월별·5년이용량분석)
D199630063,F-146,2017,5601,5259,6417,10110,10796,15087,17406,21159,17492,12860,9068,8514,800,18000,,사후관리DB(원본월별·5년이용량분석)
D199630064,F-148,2017,4140,5494,6763,5991,6974,9927,9858,13595,7169,4543,4924,6032,700,13500,,사후관리DB(원본월별·5년이용량분석)
D199630065,F-152,2017,2115,2996,3730,5041,6270,7714,6246,7261,3880,3540,5224,4882,600,18000,,사후관리DB(원본월별·5년이용량분석)
D199630066,F-165,2017,3346,4029,5084,7798,7728,12568,12969,16032,10297,7065,5744,7043,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630067,F-169,2017,4647,4294,4770,4974,6493,7266,8180,9784,7964,6533,6174,5130,700,21000,,사후관리DB(원본월별·5년이용량분석)
D199630068,F-127,2017,13612,16355,15204,18238,19486,23626,20352,25811,22905,23538,21256,22094,900,15700,,사후관리DB(원본월별·5년이용량분석)
D199630083,F-129,2017,10128,10726,10765,10005,4135,62,1419,57,5598,3695,1077,2078,800,17000,,사후관리DB(원본월별·5년이용량분석)
D199630084,F-150,2017,82,81,77,87,93,250,713,7294,142,916,96,331,800,16800,,사후관리DB(원본월별·5년이용량분석)
D199630085,F-142,2017,5324,6317,6503,6941,10066,13306,11376,16301,8519,8064,8429,8164,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630086,F-151,2017,1781,2317,2389,3484,4733,7287,7510,10356,6183,6309,6322,5807,600,18000,,사후관리DB(원본월별·5년이용량분석)
D199630087,F-147,2017,6706,7380,7095,8984,9235,10988,11586,15128,12388,12559,13424,10391,600,12000,,사후관리DB(원본월별·5년이용량분석)
D199630088,F-141,2017,8003,8424,8111,10424,10278,13015,13525,17956,15533,15577,16207,15329,700,13500,,사후관리DB(원본월별·5년이용량분석)
D199630089,F-157,2017,1280,1138,2183,2947,1846,5187,2954,3859,4210,5369,4129,3082,800,24000,,사후관리DB(원본월별·5년이용량분석)
D199630090,F-122,2017,756,726,2099,3267,3148,5368,3574,4703,4307,4933,4102,3030,800,12000,,사후관리DB(원본월별·5년이용량분석)
D199630091,F-120,2017,8560,8439,9004,6621,7780,8976,7336,9962,14980,13663,19457,14116,1100,20500,,사후관리DB(원본월별·5년이용량분석)
D199630092,F-119,2017,1245,834,1656,1737,387,1259,1787,3166,3582,6688,7646,7691,700,12000,,사후관리DB(원본월별·5년이용량분석)
D199630093,F-123,2017,6885,7030,8504,12428,11651,15499,14243,17427,12756,11450,11105,10017,1000,19800,,사후관리DB(원본월별·5년이용량분석)
D199630094,F-124,2017,12957,13527,14163,18528,18548,21559,16670,21368,20712,22213,24304,27500,1000,29300,,사후관리DB(원본월별·5년이용량분석)
D199630095,F-121,2017,6304,7310,7163,10270,8603,13454,9723,12035,12438,16274,17326,13757,1100,16500,,사후관리DB(원본월별·5년이용량분석)
D199630132,F-130,2017,3101,2967,3496,4416,4085,6068,6770,7838,14985,9861,10069,8284,700,15000,,사후관리DB(원본월별·5년이용량분석)
D199630133,F-139,2017,15089,16916,17061,19938,20884,26338,25136,25989,29943,26705,25540,24640,700,13500,,사후관리DB(원본월별·5년이용량분석)
D199630134,F-140,2017,6789,7554,7141,8118,861,10994,11738,14072,12685,11025,11270,10287,600,12000,,사후관리DB(원본월별·5년이용량분석)
D199630135,F-138,2017,2838,620,2159,6958,5407,10173,4766,18830,18703,10489,19030,17187,700,13500,,사후관리DB(원본월별·5년이용량분석)
